Unnamed: 0,2023 GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
64,GRI 206: Anti-competitive Behavior 2016,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices","There was no legal action taken during the reporting period for anti-competitive behaviour, anti-trust or monopoly practices by Woolworths Group Limited or its employees.",,,,,,,,,,,,,,,,,,,,,,,
65,Tax,,,,,,,,,,,,,,,,,,,,,,,,,
66,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
67,GRI 207: Tax 2019,207-1 Approach to tax,2023 Annual Report\nTax Transparency Report - https://www.woolworthsgroup.com.au/page/investors/our-performance/reports/Reports/tax-transparency-reports/,,,,,,,,,,,,,,,,,,,,,,,
68,,"207-2 Tax governance, control, and risk management",2023 Annual Report\nTax Transparency Report - https://www.woolworthsgroup.com.au/page/investors/our-performance/reports/Reports/tax-transparency-reports/,,,,,,,,,,,,,,,,,,,,,,,
69,,207-3 Stakeholder engagement and management of concerns related to tax,2023 Annual Report\nTax Transparency Report - https://www.woolworthsgroup.com.au/page/investors/our-performance/reports/Reports/tax-transparency-reports/,,,,,,,,,,,,,,,,,,,,,,,
70,,207-4 Country-by-country reporting,2023 Annual Report\nTax Transparency Report - https://www.woolworthsgroup.com.au/page/investors/our-performance/reports/Reports/tax-transparency-reports/,,,,,,,,,,,,,,,,,,,,,,,
71,Materials,,,,,,,,,,,,,,,,,,,,,,,,,
72,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
73,GRI 301: Materials 2016,301-1 Materials used by weight or volume,,"part a i, ii",Information unavailable,No master data covering the Group available at the required level of GRI reporting detail. This is not in scope for short term development,,,,,,,,,,,,,,,,,,,,
74,,301-2 Recycled input materials used,2023 Sustainability data pack - Sustainable own brand packaging,,,,,,,,,,,,,,,,,,,,,,,
75,,301-3 Reclaimed products and their packaging materials,,"part a, b",Information unavailable,,,,,,,,,,,,,,,,,,,,,
76,Energy,,,,,,,,,,,,,,,,,,,,,,,,,
77,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
78,GRI 302: Energy 2016,302-1 Energy consumption within the organization,"2023 Total Energy usage is 9,495,239 GJ\n1,809,376 GJ of which is from renewable sources\nWoolworths Group report energy consumption within the organisation converted to tCO2e in compliance with the NGER Measurement Determination, NZ Ministry for the Environment - 2022 Emissions Measurement Guide and NGA emission factors.","part c i, ii, iii, iv\npart d i, ii, iii, iv",Information unavailable,Energy consumption is reported at an aggregate level and not available at the GRI disclosure granular level,,,,,,,,,,,,,,,,,,,,
79,,302-2 Energy consumption outside of the organization,2023 Sustainability data pack - Scope 3 emissions\n\nEstimated scope 3 emissions footprint primarily based on emission factors extrapolated from goods and services sold to consumers,"part a, b, c",Information unavailable,"Woolworths Group report energy consumption outside of the organisation converted to tCO2e aligned with NGER Measurement Determination, NZ Ministry for the Environment - 2022 Emissions Measurement Guide and NGA emission factors. The scope of the indicator includes energy consumed from third party logistics only and consequently do not report on other energy consumption indicators based on the nature of Woolworths Group principal activities and operations\nScope 3 estimates not made at a joule level using current processes. Methodology and conversion factors are specific to each category within scope 3 and are subject to further change as standards, data and processes mature",,,,,,,,,,,,,,,,,,,,
80,,302-3 Energy intensity,2023 Sustainability data pack - Energy\n\nEnergy intensity of 2.39 is calculated based on total energy from Group operations divided by trading area,,,,,,,,,,,,,,,,,,,,,,,
81,,302-4 Reduction of energy consumption,"2023 Energy usage was 9,495,239 GJ\n\n2022 Energy usage was 9,520,853 GJ\n\nA year on year reduction of 25,614 GJ","part a, b, c, d",Information unavailable,No master data covering the Group available at the required level of GRI reporting detail. This is not in scope for short term development,,,,,,,,,,,,,,,,,,,,
82,,302-5 Reductions in energy requirements of products and services,,"part a, b, c",Information unavailable,No master data covering the Group available at the required level of GRI reporting detail. This is not in scope for short term development,,,,,,,,,,,,,,,,,,,,
83,Water and effluents,,,,,,,,,,,,,,,,,,,,,,,,,
84,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
85,GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,,"part a, b, c, d",Information incomplete,There is limited data currently available. Initiatives to install smart water metres in stores will assist in reporting consumption and efficiency in future reports. Further investigation is required to understand reporting capability on topics such as water withdrawal and discharges,,,,,,,,,,,,,,,,,,,,
86,,303-2 Management of water discharge-related impacts,,"part a i, ii, iii, iv",Information incomplete,,,,,,,,,,,,,,,,,,,,,
87,,303-3 Water withdrawal,,"part a, b, c, d",Information incomplete,,,,,,,,,,,,,,,,,,,,,
88,,303-4 Water discharge,,"part a, b, c, d, e",Information incomplete,,,,,,,,,,,,,,,,,,,,,
89,,303-5 Water consumption,,"part a, b, c, d",Information incomplete,,,,,,,,,,,,,,,,,,,,,
90,Biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,
91,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
92,GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,"part a i, ii, iii, iv, v, vi, vii",Information incomplete,Potentially in-scope for future work under the framework of Taskforce on Nature-related Financial Disclosures (TNFD),,,,,,,,,,,,,,,,,,,,
