Unnamed: 0,2023 GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
109,,306-3 Waste generated,"2023 Sustainability data pack - Waste\n\nFood waste to energy refers to scheme which can convert waste into processed engineered fuel which is used in South Australia to fire kilns in cement production.\n\nFood waste to charity diverts edible food into food rescue organisations which is distributed across Australia and New Zealand to those in need\n\nCardboard and plastic film have dedicated recycling streams\n\nOther waste represent smaller scale initiatives such as use of unsold bread in pet food, battery and mobile phone recycling\n\nResidual waste sent to landfill has a process of review throughout the year to check adherence to waste stream diversions and identify opportunities for further improvements",,,,,,,,,,,,,,,,,,,,,,,
110,,306-4 Waste diverted from disposal,2023 Sustainability data pack - Waste,"part b, c, d",Not applicable,Woolworths Group reports non-hazardous waste broken down into sub categories as reported in Sustainability metrics section. Hazardous waste is not generated by Woolworths Group.,,,,,,,,,,,,,,,,,,,,
111,,306-5 Waste directed to disposal,2023 Sustainability data pack - Waste,"part b, d",Not applicable,Woolworths Group reports non-hazardous waste broken down into sub categories as reported in Sustainability metrics section. Hazardous waste is not generated by Woolworths Group.,,,,,,,,,,,,,,,,,,,,
112,Supplier environmental assessment,,,,,,,,,,,,,,,,,,,,,,,,,
113,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
114,GRI 308: Supplier Environmental Assessment 2016,308-1 New suppliers that were screened using environmental criteria,"Our Supplier Management Framework sets out the requirements when engaging with third party suppliers. This includes screening all new suppliers to for key risks, including climate and human rights, are being appropriately assessed.",,,,,,,,,,,,,,,,,,,,,,,
115,,308-2 Negative environmental impacts in the supply chain and actions taken,"Woolworths Group has established grievance mechanisms in place whereby feedback, complaints and concerns can be raised. Action is taken to investigate and resolve any concerns on a case by case basis.",,,,,,,,,,,,,,,,,,,,,,,
116,Employment,,,,,,,,,,,,,,,,,,,,,,,,,
117,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
118,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,2023 Sustainability data pack - Workforce movements,,,,,,,,,,,,,,,,,,,,,,,
119,,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,"Flexible working including part-time is a feature of Woolworths Group. Benefits are available for both full and part time team members covering topics such as parental leave and stock ownership. Other topics such as insurance, health care and superannuation arrangements are generally managed by individuals. Temporary or casual team members are not eligible for these team benefits but are covered by regulatory related benefits such as superannuation",,,,,,,,,,,,,,,,,,,,,,,
120,,401-3 Parental leave,2023 Sustainability data pack - Workforce movements,,,,,,,,,,,,,,,,,,,,,,,
121,Labor/management relations,,,,,,,,,,,,,,,,,,,,,,,,,
122,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
123,GRI 402: Labor/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,There are a large number of awards and agreements across Woolworths Group. Most of our agreements make provisions for us to notify and consult with employees and the relevant union about the introduction of major changes,,,,,,,,,,,,,,,,,,,,,,,
124,Occupational health and safety,,,,,,,,,,,,,,,,,,,,,,,,,
125,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
126,GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,"The safety, health & wellbeing management system (SHWMS) covers retail operations, supply chain, warehousing, distribution, transportation and includes all our workplaces. The management system covers the activities undertaken by Woolworths. A Contractor Safety Risk Management Program forms part of the SHWMS and outlines requirements and performance monitoring of contractor activities.\n \nWoolworths employs both internal and external resources for the development, implementation. monitoring and continuous improvement of the safety, health & wellbeing management systems. The Director - Safety, Health & Wellbeing has overall responsibility for monitoring the effective implementation of the safety, health & wellbeing management system. Dedicated safety, health & wellbeing resources support Businesses with the development, implementation and maintenance of the BU specific SH&W management processes. Where required, external consultants are used to support internal resources, however overall responsibility and accountability rests with team members employed by Woolworths.\n \nOur assurance program ensures the continuing suitability and effectiveness of the health, safety & wellbeing system. Assurance activities include reviewing the design, implementation and governance of the system, and is undertaken with each business, involving both front line staff and senior management. Action plans to address improvement opportunities are monitored at a Group level.\n\nBusiness Units are enabled to establish their own safety, health and wellbeing governance arrangements, provided that those arrangements equal or exceed the performance requirements set out in our Safety, Health and Wellbeing Governance Framework.\n \n The Board is committed to laying a strong foundation for overseeing the effective management of safety, health and wellbeing throughout Woolworths. Management is accountable for maintaining a strong safety, health and wellbeing culture as well as the effective management of safety, health and wellbeing throughout Woolworths.",,,,,,,,,,,,,,,,,,,,,,,
127,,"403-2 Hazard identification, risk assessment, and incident investigation","The Woolworths Group Safety & Health Standards set the requirements for hazard identification and risk assessment for routine and non-routine activities; along with Incident management (including investigation). \n \nRisk management processes including hazard identification, risk assessments, workplace inspections and incident reporting which seek input and involvement from team members and contractors. Team members are also trained to identify, assess, control (where possible) and report hazards they observe. Hazards are assessed using the Woolworths Group enterprise risk matrix for health and safety to determine the risk (rating) they pose based on the potential consequence (severity of harm) and the likelihood that harm will occur. Risks are escalated to different levels of the organisation based on their rating.\n \nAs part of our annual strategy and planning cycle, Woolworths Group Safety, Health and Wellbeing completes a risk review of our operations to identify hazards, assess risks and identify where existing controls can be strengthened or new controls can be implemented by applying the hierarchy of controls. Hazard and incident data, risk assessments, safety investigations, changes in our operations, legislation, codes of practice, standards and industry knowledge are considered as part of the review. Outputs of the review are included within Woolworths Group Annual Strategic Plan (Strategy) along with Business Unit specific plans focused on risk management.\n\nWoolworths encourages team members, contractors and customers to report hazards and to stop work when they feel their safety is at risk. The Woolworths Code of Conduct includes our commitments to safety for our team and highlights that they must always, and have our full support to: always address hazards as they become aware of them, and immediately stop any job or task that they believe is unsafe. Team members have many ways in which they can report work-related hazards and hazardous situations. They include: \n - directly to their line manager \n - engagement of their Health and Safety Representative / Safety team member \n - using the Ã¢ÂÂPulseÃ¢ÂÂ hazard reporting program \n - through programmed hazard inspection activities \n - using the health and safety issue resolution process \n - anonymously through the Speak Up program \n\nBusiness units have issue resolution process, safety and health representation/safety team member and arrangements to assist where needed. This protects team members from reprisals. Regulators and team member representatives can be invited into the issue resolution process at any stage. \n \n The Group Speak Up process enables anonymous reporting preventing any possibility of reprisal against team members. \n\nThe Safety, Health and Wellbeing (SH&W) Management System includes a procedure to investigate SH&W incidents, with the level of investigation being guided based on the severity of the incident. Investigations on more significant incidents (Category 1 and 2 incidents) are required to identify the root cause and any contributing factors of work-related incidents (incorporating appropriate investigation methodologies) and implement and track the completion of corrective actions. \n \n Risk control measures in accordance with the hierarchy of controls and legal requirements are reviewed during the investigation process. Investigations: \n - are undertaken by competent team members in accordance with our procedure \n - identify the factor(s) that led to the injury, illness, incident or other system failure \n - review the identified hazards, assessed risks and effectiveness of the control measures \n - recommend appropriate control measures and corrective actions \n \nCorrective actions are determined in consultation with affected team members (including affected contractors and other persons), implemented in a timely manner, and assessed for their effectiveness. Incident, injury and illness data including investigation findings, hazards and risk assessments are captured in a safety incident management system. This data is reviewed regularly to identify any emerging trends and implement required improvement actions in the Safety and Health Management System. Incidents with high potential are reviewed at a Group level to ensure learnings and any group wide actions (where needed) are undertaken.",,,,,,,,,,,,,,,,,,,,,,,
128,,403-3 Occupational health services,"We provide various occupational health service functions to support the health, safety and wellbeing of our team members and contractors. We utilise the services of ergonomists, physiologists and physiotherapists, psychologists, and occupational health nurses, and other allied health specialists as required, to assist with identification and management of health and safety risks that may impact the health and wellbeing of our team members and contractors. The way these services are utilised varies by business, based on type of activities and risk exposures. Woolworths ensures the quality of the services by using independent occupational health service providers with recognised qualifications and accreditations. \n\nWhere applicable, team members are provided with time off their normal work tasks to consult with occupational health services such as for health assessment and treatment. We offer open access for our team members and contractors to confidential counselling and support services through our employee assistance program via Sonder.",,,,,,,,,,,,,,,,,,,,,,,
129,,"403-4 Worker participation, consultation, and communication on occupational health and safety","Team members, safety committees and team members representatives (Unions) are consulted on and participate in safety, health & wellbeing (SH&W) matters including the development, and evaluation of the Safety, Health & Wellbeing Management Systems. The requirements for communication and consultation in relation to SH&W matters are set out in the Group Safety & Health Standards. \n \nCommunication and consultation occurs through a number of forums, for example SH&W committees, team talks, internal communications, union communications, workplace inspections, audits, safety alerts, surveys and feedback forms. \n \nEach business has consultative arrangements. There are procedures agreed to by team members and management outlining their involvement and consultation in health and safety matters and issues. \n \n Some businesses have Health and Safety Representative (HSR) arrangements, and some have other consultative arrangements such as safety committees and store safety leads. \n \nThe HSR or safety committees/store safety leads and/or other team members participate in assessment and control of risks, health and safety training, workplace inspections and hazard identification, committee meetings, accident/incident investigations, development, implementation and review of procedures. \n \nThe consultation arrangements, including meeting frequency differs in each business. They range from monthly, bi-monthly to quarterly. \n \n All team members, including HSRÃ¢ÂÂs and safety committee members have the authority to stop work if they think a task or process is unsafe. HSRÃ¢ÂÂs have the additional authority to issue provisional improvement notices to the business.",,,,,,,,,,,,,,,,,,,,,,,
130,,403-5 Worker training on occupational health and safety,"Each business completes an analysis of the safety and health training or skills that each role requires to safely fulfil the responsibilities assigned to them and then builds a documented training plan which outlines areas such as legislative, formal, on the job and refresher training requirements. The plan is implemented so that team members are trained (as appropriate) to perform their work safely. \n \n Training is delivered using a variety of methods including classroom and on-the-job learning, simulators and online learning depending on the needs of the participant and the type of content being delivered. Training may cover areas such as hazard awareness, risk management, incident investigation, task and job related skills and safe operating procedures for equipment. Team members are provided time during their paid work day to complete required training. Required training is provided to team members free of charge. \n \n Training may be delivered by registered training organisations or in-house depending on the content, and is designed and delivered at a level suitable for team members. Competency assessment requirements are defined based on the risks involved and any relevant legislative or industry requirements. Training effectiveness is reviewed on a regular basis and considers any relevant incident history or new information about a risk.",,,,,,,,,,,,,,,,,,,,,,,
131,,403-6 Promotion of worker health,"Woolworths offers a range of services to team members to access to occupational medical and healthcare services such as physiotherapy services, access to onsite gym and wellness centres and psychological support and counselling services through the Sonder program, discounted health and insurance memberships. \n \n The Woolworths Wellbeing Portal is an internal online site that is available to all team members and provides support covering physical, mental, career and spiritual wellbeing. Other support services are provided including smoking cessation, addiction counselling, financial wellbeing programs, and other health programs.",,,,,,,,,,,,,,,,,,,,,,,
132,,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,"Woolworths has in place policies, standards and processes to address occupational safety, health & wellbeing risks posed by our business relationships including with suppliers and contract partners both locally and globally. \n \n Our Responsible Sourcing Policy details our commitment and expectations for suppliers whom we have a direct relationship with for goods and/or services we sell or use in our businesses. We require our suppliers to abide by our Responsible Sourcing Standards which includes comprehensive criteria on business integrity, labour rights, fair and safe working conditions and environmental compliance. The standards specifically call out requirements to prevent and mitigate significant negative occupational health and safety impacts, including but not limited to complying with relevant local laws and regulations. Where there is a gap between our requirements and standards and the local laws, rules and regulations, the more stringent requirements and standards apply. \n \n Our Woolworths Contractor Safety RIsk Management program manages contractors who undertake activities. Our Contractor Safety Risk Management program adopts a risk-based approach to categorise and manage contractors based on the work they perform on our sites. We pre-qualify contractors, based on risk, which may rquire self- assessment, requesting policies, procedures or records , desktop review or a formal audit. The program includes ongoing monitoring and assurance activities in field.",,,,,,,,,,,,,,,,,,,,,,,
133,,403-8 Workers covered by an occupational health and safety management system,"2023 Sustainability data pack - Safety\nReporting excludes workers that are not on core Woolworths Group payroll systems such as PFD Foods, MyDeal and Pet Culture",,,,,,,,,,,,,,,,,,,,,,,
134,,403-9 Work-related injuries,"2023 Sustainability data pack - Safety\nReporting excludes workers that are not on core Woolworths Group payroll systems such as PFD Foods, MyDeal and Pet Culture",,,,,,,,,,,,,,,,,,,,,,,
135,,403-10 Work-related ill health,"2023 Sustainability data pack - Safety\nReporting excludes workers that are not on core Woolworths Group payroll systems such as PFD Foods, MyDeal and Pet Culture",,,,,,,,,,,,,,,,,,,,,,,
136,Training and education,,,,,,,,,,,,,,,,,,,,,,,,,
137,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
138,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,,"part a i, ii",Information incomplete,All training is not captured in a central reporting system. While mandatory training is this would significantly understate training hours delivered/received,,,,,,,,,,,,,,,,,,,,
