    2023 GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,3-2 List of material topics,"2023 Sustainability Report pages 10 - 11
Material topics added in F23 include:
- Climate change
- Healthy, sustainable and affordable products
- Waste and circular economy
- Human rights
- Nature and biodiversity
- Sustainable and regenerative agriculture
- Customer privacy and data security
- Inclusion and diversity
- Corporate conduct
- Reconciliation
- Holistic wellbeing
- Engagement with customers on sustainability
- Future of work and emerging technologies
- Responsible retailing
All topics from F21 and F22 remain relevant but may have been incorporated in a different topic grouping.",,,,,,,,,,,,,,,,,,,,,,,
Economic performance,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,2023 Annual Report,,,,,,,,,,,,,,,,,,,,,,,
,201-2 Financial implications and other risks and opportunities due to climate change,2023 Annual Report,,,,,,,,,,,,,,,,,,,,,,,
,201-3 Defined benefit plan obligations and other retirement plans,2023 Annual Report,,,,,,,,,,,,,,,,,,,,,,,
,201-4 Financial assistance received from government,None identified,,,,,,,,,,,,,,,,,,,,,,,
Market presence,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 202: Market Presence 2016,202-1 Ratios of standard entry level wage by gender compared to local minimum wage,"Pay rates vary depending on the role, the state and the division. Most roles within Woolworths Limited are paid under the appropriate enterprise bargaining agreement or award",,,,,,,,,,,,,,,,,,,,,,,
,202-2 Proportion of senior management hired from the local community,,"part a, b, c, d",Information unavailable,Data is not held in people reporting systems,,,,,,,,,,,,,,,,,,,,
Indirect economic impacts,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,"Capital investments of physical infrastructure in nature such as stores and distribution centres are accounted for using standard accounting practices in the 2023 Annual Report.
Community investment and services are summarised with some examples in the 2022 Sustainability Report pages 26 – 27",,,,,,,,,,,,,,,,,,,,,,,
,203-2 Significant indirect economic impacts,,"part a, b",Information unavailable,Data is not held in reporting systems,,,,,,,,,,,,,,,,,,,,
Procurement practices,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,,"part a, b, c",confidentiality constraints,Some information is contained within the reporting suite and is commercially confidential at a Group level,,,,,,,,,,,,,,,,,,,,
Anti-corruption,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,"For operations within standard business across the Group, we conduct risk assessments, incident investigations where relevant, internal and external audits of financial data, among other processes. Operations within the supply chain are covered by a dedicated Human Rights team.",,,,,,,,,,,,,,,,,,,,,,,
,205-2 Communication and training about anti-corruption policies and procedures,"Our Code of Conduct, Fraud, Anti-Bribery and Corruption Policy and team member Speak Up Program is communicated to all team members through mandatory training. All policies are available on the team member intranet. The implementation of policy commitments is supported by our Culture and People team and People Services, dedicated teams that provide specialised advice to team members on human resources issues",,,,,,,,,,,,,,,,,,,,,,,
,205-3 Confirmed incidents of corruption and actions taken,"During FY23, there were a small number of instances where certain Woolworths team members were found to not have complied with Woolworths' Fraud, Anti-bribery and Corruption policy. These incidents were non-systemic and resolved with disciplinary action.",,,,,,,,,,,,,,,,,,,,,,,
Anti-competitive behavior,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 206: Anti-competitive Behavior 2016,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices","There was no legal action taken during the reporting period for anti-competitive behaviour, anti-trust or monopoly practices by Woolworths Group Limited or its employees.",,,,,,,,,,,,,,,,,,,,,,,
Tax,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 207: Tax 2019,207-1 Approach to tax,"2023 Annual Report
Tax Transparency Report - https://www.woolworthsgroup.com.au/page/investors/our-performance/reports/Reports/tax-transparency-reports/",,,,,,,,,,,,,,,,,,,,,,,
,"207-2 Tax governance, control, and risk management","2023 Annual Report
Tax Transparency Report - https://www.woolworthsgroup.com.au/page/investors/our-performance/reports/Reports/tax-transparency-reports/",,,,,,,,,,,,,,,,,,,,,,,
,207-3 Stakeholder engagement and management of concerns related to tax,"2023 Annual Report
Tax Transparency Report - https://www.woolworthsgroup.com.au/page/investors/our-performance/reports/Reports/tax-transparency-reports/",,,,,,,,,,,,,,,,,,,,,,,
,207-4 Country-by-country reporting,"2023 Annual Report
Tax Transparency Report - https://www.woolworthsgroup.com.au/page/investors/our-performance/reports/Reports/tax-transparency-reports/",,,,,,,,,,,,,,,,,,,,,,,
Materials,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 301: Materials 2016,301-1 Materials used by weight or volume,,"part a i, ii",Information unavailable,No master data covering the Group available at the required level of GRI reporting detail. This is not in scope for short term development,,,,,,,,,,,,,,,,,,,,
,301-2 Recycled input materials used,2023 Sustainability data pack - Sustainable own brand packaging,,,,,,,,,,,,,,,,,,,,,,,
,301-3 Reclaimed products and their packaging materials,,"part a, b",Information unavailable,,,,,,,,,,,,,,,,,,,,,
Energy,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 302: Energy 2016,302-1 Energy consumption within the organization,"2023 Total Energy usage is 9,495,239 GJ
1,809,376 GJ of which is from renewable sources
Woolworths Group report energy consumption within the organisation converted to tCO2e in compliance with the NGER Measurement Determination, NZ Ministry for the Environment - 2022 Emissions Measurement Guide and NGA emission factors.","part c i, ii, iii, iv
part d i, ii, iii, iv",Information unavailable,Energy consumption is reported at an aggregate level and not available at the GRI disclosure granular level,,,,,,,,,,,,,,,,,,,,
,302-2 Energy consumption outside of the organization,"2023 Sustainability data pack - Scope 3 emissions

Estimated scope 3 emissions footprint primarily based on emission factors extrapolated from goods and services sold to consumers","part a, b, c",Information unavailable,"Woolworths Group report energy consumption outside of the organisation converted to tCO2e aligned with NGER Measurement Determination, NZ Ministry for the Environment - 2022 Emissions Measurement Guide and NGA emission factors. The scope of the indicator includes energy consumed from third party logistics only and consequently do not report on other energy consumption indicators based on the nature of Woolworths Group principal activities and operations
Scope 3 estimates not made at a joule level using current processes. Methodology and conversion factors are specific to each category within scope 3 and are subject to further change as standards, data and processes mature",,,,,,,,,,,,,,,,,,,,
,302-3 Energy intensity,"2023 Sustainability data pack - Energy

Energy intensity of 2.39 is calculated based on total energy from Group operations divided by trading area",,,,,,,,,,,,,,,,,,,,,,,
,302-4 Reduction of energy consumption,"2023 Energy usage was 9,495,239 GJ

2022 Energy usage was 9,520,853 GJ

A year on year reduction of 25,614 GJ","part a, b, c, d",Information unavailable,No master data covering the Group available at the required level of GRI reporting detail. This is not in scope for short term development,,,,,,,,,,,,,,,,,,,,
,302-5 Reductions in energy requirements of products and services,,"part a, b, c",Information unavailable,No master data covering the Group available at the required level of GRI reporting detail. This is not in scope for short term development,,,,,,,,,,,,,,,,,,,,
Water and effluents,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,,"part a, b, c, d",Information incomplete,There is limited data currently available. Initiatives to install smart water metres in stores will assist in reporting consumption and efficiency in future reports. Further investigation is required to understand reporting capability on topics such as water withdrawal and discharges,,,,,,,,,,,,,,,,,,,,
,303-2 Management of water discharge-related impacts,,"part a i, ii, iii, iv",Information incomplete,,,,,,,,,,,,,,,,,,,,,
,303-3 Water withdrawal,,"part a, b, c, d",Information incomplete,,,,,,,,,,,,,,,,,,,,,
,303-4 Water discharge,,"part a, b, c, d, e",Information incomplete,,,,,,,,,,,,,,,,,,,,,
,303-5 Water consumption,,"part a, b, c, d",Information incomplete,,,,,,,,,,,,,,,,,,,,,
Biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,"part a i, ii, iii, iv, v, vi, vii",Information incomplete,Potentially in-scope for future work under the framework of Taskforce on Nature-related Financial Disclosures (TNFD),,,,,,,,,,,,,,,,,,,,
,"304-2 Significant impacts of activities, products and services on biodiversity",,"part a i, ii, iii, iv, v, vi
part b i, ii, iii, iv",Information incomplete,,,,,,,,,,,,,,,,,,,,,
,304-3 Habitats protected or restored,,"part a, b, c, d",Information incomplete,,,,,,,,,,,,,,,,,,,,,
,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,,"part a i, ii, iii, iv, v",Information incomplete,,,,,,,,,,,,,,,,,,,,,
Emissions,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,"2023 Sustainability data pack - Scope 1+2 emissions -  total scope 1 emissions were 482,624 tonnes

Gross direct scope 1 and 2 emissions are reported in the Sustainability data pack Scope 1+2 emissions section. In calculating Scope 1 emissions, CO2, CH4, HFC and N2O gases were included in the calculations. The calculation methodology and associated emission factors and global warming potentials are aligned with NGER Guidelines, NZ Ministry for the Environment - 2022 Emissions Measurement Guide and NGA emission factors. Refrigerant emissions were calculated using NGA emission factors and GWPs have been applied to supplier specific refrigerant blends. An operational control approach was adopted for calculating Scope 1 emissions.",part c,not applicable,Biogenic CO2 emissions have been deemed not applicable to the business due to nature of Woolworths Group principal activities and operations and the reporting of absolute scope 1 emissions.,,,,,,,,,,,,,,,,,,,,
,305-2 Energy indirect (Scope 2) GHG emissions,"2023 Sustainability data pack - total scope 2 emissions were 1,502,550 tonnes based on the location-based methodology and 1,458,957 tonnes based on the market-based methodology

Gross direct scope 1 and 2 emissions are reported in the Sustainability metrics section. In calculating Scope 2 emissions, CO2, CH4, HFC and N2O gases were included in the calculations. The calculation methodology and associated emission factors and global warming potentials are aligned with NGER Guidelines, NZ Ministry for the Environment - 2022 Emissions Measurement Guide and NGA emission factors. An operational control approach was adopted for calculating Scope 2 emissions.",,,,,,,,,,,,,,,,,,,,,,,
,305-3 Other indirect (Scope 3) GHG emissions,"2023 Sustainability data pack - Scope 3 emissions
2023 Annual Report pages 42 – 43
(a) Scope 3 emissions are estimated to be 29.7 million tonnes of CO2e
(b) emission factors and assumptions used in scope 3 estimates include all gases
(d) emission factors and assumptions used in scope 3 estimates include all categories
(e) F23 data is used for most category calculations, with appropriate adjustments to the year of factor calculations. 
(f) ~81% of scope 3 emissions are in category 1. The calculation methodology for category 1  uses the latest available at the time of reporting emission factors. There is a moderate degree of overlap with Woolworths Group scope 1 emissions. 
Purchased items by Woolworths Group and not for resale to consumers are excluded from category 1 calculated value, these are expected to be small but meaningful proportion of overall category 1 scope 3 emissions, and will be investigated further in future years
(g) guidance on calculation methodology used for each category and confidence level is provided with the Scope 3 table in the data pack",part c,Incomplete or Unavailable,"Scope 3 is based on aggregate estimates inclusive of all emission categories and not available at a granular level

Standards, methodologies, assumptions and calculations will be further refined as project work is undertaken with priority categories of scope 3 emissions",,,,,,,,,,,,,,,,,,,,
,305-4 GHG emissions intensity,2023 Sustainability data pack - Scope 1+2 emissions,,,,,,,,,,,,,,,,,,,,,,,
,305-5 Reduction of GHG emissions,2023 Sustainability data pack - Scope 1+2 emissions,,,,,,,,,,,,,,,,,,,,,,,
,305-6 Emissions of ozone-depleting substances (ODS),,"part a, b, c, d",not applicable,Not identified within Woolworths Group,,,,,,,,,,,,,,,,,,,,
,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",Emission sources are not itemised,"part a i, ii, iii, iv, v, vi, vii",not applicable,No significant amounts of these emissions within Group operations,,,,,,,,,,,,,,,,,,,,
Waste,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,,"part a i, ii",Information incomplete,Available data is shown in the sustainability report. Waste management is an outsourced contract and GRI disclosure level reporting is out of scope for standard reports received by the Group,,,,,,,,,,,,,,,,,,,,
,306-2 Management of significant waste-related impacts,,"part a, b, c",Information incomplete,Available data is shown in the sustainability report. Waste management is an outsourced contract and GRI disclosure level reporting is out of scope for standard reports received by the Group,,,,,,,,,,,,,,,,,,,,
,306-3 Waste generated,"2023 Sustainability data pack - Waste

Food waste to energy refers to scheme which can convert waste into processed engineered fuel which is used in South Australia to fire kilns in cement production.

Food waste to charity diverts edible food into food rescue organisations which is distributed across Australia and New Zealand to those in need

Cardboard and plastic film have dedicated recycling streams

Other waste represent smaller scale initiatives such as use of unsold bread in pet food, battery and mobile phone recycling

Residual waste sent to landfill has a process of review throughout the year to check adherence to waste stream diversions and identify opportunities for further improvements",,,,,,,,,,,,,,,,,,,,,,,
,306-4 Waste diverted from disposal,2023 Sustainability data pack - Waste,"part b, c, d",Not applicable,Woolworths Group reports non-hazardous waste broken down into sub categories as reported in Sustainability metrics section. Hazardous waste is not generated by Woolworths Group.,,,,,,,,,,,,,,,,,,,,
,306-5 Waste directed to disposal,2023 Sustainability data pack - Waste,"part b, d",Not applicable,Woolworths Group reports non-hazardous waste broken down into sub categories as reported in Sustainability metrics section. Hazardous waste is not generated by Woolworths Group.,,,,,,,,,,,,,,,,,,,,
Supplier environmental assessment,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 308: Supplier Environmental Assessment 2016,308-1 New suppliers that were screened using environmental criteria,"Our Supplier Management Framework sets out the requirements when engaging with third party suppliers. This includes screening all new suppliers to for key risks, including climate and human rights, are being appropriately assessed.",,,,,,,,,,,,,,,,,,,,,,,
,308-2 Negative environmental impacts in the supply chain and actions taken,"Woolworths Group has established grievance mechanisms in place whereby feedback, complaints and concerns can be raised. Action is taken to investigate and resolve any concerns on a case by case basis.",,,,,,,,,,,,,,,,,,,,,,,
Employment,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 401: Employment 2016,401-1 New employee hires and employee turnover,2023 Sustainability data pack - Workforce movements,,,,,,,,,,,,,,,,,,,,,,,
,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,"Flexible working including part-time is a feature of Woolworths Group. Benefits are available for both full and part time team members covering topics such as parental leave and stock ownership. Other topics such as insurance, health care and superannuation arrangements are generally managed by individuals. Temporary or casual team members are not eligible for these team benefits but are covered by regulatory related benefits such as superannuation",,,,,,,,,,,,,,,,,,,,,,,
,401-3 Parental leave,2023 Sustainability data pack - Workforce movements,,,,,,,,,,,,,,,,,,,,,,,
Labor/management relations,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 402: Labor/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,There are a large number of awards and agreements across Woolworths Group. Most of our agreements make provisions for us to notify and consult with employees and the relevant union about the introduction of major changes,,,,,,,,,,,,,,,,,,,,,,,
Occupational health and safety,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 – 13,,,,,,,,,,,,,,,,,,,,,,,
GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,"The safety, health & wellbeing management system (SHWMS) covers retail operations, supply chain, warehousing, distribution, transportation and includes all our workplaces. The management system covers the activities undertaken by Woolworths. A Contractor Safety Risk Management Program forms part of the SHWMS and outlines requirements and performance monitoring of contractor activities.
 
Woolworths employs both internal and external resources for the development, implementation. monitoring and continuous improvement of the safety, health & wellbeing management systems. The Director - Safety, Health & Wellbeing has overall responsibility for monitoring the effective implementation of the safety, health & wellbeing management system. Dedicated safety, health & wellbeing resources support Businesses with the development, implementation and maintenance of the BU specific SH&W management processes. Where required, external consultants are used to support internal resources, however overall responsibility and accountability rests with team members employed by Woolworths.
 
Our assurance program ensures the continuing suitability and effectiveness of the health, safety & wellbeing system. Assurance activities include reviewing the design, implementation and governance of the system, and is undertaken with each business, involving both front line staff and senior management. Action plans to address improvement opportunities are monitored at a Group level.

Business Units are enabled to establish their own safety, health and wellbeing governance arrangements, provided that those arrangements equal or exceed the performance requirements set out in our Safety, Health and Wellbeing Governance Framework.
 
 The Board is committed to laying a strong foundation for overseeing the effective management of safety, health and wellbeing throughout Woolworths. Management is accountable for maintaining a strong safety, health and wellbeing culture as well as the effective management of safety, health and wellbeing throughout Woolworths.",,,,,,,,,,,,,,,,,,,,,,,
