Unnamed: 0,2023 GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
29,,2-23 Policy commitments,Policy Commitments are contained across several key artefacts including:\n2025 Sustainability Plan\n2023 Modern Slavery Statement\n2023 Sustainability Report\n2023 Corporate Governance Statement,part a iii,Not applicable,"Woolworths Group does not make a specific statement on precautionary principles, but commitments to addressing climate change and deforestation are applicable.",,,,,,,,,,,,,,,,,,,,
30,,2-24 Embedding policy commitments,Policy Commitments implementation as well as progress and status is updated annually across our key reports:\n2023 Modern Slavery Statement\n2023 Sustainability Report\n2023 Corporate Governance Statement,,,,,,,,,,,,,,,,,,,,,,,
31,,2-25 Processes to remediate negative impacts,"Grievance and remediation mechanisms are outlined in the Woolworths Group Responsible Sourcing Grievance Process Woolworths Group is also a signatory to the United Nations Global Compact highlighting our commitment to the core values of human rights, labour standards, protecting the environment and anti-corruption\nWoolworths Group has an ethics reporting service (Speak Up) as well as a whistleblowing process, and actively encourages current and former team members, suppliers and their families to report wrongdoing and breaches of the law.",,,,,,,,,,,,,,,,,,,,,,,
32,,2-26 Mechanisms for seeking advice and raising concerns,"Team Members\nOur team is a top priority at Woolworths Group. This is why we strive to create a supportive environment that ensures everyone can feel valued, respected and have the opportunity to thrive. \nAs part of this commitment, our Team Member Speak Up service offers an independent avenue (external to Woolworths Group) where matters can be raised confidentially if team members ever feel that a concern canÃ¢ÂÂt be dealt with internally. \nTeam Member Speak Up Policy \n\nSuppliers\nAt Woolworths, we are committed to open and positive relationships with all of our suppliers. \nWe recognise, however, that a situation may arise where a supplier feels an important concern canÃ¢ÂÂt be dealt with directly with us, and where the supplier would prefer to use an independent and confidential avenue for raising the concern. We have created the Supplier Speak Up Service for this purpose.\nSuppliers (or their workers) can contact Supplier Speak Up online or by the toll-free numbers. If required, interpreters are available in other languages.\n\nSupplier Speak Up Policy",,,,,,,,,,,,,,,,,,,,,,,
33,,2-27 Compliance with laws and regulations,"Over the reporting period, we identified non compliances with specific provisions of Australian enterprise agreements. Proceedings against Woolworths Group commenced by FWO in F21 remain in progress. A small number of other, lower materiality non-compliances were identified in the reporting period, and resolved independently or are the subject of ongoing engagement with the relevant regulator.",,,,,,,,,,,,,,,,,,,,,,,
34,,2-28 Membership associations,2023 Sustainablity data pack - Industry associations,,,,,,,,,,,,,,,,,,,,,,,
35,,2-29 Approach to stakeholder engagement,2023 Sustainability Report pg 10 - 11,,,,,,,,,,,,,,,,,,,,,,,
36,,2-30 Collective bargaining agreements,2023 Sustainablity data pack - Diversity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,
37,Material topics,,,,,,,,,,,,,,,,,,,,,,,,,
38,GRI 3: Material Topics 2021,3-1 Process to determine material topics,"Woolworths Group regularly reviews the most material environmental, social and governance issues affecting our business. This is done in collaboration with our key stakeholders, customers and team by listening to their concerns and issues. Through understanding the interests and expectations of our stakeholders and what matters to them, we identify and prioritise issues that have the highest priority to both our stakeholders and to the business.\n\nOur materiality assessments were revised in F22, building on previous work. This process was undertaken using the following steps:\n- Review of existing material matters and identified risks\n- Desktop review using resources such as industry frameworks, peer sustainability disclosures, traditional and social media analysis\n- A review of global megatrends evaluating longer term and potentially disruptive trends\n- Interviews with key internal and external stakeholders\n- Consideration of a lens of earthÃ¢ÂÂs Planetary Boundaries as defined by the Stockholm Resilience Centre (Ã¢ÂÂSRCÃ¢ÂÂ)\n- Management and Board level reviews.\n\nA further review was undertaken in F23 as part of our annual strategy cycle",A gray cell indicates that reasons for omission are not permitted for the disclosure or that a GRI Sector Standard reference number is not available.,,,,,,,,,,,,,,,,,,,,,,
39,,3-2 List of material topics,"2023 Sustainability Report pages 10 - 11\nMaterial topics added in F23 include:\n- Climate change\n- Healthy, sustainable and affordable products\n- Waste and circular economy\n- Human rights\n- Nature and biodiversity\n- Sustainable and regenerative agriculture\n- Customer privacy and data security\n- Inclusion and diversity\n- Corporate conduct\n- Reconciliation\n- Holistic wellbeing\n- Engagement with customers on sustainability\n- Future of work and emerging technologies\n- Responsible retailing\nAll topics from F21 and F22 remain relevant but may have been incorporated in a different topic grouping.",,,,,,,,,,,,,,,,,,,,,,,
40,Economic performance,,,,,,,,,,,,,,,,,,,,,,,,,
41,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
42,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,2023 Annual Report,,,,,,,,,,,,,,,,,,,,,,,
43,,201-2 Financial implications and other risks and opportunities due to climate change,2023 Annual Report,,,,,,,,,,,,,,,,,,,,,,,
44,,201-3 Defined benefit plan obligations and other retirement plans,2023 Annual Report,,,,,,,,,,,,,,,,,,,,,,,
45,,201-4 Financial assistance received from government,None identified,,,,,,,,,,,,,,,,,,,,,,,
46,Market presence,,,,,,,,,,,,,,,,,,,,,,,,,
