Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
165,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,,Fire Safety Training,,Lynas Rare Earth,2023.0,"Fire safety training is a comprehensive program to educate individuals on preventing, responding to, and managing fire-related emergencies. The primary goal of fire safety training is to enhance awareness, promote preparedness, and mitigate risks associated with fires.",,,4,,,,"HSE, fire, training",3.4,S,,,,,,,,,,,,,,,
166,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
167,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
168,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
169,,403.0,Occupational Health and Safety,403-09,Work-related injuries,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
170,,403.0,Occupational Health and Safety,403-10,Work-related ill health,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
171,,404.0,Training and Education,404-01,Average hours of training per year per employee,Lynas employees received approximately 34 hours of training per employee in FY23.,,,,Lynas Rare Earth,2023.0,,,,4,19,,,,,,,,,,,,,,,,,,,,
172,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Formal Talent Management,,,Lynas Rare Earth,2023.0,"Lynas has a formal talent management process that includes mentoring succession planning and initiatives focused on skills development. Lynas employees participate in annual performance reviews, and each respective department manager works with their team members on development opportunities, with support from the People and Culture team.",,,4,19,,,"Training, talent, upgrading",4,"S, G",,,,,,,,,,,,,,,
173,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Executive mentoring programs,,,Lynas Rare Earth,2023.0,Executive mentoring programs are commonly implemented in various organizations to support executives' professional development and growth.,,,4,19,,,"Training, mentoring, executive",4,"S, G",,,,,,,,,,,,,,,
174,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Career advancement programs,,,Lynas Rare Earth,2023.0,Career advancement programs to develop skills and experience that prepare employees for senior management. Training and development opportunities are provided to 100% of Lynas Rare Earths employees in Malaysia and Western Australia.,,,4,19,,,"Training, career, advancement",4,"S, G",,,,,,,,,,,,,,,
175,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,Training and development opportunities are provided to 100% of Lynas Rare Earths employees in Malaysia and Western Australia.,,,,Lynas Rare Earth,2023.0,,,,4,19,,,,,,,,,,,,,,,,,,,,
176,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,Lynas senior executive gender diversity is at 43%.,,,,Lynas Rare Earth,2023.0,,,,4,8,,,,,,,,,,,,,,,,,,,,
177,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
178,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
179,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
180,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
181,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
182,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
183,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
184,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
