Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
124,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Social and Cultural Heritage Management Plan,,,Lynas Rare Earth,2023.0,Lynas signed a Social and Cultural Heritage Management Plan (SCHMP) in consultation with the Nyalpa Pirniku group in FY23. The SCHMP will ensure future best-practice management of cultural heritage sites across the expansion area and minimize risks to heritage sites.,,,3,28,,,"Biodiversity, heritage, cultural",12,"E, S",,,,,,,,,,,,,,,
125,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Reconciliation Action Plan,,,Lynas Rare Earth,2023.0,Reconciliation endorsed Lynas' first Reconciliation Action Plan (RAP) Australia in April 2023. The Reconciliation Action Plan (RAP) is the first stage of Lynas's reconciliation journey in Australia.,,,3,29,,,"Biodiversity, reconciliation, RAP",111213,E,,,,,,,,,,,,,,,
126,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Kalgoorlie Environmental Reporting,,,Lynas Rare Earth,2023.0,"During the year, the Kalgoorlie Rare Earths Processing Facility's first Compliance Assessment Report (CAR) was submitted from February 2022 to January 2023 to the Department of Water and Environment Regulation (DWER). The CAR provides an update on activities taken during the reporting period, including environmental monitoring and rehabilitation activities to minimize impacts on visual amenities.\t",,,3,29,,,"Biodiversity, environmental, Kalgoorlie",111213,E,,,,,,,,,,,,,,,
127,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Kalgoorlie Rehabilitation and Closure Plan,,,Lynas Rare Earth,2023.0,"During the year, several seeding trials were completed on our Kalgoorlie site and old tracks were rehabilitated within the buffer area. We plan two irrigation areas to plant our first seedlings growing at the Kalgoorlie-Boulder Urban Landcare Group (KBULG) nursery.",,,3,29,,,"Biodiversity, rehabilitation, kalgoorlie",111213,E,,,,,,,,,,,,,,,
128,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Environmental Radiological Monitoring Program,,,Lynas Rare Earth,2023.0,"The Environmental Radiological Monitoring Program is crucial to ensure compliance with regulations, protect the environment, and address concerns related to radiological safety. The Environmental Radiological Monitoring Program covers 1 km, 5 km, 10 km and 20 km from the Lynas Malaysia plant.",,,3,30,,,"Biodiversity, radiological, ERMP",111213,E,,,,,,,,,,,,,,,
129,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Environmental Management Plan,,,Lynas Rare Earth,2023.0,"Lynas Rare Earth intends to manage and mitigate its environmental impact. The plan typically includes strategies, measures, and procedures to ensure compliance with environmental regulations, promote Sustainability, and minimize adverse environmental effects.",,,3,30,,,"Biodiversity, environmental, respectively",111213,E,,,,,,,,,,,,,,,
130,,304.0,Biodiversity,304-03,Habitats protected or restored,,Pastoral Land,,,Lynas Rare Earth,2023.0,Lynas anticipates that most of the Project's post-mining land use will be 'Pastoral Land'. Lynas committed to rehabilitating all disturbed areas to the agreed final land use(s). The proposed post-mining land use has been discussed with key stakeholders throughout the life of the Project.,,,3,28,,,"Biodiversity, pastoral, land",111216,"E,S",,,,,,,,,,,,,,,
131,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,Vegetation Assessment,,,Lynas Rare Earth,2023.0,"A vegetation assessment for Lynas Rare Earth should involve the evaluation of plant species, biodiversity, and the overall health of vegetation in and around its facilities. This assessment is essential for understanding the environmental impact of operations and implementing effective conservation measures.",,,3,27,,,"Biodiversity, vegetation, assessment",111213,E,,,,,,,,,,,,,,,
132,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,Groundwater analysis\t,,,Lynas Rare Earth,2023.0,"Conducting a groundwater analysis is crucial for assessing the quality and potential impacts of Lynas Rare Earth's operations on local groundwater resources. Lynas Rare Earth can establish regulatory requirements, protect groundwater resources, and contribute to responsible and sustainable mining practices.",,,3,27,,,"Biodiversity, groundwater, quality",11.12,E,,,,,,,,,,,,,,,
133,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,"In FY23, the total direct GHG emissions were 84,238 tonnes of CO2-e.",,,,Lynas Rare Earth,2023.0,,,,4,25,,,,,,,,,,,,,,,,,,,,
134,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"In FY23, The total indirect GHG emissions is 45,580 tonnes of CO2-e.",,,,Lynas Rare Earth,2023.0,,,,4,25,,,,,,,,,,,,,,,,,,,,
135,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
136,,305.0,Emissions,305-04,GHG emissions intensity,"Lynas conducts Life Cycle Assessments for our products, and we have calculated an emission average of 30kg CO2-eq per kg of REO from our internal LCA on a 2019 basis.",,,,Lynas Rare Earth,2023.0,,,,4,26,,,,,,,,,,,,,,,,,,,,
137,,305.0,Emissions,305-05,Reduction of GHG emissions,,Scenario analysis,,,Lynas Rare Earth,2023.0,"In FY23, scenario analysis was undertaken to identify and assess exposure to climate-related physical risks and opportunities to increase resilience. The analysis was conducted by F.M. Global and included engineering data from site visits and climate change insights and data.",,,4,26,,,"Emission, scenario, reduction",13,E,,,,,,,,,,,,,,,
138,,305.0,Emissions,305-05,Reduction of GHG emissions,,Life Cycle Assessment,,,Lynas Rare Earth,2023.0,"In the ESG Report, Lynas released the results of the Life Cycle Assessment for permanent magnet motors used in water pumps, conducted in conjunction with value chain partners. It assessed the manufacturing data from two electric motor pumps: an induction motor using a copper coil for an electromagnet and a permanent magnet motor using neodymium-iron-boron magnets.",,,4,26,,,"Emission, assessment, LCA",13,E,,,,,,,,,,,,,,,
139,,305.0,Emissions,305-05,Reduction of GHG emissions,,Permanent magnet motor pump,,,Lynas Rare Earth,2023.0,"The pump manufacturing from rare earth permanent magnets was shown to have 50% lower carbon dioxide equivalent emissions over 10 years, producing 75% lower carbon dioxide equivalent emissions. In addition, the permanent magnet motor pump was 50% lighter than the induction motor pump.\t",,,4,26,,,"Emission, permanent magnet, pump",13,E,,,,,,,,,,,,,,,
140,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
141,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
142,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
143,,306.0,Waste,306-02,Management of significant waste-related impacts,,Industrial by-products priority,,,Lynas Rare Earth,2023.0,"In line with the circular economy, Lynas' approach to our industrial by-products prioritizes initiatives to reduce, reuse, and recycle and only implement safe long-term storage/disposal. The prioritization of industrial by-products can vary depending on various factors, including environmental impact, economic value, and regulatory considerations.",,,4,32,,,"Waste, product, prioritises",8.12,"E, S",,,,,,,,,,,,,,,
144,,306.0,Waste,306-02,Management of significant waste-related impacts,,Waste management,,,Lynas Rare Earth,2023.0,Waste management involves numerous systems to control waste management processes and identify the most appropriate disposal methods as a last resort. All waste materials are stored and disposed of safely and environmentally responsible.,,,4,32,,,"Waste, management, environmental",12,E,,,,,,,,,,,,,,,
145,,306.0,Waste,306-02,Management of significant waste-related impacts,,Waste tracking network,,,Lynas Rare Earth,2023.0,"At Mt Weld and Kalgoorlie, all Controlled Waste is traceable via the Department of Water and Environment Regulation (DWER) waste tracking network. A waste tracking network is a system or infrastructure that monitors, records and manages waste materials throughout their lifecycle.",,,4,32,,,"Waste, tracking, network",12,E,,,,,,,,,,,,,,,
146,,306.0,Waste,306-03,Waste generated,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
147,,306.0,Waste,306-04,Waste diverted from disposal,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
