Unnamed: 0,Unnamed: 0.1,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
127,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,401.0,Employment,401-01,New employee hires and employee turnover,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,401.0,Employment,401-03,Parental leave,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Major Hazard Management,,,Orica,2023.0,"The focus of Major Hazard Management would be on preventing and mitigating incidents that could lead to significant environmental impact, including the improper handling or disposal of waste materials. By implementing robust hazard management practices, Orica aims to safeguard the environment, reduce the risk of waste-related incidents, and ensure the responsible handling of hazardous materials.",,,3,,8,,"Major Hazard Management, MHM, SICR",3,S,,,,,,,,,,,,,,,,
133,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Five-year SHES strategic plan,,,Orica,2023.0,"The SHES plan includes specific targets, metrics, and action plans for waste minimisation, covering resource efficiency, recycling programs, and responsible waste management practices. By incorporating waste reduction strategies within the broader SHES framework, Orica demonstrates a holistic and integrated approach to ensuring a safe and sustainable working environment.",,,3,,81,,"Five-year SHES strategic plan, Safety and Sustainability Committee, HSE",3,S,,,,,,,,,,,,,,,,
134,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Key Control Performance Statement,,,Orica,2023.0,"The Key Control Performance Statement may detail specific control measures, protocols, and performance indicators related to waste reduction. It is a transparent communication tool, providing stakeholders with insights into Orica's commitment to minimising waste, maintaining compliance with environmental regulations, and continuously improving its waste management practices.",,,3,,38,,"Key Control Performance Statement, KCPS, Dust Suppression",3,S,,,,,,,,,,,,,,,,
135,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Manager Key Control Verification,,,Orica,2023.0,"A ""Manager Key Control Verification"" is a position within Orica responsible for overseeing and validating the effectiveness of critical controls implemented to manage and minimise waste. This role may involve ensuring the company's waste management protocols, environmental controls, and regulatory compliance measures are robust and aligned with its sustainability goals.",,,3,,38,,"Manager Key Control Verification, mKCV, safe and responsible business",3,S,,,,,,,,,,,,,,,,
136,,403.0,Occupational Health and Safety,403-03,Occupational health services,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,,NextGen program,,Orica,2023.0,"Orica's NextGen program goes beyond traditional leadership training, providing frontline leaders with a nuanced understanding of the psychological drivers of behaviour. This innovative program empowers leaders by equipping them with insights into the factors that influence how individuals think and behave within a team dynamic.",,,,,38,,"NextGen program, Safety Leadership in Action, safety-critical behaviour",3,S,,,,,,,,,,,,,,,,
140,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,Global Mental Health Strategy,,Orica,2023.0,"A Global Mental Health Strategy typically involves an organisation's comprehensive plan to address mental health and well-being across its workforce. Such a strategy includes initiatives to promote mental health awareness, provide resources and support for employees, reduce stigma, and establish a supportive work environment.",,,,,39,,"Global Mental Health Strategy, safety and wellbeing priorities, Mental and physical health",3,S,,,,,,,,,,,,,,,,
142,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,Psychosocial risk assessment,,Orica,2023.0,"A Psychosocial Risk Assessment is a systematic process organisations use to identify and evaluate factors within the work environment that may impact employees' psychological well-being. This assessment typically considers workload, job control, support systems, and organisational culture that may contribute to stress or affect mental health.",,,,,39,,"Psychosocial risk assessment, Mental and physical health, psychological distress",3,S,,,,,,,,,,,,,,,,
143,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,Organisational desktop review,,Orica,2023.0,"This holistic approach demonstrates Orica's commitment to evidence-based decision-making and underscores the company's dedication to fostering a work environment prioritising mental health. By identifying and understanding these psychosocial factors, Orica is well-positioned to implement targeted strategies that enhance the overall well-being of its workforce, creating a supportive and resilient workplace culture.",,,,,39,,"Organisational desktop review, survey-based assessment, workplace psychosocial factors \n",3,S,,,,,,,,,,,,,,,,
144,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,Health systems and processes,,Orica,2023.0,"Orica's Health Systems and Processes constitute a structured framework aimed at managing and enhancing the health and well-being of its workforce. These comprehensive systems likely encompass a range of initiatives, including occupational health and safety protocols, wellness programs, medical surveillance, and health-related training.",,,,,39,,"Health systems and processes, physical and mental health, mental wellbeing",3,S,,,,,,,,,,,,,,,,
145,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,Fitness for Work,,Orica,2023.0,Orica's Fitness for Work program represents a systematic and proactive approach to ensuring that employees are physically and mentally fit to perform their roles safely and effectively. This initiative likely includes comprehensive assessments and protocols designed to evaluate and maintain the health and fitness of the workforce.,,,,,,,"Fitness for Work, enhance the physical, mental wellbeing",3,S,,,,,,,,,,,,,,,,
146,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,403.0,Occupational Health and Safety,403-09,Work-related injuries,"In FY2023, no life-changing severe injuries were recorded. Our Serious Life-Changing Injury Rate (SLCIR) per 200,000 hours worked was 0.000 against a target of under 0.011.",,,,Orica,2023.0,,,,3,,37-39,,,,,,,,,,,,,,,,,,,,
149,,403.0,Occupational Health and Safety,403-10,Work-related ill health,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,404.0,Training and Education,404-01,Average hours of training per year per employee,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,,Training and leadership programs,,Orica,2023.0,Orica's Training and Leadership Programs are comprehensive initiatives designed to develop and empower its workforce. These programs likely incorporate a structured curriculum that enhances technical skills and leadership capabilities. Orica's commitment to employee growth is evident in its investment in training initiatives that align with industry standards and best practices.,,,,,58,,"Training and leadership programs, skills and expertise, people and capabilities",4,S,,,,,,,,,,,,,,,,
153,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,,bravO,,Orica,2023.0,"bravO, Orica's global recognition program, stands as a testament to the company's commitment to acknowledging and celebrating the exceptional contributions of its employees worldwide. This program fosters a culture of appreciation and recognition, encouraging a positive and supportive work environment.",,,,,58,,"bravO, global recognition program, 45 countries",4,S,,,,,,,,,,,,,,,,
154,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,,Ambassador Program,,Orica,2023.0,"Orica's Ambassador Program is a strategic initiative designed to empower and engage employees as ambassadors of the company's values, culture, and goals. This program likely involves selecting individuals within the organisation to serve as representatives who embody and advocate for Orica's mission.",,,,,59,,"Ambassador Program, future shaper, point of differentiation",4,S,,,,,,,,,,,,,,,,
155,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,,Employee Value Proposition,,Orica,2023.0,"Orica's Employee Value Proposition (EVP) encapsulates the unique set of benefits and values the company offers its employees. This proposition goes beyond traditional compensation and benefits, encompassing the overall experience and opportunities that Orica provides its workforce.",,,,,59,,"Employee Value Proposition, future shaper, external talent market",4,S,,,,,,,,,,,,,,,,
