Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
12,,,Argyle - Alluvials TSF ATD 4,Australia,"-16.66245, 128.44775",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1994,Yes,N/A (single embankment),13,3900000,3900000,44256,Yes,Low,GISTM,No,Both,No:\nClosed facility.,Yes and Yes,Yes,,,
13,,,Argyle - Alluvials TSF ATD 5,Australia,"-16.65494, 128.47623",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1995,Yes,N/A (single embankment),18,7000000,7000000,44256,Yes,Low,GISTM,No,Both,No:\nClosed facility.,Yes and Yes,Yes,,,
14,,,Bell Bay Smelter - RMD,Australia,"-41.12433, 146.87984",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1955,No:\nThe Red Mud Dam was opened in 1955 and has been inactive since 1972. Due to its age the original design documentation is not available. Further assessment will be carried out in 2023.,N/A (single embankment),6,670000,670000,44774,No:\nThe Red Mud Dam was opened in 1955 and has been inactive since 1972. Due to its age the original design documentation is not available. Further assessment will be carried out in 2023.,High,GISTM,No,Both,Yes - February 2021,Yes and Yes,Yes,,,
15,,,Boron - Boric Acid Pond 1,USA,"35.04487, -117.72714",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1998,Yes,Downstream,7.9,937446,937446,44348,Yes,Significant,GISTM,No,Both,Yes - July 2023,Yes and Yes,Yes,National Hazard categorisation: Group A and B Mining Waste.,,
16,,,Boron - Boric Acid Pond 2,USA,"35.04619, -117.73288",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1998,Yes,Downstream,9.4,937451,937451,44348,Yes,Significant,GISTM,No,Both,Yes - July 2023,Yes and Yes,Yes,National Hazard categorisation: Group A and B Mining Waste.,,
17,,,Boron - Boric Acid Pond 3,USA,"35.04519, -117.73544",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1998,Yes,Downstream,10.1,974451,974451,44348,Yes,Significant,GISTM,No,Both,Yes - July 2023,Yes and Yes,Yes,National Hazard categorisation: Group A and B Mining Waste.,,
18,,,Boron - Boric Acid Pond 4,USA,"35.04856, -117.73584",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2004,Yes,Downstream,8.1,974451,974451,44348,Yes,Significant,GISTM,No,Both,Yes - July 2023,Yes and Yes,Yes,National Hazard categorisation: Group A and B Mining Waste.,,
19,,,Boron - Boric Acid Pond 5,USA,"35.05230, -117.73629",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2006,Yes,Downstream,10.3,1356830,1356830,44348,Yes,High,GISTM,No,Both,Yes - July 2023,Yes and Yes,Yes,National Hazard categorisation: Group A and B Mining Waste.,,
20,,,Boron - Boric Acid Pond 6,USA,"35.05326, -117.73128",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,2012,Yes,N/A (single embankment),14.9,99626,99626,44348,Yes,Significant,GISTM,No,Both,Yes - July 2023,Yes and Yes,Yes,National Hazard categorisation: Group A and B Mining Waste.,,
21,,,Boron - Boric Acid Pond 7A,USA,"35.05634, -117.73608",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2019,Yes,N/A (single embankment),6.1,522656,643918,44348,Yes,High,GISTM,No,Both,Yes - July 2023,Yes and Yes,Yes,National Hazard categorisation: Group A and B Mining Waste.,,
22,,,Boron - Boric Acid Pond 7B,USA,"35.05655, -117.73189",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2019,Yes,N/A (single embankment),6.1,522656,643918,44348,Yes,Significant,GISTM,No,Both,Yes - July 2023,Yes and Yes,Yes,National Hazard categorisation: Group A and B Mining Waste.,,
