Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
78,,,,,,,,,,,Business Integrity Standard,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,Management System standard,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,Contractor Privacy Statement,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,Transparency Statement,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,Supplier Code of Conduct,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,Communities and Social Performance Standard,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,Why gender matters,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,Why cultural heritage matters,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,Why agreements matter,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,Why Human Rights Matter,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,myVoice Procedure,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,Data Privacy Standard,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,Customer Privacy Statement,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,Voluntary Principles on Security and Human Rights,,,,,,,,,,,,,,,,,,,,,,
92,,PRINCIPLE 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,Integrate sustainable development in corporate strategy and decision-making processes.,,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,Risk Policy and Standard,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,Supplier Code of Conduct,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,Human Rights Policy,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,Inclusion and Diversity Policy,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,Communities and Social Performance Standard,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,myVoice Procedure,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,Why agreements matter,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,Why Human Rights Matter,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,Why cultural heritage matters,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,Modern Slavery Statement,,,,,,,,,,,,,,,,,,,,,,
