Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,"5.2 Provide workers with training in accordance with their responsibilities for health and safety, and implement health surveillance and risk-based monitoring programs based on occupational exposures.",◑,◑,◑,◑,◑,◑,◑,◑,◑,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,"Rio Tinto has standards, guidelines and operating procedures in place to manage health and safety and implement health surveillance and risk-based monitoring. 

RTIO assets reported ""partially meets"" as opportunities for improvement were identified including  health surveillance compliance rates and compliance to assigned learning requirements."
,"PRINCIPLE 6: Pursue continual improvement in environmental performance issues, such as water stewardship, energy use and climate change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"6.1 Plan and design for closure in consultation with relevant authorities and stakeholders, implement measures to address closure-related environmental and social aspects, and make financial provision to enable agreed closure and post-closure commitments to be realised.",l,l,l,l,l,l,l,l,l,l,l,◑,V,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,"Opportunities were identified at QMM to integrate the stakeholder engagement process during the asset closure study design and update. 

Suzhou reported ""not applicable"". Due to the nature of the operations, closure processes will be significantly different to mining and metals operations. "
,"6.2 Implement water stewardship practices that provide for strong and transparent water governance, effective and efficient management of water at operations, and collaboration with stakeholders at a catchment level to achieve responsible and sustainable water use.",◑,◑,◑,◑,◑,◑,◑,◑,◑,l,l,◑,l,l,l,◑,l,l,l,l,l,◑,l,l,l,l,l,l,l,l,"Rio Tinto has adopted a global standard for the management of water quality and quantity which is publicly accessible. The intent of this standard is to prevent, or otherwise minimise, mitigate and remediate the effects that our business operations have on communities and environments.

The assets that have assessed as ""partially meets"" have identified improvement opportunities related to their water stewardship programmes specific to their asset. Examples include:
• Improved stakeholder engagement for water management including water stewardship committees.
• Updates to water balances and water management plans.
• Improved catchment strategies.

Refer to Annual Report 2023 (page- 60)  for further information riotinto.com/en/invest/reports/annual-report

The IOC validation aligned with the self-assessment outcome of ""partially meets"" and work has commenced to improve the governance, strategy and engagement processes related to water stewardship."
,"6.3 Design, construct, operate, monitor and decommission tailings disposal/storage facilities using comprehensive, risk-based management and governance practices in line with internationally recognised good practice, to minimise the risk of catastrophic failure.",V,◑,◑,◑,◑,V,◑,V,◑,◑,◑,◑,V,V,V,◑,◑,◑,V,◑,◑,V,◑,◑,◑,V,V,◑,◑,◑,"Rio Tinto has processes in place for managing tailings facilities. As a member of  ICMM, Rio Tinto has committed to conforming with the Global Industry Standard on Tailings Management (GISTM) by August 2023 for very high and extreme facilities.
Works are in progress for full implementation of GISTM.  Until such time as an asset has fully implemented all 77 requirements of GISTM, the asset will self-assess as ""partially meets"" to this PE.

For further information, refer to tailings page on riotinto.com/en/sustainability/environment/tailings"
,"6.4 Apply the mitigation hierarchy to prevent pollution, manage releases and waste, and address potential impacts on human health and the environment.",l,◑,◑,◑,◑,◑,◑,◑,◑,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,◑,l,V,"This PE is applicable at the asset level only and therefore is not applicable at the corporate level.

Rio Tinto has global standards and guidelines to prevent pollution, manage releases and waste and their potential impact on human health and the environment. 
Opportunities for improvement were identified for RTIO assets including: 
• Application of mitigation hierarchy captured in all RTIO operating procedures.
• Understanding synthetic nitrates sources and environmental receptors linkages.
• Improving the capture of dust operational data to inform the overall management approach.
• Adopting site specific water management targets that promote sustainable water usage.

OT has been assessed as ""partially meets"" in the validation report while progressing a process to formalise on-site hazardous waste storage, due to the limited qualified third-party vendors to collect and dispose select hazardous waste materials in Mongolia."
,"6.5 Implement measures to improve energy efficiency and contribute to a low-carbon future, and report the outcomes based on internationally recognised protocols for measuring CO2 equivalent (GHG) emissions.",l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
,PRINCIPLE 7: Contribute to the conservation of biodiversity and integrated approaches to land-use planning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"7.1 Neither explore nor develop new mines in World Heritage sites, respect legally designated protected areas, and design and operate any new operations or changes to existing operations to be compatible with the value for which such areas were designated.",l,l,l,l,l,l,l,l,l,l,l,l,V,V,V,l,l,l,l,◑,l,◑,l,◑,l,◑,l,l,l,l,"While some assets (BSL, Gove, NZAS, Quebec) were able to articulate where world heritage and protected areas were, processes for identifying and capturing the location of these areas were not formalised.  Improvement opportunities to ensure systematic consideration of these areas in decision making were identified.

Wilmington, Coudekerque and Suzhou are not located in or near World Heritage sites or legally protected areas."
,"7.2 Assess and address risks and impacts to biodiversity and ecosystem services by implementing the mitigation hierarchy, with the ambition of achieving no-net-loss to biodiversity.",l,◑,◑,◑,◑,◑,l,◑,◑,l,l,l,V,V,V,l,l,l,l,l,l,◑,l,l,l,l,l,◑,l,◑,"Protecting biodiversity is an important part of our climate commitment alongside our responsibility to communities, our employees, and the environment. We are working towards delivery of no net loss for biodiversity and utilise the biodiversity mitigation hierarchy to drive progress towards this goal. 
In support of efforts to implement No Net Loss, we have engaged in working groups to pilot and provide feedback on the Task Force for Nature-related Financial Disclosures, the development of the GRI Biodiversity Standard and the ICMM Nature Position Statement, which provide a framework and reporting expectations to see delivery of No Net Loss at our assets. Support to develop sector specific measurement methods and metrics, to inform a standardised delivery approach is ongoing. Internally, efforts are underway to integrate these recommendations and requirements into our current operating, risk, impact, and governance framework.

Additional improvement opportunities were identified by some assets, including updating fauna assessments for listed species.

Wilmington, Coudekerque and Suzhou assessed as ""not applicable"" as they are located in industrial areas and no sensitive or recognized biodiversity or ecosystems services have or are expected to be identified.

OT has an established biodiversity management plan that includes offsets to achieve no net loss. OT has been assessed as ""partially meets"" in the validation report until offset plans are updated to reflect the mine footprint expansion."
,"PRINCIPLE 8: Facilitate and support the knowledge-base and systems for responsible design, use, re-use, recycling and disposal of products containing metals and minerals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"8.1 In project design, operation and de-commissioning, implement cost-effective measures for the recovery, re-use or recycling of energy, natural resources and materials.",l,l,l,l,l,l,l,l,l,◑,◑,◑,l,l,l,◑,l,l,l,l,l,l,l,l,l,l,l,◑,l,l,"Some assets identified improvement opportunities including:
• developing a cost-benefit analysis, mass/energy balance or lifecycle assessment to evaluate production efforts
• integrating sustainable development principles into the Social and Environmental Management Plan and project design.

OT has been assessed as ""partially meets"" in the validation report while progressing actions to improve energy efficiency and identify renewable energy options.

The IOC validation aligned with the self-assessment outcome of ""partially meets"" while actions are progressing to improve the design criteria, sourcing program and partnerships to recover, re-use or recycle resources and materials.  "
,8.2 Assess the hazards of the products of mining according to UN Globally Harmonised System of Hazard Classification and Labelling or equivalent relevant regulatory systems and communicate through safety data sheets and labelling as appropriate.,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
,"PRINCIPLE 9: Pursue continual improvement in social performance and contribute to the social, economic and institutional development of host countries and communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"9.1 Implement inclusive approaches with local communities to identify their development priorities and support activities that contribute to their lasting social and economic wellbeing, in partnership with government, civil society and development agencies, as appropriate.",l,l,l,l,l,l,l,l,l,l,l,l,l,◑,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,Coudekerque identified an improvement opportunity and is progressing with the social risk assessment and communities development plan.
,"9.2 Enable access by local enterprises to procurement and contracting opportunities across the project life cycle, both directly and by encouraging larger contractors and suppliers, and also by supporting initiatives to enhance economic opportunities for local communities.",l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
,"9.3 Conduct stakeholder engagement based upon an analysis of the local context, and provide local stakeholders with access to effective mechanisms for seeking resolution of grievances related to the company and its activities.",l,l,l,l,l,l,l,l,l,l,l,l,l,◑,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,V,"This PE is applicable at the asset level only and therefore is not applicable at the corporate level.

Coudekerque identified an improvement opportunity and is progressing with their social risk assessment, updates to their community grievance process and Community Social and Performance Management Plan."
,"9.4 Collaborate with government, where appropriate, to support improvements in environmental and social practices of local Artisanal and Small-scale Mining (ASM).",V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,"This PE is applicable at the asset level only and therefore is not applicable at the corporate level.

Rio Tinto has corporate policy and procedures in place that regulate collaboration and support improvements in environmental and social practices of local Artisanal and Small-scale Mining (ASM). There are no relevant activities in the vicinity of any of the operating / refining assets."
,PRINCIPLE 10: Proactively engage key stakeholders on sustainable development challenges and opportunities in an open and transparent manner. Effectively report and independently verify progress and performance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.1 Identify and engage with key corporate-level external stakeholders on sustainable development issues in an open and transparent manner.,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,l,This PE is applicable at the corporate level only and therefore is not applicable for all operating / refining assets.
,"10.2 Publicly support the implementation of the Extractive Industries Transparency Initiative (EITI) and compile information on all material payments, at the appropriate levels of government, by country and by project.",l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
,"10.3 Report annually on economic, social and environmental performance at the corporate level using the GRI Sustainability Reporting Standards.",V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,l,This PE is applicable at the corporate level only and therefore is not applicable for all operating / refining assets.
,"10.4 Each year, conduct independent assurance of sustainability performance following the ICMM guidance on assuring and verifying membership requirements.",V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,l,This PE is applicable at the corporate level only and therefore is not applicable for all operating / refining assets.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For more information on the ICMM Mining Principles: PEs, please visit icmm.com/en-gb/about-us/member-requirements/mining-principles/mining-principles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICMM Mining Principles,,,,,,,,,Rio Tinto policies and standards that apply,,,,,,,,,,,,,,,,,,,,,,
,PRINCIPLE 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
