Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,Male turnover (of male employees) (%),15.95,0.245,11.95,12.55,22.81,20.19,18.52,25,0,3.9,12.15,,,,,,,,,,,
,,Male turnover (of all employees) (%),13.17,0.192,10.65,10.74,18.18,17.32,13.89,16.67,0,3.4,7.08,,,,,,,,,,,
,,Females employed (#),1149,204,146,357,163,69,9,20,4,7,177,,,,,,,,,,,
,,Total new female hires (#),291,76,32,67,56,20,4,2,0,0,34,,,,,,,,,,,
,,Female turnover (#),224,73,28,45,36,22,3,2,0,1,15,,,,,,,,,,,
,,Female turnover (of female employees) (%),19.5,0.358,19.18,12.61,22.09,31.88,33.33,10,0,14.3,8.47,,,,,,,,,,,
,,Female turnover (of all employees) (%),3.4,0.076,2.08,1.82,4.48,4.54,8.33,3.33,0,1.7,3.54,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Age Group,Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Havieron,Exploration,Namosi,Wafi-Golpu,Corporate Offices,,,,,,,,,,,
,,Total employees <30 (#),941,199,213,249,128,63,8,3,0,1,78,,,,,,,,,,,
,,Total new hires <30 (#),374,79,92,82,62,17,1,1,0,1,40,,,,,,,,,,,
,,Employees <30 turnover (#),173,76,27,23,23,19,1,0,0,0,4,,,,,,,,,,,
,,Turnover employees <30 (of total employees) (%),2.62,0.079,2.01,0.93,2.86,3.92,2.78,0,0,0,0.94,,,,,,,,,,,
,,Total employees 30-50 (#),4127,541,848,1720,444,273,17,39,4,47,241,,,,,,,,,,,
,,Total new hires 30-50 (#),819,157,123,319,127,52,7,1,0,3,33,,,,,,,,,,,
,,Employees 30-50 turnover (#),676,125,113,228,104,66,5,8,0,3,27,,,,,,,,,,,
,,Turnover employees 30-50 (of total employees) (%),10.26,0.131,8.41,9.21,12.95,13.61,13.89,13.33,0,5.2,6.37,,,,,,,,,,,
,,Total employees 50+ (#),1523,216,282,507,231,149,11,18,4,10,105,,,,,,,,,,,
,,Total new hires 50+ (#),233,38,34,69,54,19,6,1,0,0,12,,,,,,,,,,,
,,Employees 50+ turnover (#),244,56,31,60,56,21,2,4,0,0,14,,,,,,,,,,,
,,Turnover employees 50+ (of total employees) (%),3.7,0.059,2.31,2.42,6.97,4.33,5.56,6.67,0,0,3.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,GRI 401-1  New employee hires and employee turnover FY19-23,,,,,,,,,,,,,,,,,,,,,,
,,Employment Type,FY23,FY22,FY21,FY20,FY19,FY18,,,,,,,,,,,,,,,,
,,Total full-time employees (#),6436,5173,4887,5833,5273,5048,,,,,,,,,,,,,,,,
,,Full-time employee turnover to total full-time (%),15.24,18.15,15,12,13,14,,,,,,,,,,,,,,,,
,,Total part-time employees (#),155,54,39,51,61,52,,,,,,,,,,,,,,,,
,,Part-time employee turnover to total part-time (%),1.74,18.52,23,18,16,15,,,,,,,,,,,,,,,,
,,Gender,,,,,,,,,,,,,,,,,,,,,,
,,Total males employed (#),5442,4362,4182,5082,4583,4406,,,,,,,,,,,,,,,,
,,Male turnover (of male employees) (%),15.95,18.23,15,11,12,14,,,,,,,,,,,,,,,,
,,Females employed (#),1149,863,744,802,751,694,,,,,,,,,,,,,,,,
,,Female turnover (of female employees) (%),19.5,17.73,8,17,18.9,15,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,01-3 Return to work and retention after parental leave by gender FY23,,,,,,,,,,,,,,,,,,,,,,
,,,Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Havieron,Exploration,Namosi,Wafi-Golpu,Corporate Offices,,,,,,,,,,,
,,Male employees entitled to parental leave (#),4505,752,980,1716,453,348,17,39,4,0,196,,,,,,,,,,,
,,Male employees that took parental leave (#),147,12,85,4,4,31,1,1,0,0,9,,,,,,,,,,,
,,Male employees that returned to work after parental leave (#),131,9,76,4,1,30,1,1,0,0,9,,,,,,,,,,,
,,Return rate of male employees who took parental leave (%),94.25,100,93.83,100,100,90.91,100,100,100,0,100,,,,,,,,,,,
,,Male employees that returned to work after parental leave and were employed 12 months after returning to work (#)(1),118,4,72,3,4,24,0,1,0,0,10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Female employees entitled to parental leave (#),933,203,114,290,107,49,5,18,4,7,143,,,,,,,,,,,
,,Female employees that took parental leave (#),87,3,26,39,5,6,0,0,0,0,8,,,,,,,,,,,
,,Female employees that returned to work after parental leave (#),56,3,19,25,1,5,0,0,0,0,3,,,,,,,,,,,
,,Return rate of female employees who took parental leave (%),,100,100,92.59,100,100,100,100,100,0,100,,,,,,,,,,,
,,Female employees that returned to work after parental leave and employed 12 months after returning to work (#)(1),49,0,15,19,1,0,0,0,0,0,14,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Employees whose parental leave ended in FY22 (between July 2021 to June 2022) and have completed 12 months in organisation in FY23 (between July 2022 to June 2023). ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Labor/ Management Relations,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Disclosure 402-1 Minimum notice periods regarding operational changes,,"The minimum number of weeks’ notice typically provided to employees and their representatives prior to the implementation of significant operational changes that could substantially affect them is four weeks.
Cadia: There are general consultation provisions under the Cadia EA (2021-2025) (p.10-11) but there is no specification on the number of weeks. Telfer: There is a general consultation clause in the Telfer EA (2020-2024) but there is no notice period specified.  Red Chris: An agreement is pending release, specific notice period for change is not yet documented. There is no collective bargaining agreement for Brucejack, Lihir, Havieron, regional/corporate offices. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Occupational Health and Safety 403-1 to 403-8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Disclosure 403-1 Occupational health and safety management system ,Has an occupational health and safety management system has been implemented?,,,"The system is implemented in line with the legal requirements in the locations in which we operate, including Australian Work Health and Safety Acts and regulations; New South Wales Work Health and Safety (Mines and Petroleum Sites) Act and Regulation, Western Australian Mines Safety and Inspection Act and Regulations; Canada Mines Act and Health Safety and Reclamation Code for Mines in British Columbia and Papua New Guinea Mining Safety Act and Regulations.",,,,,,,,,,,,,,,,,,
,,,"Has the system been implemented because of legal requirements? If YES, please list these requirements.",,,"The system is implemented in line with the legal requirements in the locations in which we operate, including Australian Work Health and Safety Acts and regulations; New South Wales Work Health and Safety (Mines and Petroleum Sites) Act and Regulation, Western Australian Mines Safety and Inspection Act and Regulations; Canada Mines Act and Health Safety and Reclamation Code for Mines in British Columbia and Papua New Guinea Mining Safety Act and Regulations.",,,,,,,,,,,,,,,,,,
,,,"Has the system has been implemented based on recognized risk management and/or management system standards/guidelines? If YES, please list these requirements.",,,The Newcrest Health Safety Environment Management System (HSEMS) aligns with the requirements of ISO 45001 Occupational health and safety management systems and ISO 31000 Risk Management.,,,,,,,,,,,,,,,,,,
,,,"Describe the scope of workers, activities, and workplaces covered by the occupational health and safety management system, and an explanation of whether and, if so, why any workers, activities, or workplaces are not covered.",,,"The Standards apply to all managed Newcrest sites throughout the entire lifecycle, including exploration, construction, development, operation and closure. They apply to all Newcrest employees, contractors, subcontractors and visitors. Joint ventures, where Newcrest is not the managing entity, and external independent contractor facilities, are not covered by the HSEMS.",,,,,,,,,,,,,,,,,,
,,"Disclosure 403-2 Hazard identification, risk assessment, and incident investigation","How the organization ensures the quality of these processes, including the competency of persons who carry them out.",,,"The processes used to identify hazards, assess risks and apply the hierarchy of control is defined in the Newcrest Risk Management Standard, which aligns with the requirements of ISO 31000 Risk Management Principles and guidelines, in addition to the HSEMS Standard 7 - Hazard Identification and Risk Management.",,,,,,,,,,,,,,,,,,
,,,How the results of these processes are used to evaluate and continually improve the occupational health and safety management system.,,,"As defined in the Newcrest Assurance Standard, the HSEMS is assessed based on a first, second and third line assurance model.",,,,,,,,,,,,,,,,,,
,,,"A description of the processes for workers to report work-related hazards and hazardous situations, and an explanation of how workers are protected against reprisals.",,,Results from internal and external assurance are used to develop corrective action plans that improve the implementation and efficiency of the HSEMS.,,,,,,,,,,,,,,,,,,
,,,"A description of the policies and processes for workers to remove themselves from work situations that they believe could cause injury or ill health, and an explanation of how workers are protected against reprisals.",,,"Via induction training, personnel are instructed to report hazards identified in the workplace with their supervisor or manager, health and safety representatives or members of the health and safety Team. Hazard reports are raised in a database for investigation, review and the assignment of corrective actions. 
Newcrest's Code of Conduct https://www.newcrest.com/sites/default/files/2023-01/Code%20of%20Conduct.pdf  supported by training defines expectations of our people to speak out about concerns including safety issues including our commitment to support those who do so from detrimental treatment.",,,,,,,,,,,,,,,,,,
,,,"A description of the processes used to investigate work-related incidents, including the processes to identify hazards and assess risks relating to the incidents, to determine corrective actions using the hierarchy of controls, and to determine improvements needed in the occupational health and safety management system.",,,"Our NewSafe program is designed to build a strong safety culture, supporting personnel to speak up and stop work where they believe it is not safe. This is built on three foundational elements:  Leadership – build, promote and reinforce safety leadership at all levels; Coaching – create and support technically sound and visible frontline supervisors; and Behaviours – encourage personnel to reflect on past experiences to create behaviours and strategies to support safe choices.",,,,,,,,,,,,,,,,,,
,,Disclosure 403-3 Occupational health services,Describe the occupational health services’ functions that contribute to the identification and elimination of hazards and minimization of risks.,,,Newcrest employs Health and Hygiene professionals to provide expertise and support and consults with allied health professionals as required.,,,,,,,,,,,,,,,,,,
,,,Explain how the organization ensures the quality of these services and facilitates employees and contractors’ access to them.,,,"The quality of health services provided for Newcrest employees and contractors is assessed in accordance with the Newcrest Assurance standard, performance management processes in accordance with defined objectives and metrics, for employees and contractors. Access to these services is facilitated through health promotion webinars, training induction information, advertising and safety and health meeting agendas.",,,,,,,,,,,,,,,,,,
,,,Describe how the organization maintains the confidentiality of employee and contractors’ personal health related Information and how the organization ensures that their’ personal health-related information and their participation in any occupational  health services is not used for any favourable or unfavourable treatment.,,,"In accordance with the Newcrest Privacy Standard, health related records are maintained to protect personal privacy. Occupational Health Service consultations are strictly confidential. Access to information related to the use of Occupational Health Services  and personal medical records is confidential. Access is restricted to personal information in Occupational health databases through security profile configuration and file security.",,,,,,,,,,,,,,,,,,
,,"Disclosure 403-4 Worker participation, consultation,
and communication on occupational health and safety","Describe the process for employee and contractor participation and consultation in the development, implementation, and evaluation of the occupational health and safety management system, and for providing access to and communicating relevant information on occupational health and safety to workers.",,,"As defined in HSEMS Standard HSEMS – 04 Operational Control, Health Safety Environment (HSE) plans and procedures are required to be developed in consultation with the workforce. Furthermore our Management of Change processes as defined in HSEMS Standard 08 Management of Change, which were streamlined to improve functionality and efficiency at all levels of the business and functions, require stakeholder consultation and engagement.",,,,,,,,,,,,,,,,,,
,,,"Do formal joint management-worker health and safety committees exist? If YES, describe their responsibilities, meeting frequency, decision-making authority, and whether any workers are not represented by these committees.",,,"As defined in HSEMS Standard 01 Leadership, Planning and Review, the Health Safety Environment (HSE) committees that represent all levels of the operating site are established to address HSE matters and concerns, monitor HSE performance and processes, and assist in the implementation of improvement plans. Meetings are scheduled at a set frequency.",,,,,,,,,,,,,,,,,,
,,,"Are occupational health and safety topics covered in local or global formal agreements with trade unions? If YES, please describe.",,,No information disclosed.,,,,,,,,,,,,,,,,,,
,,"Disclosure 403-5 Worker training on occupational
health and safety","Describe any occupational health and safety training provided to employees and contractors, including generic training as well as training on specific work-related hazards, hazardous activities, or hazardous situations.",,,"As defined in HSEMS Standard 05 Training, Competence and Awareness, competency based training plans are established based on a training needs analysis for each role. The training includes  minimum compliance requirements, qualifications, legislative licences, regulatory tickets and HSE competencies. Training is assessed through an approved structure of written, e-learning, simulation and on-the-job observations with training records maintained in a Learning Management System.",,,,,,,,,,,,,,,,,,
,,403-6 Promotion of worker health,"Explain how the organization facilitates employees and contractors’ access to non-occupational medical and healthcare services, and the scope of access provided.",,,"In addition to the Occupational Health Services provided as defined in 403-3, Newcrest provides confidential access to an Employee Assistance Program for counselling on non-occupational health issues (including mental wellbeing, dietary advice, health and lifestyle issues).",,,,,,,,,,,,,,,,,,
,,,"Describe any voluntary health promotion services and programs offered to employees and contractors to address major non-work-related health risks, including the specific health risks addressed, and how the organization facilitates workers’ access to these services and programs.",,,"Newcrest provides voluntary health promotion services and programs including access to health promotion webinars facilitated online monthly with topics covered including cancer, wellbeing at work, hearing awareness and conservation, etc. Exercise physiology services are provided at our mine site residential facilities including fitness class programming and personal assessments.",,,,,,,,,,,,,,,,,,
,,,Describe how the organization maintains the confidentiality of employee and contractors’ personal health related Information and how the organization ensures that their personal health-related information and their participation in any services or programs is not used for any favourable or unfavourable treatment.,,,Information related to the use of the Employee Assistance Program (EAP) and Occupational Health Services  is strictly confidential in accordance with the Newcrest Privacy Standard. Access to personal information in Occupational health databases is restricted through security profile configuration and file security. The EAP is provided by a third party. The consultations are strictly confidential. The EAP provider will not share personal information with anyone unless authorised to do so by you in writing.,,,,,,,,,,,,,,,,,,
,,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,"Describe the organization’s approach to preventing or mitigating significant negative occupational health and safety impacts that are directly linked to its operations, products, or services by its business relationships, and the related hazards and risks.",,,"Risk assessments are undertaken at all levels of the organisation and on all activities to identify hazards, assess risks, understand causes and impacts, and determine controls to reduce the risks to as low as reasonably practicable as defined in the Newcrest Risk Management Standard.",,,,,,,,,,,,,,,,,,
,,"403-8 Workers covered by an occupational
health and safety management system","State the number and percentage of all employees and workers who are not employees but whose work and/or workplace is controlled by the organization, who are covered by Newcrest’s health and safety system (contractors).",,,"Newcrest’s HSE Management System covers 100% of employees and contractors. As stated in HSEMS Standard 06 Contractor Management and 
Procurement, for major contracts, the contract owner may approve a contactor to use their own HSE management system if it meets the intent of the Group HSE Management System. The Newcrest contract owner shall undertake an assessment of the contractor’s HSE management system against the Newcrest HSE Management System. ",,,,,,,,,,,,,,,,,,
,,,"Has the system been internally audited? If YES, state the number and percentage of these workers for which this applies.",,,"Newcrest’s HSEMS, is internally audited in accordance with the Newcrest Assurance Standard.",,,,,,,,,,,,,,,,,,
,,,"Has the system been audited or certified by an external party? If YES, state the number and percentage of these workers for which this applies.",,,Newcrest's HSEMS is audited by external parties in in accordance with the Newcrest Assurance Standard.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,GRI  403-2 Work-related injuries FY18-22 (1)(2)(3),,,,,,,,,,,,,,,,,,,,,,
,,Lost Time Injury Frequency Rate (LTIFR) (per million hours worked),FY23,,,FY22,,,FY21,,,FY20,,,FY19,,,FY18,,,FY17,FY16,FY15,
,,,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Company,Company,
,,Company (excluding Red Chris) (4) (only applicable for FY20),,,,,,,,,,0.2,0.3,0.2,,,,,,,,,,
,,Company (excluding Brucejack) (4) (only applicable for FY22),,,,0.86,1.03,0.76,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Company (4),0.69,0.69,0.69,0.83,0.97,0.7429709508441397,0.457712561942622,0.451426059436019,0.460310636029618,0.545478447328328,0.9,0.3,0.4,0.6,0.5,0.5,0.3,0.7,0.6,0.7,0.4,
,,Brucejack,3.08,3.62,2.13,0,0,0,,,,,,,,,,,,,,,,
,,Cadia,1.79,0.46,3.42,3.31,4.34,2.31,2.12682895474392,1.44372782073135,2.78590591624267,0.8,1.7,0,1.8,2.1,1.6,2,0.8,2.9,2.3,2.7,1.3,
,,Lihir,0.07,0,0.12,0.07,0,0.12,0.05,0,0.0822061770379076,0.1,0,0.1,0.2,0.2,0.2,0,0,0,0.1,0.2,0.1,
,,Red Chris,0.85,1.63,0,2.49,1.72,3.21,1.31290511328402,1.88816939145245,0.815805746862003,7,9.3,4.2,,,,,,,,,,
,,Telfer,0.5,0,0.64,0.26,0,0.33,0.22,0,0.275212491564737,0.2,0,0.3,0.7,2,0.3,1.7,2.3,1.5,1.2,0.6,1.3,
,,Exploration,1.03,0,1.42,1.2288333456216667,0,1.6650460218720446,1.93,0,2.56500360383006,0,0,0,0,0,0,0,0,0,0,0,3.4,
,,Project Delivery,0.43,0,0.49,0.7,0,0.73,,,,,,,,,,,,,,,,
,,Namosi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,Corporate Offices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,
,,Wafi-Golpu,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,3.6,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,GRI 403-9 Total Recordable Injury Frequency Rate,,,,,,,,,,,,,,,,,,,,,,
,, (TRIFR) (per million hours worked) (1)(2)(3)(4)(5)(6)(7),FY23,,,FY22,,,FY21,,,FY20,,,FY19,,,FY18,,,FY17,FY16,FY15,
,,,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Company,Company,
,,Company (excluding Red Chris) (8) (only applicable for FY20),,,,,,,,,,2.1,1.3,2.6,,,,,,,,,,
,,Company (excluding Brucejack) (9) (only applicable for FY22),,,,3.98,1.97,5.14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Company (4),2.97,2,3.64,4.01,1.86,5.31,2.25804863891694,1.9914550285552,2.39679404828102,2.6,2.2,2.8,2.3,1.4,2.9,2.4,1.2,3.2,3.3,3.7,3.6,
,,Brucejack,6.16,5.43,7.47,1.1090741116593634,0,3.2209127422529,,,,,,,,,,,,,,,,
,,Cadia,4.09,1.85,6.84,8.26,6.27,10.18,6.1,3.84994085528361,8.357717748728,4.9,3.4,6.2,5.9,3.5,7.7,6.7,1.6,10.3,10.7,10.6,8.1,
,,Lihir,0.56,0.17,0.81,1.18,0.54,1.61,0.3,0.49473511140033,0.246618531113723,0.6,0.3,0.7,0.6,0.5,0.7,0.5,0.6,0.4,0.7,0.6,1.1,
,,Red Chris,5.1,5.71,4.43,7.05,2.58,11.22,6.6,8.49676226153601,4.89483448117202,12.7,15.1,9.8,,,,,,,,,,
,,Telfer,7.83,4.67,8.69,5.39,2.39,6.22,4.2,2.21359167423899,4.67861235660053,5.2,3,5.9,7.3,4.9,8,9.4,6.9,10.1,10.7,10.9,10.7,
,,Exploration,6.19,3.76,7.1,12.288333456216668,0,16.7,1.9,0,2.56500360383006,5.4,7.7,4.8,2.2,0,3.7,0,0,0,2.9,0,1.2,
,,Project Delivery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,Namosi,2.56,0,2.95,6.95,13.24,6.6,,,,,,,,,,,,,,,,
,,Corporate Offices,0,0,0,0.7,0,1.47,0,0,0,1.1,0,4.3,0,0,0,0,0,0,0,2.6,0,
,,Wafi-Golpu,0,0,0,0,0,0,4.9,0,12.5369841031042,2.3,0,6.7,2.6,2,3.6,0,0,0,0,0,0,
,,"(1) In line with ICMM guidelines, the calculation of Company-wide TRIFR and LTIFR only includes operational sites and joint ventures in which Newcrest has a controlling interest; therefore, Wafi-Golpu is excluded. 
(2) Prior to FY22,  injuries and hours recorded from Project delivery activities were included in the Company-wide TRIFR and LTIFR.
(3) The number of injuries and hours used to calculate TRIFR and LTIFR is not reported.
(4) TRIFR, LTIFR and high consequence metrics do not currently capture any potential or actual illnesses or injuries arising from psychological hazards (as defined within GRI 403: Occupational Health and Safety 2018). 
(5) The main types of injuries for employees and contractors were lacerations, sprains/strains, crushing/contusion and fractures. 
(6) Injury rates are not reported by gender or types of work-related injury.
(7) During FY22, a review on the calculations for all exposure hours across Newcrest was conducted. There were no material discrepancies however, the findings led to a higher level of reporting accuracy. 
(8) A company total is presented both including and excluding Red Chris due to the acquisition during FY20. Date of acquisition (16 August 2019).
(9) A company total is presented both including and excluding Brucejack due to the acquisition during FY22. Date of acquisition (25 February 2022).",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,High-Consequence Work-Related Injuries,FY23,,,FY22,,,FY21,,,,,,,,,,,,,,,
,,,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Company ,6,1,5,6,3,3,0,0,0,,,,,,,,,,,,,
,,Brucejack,1,0,1,0,0,0,,,,,,,,,,,,,,,,
,,Cadia,2,1,1,3,3,0,0,0,0,,,,,,,,,,,,,
,,Lihir,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Red Chris,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Telfer,2,0,2,2,0,2,0,0,0,,,,,,,,,,,,,
,,Exploration,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Project Delivery,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Namosi,1,0,1,1,0,1,-,-,-,,,,,,,,,,,,,
,,Corporate Offices,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Wafi-Golpu,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"Note:  High-consequence injuries were reported for the first time in FY21 in line with GRI 403-9 (2018). 
TRIFR, LTIFR & High consequence metrics do not currently capture any potential or actual illnesses or injuries arising from psychological hazards (as defined within GRI 403: Occupational Health and Safety 2018). ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Additional notes: High-Consequence Work-Related Injuries,,,,,,,,,,,,,,,,,,,,,,
,,Work-related hazards that pose a risk of high consequence injury,The main types of work-related hazards that pose a risk of high consequence injury include: Air Blast; Confined Spaces; Contact with Electricity; Drowning; Entanglement and Crushing; Exposure to Hazardous Substances; Lifting Operations; Slope Failure; Geothermal Ourburst; Thermal Extremes; Underground Fire; Underground Hazardous Atmosphere; Underground Hoisting; Underground Inrush; Underground Fire; Underground Rock Fall; Unplanned initiation of Explosives; Vehicle Impact on Person; Vehicle Collision or Rollover; Falling Objects; Fall from Height; Uncontrolled Release of Energy; Aviation; Fire; Dam Failure; Manual Handling; Slope Failure; Ergonomics.,,,,,,,,,,,,,,,,,,,,,
,,How have these hazards been determined?,"The hazards have been determined in accordance with the Newcrest Risk Management Standard, with identification through Newcrest's historical incident experience, Risk register and risk assessment reviews, Industry and/or Professional experience and research and document reviews.",,,,,,,,,,,,,,,,,,,,,
,,Which (if any) of these hazards have contributed to high consequence injury during the reporting period?,The following hazards have contributed to high-consequence injuries during the reporting period: Entanglement and Crushing; Ergonomics and Manual Handling,,,,,,,,,,,,,,,,,,,,,
,,Actions taken or underway to eliminate these hazards and minimise risks using the hierarchy of controls,"Newcrest's Risk Management process of risk identification, analysis, evaluation and control, supported by control verification with our Critical Control Management process aims to minimise the risk of these hazards. All incidents involving injuries are investigated to determine contributing factors and actions assigned based on the hierarchy of control, with a focus on higher order controls including elimination where practicable, substitution and engineering.",,,,,,,,,,,,,,,,,,,,,
,,Any actions taken or underway to eliminate other work-related hazards and minimise risks using the hierarchy of controls,As above,,,,,,,,,,,,,,,,,,,,,
,,"Whether and, if so, why any workers or types of worker have been excluded from this disclosure",Joint ventures where Newcrest is not the controlling partner are excluded,,,,,,,,,,,,,,,,,,,,,
