Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,Energy consumed - non-transport (including on-site mobile fleet),6592349,397959,1022606,2082585,1200450,1754313.8,124767,,64,11464,9605,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Transport fuels,,,,,,,,,,,,,,,,,,,
,,Diesel,132261,0,6184,62465,7728,39115.2,12776,3992,0,0,0,,,,,,,,
,,Unleaded petrol,52710,12418,0,4522,35770,0,0,0,0,0,0,,,,,,,,
,,Energy consumed - transport,184969.4,12418,6184,66987,35770,39115.2,12776,3992,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Purchased electricity,,,,,,,,,,,,,,,,,,,
,,Purchased electricity (from the grid),6001475.3456,548349,4211164.2456,0,1236092,1235.1,0,25,68,0,4542,,,,,,,,
,,Energy consumed - electricity (purchased from grid),6001475.3456,548349,4211164.2456,0,1236092,1235.1,0,25,68,0,4542,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Total - energy consumption (5),27199117.745600004,958725.8,5239954.2456,10301724.3,2480038.1,8018645.8,181734,4016.8,132.4,11463.6,14146.3,,,,,,,,
,,"(1) Newcrest aligns our calculation and reporting of energy with recognised standards including National Greenhouse and Energy Reporting (NGER), GRI and the GHG Protocol.
(2) Brucejack data is presented however not included in Company totals as it was not under Newcrest’s operational control for the full year. Red Chris is operated by Newcrest (70% owned), Newcrest reports 100% of emissions from sites which we operate. Wafi-Golpu data is presented however not included in Company totals as it is not under Newcrest’s operational control. 
(3) The split for diesel consumption at Red Chris between non-transport/haulage and production, and transport is unknown and an estimate based on usage profile at other Newcrest sites has been used to split Therefore it has been estimated at 95% / 5% based on other Newcrest sites.
(4) Corporate Offices includes the Melbourne, Perth, Brisbane, Port Moresby and Vancouver offices and Orange Lab, New South Wales. 
(5) The energy consumed when our operations use self-generated electricity from fossil fuels is not included in the total energy consumption because the energy used to produce that electricity has already been accounted for.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Energy consumption within the organisation (GJ) FY19-23,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,
,,Brucejack,958725.8,627879,,,,,,,,,,,,,,,,,
,,Cadia,5239954.2456,4676829,5094951.42065307,4953628,4670980,,,,,,,,,,,,,,
,,Lihir,10301724.3,10226463,10062459.50691,10442467,9503021,,,,,,,,,,,,,,
,,Red Chris(2),2480038.1,2617829,2583839,-,,,,,,,,,,,,,,,
,,Telfer,8018645.8,9016122,8925066.999091765,8812486,9773082,,,,,,,,,,,,,,
,,Havieron,181734,128217,,,,,,,,,,,,,,,,,
,,Exploration,4016.8,10782,83815.191456875,65427,9149,,,,,,,,,,,,,,
,,Namosi,132.4,945,271,,,,,,,,,,,,,,,,
,,Wafi-Golpu(2),11463.6,16907,15778.1746,,,,,,,,,,,,,,,,
,,Corporate Offices (3),14146.3,14069,14092.942442074342,13948,14096,,,,,,,,,,,,,,
,,Gosowong,,,,1084562,1755344,,,,,,,,,,,,,,
,,Total - energy consumption (4),27199117.745600004,26691256,26764496.06055379,25372518,25725672,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"(1) Brucejack data is presented in FY22 however not included in Company totals as it was not under Newcrest’s operational control for the full year.
(2) Red Chris is operated by Newcrest (70% owned), Newcrest reports 100% of emissions from sites which we operate. Wafi-Golpu data is presented however not included in Company totals as it is not under Newcrest's operational control. 
(3) Corporate Offices includes the Melbourne, Perth, Brisbane, Port Moresby and Vancouver offices and Orange Lab, New South Wales. 
(4) The energy consumed when our operations use self-generated electricity from fossil fuels is not included in the total energy consumption because the energy used to produce that electricity has already been accounted for.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,GRI 302-3  Energy intensity FY23,,,,,,,,,,,,,,,,,,,
,,Energy intensity by tonnes of ore milled FY23,Company,Brucejack (1),Cadia,Lihir,Red Chris (2),Telfer,Havieron,Exploration,Namosi,Corporate Offices,,,,,,,,,
,,Energy consumed (GJ)(3),27199117.745600004,958725.8,5239954.2456,10301724.3,2480038.1,8018645.8,181734,4016.8,132.4,14146.3,,,,,,,,,
,,Ore milled (t)(3),69094347,1350863,29082365,11982651,9304165,18725166,,,,,,,,,,,,,
,,Energy intensity by tonnes milled (MJ/t),393.65185324929695,709.7135682893085,180.1763455482386,859.7199651396007,266.55138854480765,428.2282891377305,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Energy intensity by tonnes of ore milled (MJ/t) FY19-23 (1)(2),FY23,FY22,FY21,FY20,FY19 (3),,,,,,,,,,,,,,
,,Company,393.65185324929695,391.71865726740003,368,424,389,,,,,,,,,,,,,,
,,Brucejack,709.7135682893085,459.0027194572782,,,,,,,,,,,,,,,,,
,,Cadia,180.1763455482386,180.8441006918922,157,169,160,,,,,,,,,,,,,,
,,Lihir,859.7199651396007,837.4237439253496,786.6445324064454,757,712,,,,,,,,,,,,,,
,,Red Chris(1),266.55138854480765,282.40421732274535,269,-,,,,,,,,,,,,,,,
,,Telfer,428.2282891377305,441.90279710981054,498,544,430,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"(1) The energy consumed when our operations use self-generated electricity from fossil fuels is not included in the total energy consumption because the energy used to produce that electricity has already been accounted for. This change in approach has resulted in lower energy intensities (with no effect on emissions intensities from which we base our reduction targets).
(2) The tonnes of ore milled refers to the material which has been processed through the mill; it excludes the dump leach tonnes processed at Telfer.
(3) The FY19 energy intensities were restated in the FY20 report due to a change in approach to reporting.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Energy intensity by gold produced FY23,Company,Brucejack (1),Cadia,Lihir,Red Chris (2),Telfer,Havieron,Exploration,Namosi,Corporate Offices,,,,,,,,,
,,Energy consumed (GJ)(3),27199117.745600004,958725.8,5239954.2456,10301724.3,2480038.1,8018645.8,181734,4016.8,132.4,14146.3,,,,,,,,,
,,Gold produced equivalent (troy oz) (4)(5),2675213,286003,1096434,670013,189157,433606,,,,,,,,,,,,,
,,Energy intensity by gold produced (MJ/oz),10167.084918322393,3352.1529494445863,4779.08770213255,15375.409581605134,13111.003557891065,18492.930909627634,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,(1)  Brucejack data is presented however not included in Company totals as it was not under Newcrest’s operational control for the full year.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Energy intensity by gold produced  (MJ/oz) FY19-23 (1)(2)(3),FY23,FY22,FY21,FY20,FY19 (4),,,,,,,,,,,,,,
,,Company,10167.084918322393,11166.13213579182,9696.219296393252,9278,8375,,,,,,,,,,,,,,
,,Brucejack,3352.1529494445863,1833.292942505847,,,,,,,,,,,,,,,,,
,,Cadia,4779.08770213255,4699.877197777903,3900.5162166189616,3609,3305,,,,,,,,,,,,,,
,,Lihir,15375.409581605134,14876.045356355782,13651.749217612083,13457,10188,,,,,,,,,,,,,,
,,Red Chris,13111.003557891065,12133.381227322085,11050.593519506861,,,,,,,,,,,,,,,,
,,Telfer,18492.930909627634,18850.822098819124,18471.658510334666,18250,18260,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"(1) The energy consumed when our operations use self-generated electricity from fossil fuels is not included in the total energy consumption because the energy used to produce that electricity has already been accounted for. This change in approach has resulted in lower energy intensities (with no effect on emissions intensities from which we base our reduction targets). Red Chris is operated by Newcrest (70% owned), Newcrest reports 100% of emissions from sites which we operate. Brucejack data is presented FY22 however not included in Company totals as it was not under Newcrest’s operational control for the full year.
(2) Production of silver accounts for less than 1% of total production and is not included in the calculations for total gold equivalent.
(3) Cadia and Telfer are reported as gold plus gold equivalent ounces based on a gold price of US$1,300/oz and a copper price of US$3/lb.
(4) The FY19 energy intensities have been restated due to a change in approach to reporting.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,GRI 303-3 Water withdrawal by source (ML) FY23 (1),,,,,,,,,,,,,,,,,,,
,,Category 1  (8),Company (2),Brucejack (3),Cadia (4),Lihir (5)(6),Red Chris (7),Telfer (5),Havieron (5),Exploration (5),Namosi,Wafi-Golpu (2),,,,,,,,,
,,Groundwater,6692.556,43.6,0,0,5810.046,838.96,0,0,0,0,,,,,,,,,
,,Produced water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,Sea water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,Surface water,16013.97,4.2,5876,9295,195.29,643,0,0, <1 ,3.7,,,,,,,,,
,,Third-party water,11.08,0,0,0,0,0,0,11, <1 ,0,,,,,,,,,
,,Total Category 1,22717.606,47.8,5876,9295,6005.336,1481.96,0,11,0.5,3.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Category 2  (8),,,,,,,,,,,,,,,,,,,
,,Groundwater,13947.538,0,429,0,0,13267,251.5,0,0,0,,,,,,,,,
,,Produced water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,Sea water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,Surface water,38238.69,472.7,10495,26799,0,472,0,0,0,0,,,,,,,,,
,,Third-party water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,Total Category 2,52186.228,472.7,10924,26799,0,13739,251.5,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Cat 1 and Cat 2 Sub total,74903.834,520.5,16800,36094,6005.336,15220.96,251.5,11,0.5,3.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Category 3  (8),,,,,,,,,,,,,,,,,,,
,,Ground water,13462.36,651.9,590,11765,208.5,247,0,0,0,0,,,,,,,,,
,,Produced water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,Sea water,228170,0,0,228170,0,0,0,0,0,0,,,,,,,,,
,,Surface water,1070.53,230.5,0,63,0,777,0,0,0,0,,,,,,,,,
,,Third-party water,131,0,131,0,0,0,0,0,0,0,,,,,,,,,
,,Total Category 3,242833.89,882.4,721,239998,208.5,1024,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Total,317737.72400000005,1402.9,17521,276092,6213.836,16244.96,251.5,11,0.5,3.7,,,,,,,,,
,,"(1) The ICMM water reporting guide specifies two water quality categories: High quality and Low quality. High quality typically has high socio-environmental value with multiple beneficial uses and/or receptors. Low quality may typically have lower socio‑environmental value as the poorer quality may restrict potential suitability for use by a wide range of other users/receptors.
Newcrest refers to both the MCA Water Accounting Framework (WAF) and the ICMM reporting guide to categorise water quality. ICMM’s ‘High quality’ is consistent with category 1 and 2 of the MCA WAF, and ICMM’s ‘Low quality’ is consistent with Category 3 of the MCA WAF (refer to p.35 of the ICMM (2021) Water Reporting: Good practice guide, 2nd Edition).
(2) Wafi-Golpu data is presented however not included in Company totals as it is not under Newcrest’s operational control. 
(3) Brucejack Lake withdrawal has been reclassified from Category 1 in FY22 to Category 2 in FY23 in line with water quality.  
(4) Cadia abstraction volumes exclude storage facility releases (spillway and ecological flow).The water quality categorisation and the Water Accounting Framework have been revised in accordance with the ICMM (2021) Water Reporting Good Practice Guide, 2nd Edition. At Cadia, Category 3 surface water and groundwater classified in FY22 has been reclassified as Category 2 in FY23.
(5) Operation is located in an area of high water stress as categorised by the Aqueduct Water Risk Atlas. For further information go to www.wri.org/aqueduct. Lihir was previously classified as extremely high due to the interannual variability of water supply (for example, from climate), as well as the broader area’s lack of accessibility to improved sanitation and safe drinking water however the current risk rating states ‘no data’. Telfer/Havieron is classified as high due to the interannual variability of water supply (for example, groundwater recharge rates from variable rainfall). Cadia is classified as low-medium and Red Chris and Brucejack are classified as low water risk area. Appaloosa (Exploration site) is rated as medium-high. Wafi-Golpu is rated as medium-high.
(6) Seawater abstraction at Lihir is not introduced into the processing circuit for the purpose of ore processing. At Lihir, there was a reduction in water withdrawal in FY23 compared to FY22 due to extensive period (approximately 8 months) of very low rainfall.
(7) At Red Chris, Category 3 water (for pit dewatering) classified as Produced Water in FY22 has been reclassified as 'Groundwater' in FY23 in line with ICMM guidance.
(8) MCA WAF categories include: Category 1 – water that is close to the drinking water standards, as it only requires minimum treatment (disinfection) to be safe for human consumption. Category 1 water may be used for all purposes. Category 2 – water that is suitable for a range of purposes, subject to appropriate treatment to remove total dissolved solids and/or to adjust other parameters to be safe for human consumption and more sensitive agricultural and recreational purposes. Category 3 – low quality water which requires significant treatment to raise quality to appropriate drinking water standards.
Note: Water withdrawal data was not collected from Corporate Offices.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Water withdrawal by source (ML) FY19-23,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,
,,Total Cat 1  ('high quality') withdrawn ,22717.606,22869.308188944,35546.19986637036,67163,73896,,,,,,,,,,,,,,
,,Total Cat 2 ('high quality') withdrawn ,52186.228,53279.28,51037.125,64898,70121,,,,,,,,,,,,,,
,,Total Cat 3 ('low quality') withdrawn ,242833.89,255994.24000000002,227028.9101506849,222681,217713,,,,,,,,,,,,,,
,,Total water withdrawn (ML),317737.724,332142.828188944,313612.2350170553,354742,361730,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,GRI 303-4 Water discharge by source (ML) FY23 (1),,,,,,,,,,,,,,,,,,,
,,Category 1,Company ,Brucejack ,Cadia,Lihir,Red Chris,Telfer,Havieron,Exploration,Namosi,Wafi-Golpu ,,,,,,,,,
,,Total,0,0,0,0,0,0,0,0,0,0.832,,,,,,,,,
,,Ground water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,Sea water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,Surface water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,Third-party water,0,0,0,0,0,0,0,0,0,0.4,,,,,,,,,
,,Total category 1 discharge,0,0,0,0,0,0,0,0,0,0.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Category 2,,,,,,,,,,,,,,,,,,,
,,Total,21269.03,763,0,2056,18331.89,118,0,0,0,0,,,,,,,,,
,,Ground water,9162.8,0,0,0,9162.8,0,0,0,0,0,,,,,,,,,
,,Sea water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,Surface water,1471.715,381.57,0,1028,3.145,59,0,0,0,0,,,,,,,,,
,,Third-party water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,Total category 2 discharge,10634.515,381.57,0,1028,9165.945,59,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Cat 1 and Cat 2 Sub total,10634.515,381.57,0,1028,9165.945,59,0,0,0,0.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Category 3,,,,,,,,,,,,,,,,,,,
,,Total,491395.18,1558.38,0,484006,0,5568,262.8,0,0,0,,,,,,,,,
,,Ground water,2915.4,0,0,0,0,2784,131.4,0,0,0,,,,,,,,,
,,Sea water,228170,0,0,228170,0,0,0,0,0,0,,,,,,,,,
,,Surface water,14612.19,779.19,0,13833,0,0,0,0,0,0,,,,,,,,,
,,Third-party water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,Total category 3 discharge,245697.59,779.19,0,242003,0,2784,131.4,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Total,256332.10499999998,1160.76,0,243031,9165.945,2843,131.4,0,0,0.416,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"(1) MCA WAF categories include: Category 1 – water that is close to the drinking water standards, as it only requires minimum treatment (disinfection) to be safe for human consumption. Category 1 water may be used for all purposes. Category 2 – water that is suitable for a range of purposes, subject to appropriate treatment to remove total dissolved solids and/or to adjust other parameters to be safe for human consumption and more sensitive agricultural and recreational purposes. Category 3 – low quality water which requires significant treatment to raise quality to appropriate drinking water standards.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,GRI 303-5 Water consumption (ML) FY23,,,,,,,,,,,,,,,,,,,
,,Change in total on-site water storage (ML) FY23,Company ,Brucejack (1) ,Cadia,Lihir,Red Chris,Telfer,Havieron,Exploration,Namosi,Wafi-Golpu ,,,,,,,,,
,,Change in total on-site water storage,11795.35,42.35,6310,0,5422.2,0,20.8,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"(1) At Brucejack, the change in storage considers the contact water pond only, waste rock tailings storage facility is not considered storage at this time.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Total water consumption from all areas (ML) FY23,Company ,Brucejack ,Cadia,Lihir (1),Red Chris,Telfer,Havieron,Exploration,Namosi,Wafi-Golpu ,,,,,,,,,
,,Total water consumption from all areas,67014.7,252.52,11437,28951,13830.9,12420,123.28,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,(1) Excludes seawater. Seawater abstraction at Lihir is not introduced into the processing circuit for the purpose of ore processing.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Water recycled and reused (ML) FY23,Company ,Brucejack ,Cadia,Lihir,Red Chris,Telfer,Havieron,Exploration,Namosi,Wafi-Golpu ,,,,,,,,,
,,Change in total on-site water storage,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,GRI 304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operational sites (#) FY23,,,,,,,,,,,,,,,,,,,
,,IUCN Red List species,Company  (1),Brucejack ,Cadia,Lihir,Red Chris,Telfer,Havieron,Exploration (2),Namosi,Wafi-Golpu ,,,,,,,,,
,,Critically endangered (3)(8),8,0,2,2,0,1,1,0,3,3,,,,,,,,,
,,Endangered (4)(8),14,1,1,3,1,0,0,3,6,1,,,,,,,,,
,,Vulnerable (5)(8),36,1,9,3,2,2,4,6,13,3,,,,,,,,,
,,Near threatened (6)(8),36,4,5,5,1,3,3,12,7,7,,,,,,,,,
,,Least Concern,1026,106,244,52,9,232,102,349,6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,National Conservation List (7)(8),,,,,,,,,,,,,,,,,,,
,,Critically Endangered,3,0,2,0,0,0,1,0,0,0,,,,,,,,,
,,Endangered,7,1,1,0,1,2,1,3,0,0,,,,,,,,,
,,Vulnerable,15,0,8,0,0,1,4,3,0,0,,,,,,,,,
,,Threatened,31,2,0,0,2,0,0,0,27,0,,,,,,,,,
,,Near Threatened,1,0,0,0,0,0,0,1,0,0,,,,,,,,,
,,Special Concern,15,8,0,0,9,0,0,3,0,2,,,,,,,,,
,,Least Concern ,1,0,0,1,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"(1) Wafi-Golpu data is presented however not included in Company totals as it is not under Newcrest’s operational control. Where the same species is listed for multiple sites, the species is counted once in the Company total. 
(2) Exploration numbers are indicative totals of species that may occur in the region of projects and that they haven’t necessarily been recorded onsite as surveys may have yet to have been completed. ",,,,,,,,,,,,,,,,,,,
,,"(3) Critically Endangered: Cadia: Swift Parrot (Lathamus discolor)^, Regent Honeyeater (Anthochaera Phrygia)^. Lihir: Hawksbill Turtle (Eretmochelys imbricate), Dolicholobium rufiflorum. Telfer & Havieron: Night Parrot (Pezoporus occidentalis)^. Namosi: Astronidium pallidiflorum, Acmopyle sahniana^, Balaka diffusa^. Wafi-Golpu: Goodfellow’s tree kangaroo (Dendrolagus goodfellowi), Diospyros lolinopsis, Halfordia papuana.",,,,,,,,,,,,,,,,,,,
,,"(4) Endangered: Brucejack & Red Chris: Little brown myotis (Myotis lucifugus)^. Lihir: Green Turtle (Chelonia mydas), Humphead Wrasse (Chilinus undulatus), Archidendron forbesi. Exploration: Red Goshawk (Erythrotriorchis radiatus)^, Australian Painted-snipe (Rostratula australis)^, Hakea plurinervia. Namosi: Fiji burrowing snake (Ogmodon vitianus)^,  Fijian free-tailed bat (Tadarida bregullae), Polynesian sheath-tailed bat (Emballonura semicaudata)^, Long-legged warbler (Trichocichla rufa)^, Agathis macrophylla^,  Spiraeanthemum graeffei. Wafi-Golpu: Diospyros insularis.",,,,,,,,,,,,,,,,,,,
,,"(5) Vulnerable: Brucejack: Rusty Blackbird (Euphagus carolinus )^, Cadia: Diamond Firetail (Stagonopleura guttata)^, Large Eared Pied Bat (Chalinolobus dwyeri)^, Southern Whiteface (Aphelocephala leucopsis), Eucalyptus albens, Eucalyptus blakelyi, Eucalytpus bridgesiana, Eucalytpus gonicalyx, Eucalyptus melliodora, Persoonia rigida. Lihir: Bismarck kingfisher (Ceyx websteri), Leather Back Turtle (Dermochelys coriacea), Yellow-legged pigeon (Columba pallidiceps). Red Chris: Caribou (Rangifer tarandus caribou) Woodland Southern Mountain population, Rusty Blackbird (Euphagus carolinus)^. Telfer: Sharp-tailed Sandpiper (Calidris acuminata), Greater Bilby (Macrotis lagotis)^. Havieron: Greater Bilby (Macrotis lagotis)^, Grey Falcon (Falco hypoleucos)^, Sharp tailed Sandpiper (Calidris acuminata), Great Desert Skink (Liopholis kintorei). Exploration: Excidobates captivus, Koala (Phascolarctos cinereus), Sharp tailed Sandpiper (Calidris acuminata), Golden-tipped Bat (Phoniscus papuensis), Greater glider (Petauroides Volans), Eucalyptus cambageana.  Namosi: Mann’s gecko (Lepidodactylus manni)^, Bronze-headed skink (Emoia parkeri)^, Fijian blossom bat (Notopteris macdonaldi)^, Friendly ground dove (Gallicolumba stairi)^, Pink-billed parrotfinch (Erythrura kleinschmidti)^, Diplommatina martensi, Geissois superba, Aglaia archboldiana, Aglaia basiphylla (A. greenwoodii), Syzygium amplifolium, Turrillia vitiensis, Turrillia ferruginea^, Storckiella vitiensis^. Wafi-Golpu: New Guinea pademelon (Thylogale browni), Papuan eagle (Harpyopsis novaeguineae) & Pesquet’s parrot (Psittrichas fulgidus).",,,,,,,,,,,,,,,,,,,
