Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,Male contractors/supervised workers,6202,542,906.8,2408,835,1024,8,21,26,0,432,
,,,7060.5,580,1027.5,2617,1059,1183,10,27,27,0,530,
,,"(1) At 30 June 2023, Contractor FTEs include labour hire and project contractors, replacement labour and other contractors. 
(2) Contractor numbers can fluctuate during the year, and year to year depending on operational needs, for example annual shutdowns, seasonal projects and large capital projects.
(3) The type of work typically performed by these contractors is skilled and semi-skilled work in our remote locations.
(4) The most common type of contractual relationship is via an organisation where Newcrest has engaged a package or scope of work. They are employees of the contractor providing this work.
(5) Wafi-Golpu data is presented however not included in Company totals as it is not under Newcrest’s operational control. 
(6) Does not include Exploration contractors at Red Chris or Brucejack as these are included in the operating site.
Note: There are currently some limitations in our data capture systems to fully capture all genders across the company. Newcrest will look to refine reporting processes to ensure employee preferences are captured. ",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,GRI 2-21 Annual total compensation ratio,,,,,,,,,,,,
,,,Company,,,,,,,,,,,
,,"Provide any contextual information necessary to understand how the data has been compiled, such as any standards, methodologies, and assumptions used.",FY23- 12:1 (FY22- 57:1),,,,,,,,,,,
,,State the ratio of the annual total compensation for the organization’s highest-paid individual to the median annual total compensation for all employees (excluding the highest-paid individual).,"Due to the total compensation of the highest paid individual decreasing by 75% from FY22 to FY23, the ratio cannot be meaningfully calculated.",,,,,,,,,,,
,,State the ratio of the percentage increase in annual total compensation for the organization’s highest-paid individual to the median percentage increase in annual total compensation for all employees (excluding the highest-paid individual).,"The highest paid individual was determined using the highest paid active employee in each year.
The median pay was determined finding the median total target rem and then determining the actual total rem for that individual. Where there were multiple people with the same total target rem, actual pay was determined for all and then the median of that group was used.

As required by and in accordance with section 2-21 of the GRI2: General Disclosures 2021, the following disclosure summarises the relationship of the annual total compensation of the median employee worldwide and the annual total compensation of the company’s highest-paid individual, which for FY23 was the Interim CEO, Sherry Duhe and for FY22 was the CEO at the time, Sandeep Biswas.
The ratio of the annual total compensation for Newcrest's highest-paid individual to the median annual total compensation for all employees for FY23 is 12:1. This compares to the ratio in FY22 of 57:1.  The change from FY22 to FY23 is primarily due to a change in the highest paid individual from year to year.  Moreover, Sherry Duhe commenced FY23 as the CFO before being appointed Interim CEO on 19 December 2022.  The remuneration set as Interim CEO was significantly lower than her predecessor. Additionally, Sandeep Biswas’s remuneration in FY22 included vesting of previously granted Long Term Incentive awards, whereas Sherry Duhe did not have any Long Term Incentive awards vesting in FY23, due to her joining Newcrest comparatively recently.
Further detail on the highest paid individual can be obtained within the Remuneration Reports that form part of Newcrest’s 2022 and 2023 Annual Reports. 

Due to the total compensation of the highest paid individual decreasing by 75% from FY22 to FY23, the “ratio of percentage increase” required under Disclosure 2-21 b. cannot be meaningfully calculated.

The ratios were determined using actual total remuneration received during the 12 month period up to 30 June each year, including any annual incentive payments, vested equity, and location and roster allowances. The calculation excludes independent contractors and casual employees. Only active employees as at 30 June each year were considered in this analysis. Full-time equivalent pay rates are used for part-time employees. To arrive at a meaningful outcome, certain assumptions were made in determining the actual total remuneration received.",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,GRI 2-27 Compliance with laws and regulations FY23 (1),,,,,,,,,,,,
,,,Cadia,,,Lihir,,,,,,,,
,,"Significant instances of non-compliance with laws and regulations during the reporting period and monetary value of fines for instances of noncompliance
with laws and regulations that were paid during the reporting period.","1 x fine of A$15,000 (Failure to comply with Condition U1.1 of Cadia’s Environment Protection Licence by failing to maintain the dust suppression cover of the entire Tailings Storage Facility.)

1 x non-monetary sanction (The NSW Environment Protection Authority (EPA) issued a Prevention Notice in terms of Section 96 of the Protection of the Environment Operations Act 1997 (NSW) directing  Cadia to undertake certain preventative actions because the EPA reasonably suspects that an activity has been or is being carried on at Cadia in an environmentally unsatisfactory manner relating to the air emissions being discharged from Ventilation Rise 8  in exceedance of the prescribed standard of concentrations for the emission of solid particles from an activity or plant set out in the Protection of the Environment Operations (Clean Air) Regulations 2021.)",,,"6 x Administrative penalties associated with Customs Duties. Four of which were greater than AUD $15,000
PGK 105,694        Short Duty 
PGK 52,847          50% penalty on short paid amount
PGK 200,137        Short Duty 
PGK 100,068        Penalty for short duty payment",,,,,,,,
,,"(1) Newcrest has determined instances of significant instances of non-compliance as fines of over $AUD15,000",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,GRI 2-28 Membership of associations FY23,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"• Australian Resources and Energy Employer Association (AREEA)
•Association for Exploration and Mining Development Indonesia (EMD-I)
•Australasian Investor Relations Association
•Australia-Fiji Business Council
•Australia-Latin America Business Council
•Australian Mining, Infrastructure, Energy & Resources Chamber in •Indonesia (AusMinCham)
•Australia-Papua New Guinea Business Council
•Business Council of Papua New Guinea
•Chamber of Minerals and Energy of Western Australia
•Committee for the Economic Development of Australia
•Copper Mark
•Corporate Tax Association of Australia
•Diversity Council of Australia
•Ecuador’s Chamber of Mining
•Ecuador’s Women in Mining Chapter
•Ecuadorian Chamber of Industries and Production
•Employers‘ Federation of Papua New Guinea
•Extractive Industries Transparency Initiative
","•Fiji Australia Business Council
•Fiji Commerce and Employers Federation
•Fiji Mining and Quarrying Council
•Institute of National Affairs, Papua New Guinea
•International Copper Association Australia
•International Council on Mining and Metals
•International Cyanide Management Institute
•International Molybdenum Association
•Lae Chamber of Commerce
•Melbourne Mining Club
•Minerals Council of Australia
•Mining Association of British Columbia
•New South Wales Minerals Council
•Papua New Guinea Chamber of Mines and Petroleum
•Port Moresby Chamber of Commerce
•Queensland Resource Council
•Sustainable Minerals Institute – University of Queensland
•Suva Chamber of Commerce and Industry
•Voluntary Principles on Security and Human Rights
•World Gold Council",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,GRI 2-30 Collective bargaining agreements (%) FY23,,,,,,,,,,,,
,,,Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Exploration,Havieron,Namosi,Wafi-Golpu,Corporate Offices,
,,Employees covered,18,0,68.1,0,0,51.75,0,0,0,0,0,
