Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
31,,,Female turnover (of all employees) (%),3.4,0.076,2.08,1.82,4.48,4.54,8.33,3.33,0,1.7,3.54,,,,,,,,,,,
33,,,Age Group,Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Havieron,Exploration,Namosi,Wafi-Golpu,Corporate Offices,,,,,,,,,,,
34,,,Total employees <30 (#),941,199,213,249,128,63,8,3,0,1,78,,,,,,,,,,,
35,,,Total new hires <30 (#),374,79,92,82,62,17,1,1,0,1,40,,,,,,,,,,,
36,,,Employees <30 turnover (#),173,76,27,23,23,19,1,0,0,0,4,,,,,,,,,,,
37,,,Turnover employees <30 (of total employees) (%),2.62,0.079,2.01,0.93,2.86,3.92,2.78,0,0,0,0.94,,,,,,,,,,,
38,,,Total employees 30-50 (#),4127,541,848,1720,444,273,17,39,4,47,241,,,,,,,,,,,
39,,,Total new hires 30-50 (#),819,157,123,319,127,52,7,1,0,3,33,,,,,,,,,,,
40,,,Employees 30-50 turnover (#),676,125,113,228,104,66,5,8,0,3,27,,,,,,,,,,,
41,,,Turnover employees 30-50 (of total employees) (%),10.26,0.131,8.41,9.21,12.95,13.61,13.89,13.33,0,5.2,6.37,,,,,,,,,,,
42,,,Total employees 50+ (#),1523,216,282,507,231,149,11,18,4,10,105,,,,,,,,,,,
43,,,Total new hires 50+ (#),233,38,34,69,54,19,6,1,0,0,12,,,,,,,,,,,
44,,,Employees 50+ turnover (#),244,56,31,60,56,21,2,4,0,0,14,,,,,,,,,,,
45,,,Turnover employees 50+ (of total employees) (%),3.7,0.059,2.31,2.42,6.97,4.33,5.56,6.67,0,0,3.3,,,,,,,,,,,
50,,,GRI 401-1 New employee hires and employee turnover FY19-23,,,,,,,,,,,,,,,,,,,,,,
51,,,Employment Type,FY23,FY22,FY21,FY20,FY19,FY18,,,,,,,,,,,,,,,,
52,,,Total full-time employees (#),6436,5173,4887,5833,5273,5048,,,,,,,,,,,,,,,,
53,,,Full-time employee turnover to total full-time (%),15.24,18.15,15,12,13,14,,,,,,,,,,,,,,,,
54,,,Total part-time employees (#),155,54,39,51,61,52,,,,,,,,,,,,,,,,
55,,,Part-time employee turnover to total part-time (%),1.74,18.52,23,18,16,15,,,,,,,,,,,,,,,,
56,,,Gender,,,,,,,,,,,,,,,,,,,,,,
57,,,Total males employed (#),5442,4362,4182,5082,4583,4406,,,,,,,,,,,,,,,,
58,,,Male turnover (of male employees) (%),15.95,18.23,15,11,12,14,,,,,,,,,,,,,,,,
59,,,Females employed (#),1149,863,744,802,751,694,,,,,,,,,,,,,,,,
60,,,Female turnover (of female employees) (%),19.5,17.73,8,17,18.9,15,,,,,,,,,,,,,,,,
64,,,01-3 Return to work and retention after parental leave by gender FY23,,,,,,,,,,,,,,,,,,,,,,
65,,,,Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Havieron,Exploration,Namosi,Wafi-Golpu,Corporate Offices,,,,,,,,,,,
66,,,Male employees entitled to parental leave (#),4505,752,980,1716,453,348,17,39,4,0,196,,,,,,,,,,,
67,,,Male employees that took parental leave (#),147,12,85,4,4,31,1,1,0,0,9,,,,,,,,,,,
68,,,Male employees that returned to work after parental leave (#),131,9,76,4,1,30,1,1,0,0,9,,,,,,,,,,,
69,,,Return rate of male employees who took parental leave (%),94.25,100,93.83,100,100,90.91,100,100,100,0,100,,,,,,,,,,,
70,,,Male employees that returned to work after parental leave and were employed 12 months after returning to work (#)(1),118,4,72,3,4,24,0,1,0,0,10,,,,,,,,,,,
72,,,Female employees entitled to parental leave (#),933,203,114,290,107,49,5,18,4,7,143,,,,,,,,,,,
73,,,Female employees that took parental leave (#),87,3,26,39,5,6,0,0,0,0,8,,,,,,,,,,,
74,,,Female employees that returned to work after parental leave (#),56,3,19,25,1,5,0,0,0,0,3,,,,,,,,,,,
75,,,Return rate of female employees who took parental leave (%),,100,100,92.59,100,100,100,100,100,0,100,,,,,,,,,,,
76,,,Female employees that returned to work after parental leave and employed 12 months after returning to work (#)(1),49,0,15,19,1,0,0,0,0,0,14,,,,,,,,,,,
78,,,(1) Employees whose parental leave ended in FY22 (between July 2021 to June 2022) and have completed 12 months in organisation in FY23 (between July 2022 to June 2023).,,,,,,,,,,,,,,,,,,,,,,
82,,,Labor/ Management Relations,,,,,,,,,,,,,,,,,,,,,,
84,,,Disclosure 402-1 Minimum notice periods regarding operational changes,,"The minimum number of weeksÃ¢ÂÂ notice typically provided to employees and their representatives prior to the implementation of significant operational changes that could substantially affect them is four weeks.\nCadia: There are general consultation provisions under the Cadia EA (2021-2025) (p.10-11) but there is no specification on the number of weeks. Telfer: There is a general consultation clause in the Telfer EA (2020-2024) but there is no notice period specified. Red Chris: An agreement is pending release, specific notice period for change is not yet documented. There is no collective bargaining agreement for Brucejack, Lihir, Havieron, regional/corporate offices.",,,,,,,,,,,,,,,,,,,,
88,,,Occupational Health and Safety 403-1 to 403-8,,,,,,,,,,,,,,,,,,,,,,
90,,,Disclosure 403-1 Occupational health and safety management system,Has an occupational health and safety management system has been implemented?,,,"The system is implemented in line with the legal requirements in the locations in which we operate, including Australian Work Health and Safety Acts and regulations; New South Wales Work Health and Safety (Mines and Petroleum Sites) Act and Regulation, Western Australian Mines Safety and Inspection Act and Regulations; Canada Mines Act and Health Safety and Reclamation Code for Mines in British Columbia and Papua New Guinea Mining Safety Act and Regulations.",,,,,,,,,,,,,,,,,,
91,,,,"Has the system been implemented because of legal requirements? If YES, please list these requirements.",,,"The system is implemented in line with the legal requirements in the locations in which we operate, including Australian Work Health and Safety Acts and regulations; New South Wales Work Health and Safety (Mines and Petroleum Sites) Act and Regulation, Western Australian Mines Safety and Inspection Act and Regulations; Canada Mines Act and Health Safety and Reclamation Code for Mines in British Columbia and Papua New Guinea Mining Safety Act and Regulations.",,,,,,,,,,,,,,,,,,
92,,,,"Has the system has been implemented based on recognized risk management and/or management system standards/guidelines? If YES, please list these requirements.",,,The Newcrest Health Safety Environment Management System (HSEMS) aligns with the requirements of ISO 45001 Occupational health and safety management systems and ISO 31000 Risk Management.,,,,,,,,,,,,,,,,,,
93,,,,"Describe the scope of workers, activities, and workplaces covered by the occupational health and safety management system, and an explanation of whether and, if so, why any workers, activities, or workplaces are not covered.",,,"The Standards apply to all managed Newcrest sites throughout the entire lifecycle, including exploration, construction, development, operation and closure. They apply to all Newcrest employees, contractors, subcontractors and visitors. Joint ventures, where Newcrest is not the managing entity, and external independent contractor facilities, are not covered by the HSEMS.",,,,,,,,,,,,,,,,,,
