Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
104,,,,"Are occupational health and safety topics covered in local or global formal agreements with trade unions? If YES, please describe.",,,No information disclosed.,,,,,,,,,,,,,,,,,,
105,,,Disclosure 403-5 Worker training on occupational\nhealth and safety,"Describe any occupational health and safety training provided to employees and contractors, including generic training as well as training on specific work-related hazards, hazardous activities, or hazardous situations.",,,"As defined in HSEMS Standard 05 Training, Competence and Awareness, competency based training plans are established based on a training needs analysis for each role. The training includes minimum compliance requirements, qualifications, legislative licences, regulatory tickets and HSE competencies. Training is assessed through an approved structure of written, e-learning, simulation and on-the-job observations with training records maintained in a Learning Management System.",,,,,,,,,,,,,,,,,,
106,,,403-6 Promotion of worker health,"Explain how the organization facilitates employees and contractorsÃ¢ÂÂ access to non-occupational medical and healthcare services, and the scope of access provided.",,,"In addition to the Occupational Health Services provided as defined in 403-3, Newcrest provides confidential access to an Employee Assistance Program for counselling on non-occupational health issues (including mental wellbeing, dietary advice, health and lifestyle issues).",,,,,,,,,,,,,,,,,,
107,,,,"Describe any voluntary health promotion services and programs offered to employees and contractors to address major non-work-related health risks, including the specific health risks addressed, and how the organization facilitates workersÃ¢ÂÂ access to these services and programs.",,,"Newcrest provides voluntary health promotion services and programs including access to health promotion webinars facilitated online monthly with topics covered including cancer, wellbeing at work, hearing awareness and conservation, etc. Exercise physiology services are provided at our mine site residential facilities including fitness class programming and personal assessments.",,,,,,,,,,,,,,,,,,
108,,,,Describe how the organization maintains the confidentiality of employee and contractorsÃ¢ÂÂ personal health related Information and how the organization ensures that their personal health-related information and their participation in any services or programs is not used for any favourable or unfavourable treatment.,,,Information related to the use of the Employee Assistance Program (EAP) and Occupational Health Services is strictly confidential in accordance with the Newcrest Privacy Standard. Access to personal information in Occupational health databases is restricted through security profile configuration and file security. The EAP is provided by a third party. The consultations are strictly confidential. The EAP provider will not share personal information with anyone unless authorised to do so by you in writing.,,,,,,,,,,,,,,,,,,
109,,,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,"Describe the organizationÃ¢ÂÂs approach to preventing or mitigating significant negative occupational health and safety impacts that are directly linked to its operations, products, or services by its business relationships, and the related hazards and risks.",,,"Risk assessments are undertaken at all levels of the organisation and on all activities to identify hazards, assess risks, understand causes and impacts, and determine controls to reduce the risks to as low as reasonably practicable as defined in the Newcrest Risk Management Standard.",,,,,,,,,,,,,,,,,,
110,,,403-8 Workers covered by an occupational\nhealth and safety management system,"State the number and percentage of all employees and workers who are not employees but whose work and/or workplace is controlled by the organization, who are covered by NewcrestÃ¢ÂÂs health and safety system (contractors).",,,"NewcrestÃ¢ÂÂs HSE Management System covers 100% of employees and contractors. As stated in HSEMS Standard 06 Contractor Management and \nProcurement, for major contracts, the contract owner may approve a contactor to use their own HSE management system if it meets the intent of the Group HSE Management System. The Newcrest contract owner shall undertake an assessment of the contractorÃ¢ÂÂs HSE management system against the Newcrest HSE Management System.",,,,,,,,,,,,,,,,,,
111,,,,"Has the system been internally audited? If YES, state the number and percentage of these workers for which this applies.",,,"NewcrestÃ¢ÂÂs HSEMS, is internally audited in accordance with the Newcrest Assurance Standard.",,,,,,,,,,,,,,,,,,
112,,,,"Has the system been audited or certified by an external party? If YES, state the number and percentage of these workers for which this applies.",,,Newcrest's HSEMS is audited by external parties in in accordance with the Newcrest Assurance Standard.,,,,,,,,,,,,,,,,,,
117,,,GRI 403-2 Work-related injuries FY18-22 (1)(2)(3),,,,,,,,,,,,,,,,,,,,,,
118,,,Lost Time Injury Frequency Rate (LTIFR) (per million hours worked),FY23,,,FY22,,,FY21,,,FY20,,,FY19,,,FY18,,,FY17,FY16,FY15,
119,,,,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Company,Company,
120,,,Company (excluding Red Chris) (4) (only applicable for FY20),,,,,,,,,,0.2,0.3,0.2,,,,,,,,,,
121,,,Company (excluding Brucejack) (4) (only applicable for FY22),,,,0.86,1.03,0.76,,,,,,,,,,,,,,,,
123,,,Company (4),0.69,0.69,0.69,0.83,0.97,0.7429709508441397,0.457712561942622,0.451426059436019,0.460310636029618,0.545478447328328,0.9,0.3,0.4,0.6,0.5,0.5,0.3,0.7,0.6,0.7,0.4,
124,,,Brucejack,3.08,3.62,2.13,0,0,0,,,,,,,,,,,,,,,,
125,,,Cadia,1.79,0.46,3.42,3.31,4.34,2.31,2.12682895474392,1.44372782073135,2.78590591624267,0.8,1.7,0,1.8,2.1,1.6,2,0.8,2.9,2.3,2.7,1.3,
126,,,Lihir,0.07,0,0.12,0.07,0,0.12,0.05,0,0.0822061770379076,0.1,0,0.1,0.2,0.2,0.2,0,0,0,0.1,0.2,0.1,
127,,,Red Chris,0.85,1.63,0,2.49,1.72,3.21,1.31290511328402,1.88816939145245,0.815805746862003,7,9.3,4.2,,,,,,,,,,
128,,,Telfer,0.5,0,0.64,0.26,0,0.33,0.22,0,0.275212491564737,0.2,0,0.3,0.7,2,0.3,1.7,2.3,1.5,1.2,0.6,1.3,
129,,,Exploration,1.03,0,1.42,1.2288333456216667,0,1.6650460218720446,1.93,0,2.56500360383006,0,0,0,0,0,0,0,0,0,0,0,3.4,
130,,,Project Delivery,0.43,0,0.49,0.7,0,0.73,,,,,,,,,,,,,,,,
131,,,Namosi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132,,,Corporate Offices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,
133,,,Wafi-Golpu,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,3.6,0,0,0,0,0,0,
137,,,GRI 403-9 Total Recordable Injury Frequency Rate,,,,,,,,,,,,,,,,,,,,,,
138,,,(TRIFR) (per million hours worked) (1)(2)(3)(4)(5)(6)(7),FY23,,,FY22,,,FY21,,,FY20,,,FY19,,,FY18,,,FY17,FY16,FY15,
139,,,,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,Company,Company,Company,
140,,,Company (excluding Red Chris) (8) (only applicable for FY20),,,,,,,,,,2.1,1.3,2.6,,,,,,,,,,
141,,,Company (excluding Brucejack) (9) (only applicable for FY22),,,,3.98,1.97,5.14,,,,,,,,,,,,,,,,
143,,,Company (4),2.97,2,3.64,4.01,1.86,5.31,2.25804863891694,1.9914550285552,2.39679404828102,2.6,2.2,2.8,2.3,1.4,2.9,2.4,1.2,3.2,3.3,3.7,3.6,
144,,,Brucejack,6.16,5.43,7.47,1.1090741116593634,0,3.2209127422529,,,,,,,,,,,,,,,,
145,,,Cadia,4.09,1.85,6.84,8.26,6.27,10.18,6.1,3.84994085528361,8.357717748728,4.9,3.4,6.2,5.9,3.5,7.7,6.7,1.6,10.3,10.7,10.6,8.1,
146,,,Lihir,0.56,0.17,0.81,1.18,0.54,1.61,0.3,0.49473511140033,0.246618531113723,0.6,0.3,0.7,0.6,0.5,0.7,0.5,0.6,0.4,0.7,0.6,1.1,
147,,,Red Chris,5.1,5.71,4.43,7.05,2.58,11.22,6.6,8.49676226153601,4.89483448117202,12.7,15.1,9.8,,,,,,,,,,
148,,,Telfer,7.83,4.67,8.69,5.39,2.39,6.22,4.2,2.21359167423899,4.67861235660053,5.2,3,5.9,7.3,4.9,8,9.4,6.9,10.1,10.7,10.9,10.7,
149,,,Exploration,6.19,3.76,7.1,12.288333456216668,0,16.7,1.9,0,2.56500360383006,5.4,7.7,4.8,2.2,0,3.7,0,0,0,2.9,0,1.2,
150,,,Project Delivery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151,,,Namosi,2.56,0,2.95,6.95,13.24,6.6,,,,,,,,,,,,,,,,
152,,,Corporate Offices,0,0,0,0.7,0,1.47,0,0,0,1.1,0,4.3,0,0,0,0,0,0,0,2.6,0,
153,,,Wafi-Golpu,0,0,0,0,0,0,4.9,0,12.5369841031042,2.3,0,6.7,2.6,2,3.6,0,0,0,0,0,0,
154,,,"(1) In line with ICMM guidelines, the calculation of Company-wide TRIFR and LTIFR only includes operational sites and joint ventures in which Newcrest has a controlling interest; therefore, Wafi-Golpu is excluded. \n(2) Prior to FY22, injuries and hours recorded from Project delivery activities were included in the Company-wide TRIFR and LTIFR.\n(3) The number of injuries and hours used to calculate TRIFR and LTIFR is not reported.\n(4) TRIFR, LTIFR and high consequence metrics do not currently capture any potential or actual illnesses or injuries arising from psychological hazards (as defined within GRI 403: Occupational Health and Safety 2018). \n(5) The main types of injuries for employees and contractors were lacerations, sprains/strains, crushing/contusion and fractures. \n(6) Injury rates are not reported by gender or types of work-related injury.\n(7) During FY22, a review on the calculations for all exposure hours across Newcrest was conducted. There were no material discrepancies however, the findings led to a higher level of reporting accuracy. \n(8) A company total is presented both including and excluding Red Chris due to the acquisition during FY20. Date of acquisition (16 August 2019).\n(9) A company total is presented both including and excluding Brucejack due to the acquisition during FY22. Date of acquisition (25 February 2022).",,,,,,,,,,,,,,,,,,,,,,
157,,,High-Consequence Work-Related Injuries,FY23,,,FY22,,,FY21,,,,,,,,,,,,,,,
158,,,,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,,,,,,,,,,,,,
160,,,Company,6,1,5,6,3,3,0,0,0,,,,,,,,,,,,,
161,,,Brucejack,1,0,1,0,0,0,,,,,,,,,,,,,,,,
162,,,Cadia,2,1,1,3,3,0,0,0,0,,,,,,,,,,,,,
163,,,Lihir,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
164,,,Red Chris,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
165,,,Telfer,2,0,2,2,0,2,0,0,0,,,,,,,,,,,,,
166,,,Exploration,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
167,,,Project Delivery,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
168,,,Namosi,1,0,1,1,0,1,-,-,-,,,,,,,,,,,,,
169,,,Corporate Offices,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
170,,,Wafi-Golpu,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
172,,,"Note: High-consequence injuries were reported for the first time in FY21 in line with GRI 403-9 (2018). \nTRIFR, LTIFR & High consequence metrics do not currently capture any potential or actual illnesses or injuries arising from psychological hazards (as defined within GRI 403: Occupational Health and Safety 2018).",,,,,,,,,,,,,,,,,,,,,,
177,,,Additional notes: High-Consequence Work-Related Injuries,,,,,,,,,,,,,,,,,,,,,,
178,,,Work-related hazards that pose a risk of high consequence injury,The main types of work-related hazards that pose a risk of high consequence injury include: Air Blast; Confined Spaces; Contact with Electricity; Drowning; Entanglement and Crushing; Exposure to Hazardous Substances; Lifting Operations; Slope Failure; Geothermal Ourburst; Thermal Extremes; Underground Fire; Underground Hazardous Atmosphere; Underground Hoisting; Underground Inrush; Underground Fire; Underground Rock Fall; Unplanned initiation of Explosives; Vehicle Impact on Person; Vehicle Collision or Rollover; Falling Objects; Fall from Height; Uncontrolled Release of Energy; Aviation; Fire; Dam Failure; Manual Handling; Slope Failure; Ergonomics.,,,,,,,,,,,,,,,,,,,,,
179,,,How have these hazards been determined?,"The hazards have been determined in accordance with the Newcrest Risk Management Standard, with identification through Newcrest's historical incident experience, Risk register and risk assessment reviews, Industry and/or Professional experience and research and document reviews.",,,,,,,,,,,,,,,,,,,,,
