Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
25,,2.0,General Disclosures,2-24,Embedding policy commitments,,Group Fit and Proper Policy,,,IAG,2023.0,"IAG has a Fit and Proper Policy (F&P Policy) that addresses the requirements of APRA Prudential Standard CPS 520 Fit and Proper. The F&P Policy requires an assessment before the appointment and an annual evaluation after that of Directors and certain members of Senior Management and responsible auditors, including determining whether they have the appropriate skills, experience, and knowledge to perform their role and act honestly.",,,,,13,,,"Fit and Proper, Assessment, Integrity",16,S,10,,,,,,,,,,,,,,,
26,,2.0,General Disclosures,2-24,Embedding policy commitments,,Subsidiary Governance Policy,,,IAG,2023.0,"The Subsidiary Governance Policy sets out the corporate governance principles and requirements for IAG's subsidiaries and any other joint venture or entities it controls and, where appropriate, other entities in which the IAG Group has a minority equity interest.",,,,,13,,,"Subsidiary Governance, Principles, Requirements",16,G,10,,,,,,,,,,,,,,,
27,,2.0,General Disclosures,2-24,Embedding policy commitments,,Group Security Trading Policy,,,IAG,2023.0,"The Group Security Trading Policy (Trading Policy) restricts designated people and their closely related parties from dealing in IAG securities where required. Where trading is permitted under the Trading Policy, Specified Persons (as defined in the Trading Policy) must seek approval before trading in IAG Securities.",,,,,13,,,"Security Trading, Restricted, Approval",16,S,10,,,,,,,,,,,,,,,
28,,2.0,General Disclosures,2-25,Processes to remediate negative impacts,Our Code of Ethics & Conduct (Code) sets out the behaviours expected of everyone at IAG. The Code provides our people with principles and a framework to make informed business decisions. It also offers specific guidance on making the right decision and doing the right thing.,,,,IAG,2023.0,,,,,,13,,,,,,,,,,,,,,,,,,,,,
29,,2.0,General Disclosures,2-26,Mechanisms for seeking advice and raising concern,"We provide an independent whistleblower reporting line, maintained 24 hours a day, seven days a week. Material cases made under the Group Whistleblower Policy are reported to Senior Management. The BRC is provided with regular reporting on whistleblower matters.",,,,IAG,2023.0,,,,,,13,,,,,,,,,,,,,,,,,,,,,
30,,2.0,General Disclosures,2-27,Compliance with laws and regulations,"For the financial year ending 30 June 2023, IAG complied with the ASX Corporate Governance Council Corporate Governance Principles and Recommendations (4th edition). IAGÃ¢ÂÂs 2023 Corporate Governance Statement and Appendix 4G have these compliance details. This Corporate Governance Statement is current as of 21 August 2023 and has been approved by the Board.",,,,IAG,2023.0,,,,,,51,,,,,,,,,,,,,,,,,,,,,
31,,2.0,General Disclosures,2-28,Membership associations,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,"As part of our Net Zero Roadmap commitments, we are developing a customer engagement target for our insurance-associated emissions. This target will help us to bring our customers along on the journey as our underwriting approach evolves.",,,,IAG,2023.0,,,,,,31,,,,,,,,,,,,,,,,,,,,,
33,,2.0,General Disclosures,2-30,Collective bargaining agreements,Suppliers must ensure that workersÃ¢ÂÂ rights to freedom of association and collective bargaining are respected and that workers have the right to form and join trade unions by local laws.,,,,IAG,2023.0,,,,7,,,,,,,,,Supplier Code of Conduct,,,,,,,,,,,,,,
34,,3.0,Material Topics,3-1,Process to determine material topics,,Comprehensive materiality assessment,,,IAG,2023.0,"Guided by the Global Reporting Initiative (GRI) Standards, we completed a comprehensive materiality assessment in FY22. This financial year, we re-examined the outcomes of that assessment with a customer survey and a review of industry and global socio-economic trends.",,,,,13,,,"Global Reporting Initiative, Standards, Materiality","12, 17",G,12,,,,,,,,,,,,,,,
