Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
45,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,NRMA COVID-19 Relief Program and NRMA HELP package,,,IAG,2023.0,Our FY22 investment was elevated due to our extra support to communities impacted by the pandemic and extreme weather events through our NRMA COVID-19 Relief Program and NRMA HELP package.,,,,,24,,,"Pandemic Relief, Extreme Weather Events Support","3, 13, 17","S, G","1, 8",,,,,,,,,,,,,,,
46,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Independent market research,,,IAG,2023.0,"We engaged in independent market research to understand levels of preparedness before and after the North Island floods and ex-Tropical Cyclone Gabrielle in early 2023. By sharing our claims analysis and research alongside simple actions people can take, we are supporting our customers in getting prepared.",,,,,24,,,"Market Research, Preparedness, Claims Analysis","3, 13, 17","S, G","1, 8",,,,,,,,,,,,,,,
47,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Get Prepared app,,,IAG,2023.0,"We have a more significant impact when we work with our partners to develop programs that help our customers and the community prepare for, respond to, and recover from extreme weather. As an example, included in Figure 3, we featured the refreshed Get Prepared app that we co-created through our Australian Red Cross partnership in the NRMA Insurance' First Saturday' winter campaign.",,,,,25,,,"Partnerships, Extreme weather, Community support","3, 13, 17","S, G","1, 8",,,,,,,,,,,,,,,
48,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,"~132,000 Increase in customer numbers in Direct Insurance Australia in FY23. $10,203m claims were paid (up 20% from $8,488m in FY22).",,,,IAG,2023.0,,,,,,14,,,,,,,,,,,,,,,,,,,,,
49,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,"$AUD 1,1m indigenous supplier spend",,,,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Code of Ethics and Conduct,,,IAG,2023.0,Our Code of Ethics & Conduct (Code) sets out the behaviours expected of everyone at IAG. The Code provides our people with principles and a framework to make informed business decisions.,,,,,13,,,"Ethics, Conduct, Framework",16,G,4,,,,,,,,,,,,,,,
52,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Group Anti-Bribery and Corruption Policy,,,IAG,2023.0,"The Group Anti-Bribery and Corruption Policy (ABC Policy) supports IAG's purpose and strategy by prohibiting bribery and corruption, providing precise requirements for managing bribery and corruption risks, and compliance with relevant laws and regulations. All material breaches are reported to the Board by the Group's Chief Risk Officer.",,,,,13,,,"Anti-Bribery, Corruption, Compliance",16,S,10,,,,,,,,,,,,,,,
53,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Group Conflicts of Interest Policy,,,IAG,2023.0,The Group Conflicts of Interest Policy sets out IAG's approach and requirements for managing conflicts of interest across the Group. It is designed to (i) ensure everyone understands how to identify conflicts of interest and what is expected of them when a conflict of interest arises and (ii) promote fairness and honesty.,,,,,13,,,"Conflicts of Interest, Management, Fairness",16,S,10,,,,,,,,,,,,,,,
54,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,207.0,Tax,207-01,Approach to tax,,IAGÃ¢ÂÂs Tax Governance Framework,,,IAG,2023.0,"The strategy is implemented through IAG's Tax Governance Framework, which is approved by the Board and supported by governance processes and controls that ensure it is implemented with continued effectiveness. Based on this, effective policies and processes are in place to manage tax risk.",,,,,,16,,"Tax Governance Framework, Board Approval, Governance Processes",16,G,16,,,,,,,,,,,,,,,
57,,207.0,Tax,207-02,"Tax governance, control, and risk management",The Company and its Australian resident wholly-owned subsidiaries adopted the tax consolidation legislation on 1 July 2002 and are therefore taxed as a single entity from that date. The Company is the head entity within the tax-consolidated group. Tax-consolidated groups are recognised as amounts receivable/(payable) from/(to) other entities in the tax-consolidated group in conjunction with any tax funding arrangement amounts. IAG recognises any difference between these amounts as an equity contribution or distribution.,,,,IAG,2023.0,,,,,,124,,,,,,,,,,,,,,,,,,,,,
58,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,"Audit Committee (BAC) Assists the Board by overseeing the integrity of IAG's external statutory financial reporting for the Group, tax and economic risks, the provision of high-quality financial and audit-related non-financial information that can be relied on by the Board to make informed judgements and the independence of the External Auditor, Internal Auditor, and Chief Actuary.",,,,IAG,2023.0,,,,,,,4,,,,,,,,,,,,,,,,,,,,
59,,207.0,Tax,207-04,Country-by-country reporting,"The difference between the effective tax rate and the Australian corporate rate of 30% is due to the non-deductible items, primarily the $40 million ASIC civil penalty for infringements of the Australian Securities and Investments Commission Act 2001 (Cth) and capital note payments. The effective tax rate is also higher than in previous years due to the lower contribution from New Zealand, which has a 28% tax rate.",,,,IAG,2023.0,,,,,,48,,,,,,,,,,,,,,,,,,,,,
60,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,301.0,Materials,301-02,Recycled input materials used,"Print paper: 697 tonnes, office paper: 15 tonnes.",,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
62,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,302.0,Energy,302-01,Energy consumption within the organization,"Total electricity usage: 11,708 Mwh, Fuel usage 1,538, Natural Gas (AU) / Stationary LPG (NZ): 1,659GJ, total building refrigerants: 1,386kg",,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
64,,302.0,Energy,302-02,Energy consumption outside of the organization,"Working from home 2,563tCO2e",,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
65,,302.0,Energy,302-03,Energy intensity,"Total electricity intensity 1,50%, building refrigerants 0,18%",,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
66,,302.0,Energy,302-04,Reduction of energy consumption,"2% electricity usage reduction, 1% Natural Gas (AU) / Stationary LPG (NZ) reduction, 2% Building refrigerants reduction",,,,IAG,2023.0,,,,,,,,,,,,,FY23-ESG-data-summary,,,,,,,,,,,,,,
67,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
