Unnamed: 0,Unnamed: 0.1,Business Positive,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
141,,,CHEP EMEA,0.159,0.173,0.172,0.151,0.129,0.113,0.07,0.029,0.003,,,,,,,,,,,,,,
142,,,CHEP Asia-Pacific,0.014,0.128,0.176,0.159,0.139,0.114,0.087,0.053,0.019,,,,,,,,,,,,,,
143,,,Corporate,0.171,0.156,0.159,0.145,0.141,0.099,0.075,0.036,0.018,,,,,,,,,,,,,,
144,,Year,Regional Split,<30,30-<35,35-<45,45-<55,55-<65,>65,,,,,,,,,,,,,,,,,
145,,FY21,Group,0.1663,0.1619,0.3226,0.2354,0.1042,0.0097,,,,,,,,,,,,,,,,,
146,,,CHEP Americas,0.4074,0.381,0.7107,0.3519,0.1296,0.0194,,,,,,,,,,,,,,,,,
147,,,CHEP EMEA,0.2676,0.3689,0.6889,0.4798,0.1885,0.0063,,,,,,,,,,,,,,,,,
148,,,CHEP Asia-Pacific,0.1436,0.125,0.3045,0.2686,0.1416,0.0166,,,,,,,,,,,,,,,,,
149,,,Corporate,0.1381,0.1486,0.3112,0.2727,0.1119,0.0175,,,,,,,,,,,,,,,,,
150,,FY20,Group,0.186,0.169,0.318,0.222,0.096,0.009,,,,,,,,,,,,,,,,,
151,,,CHEP Americas,0.224,0.166,0.307,0.2,0.092,0.01,,,,,,,,,,,,,,,,,
152,,,CHEP EMEA,0.173,0.183,0.326,0.227,0.087,0.003,,,,,,,,,,,,,,,,,
153,,,CHEP Asia-Pacific,0.1356,0.14,0.3221,0.2546,0.1273,0.0204,,,,,,,,,,,,,,,,,
154,,,Corporate,0.1385,0.1403,0.3255,0.2572,0.1223,0.0162,,,,,,,,,,,,,,,,,
155,,FY19,Group,0.207,0.168,0.311,0.216,0.091,0.008,,,,,,,,,,,,,,,,,
156,,(exc IFCO),CHEP Americas,0.232,0.161,0.301,0.206,0.091,0.009,,,,,,,,,,,,,,,,,
157,,,CHEP EMEA,0.211,0.181,0.314,0.21,0.08,0.003,,,,,,,,,,,,,,,,,
158,,,CHEP Asia-Pacific,0.148,0.152,0.312,0.246,0.122,0.02,,,,,,,,,,,,,,,,,
159,,,RPCs,,,,,,,,,,,,,,,,,,,,,,,
160,,,Corporate,0.158,0.133,0.344,0.246,0.111,0.009,,,,,,,,,,,,,,,,,
161,,FY19,Group,0.209,0.167,0.309,0.215,0.092,0.008,,,,,,,,,,,,,,,,,
162,,(inc IFCO),CHEP Americas,0.232,0.161,0.301,0.206,0.091,0.009,,,,,,,,,,,,,,,,,
163,,,CHEP EMEA,0.211,0.181,0.314,0.21,0.08,0.003,,,,,,,,,,,,,,,,,
164,,,CHEP Asia-Pacific,0.148,0.152,0.312,0.246,0.122,0.02,,,,,,,,,,,,,,,,,
165,,,RPCs,0.228,0.163,0.29,0.203,0.1,0.015,,,,,,,,,,,,,,,,,
166,,,Corporate,0.158,0.133,0.344,0.246,0.111,0.009,,Back to top,,,,,,,,,,,,,,,
168,Male: female salary ratios,,,,,,,,,,,,,,,,,,,,,,,,,
169,,Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
170,,Group,"Metric no longer reported due to change of methodolgy, see FY23 Sustainability Report for detail.",0.90:1,0.86 : 1,0.86 : 1,0.88 : 1,0.87 : 1,,,,,,,,,,,,,,,,,,
171,,Non-management,,0.95:1,0.90 : 1,0.89 : 1,0.89 : 1,0.86 : 1,,,,,,,,,,,,,,,,,,
172,,Management,,1.10:1,1.12 : 1,1.13 : 1,1.10 : 1,1.11 : 1,,,,,,,,,,,,,,,,,,
174,Group employees taking parental leave during the Year (%),,,,,,,,,,,,,,,,,,,,,,,,,
175,,Gender,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
176,,Group,2.25306,3.2,1.3,1.28,1.822288,1.966962,,,,,,,,,,,,,,,,,,
177,,Male,1.90577,2.8,0.78,0.57,1.289995,1.402695,,,,,,,,,,,,,,,,,,
178,,Female,3.231545,5.1,3.05,3.76,3.571429,3.866171,,,,,,,,,,,,,,,,,,
180,Group employees returning from parental leave during the Year as a percentage of those who took parental leave (%),,,,,,,,,,,,,,,,,,,,,,,,,
181,,Gender,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
182,,Group,72.66436,94.5,129,75.32,40.598291,41.125541,,,,,,,,,,,,,,,,,,
183,,Male,64.444444,87.4,62,77.36,18.110236,18.110236,,,,,,,,,,,,,,,,,,
184,,Female,86.238532,97.4,67,74.26,67.28972,69.230769,,,,,,,,,,,,,,,,,,
186,Voluntary turnover of employees (%),,,,,,,,,,,,,,,,,,,,,,,,,
187,,Regional Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
188,,Group,17.88,22,19.48,19.09,21.3,21.3,,,,,,,,,,,,,,,,,,
189,,CHEP Americas,32.36,40,50.39,39.26,43.3,43.3,,,,,,,,,,,,,,,,,,
190,,CHEP EMEA,7.74,9.3,11.85,6.21,7.8,7.8,,,,,,,,,,,,,,,,,,
191,,CHEP Asia-Pacific,14.26,16.6,13.94,9.81,13.6,13.6,,,,,,,,,,,,,,,,,,
192,,IFCO,,,,,,17.8,,,,,,,,,,,,,,,,,,
193,,Corporate [7],9.6,9.2,6.21,9.35,10.9,10.9,,,Back to top,,,,,,,,,,,,,,,
195,Total number of employee hires,,,,,,,,,,,,,,,,,,,,,,,,,
196,,Regional Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
197,,Group,4421,3945,3693,4131,4465,4751,,,,,,,,,,,,,,,,,,
198,,CHEP Americas,2761,2626,2550,2976,2524,2766,,,,,,,,,,,,,,,,,,
199,,CHEP EMEA,1071,882,730,857,1323,1323,,,,,,,,,,,,,,,,,,
200,,CHEP Asia-Pacific,304,259,331,219,240,240,,,,,,,,,,,,,,,,,,
201,,Corporate,285,178,82,79,136,136,,,,,,,,,,,,,,,,,,
