Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,This page is designed to represent individual country/regional data where there is a legislative/reporting need at that level.,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
37,,Product Split,FY19 (exc IFCO),FY19 (inc IFCO),FY18 (exc IFCO),FY18 (inc IFCO),FY17,FY16,FY15,,,,,,
38,,Pallets AU,,,,,,,,,,,,,
39,,Pallets CL,,,,,,,,,,,,,
40,,Pallets CA,,,,,,,,,,,,,
41,,Pallets EU (Brambles Enterprises Ltd),,,,,,,,,,,,,
42,,Pallets USA,,,,,,,,,,,,,
43,,Pallets ZA,,,,,,,,,,,,,
44,,Total,0,0,,0,0,0,0,,,,,,
46,,Energy and Emissions,,,,,,,,,,,,,
48,,Kilotonnes (kt) of CO2-e [2] (Scope 1 and 2),,,,,,,,,,,,,
50,,Product Split,FY19 (exc IFCO),FY19 (inc IFCO),FY18 (exc IFCO),FY18 (inc IFCO),FY17,FY16,FY15,,,,,,
51,,Pallets AU,15.812,,,,,,,,,,,,
52,,Pallets CL,55,,,,,,,,,,,,
53,,Pallets CA,4.433,,,,,,,,,,,,
54,,Pallets EU (Brambles Enterprises Ltd),7695,,,,,,,,,,,,
55,,Pallets USA,2185,,,,,,,,,,,,
56,,Pallets ZA,9015,,,,,,,,,,,,
59,,Emissions intensity (kg per unit) [1],,,,,,,,,,,,,
61,,Product Split,FY19 (exc IFCO),FY19 (inc IFCO),FY18 (exc IFCO),FY18 (inc IFCO),FY17,FY16,FY15,,,,,,
62,,Pallets AU,0.295,,,0.313,0.311,0.319,0.322,,IFCO TEU intensity not reported,,,,
63,,Pallets CL,,,,,,,,,,,,,
64,,Pallets CA,0.157,,,0.179,0.145,0.182,0.165,,,,,,
65,,Pallets EU (Brambles Enterprises Ltd),0.132,,,0.135,0.124,0.134,0.139,,,,,,
66,,Pallets USA,0.069,,,0.284,0.48,0.498,0.519,,,,,,
67,,Pallets ZA,0.29,,,0.303,0.308,0.296,0.295,,,,,,
70,,Greenhouse gas (GHG) emissions (detail),,,,,,,,,,,,,
72,,Year,Regional Split,Total,,Scope 1,,Scope 2,,,,,,,
73,,,,kt CO2-e,TJ,kt CO2-e,TJ,kt CO2-e,TJ,,,,,,
74,,FY19,Pallets AU,15.812,59.22,3.388,7.3,12.425,51.86,,,,,,
75,,(exc IFCO),Pallets CL,0.55,0.09,0.055,0.09,0,0,,no plants in scope for Scope 2.,,,,
76,,,Pallets CA,4.414,103.75,4.414,72.95,19,30.8,,,,,,
77,,,Pallets EU (Brambles Enterprises Ltd),7.989,85.67,7.393,34.02,0.595,51.65,,,,,,
78,,,Pallets USA,2.185,77.07,3.762,18.47,-1.577,58.59,,,,,,
79,,,Pallets ZA,9.015,25.42,2.993,4.42,6.022,21.01,,,,,,
80,,FY19,Pallets AU,15.812,59.22,3.388,7.3,12.425,51.86,,,,,,
81,,(inc IFCO),Pallets CL,0.55,0.09,0.055,0.09,0,0,,,,,,
82,,,Pallets CA,4.414,103.75,4.414,72.95,19,30.8,,,,,,
83,,,Pallets EU (Brambles Enterprises Ltd),7.989,85.67,7.393,34.02,0.595,51.65,,,,,,
84,,,Pallets USA,2.185,77.07,3.762,18.47,-1.577,58.59,,,,,,
85,,,Pallets ZA,9.015,25.42,2.993,4.42,6.022,21.01,,,,,,
86,,FY18 (exc IFCO),Pallets AU,17.397,71.82,4.259,17.32,13.138,54.5,,,,,,
87,,,Pallets CL,0.053,0.08,0.053,0.08,0,0,,no plants in scope for Scope 2.,,,,
88,,,Pallets CA,5.266,102.81,4.137,70.78,1.129,32.02,,,,,,
89,,,Pallets EU (Brambles Enterprises Ltd),10.25,123.73,9.334,59.94,0.916,63.79,,,,,,
90,,,Pallets USA,32.644,137.21,21.635,50.5,11.009,86.71,,,,,,
91,,,Pallets ZA,8.799,25.95,2.488,3.44,6.311,22.51,,,,,,
92,,FY18 (inc IFCO),Pallets AU,17.397,71.82,4.259,17.32,13.138,54.5,,,,,,
93,,,Pallets CL,0.053,0.08,0.053,0.08,0,0,,,,,,
94,,,Pallets CA,5.266,102.81,4.137,70.78,1.129,32.02,,,,,,
95,,,Pallets EU (Brambles Enterprises Ltd),10.25,123.73,9.334,59.94,0.916,63.79,,,,,,
96,,,Pallets USA,32.644,137.21,21.635,50.5,11.009,86.71,,,,,,
97,,,Pallets ZA,8.799,25.95,2.488,3.44,6.311,22.51,,,,,,
98,,FY17,Pallets AU,,,,,,,,,,,,
99,,,Pallets CL,,,,,,,,,,,,
100,,,Pallets CA,,,,,,,,,,,,
101,,,Pallets EU (Brambles Enterprises Ltd),,,,,,,,,,,,
102,,,Pallets USA,,,,,,,,,,,,
103,,,Pallets ZA,,,,,,,,,,,,
104,,FY16,Pallets AU,,,,,,,,,,,,
105,,,Pallets CL,,,,,,,,,,,,
106,,,Pallets CA,,,,,,,,,,,,
107,,,Pallets EU (Brambles Enterprises Ltd),,,,,,,,,,,,
108,,,Pallets USA,,,,,,,,,,,,
109,,,Pallets ZA,,,,,,,,,,,,
110,,FY15,Pallets AU,,,,,,,,,,,,
111,,revised for target baseline,Pallets CL,,,,,,,,,,,,
112,,,Pallets CA,,,,,,,,,,,,
113,,,Pallets EU (Brambles Enterprises Ltd),,,,,,,,,,,,
114,,,Pallets USA,,,,,,,,,,,,
115,,,Pallets ZA,,,,,,,,,,,,
116,,FY15,Pallets AU,,,,,,,,,,,,
117,,reported,Pallets CL,,,,,,,,,,,,
118,,,Pallets CA,,,,,,,,,,,,
119,,,Pallets EU (Brambles Enterprises Ltd),,,,,,,,,,,,
120,,,Pallets USA,,,,,,,,,,,,
121,,,Pallets ZA,,,,,,,,,,,,
123,,Waste and recycling,,,,,,,,,,,,,
125,,"General waste, recycling and hazardous waste (metric tonnes)",,,,,,,,,,,,,
127,,Year,Product Split,General waste,Recycling,Lumber Reclaimed,Hazardous waste,,,,,,,,
128,,FY19,Pallets AU,6071,18523,1,21,,,,,,,,
129,,(exc IFCO),Pallets CL,0,0,0,0,No sites in scope,,,,,,,
130,,,Pallets CA,8853.6,7921.7,342,0,,,,,,,,
131,,,Pallets EU (Brambles Enterprises Ltd),1643.4,24940.1,1837,10,,,,,,,,
132,,,Pallets USA,,,,,,,,,,,,
133,,,Pallets ZA,,,,,,,,,,,,
134,,FY19,Pallets AU,,,,,,,,,,,,
135,,(inc IFCO),Pallets CL,,,,,,,,,,,,
136,,,Pallets CA,,,,,,,,,,,,
137,,,Pallets EU (Brambles Enterprises Ltd),,,,,,,,,,,,
138,,,Pallets USA,,,,,,,,,,,,
139,,,Pallets ZA,,,,,,,,,,,,
140,,FY18 (exc IFCO),Pallets AU,,,,,,,,,,,,
141,,,Pallets CL,,,,,,,,,,,,
142,,,Pallets CA,,,,,,,,,,,,
143,,,Pallets EU (Brambles Enterprises Ltd),1771.8,23817.4,1604,6.4,,,,,,,,
144,,,Pallets USA,,,,,,,,,,,,
145,,,Pallets ZA,,,,,,,,,,,,
146,,FY18 (inc IFCO),Pallets AU,,,,,,,,,,,,
147,,,Pallets CL,,,,,,,,,,,,
148,,,Pallets CA,,,,,,,,,,,,
149,,,Pallets EU (Brambles Enterprises Ltd),,,,,,,,,,,,
150,,,Pallets USA,,,,,,,,,,,,
151,,,Pallets ZA,,,,,,,,,,,,
152,,FY17,Pallets AU,,,,,,,,,,,,
153,,,Pallets CL,,,,,,,,,,,,
154,,,Pallets CA,,,,,,,,,,,,
155,,,Pallets EU (Brambles Enterprises Ltd),,,,,,,,,,,,
156,,,Pallets USA,,,,,,,,,,,,
157,,,Pallets ZA,,,,,,,,,,,,
158,,FY16,Pallets AU,,,,,,,,,,,,
159,,,Pallets CL,,,,,,,,,,,,
160,,,Pallets CA,,,,,,,,,,,,
161,,,Pallets EU (Brambles Enterprises Ltd),,,,,,,,,,,,
162,,,Pallets USA,,,,,,,,,,,,
163,,,Pallets ZA,,,,,,,,,,,,
164,,FY15,Pallets AU,,,,,,,,,,,,
165,,,Pallets CL,,,,,,,,,,,,
166,,,Pallets CA,,,,,,,,,,,,
167,,,Pallets EU (Brambles Enterprises Ltd),,,,,,,,,,,,
168,,,Pallets USA,,,,,,,,,,,,
169,,,Pallets ZA,,,,,,,,,,,,
173,,[1] Intensities re-stated using new TEU methodology for all years based on FY19 Like4Like,,,,,,,,,,,,,
