Unnamed: 0,Unnamed: 0.1,Business Positive,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
250,,Pulse Survey Question,FY23,FY22,FY21,,,,,,,,,,,,,,,,,,,,,
251,,Leaders value different perspectives (Inclusion) (Benchmark: Brambles Score),75:75,74:74,74:73,,,,,,,,,,,,,,,,,,,,,
252,,I feel comfortable being myself at work (authenticity) (Benchmark: Brambles Score),82:82,81:82,81:82,,,,,,Back to top,,,,,,,,,,,,,,,
254,,"Education, Training and Development [9&10]",,,,,,,,,,,,,,,,,,,,,,,,
256,,Hours,FY23 [12],FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,
257,,"Education, training and development hours",62902,84631,70920.63,62796.95,80088.42,,,,,,,,,,,,,,,,,,,
259,,Year,Regional Split,Per employee,Per male employee,Per female employee,Per non-mgt employee,Per mgt employee,,,,,,,,,,,,,,,,,,
260,,FY23,Group,4.903875,3.822552,7.917284,3.741009,9.522042,,,,,,,,,,,,,,,,,,
261,,,CHEP Americas,5.090968,3.911765,9.963211,3.819592,11.766621,,,,,,,,,,,,,,,,,,
262,,,CHEP EMEA,4.245928,3.09391,6.919451,3.360958,9.050633,,,,,,,,,,,,,,,,,,
263,,,CHEP Asia-Pacific,4.428747,4.002329,6.044118,3.700823,7.773196,,,,,,,,,,,,,,,,,,
264,,,Corporate,8.470179,8.031308,8.947826,8.75,8.455733,,,,,,,,,,,,,,,,,,
265,,FY22,Group,6.859934,5.418213,11.306746,4.682554,5.516566,,,,,,,,,,,,,,,,,,
266,,,CHEP Americas,5.906039,4.407515,13.01737,3.913934,4.307441,,,,,,,,,,,,,,,,,,
267,,,CHEP EMEA,6.287999,4.723388,10.261097,4.360017,5.128644,,,,,,,,,,,,,,,,,,
268,,,CHEP Asia-Pacific,8.564007,8.170063,10.041056,7.395192,4.873479,,,,,,,,,,,,,,,,,,
269,,,Corporate,13.596821,13.816667,13.290909,8.799065,15.993617,,,,,,,,,,,,,,,,,,
270,,FY21,Group,5.91,4.09,9.96,3.77,13.55,,,,,,,,,,,,,,,,,,
271,,,CHEP Americas,4.89,3.89,10.32,3.47,14.05,,,,,,,,,,,,,,,,,,
272,,,CHEP EMEA,5.56,4.02,9.8,3.96,15.28,,,,,,,,,,,,,,,,,,
273,,,CHEP Asia-Pacific,4.3,3.55,7.29,3.23,10.17,,,,,,,,,,,,,,,,,,
274,,,Corporate,10.99,8.54,13.51,10.39,11.44,,,,,,,,,,,,,,,,,,
275,,FY20,Group,5.23,3.72,6.83,3.6,13.71,,,,,,,,,,,,,,,,,,
276,,,CHEP Americas,6.67,4.8,11.92,4.47,21.39,,,,,,,,,,,,,,,,,,
277,,,CHEP EMEA,3.74,2.25,4.93,2.54,10.54,,,,,,,,,,,,,,,,,,
278,,,CHEP Asia-Pacific,5.09,4.62,4.39,4.19,10.29,,,,,,,,,,,,,,,,,,
279,,,Corporate,8,5.74,6.65,8.14,9.14,,,,,,,,,,,,,,,,,,
280,,FY19,Group,7.18,6.25,9.55,5.11,17.29,,,,,,,,,,,,,,,,,,
281,,,CHEP Americas,9.24,7.41,16.23,6.01,27.86,,,,,,,,,,,,,,,,,,
282,,,CHEP EMEA,4.81,3.94,6.98,3.1,16.02,,,,,,,,,,,,,,,,,,
283,,,CHEP Asia-Pacific,10.32,10.45,8.87,9.11,17.24,,,,,,,,,,,,,,,,,,
284,,,Corporate,5.7,3.94,7.69,7.74,4.69,,,Back to top,,,,,,,,,,,,,,,
286,,Responsible Supply Chain,,,,,,,,,,,,,,,,,,,,,,,,
288,,Measure,FY23,FY22,FY21,,,,,,,,,,,,,,,,,,,,,
289,,Percentage of employees who have completed training session 'Know the Code' & 'Induction',0.9164,0.9868,0.9591,,,,,,,,,,,,,,,,,,,,,
290,,Number of suppliers evaluated by Due Diligence process,1044,1085,1269,,,,,,,,,,,,,,,,,,,,,
291,,Number of completed Supplier Acknowledgement Forms,528,590,593,,,,,,,,,,,,,,,,,,,,,
292,,Number of speak up complaints received,107,108,109,,,,,,,,,,,,,,,,,,,,,
293,,Number of speak up complaints resolved,139,100,108,,,,,,Back to top,,,,,,,,,,,,,,,
295,,Footnotes,,,,,,,,,,,,,,,,,,,,,,,,
296,,"[1] Calculated environmental benefits stated in this diagram are based on estimates from: our independent life cycle analyses (LCA), applied to volumes of the products and regions covered by these LCAs only; andinternal data collection (for multimodal/collaborative transport programs and carbon neutral products).\nThese represent a conservative estimate of the global environmental benefits of our pooled products for the Year. Further information is provided in our\nsupplementary information document, available on our website.",,,,,,,,,,,,,,,,,,,,,,,,
297,,[2] 2019 LCA savings were re-calculated and restated. The restatement was performed in 2020 to remediate an issue with LCA allocation.,,,,,,,,,,,,,,,,,,,,,,,,
298,,[3] FY20 data was restated due to a more recent LCA study undertaken in the US,,,,,,,,,,,,,,,,,,,,,,,,
299,,"[4] FY20 Note: Due to the pandemic of COVID-19, many markets opted for not launching the Relationship Survey in the last quarter of FY20 (FY20_Q4). Only NA and Australia - Pallet and Pallecon invited customers to participate in the survey in May-June 2020.",,,,,,,,,,,,,,,,,,,,,,,,
300,,[5] In FY22 the methodology changed from quarterly 2-year cycle to six-monthly annual cycle and from 80% revenue to 100% sampling of contacts in Salesforce. This resulted in responses in FY22 being more than double the responses in FY21.,,,,,,,,,,,,,,,,,,,,,,,,
301,,[6] Totals not equaling 100 due to some employees' gender being undeclared,,,,,,,,,,,,,,,,,,,,,,,,
302,,"[7] Included Containers Aerospace, Oil & Gas and LeanLogistics Prior to their divestment",,,,,,,,,,,,,,,,,,,,,,,,
303,,[8] Age categories updated in alignment with our internal system for ease of reporting,,,,,,,,,,,,,,,,,,,,,,,,
304,,"[9] Prior to FY21, this dataset was reported as days rather than hours. The reason for the change is the Workday system has better capability to report in hours, this gives a clearer less error prone process",,,,,,,,,,,,,,,,,,,,,,,,
305,,"[10] Data reported excludes any offline training, figures reported are directly from Brambles Learning Management System (LMS)",,,,,,,,,,,,,,,,,,,,,,,,
306,,"[11] FY23 Note: As of Sept 2022 there was a change of survey methodology to a waveless format, surveying 100% of customers in an annual basis",,,,,,,,,,,,,,,,,,,,,,,,
307,,[12] excludes a course called EMPOWER: Giving Feedback for Collaboration due to correction required on course duration,,,,,,,,,,,,,,,,,,,,,,,,
