Unnamed: 0,Unnamed: 0.1,Business Positive,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
40,,FY22,Group,2480283,3103586,1454048,0,4470316,20851,,,,,,,,,,,,,,,,,
41,,,Pallets,2344414.333547,2297526.046876,1432179.276833,0,3128630.431932,20851,,,,,,,,,,,,,,,,,
42,,,RPCs,135868.839204,133151.46242,21869.082951,0,1341685.309483,,,,,,,,,,,,,,,,,,
43,,,Transport collaboration/multimodal programs,105962,-,-,-,-,,,,,,,,,,,,,,,,,,
44,,FY21,Group,2353468,3248917,1417610,-,3164184,18667,,,,,,,,,,,,,,,,,
45,,,Pallets,2316571,3248917,1409059,-,2571772,18667,,,,,,,,,,,,,,,,,
46,,,RPCs,36898,-,8551,-,592412,-,,,,,,,,,,,,,,,,,
47,,,Transport collaboration/multimodal programs,112419,-,-,-,-,-,,,,,,,,,,,,,,,,,
48,,FY20 (restated) [3],Group,2307948,3168910,1400788,-,2987710,8699,,,,,,,,,,,,,,,,,
49,,,Pallets,2280247.223337,3168910,1393505.012674,-,2467557.134231,8699,,,,,,,,,,,,,,,,,
50,,,RPCs,27700.391605,-,7282.982912,-,520153.075203,,,,,,,,,,,,,,,,,,
51,,,Transport collaboration/multimodal programs,86196.214523,0,0,-,0,0,,,,,,,,,,,,,,,,,
52,,FY20,Group,2026834.848,1761119,1316689,-,2523580,8699,,,,,,,,,,,,,,,,,
53,,,Pallets,2010065.08,1761119,1293432,-,2399410,8699,,,,,,,,,,,,,,,,,
54,,,RPCs,16769.768,-,23257,-,124169,,,,,,,,,,,,,,,,,,
55,,,Transport collaboration/multimodal programs,86196.214523,0,0,-,0,0,,,,,,,,,,,,,,,,,
56,,FY19 (exc IFCO),Group,1998587,1739666,1312842,0,2632,10562,,,,,,,,,,,,,,,,,
57,,,Pallets,2045968.363951,1739303.801143,1312842,0,2632,10562,,,,,,,,,,,,,,,,,
58,,,RPCs,0,0,0,0,0,,,,,,,,,,,,,,,,,,
59,,,Transport collaboration/multimodal programs,81455.941986,0,0,0,0,,,,,,,,,,,,,,,,,,
60,,FY19 (inc IFCO),Group,2669470.675572,1739666,1393019.798,0,4140262.718708,10562,,,,,,,,,,,,,,,,,
61,,,Pallets,2045968.363951,1739303.801143,1312842,0,2594951.230152,10562,,,,,,,,,,,,,,,,,
62,,,RPCs,542046.369635,10430.513974,,0,1545311.488555,,,,,,,,,,,,,,,,,,
63,,,Transport collaboration/multimodal programs,81455.941986,0,0,0,0,0,,Back to top,,,,,,,,,,,,,,,
65,,Customer feedback,,,,,,,,,,,,,,,,,,,,,,,,
66,Global insights relationship survey,,,,,,,,,,,,,,,,,,,,,,,,,
67,,Group,FY23 [11],FY22 [5],FY21,FY20 [4],FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
68,,Response number,8194,11501,5023,2547,3288,,,,,,,,,,,,,,,,,,,
69,,Number of companies represented,4919,7447,2526,1844,2305,,,,Back to top,,,,,,,,,,,,,,,
71,,People performance - Employee Stats,,,,,,,,,,,,,,,,,,,,,,,,
72,Number of employees,,,,,,,,,,,,,,,,,,,,,,,,,
73,,Regional Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
74,,Group,12827,12337,12118,12065,11744,12841,,,,,,,,,,,,,,,,,,
75,,CHEP Americas,4606,4587,4451,4543,4151,4151,,,,,,,,,,,,,,,,,,
76,,CHEP EMEA,5587,5441,5412,5355,5387,5387,,,,,,,,,,,,,,,,,,
77,,CHEP Asia-Pacific,1628,1617,1663,1571,1537,1537,,,,,,,,,,,,,,,,,,
78,,IFCO,,,,,,1097,,,,,,,,,,,,,,,,,,
79,,Corporate,1006,692,592,596,669,669,,,,,,,,,,,,,,,,,,
81,Permanent employees by gender (total) (% male/female) [6],,,,,,,,,,,,,,,,,,,,,,,,,
82,,Regional Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
83,,Group,73.7 / 26.3,75.61 / 24.39,77.29 / 22.71,77.64 / 22.25*,77.1 / 22.9,76.7 / 23.3,,,,,,,,,,,,,,,,,,
84,,CHEP Americas,80.5 / 19.5,82.42 / 17.58,84.43 / 15.57,84.64 / 15.10*,84.9 / 15.1,84.9 / 15.1,,,,,,,,,,,,,,,,,,
85,,CHEP EMEA,70 / 30,71.84 / 28.16,73.26 / 26.74,73.9 / 26.1,72.6 / 27.4,72.6 / 27.4,,,,,,,,,,,,,,,,,,
86,,CHEP Asia-Pacific,79.1 / 20.9,78.91 / 21.09,80.10 / 19.90,79.3 / 20.7,81.0 / 19.0,81.0 / 19.0,,,,,,,,,,,,,,,,,,
87,,IFCO,,,,,,72.1 / 27.9,,,,,,,,,,,,,,,,,,
88,,Corporate,54.1 / 45.9,52.02 / 47.95,52.53 / 47.47,53.4 / 46.6,55.5 / 44.5,55.5 / 44.5,,,,,,,,,,,,,,,,,,
90,Permanent employees by gender (management positions) as at 30 June (% male/female),,,,,,,,,,,,,,,,,,,,,,,,,
91,,Regional Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
92,,Group,63.7 / 36.3,66.7 / 33.35,68 / 32,68.7 / 31.3,71.2 / 28.8,71.0 / 29.0,,,,,,,,,,,,,,,,,,
93,,CHEP Americas,68.2 / 31.8,65.7 / 32.52,45.91 / 54.09,74.1 / 25.9,76.4 / 23.6,76.4 / 23.6,,,,,,,,,,,,,,,,,,
94,,CHEP EMEA,61.5 / 38.5,65.7 / 34.27,34.30 / 65.70,67.0 / 33.0,69.8 / 30.2,69.8 / 30.2,,,,,,,,,,,,,,,,,,
95,,CHEP Asia-Pacific,64.9 / 35.1,71.7 / 28.26,68.20 / 31.80,67.3 / 32.7,70.2 / 29.8,70.2 / 29.8,,,,,,,,,,,,,,,,,,
96,,IFCO,,,,,,68.7 / 31.3,,,,,,,,,,,,,,,,,,
97,,Corporate,61.1 / 38.9,60.4 / 39.6,62.79 / 37.21,65.0 / 35.0,67.1 / 32.9,67.1 / 32.9,,,Back to top,,,,,,,,,,,,,,,
99,Office v Plant ratio (permanent employees) (%),,,,,,,,,,,,,,,,,,,,,,,,,
100,,Office Based,FY23,,FY22,,FY21,,FY20,,FY19 (exc IFCO),,FY19 (inc IFCO),,,,,,,,,,,,,
