Unnamed: 0,Unnamed: 0.1,Planet Positive,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
311,,Waste incinerated without energy recovery,-,,unavailable,unavailable,unavailable,unavailable,,,,,,,
312,,Waste otherwise (add method),-,0,unavailable,unavailable,unavailable,unavailable,,,,,,,
313,,Waste with unknown disposal method,-,0,unavailable,unavailable,unavailable,unavailable,,,,,,,
314,,Data coverage (as % of operations),1,1,1,1,1,1,,,,,,,
316,Wood reclaimed (Pallets) (metric tonnes),,,,,,,,,,,,,,
317,,Reclaim type,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
318,,Reused in repair and manufacture of pallets - own sites,8900,10285,6816.1,4388,4388,4388,,,,,,,
319,,Reused in repair and manufacture of pallets - outsourced service centres,unavailable,25890,unavailable,unavailable,unavailable,unavailable,,,,,,,
320,,Reused in other ways (fuel and recycled - see below) - own sites,27900,51940,75070.9,87072.7,57647,57647,,,,,Back to top,,
322,,Footnotes,,,,,,,,,,,,,
324,,"[1] Prior to FY21 The data collection method was manual, where there were data gaps, the volume of detergent was estimated based on percentage reported in the previous year.ÃÂ ÃÂ From FY21 onwards the process for data collection has improved, using data from procurement spend, however this has meant that it is not possible to split by product type.",,,,,,,,,,,,,
325,,"[2] From FY19 Brambles report GHG Protocol 'Market-based' Scope 2 emissions separately to 'Location-Based' Scope 2 emissions. 'Market-Based' Scope 2 emissions include the purchase of electricity through renewable energy contracts, Renewable Energy Certificates and onsite power generation. 'Location-based' emissions reported cover all electricity that is purchased through a 3rd party supplier and not under a renewable electricity contract/certificate",,,,,,,,,,,,,
326,,[3] In FY21 Brambles started a new reporting period with new materiality study including locations in scope that contribute to 95% of Brambles Emissions. FY20 was therefore re-baselined to take this into account.,,,,,,,,,,,,,
327,,[4] Terra Joules have been recalculated FY20 for consistency with FY21,,,,,,,,,,,,,
328,,[5] IFCO locations based on FY18 Inscope locations,,,,,,,,,,,,,
329,,[6] Pareto methodology requires 5% to be added to total.,,,,,,,,,,,,,
330,,[7] Renewable electricity includes Energy Attribute Certificates (EACs) purchased,,,,,,,,,,,,,
331,,[8] New methodology using TEUs (Transport Equivalent Units) to calculate intensity - refer to supplementary information for more detail,,,,,,,,,,,,,
332,,"[9] From FY20 full value chain emissions were assessed, historically, only category 9 and 10 material sources were assessed. Measurement in FY19 and prior were outsourced service centres and outsourced transport.",,,,,,,,,,,,,
333,,[10] FY21's scope 3 breakdown is unassured as of 20.06.2022 and could be subject to change until it goes through assurance for FY22's sustainability review.,,,,,,,,,,,,,
334,,"[11] Brambles have public and validated Science Based Targets that contain our material value chain categories of Cat.2 Captial Goods, Cat.4 Upstream transportation and Distribution, Cat.5 Waste generated in operations, Cat.9 Downstream transportation and distribution and Cat.10 Processing of sold products",,,,,,,,,,,,,
335,,"[12] These credits are purchased as part of an offering of Carbon Neutral Pallets for our Customers in Europe. The Tonnes CO2e offset by these credits is not deducted from the Scope 1, 2 or 3 emissions reported centrally",,,,,,,,,,,,,
336,,"[13] Until FY21, carbon credits were purchased in alignment with a calendar year instead of a fiscal year. The number included for FY20 would correspond to the carbon credits purchased during FY20 to cover the calendar year 2019.",,,,,,,,,,,,,
337,,"[14] As per methodology, EACs are purchased to cover the majority of residual scope 2 emissions.",,,,,,,,,,,,,
338,,[15] No purchases for IFCO,,,,,,,,,,,,,
339,,"[16] Carbon dioxide equivalent (CO2-e) is the universal unit of measurement to indicate the full global warming potential (GWP) of a particular greenhouse gas emission. It takes into account the GWP of each of the six Kyoto greenhouse gases, and expresses",,,,,,,,,,,,,
340,,"[17] Scope 1,2 and 3 emisssions have been restated for FY20, FY21 and FY22 to reflect revised assumptions and improved data quality. The restatements are not reflected in this table. For more information refer to the FY23 Supplementary Information document.",,,,,,,,,,,,,
341,,Back to top,,,,,,,,,,,,,
