Unnamed: 0,GRI & SDG Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
96,Diversity and equal opportunity,405-1,Diversity of governance bodies and employees,"This document - ""Health & Safety"" Worksheet\n2022 Annual and Sustainability Report",,Go to Data,"1, 2, 6","5, 8",,,
97,Freedom of association and collective bargaining,407-1,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,-,- 0 operations identified as having significant risk for the right to freedom of association and collective bargaining.,,"1, 2, 3",8,,,
98,Child labour,408-1,Operations and suppliers at significant risk for incidents of child labour,"This document - ""Communities"" Worksheet\n2022 Annual and Sustainability Report","- During FY22, there were no incidents of child labour at any of our operations. None of our operations represents significant risks in this respect.",Go to Data,"1, 2, 5","8, 16",,,
99,Forced or compulsory labour,409-1,Operations and suppliers at significant risk for incidents of forced or compulsory labour,"This document - ""Communities"" Worksheet\n2022 Annual and Sustainability Report","- During FY22, there were no incidents of forced labour at any of our operations. None of our operations represents significant risks in this respect.",Go to Data,"1, 2, 4",8,,,
100,Security Practices,410-1,Security personnel trained in human rights policies or procedures,-,- None of our owned or operated sites have security forces employed.,,"1, 2",16,,,
101,Rights of indigenous peoples,411-1,Incidents of violations involving rights of indigenous peoples,-,- None,,"1, 2",2,,,
102,Human rights assessments,412-1,Operations that have been subject to human rights reviews or impact assessments,"This document - ""Communities"" Worksheet\n2022 Annual and Sustainability Report","- Risk assessments are undertaken on an ongoing basis and grievance mechanisms are in place at the operations to record, address and respond to social, environmental and human rights grievances.",Go to Data,"1, 2",8,,,
103,Human rights assessments,412-2,Employee training on human rights policies or procedures,2022 Annual and Sustainability Report,- Developed a Modern Slavery Business Guide in FY21 which sets out the approach adopted by Evolution in its business activities to manage the potential risk of modern slavery occurring in our vendor supply chains.,,"1, 2, 3,4, 5, 6","4, 8",,,
104,Local communities,413-1,"Operations with local community engagement, impact assessments, and development programs","This document - ""Communities"" Worksheet\n2022 Annual and Sustainability Report",,Go to Data,1,,,,
105,Local communities,413-2,Operations with significant actual and potential negative impacts on\nlocal communities,"This document - ""Communities"" Worksheet\n2022 Annual and Sustainability Report",,Go to Data,1,"1, 2",,,
106,Supplier social assessment,414-1,New suppliers that were screened using social criteria,"This document - ""Communities"" Worksheet\n2022 Annual and Sustainability Report",,Go to Data,"3, 10","5, 8, 16",,,
107,Supplier social assessment,414-2,Negative social impacts in the supply chain and actions taken,2022 Annual and Sustainability Report,"- A metric has yet to be defined to assess impact on society in the supply chain. Following the monthly screening outcome of third parties, the site procurement teams apply their risk management process, which is informed by the outcome of the screening risk calculator, when engaging with suppliers during maintenance, planned engagement and contractual reviews.",,"3, 10","5, 8, 16",,,
108,Public policy,415-1,Political contributions,"This document - ""Economic Performance"" Worksheet\n2022 Annual and Sustainability Report",- We did not make any contributions to and spending for political campaigns or political organisations.,Go to Data,10,16,,,
109,Socio-economic compliance,419-1,Non-compliance with laws and regulations in the social and economic area,2022 Annual and Sustainability Report,- 0 significant fines or non-compliance with laws and regulations in the social and economic area.,,10,16,,,
110,Biodiversity,MM1,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or rehabilitated","This document - ""Environmental Stewardship"" Worksheet\n2022 Annual and Sustainability Report",,Go to Data,8,"3, 6, 12, 14, 15",,,
111,Biodiversity,MM2,"The number and percentage of total sites identified as requiring biodiversity management plans according to stated criteria, and the number (percentage) of those sites with plans in place","This document - ""Environmental Stewardship"" Worksheet\n2022 Annual and Sustainability Report",- Biodiversity plans were in place for all sites acquired as at 1st July 2021. Biodiversity actions plans are scheduled to be completed for all sites acquired over the reporting period.,Go to Data,"7, 8","6, 14, 15",,,
112,Waste,MM3,"Total amount of overburden, rock, tailings, and sludges and their associated risks","This document - ""Materials, Tailings and Waste"" Worksheet\n2022 Annual and Sustainability Report",- Associated risks: Risk of contamination to soil and groundwater; dust; risk of tailings dam failure,Go to Data,,"3, 6, 12",,,
113,Labour / Management Relations,MM4,"Number of strikes and lock-outs exceeding one week's duration, by country",-,- No operations had strikes in FY22.,,3,8,,,
114,Rights of Indigenous Peoples,MM5,"Total number of operations taking place in or adjacent to Indigenous People's territories, and number and percentage of operations or sites where there are formal agreements with Indigenous Peoples' communities","This document - ""Communities"" Worksheet\n2022 Annual and Sustainability Report","- All operations are located in Indigenous People's territories. Native Title Agreements have been signed with the following communities: Cowal (Wiradjuri), Mt Rawdon (Port Curtis Coral Coast), Mungari (Maduwongga) and Red Lake (Lac Seul and Wabauskang).",Go to Data,"1, 2",2,,,
115,Rights of Indigenous Peoples,MM6,"Number and description of significant disputes relating to land use, customary rights of local communities and Indigenous Peoples",-,- None,,1,"1, 2",,,
116,Human rights assessments,MM8,"Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM) take place on, or adjacent to, the site; the associated risks and the actions taken to manage and mitigate these risks",-,- We have no reported artisanal and small-scale mining on or adjacent to our operations.,,7,"1, 2, 3, 6, 8, 12",,,
117,Human rights assessments,MM9,"Sites where resettlements took place, the number of households resettled in each, and how their livelihoods were affected in the process",-,- There were no resettlements undertaken at our operated assets.,,1,"1, 2",,,
