Unnamed: 0,GRI & SDG Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
69,Energy,302-3,Energy intensity,"This document - ""Energy and Emissions"" Worksheet\n2022 Annual and Sustainability Report",- Assurance reporting is undertaken on National Pollutant Inventory (NPI) and greenhouse gas (GHG) emissions as part of the submission to National Greenhouse and Energy Reporting Act 2007 (NGER Act). Technical experts have also been engaged to complete a range of internal audit processes.,Go to Data,"8, 9","7, 8, 12, 13",,,
70,Energy,302-4,Reduction of energy consumption,"This document - ""Energy and Emissions"" Worksheet\n2022 Annual and Sustainability Report",- Assurance reporting is undertaken on National Pollutant Inventory (NPI) and greenhouse gas (GHG) emissions as part of the submission to National Greenhouse and Energy Reporting Act 2007 (NGER Act). Technical experts have also been engaged to complete a range of internal audit processes.,Go to Data,"8, 9","7, 8, 12, 13",,,
71,Water and Effluents,303-3,Water withdrawal,"This document - ""Water Management"" Worksheet\n2022 Annual and Sustainability Report",- Assurance reporting is undertaken on National Pollutant Inventory (NPI) and greenhouse gas (GHG) emissions as part of the submission to National Greenhouse and Energy Reporting Act 2007 (NGER Act). Technical experts have also been engaged to complete a range of internal audit processes.,Go to Data,"8, 9","6, 8, 12",,,
72,Water and Effluents,303-4,Water discharge,"This document - ""Water Management"" Worksheet\n2022 Annual and Sustainability Report",- Assurance reporting is undertaken on National Pollutant Inventory (NPI) and greenhouse gas (GHG) emissions as part of the submission to National Greenhouse and Energy Reporting Act 2007 (NGER Act). Technical experts have also been engaged to complete a range of internal audit processes.,Go to Data,"7, 8",6,,,
73,Water and Effluents,303-5,Water consumption,"This document - ""Water Management"" Worksheet\n2022 Annual and Sustainability Report",- Assurance reporting is undertaken on National Pollutant Inventory (NPI) and greenhouse gas (GHG) emissions as part of the submission to National Greenhouse and Energy Reporting Act 2007 (NGER Act). Technical experts have also been engaged to complete a range of internal audit processes.,Go to Data,"8, 9",6,,,
74,Biodiversity,304-1,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",2022 Annual and Sustainability Report,One operating site is located adjacent to areas of high biodiversity value or protected areas - Cowal (Lake Cowal),,8,"6, 7, 14, 15",,,
75,Biodiversity,304-2,"Description of significant impacts of activities, products, and services on biodiversity in protected areas and areas of high biodiversity value outside protected areas",2022 Annual and Sustainability Report,"During the reporting year, we did not identify any significant impacts (measured) on biodiversity resulting from our operationsÃ¢ÂÂ activities. In some instances, this is attributable to application of the mitigation hierarchy and other environmental management mitigation and management efforts.",,8,"6, 7, 14, 15",,,
76,Biodiversity,304-3,Habitats protected or restored,"This document - ""Environmental Stewardship"" Worksheet\n2022 Annual and Sustainability Report",,Go to Data,8,"6, 7, 14, 15",,,
77,Emissions,305-1,Direct (Scope 1) GHG emissions,"This document - ""Energy and Emissions"" Worksheet\n2022 Annual and Sustainability Report",- Assurance reporting is undertaken on National Pollutant Inventory (NPI) and greenhouse gas (GHG) emissions as part of the submission to National Greenhouse and Energy Reporting Act 2007 (NGER Act). Technical experts have also been engaged to complete a range of internal audit processes.,Go to Data,"7, 8, 9","3, 12, 13, 14, 15",,,
78,Emissions,305-2,Energy indirect (Scope 2) GHG emissions,"This document - ""Energy and Emissions"" Worksheet\n2022 Annual and Sustainability Report",- Assurance reporting is undertaken on National Pollutant Inventory (NPI) and greenhouse gas (GHG) emissions as part of the submission to National Greenhouse and Energy Reporting Act 2007 (NGER Act). Technical experts have also been engaged to complete a range of internal audit processes.,Go to Data,"7, 8, 9","3, 12, 13, 14, 15",,,
