Unnamed: 0,2023 Sustainability performance,Unnamed: 1
44,Graduates,The number of graduates who accepted and commenced in a graduate position with CBA or Bankwest under the Talent Acquisition program. Graduate positions commence in February each year. Accompanying sustainability performance metric assured by PwC.
45,Greenhouse gases (GHGs),"Greenhouse gases (GHGs) are the six gases listed in the Kyoto Protocol being carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), and sulphur hexafluoride (SF6)."
46,Greenhouse Gas Protocol,"The Greenhouse Gas Protocol is a collection of comprehensive global standardised frameworks to measure and manage greenhouse gas (GHG) emissions from private and public sector operations, value chains and mitigation actions."
47,Greenhouse gas emissions:,
48,Exclusions and reclassifications,"FromÃÂ FY19ÃÂ onwards:\n1. Selected Scope 3 includes emissions from base buildings and paper use.\nFromÃÂ FY20ÃÂ onwards:\n1. CBA assumed operational control of two data centres. Emissions from these locations have been reclassified from Scope 3 to Scope 1 or 2 emissions, depending on source.\n2. Scope 1 includes refrigerant emissions.\n3. Selected Scope 3 includes additional emissions from waste, water, work from home and couriers.\nFromÃÂ FY22 onwards:\n1. Aussie Home Loans data is excluded due to divestment.\n2. From December 2021, Colonial First State data is excluded due to divestment.\n3. Selected Scope 3 includes additional emissions from the production of annual reports.\nFrom FY23 onwards:\n1. Selected Scope 3 includes additional emissions from annual general meeting and employee commuting."
49,Location-based emissions reporting,Reflects the average emissions intensity of the grid where electricity is consumed by the Group.
50,Scope 1 emissions,"Relates to the consumption of natural gas, stationary fuel and refrigerants used in retail, commercial and data centre properties under the GroupÃ¢ÂÂs operational control, and business use of tool-of-trade vehicles. The consumption data is based on a combination of invoiced amounts and estimates based on historical information or pro-rata consumption. Emissions are calculated using the relevant emissions factors noted in the 'Scope 1, Scope 2 and selected Scope 3 emissions' regional definitions. Accompanying sustainability performance metric assured by PwC."
51,Scope 2 emissions,"Emissions from the electricity used by ATMs, retail, commercial, residential and data centre properties under the GroupÃ¢ÂÂs operational control. The consumption data is based on a combination of invoiced amounts and estimates based on historical information or pro-rata consumption. Emissions are calculated using the relevant emission factors noted in the regional definitions below. Accompanying sustainability performance metric assured by PwC."
52,Scope 2 emissions (market-based emissions),"Market-based reporting reflects the emissions from electricity that companies have purchased. For the Group, this is emissions from the electricity used by ATMs, retail, commercial, residential and data centre properties under the GroupÃ¢ÂÂs operational control. Market-based emissions are determined by contractually purchased electricity bundled with Large Generation Certifications, New Zealand Energy Certificate System, and Renewable Energy Certificates for Australian, NZ and Other overseas operations respectively. Accompanying sustainability performance metric assured by PwC."
53,Selected Scope 3 emissions,"Indirect greenhouse gas emissions as a result of sources outside the GroupÃ¢ÂÂs operational control, but support the GroupÃ¢ÂÂs business activities. The consumption data is based on a combination of invoiced amounts and estimates based on historical information or pro-rata consumption/activity. Emissions are calculated using the relevant emission factors noted in the regional definitions below. Selected Scope 3 emissions currently do not cover all categories of the GHG Protocol; however, it is the Bank's intention to align in the future with the Protocol and disclose relevant categories. Accompanying sustainability performance metric assured by PwC."
54,"Scope 1, Scope 2 and selected Scope 3 emissions Ã¢ÂÂ Australia","Australian emissions are based on emission factors sourced from the Climate Active Carbon Neutral Standard (2023), National Greenhouse Accounts Factors (2022) and the Department for Environment, Food and Rural Affairs (United Kingdom) (2022). Scope 3 emissions sources for Australia included hire car and taxi use, fuel expensed, business flights, hotel accommodation, water, waste, couriers, office paper, emissions associated with employees working from home, employees commuting, emissions associated with electricity at data centres not under CBAÃ¢ÂÂs operational control, base building emissions, annual report production and CBAÃ¢ÂÂs Annual General Meeting. Accompanying sustainability performance metric assured by PwC."
55,"Scope 1, Scope 2 and selected Scope 3 emissions Ã¢ÂÂ New Zealand","New Zealand emissions are based on emission factors sourced from the Ministry for Environment NZ, Measuring Emissions: A Guide for Organisations (2022) and the Department for Business, Energy and Industrial Strategy (2022). In FY20, ASB reclassified leased fleet fuel usage under its direct control from Scope 3 emissions to Scope 1 emissions. Comparative information for FY19 and FY18 has not been reclassified. FY18 includes Sovereign which was sold by CBA in FY19. Scope 3 emissions sources for New Zealand included hire car and taxi use, fuel expensed, business flights, hotel accommodation, water, waste, couriers, office paper, emissions associated with employees working from home. Accompanying sustainability performance metric assured by PwC."
56,"Scope 1, Scope 2 and selected Scope 3 emissions Ã¢ÂÂ Other overseas",Other overseas emissions are estimated by multiplying the Australian emissions\nper FTE as at 30 June by the number of FTEs of all the GroupÃ¢ÂÂs other overseas offices. Accompanying sustainability performance metric assured by PwC.
57,Scope 1 - Stationary Combustion Emissions,"Burning of fuels to generate electricity, steam, heat, or power in stationary equipment such as boilers, furnaces etc. As defined in GHG Protocol - A Corporate Reporting and Accounting Standard Revised Edition."
58,Scope 1 - Mobile combustion emissions,"Burning of fuels by transportation devices such as cars, trucks, trains, airplanes, ships etc. As defined in GHG Protocol - A Corporate Reporting and Accounting Standard Revised Edition."
59,Scope 1 - Fugitive emissions,"Emissions that are not physically controlled but result from the intentional or unintentional releases of GHGs. They commonly arise from the production, processing transmission storage and use of fuels and other chemicals, often through joints, seals, packing, gaskets, etc. As defined in GHG Protocol - A Corporate Reporting and Accounting Standard Revised Edition."
60,Category 1 - Purchased goods and services,"Extraction, production, and transportation of goods and services purchased or acquired by the Group. As defined in GHG Protocol - Corporate Value Chain (Scope 3) Standard."
61,Scope 1 Ã¢ÂÂ Refrigerant emissions,"Fugitive emissions from installation, servicing and disposal of air conditioning units based on top up of refrigerants from contractors maintaining the equipment in retail, commercial and data centre properties in Australia under the GroupÃ¢ÂÂs operational control as defined under the National Greenhouse and Energy Reporting Act. Source of emissions factors: NGA (2022) and IPCC (2014)."
62,Scope 1 Ã¢ÂÂ Natural gas and diesel stationary emissions,"Emissions from the consumption of diesel and natural gas in retail, commercial and data centre properties in Australia under the GroupÃ¢ÂÂs operational control as defined under the National Greenhouse and Energy Reporting Act. Source of emissions factors: National Greenhouse Accounts Factors (NGA) (2022)."
63,Scope 1 Ã¢ÂÂ Fleet Transport Fuel emissions,"Emissions from the consumption of diesel, ethanol E10 and petrol from our business use of our tool-of-trade vehicle fleet in Australia. Source of emissions factors: NGA (2022)."
64,Scope 2 Ã¢ÂÂ Purchased electricity Ã¢ÂÂ property portfolio emissions,"Emissions from the electricity used by ATMs, retail, commercial and residential properties under the GroupÃ¢ÂÂs operational control in Australia as defined under the National Greenhouse and Energy Reporting Act. Source of emissions factors: NGA (2022)."
