Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,"2. Direct headcount includes all permanent, fixed term, casual, contract and agency labour employees in the Telstra Group and its owned and controlled entities included within our Telstra Group HR System. Diversity data may not be available for some controlled entities due to incomplete records. There are several controlled entities that are not captured within our Telstra Group HR System and so are not included in our direct headcount (e.g. Digicel Pacific, Fetch TV and Pacific Business Solutions). This equates to 6.9% of our direct headcount. Work is underway to include these entities in future disclosures. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Indirect headcount includes labour under the direction of outsourced partners who have access to Telstra systems in order to deliver services (e.g. consultants).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4. Direct full time equivalent (FTE) includes employees (permanent, fixed term, casual and long term leave); contract and agency labour; and controlled entity labour. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Telstra Group significant geographic locations1,2",,,,,,,,,,GRI Standards 2-7,,,,,,,,,,,,,,,,,,,
,Percentage ,,,,,,,,,,GRI Standards 2-8,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,86.3,86.1,85.2,84.6,83.9,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent full time,70.67,76,75.4,71.1,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent part time,5.48,3.7,3.5,3.1,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term full time,0.44,0.4,0.6,1.9,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term part time,0.07,0.1,0.1,0.1,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Casual (non-guaranteed hours),3.24,3.4,2.2,4.8,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Contingent Worker 3,6.4,2.5,3.5,3.6,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Hong Kong,1.2,1.4,1.5,1.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent full time,1.19,1.4,1.5,1.7,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent part time,0.01,0,<1,<1,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term full time,0,0,<1,,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term part time,0,,,,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Casual (non-guaranteed hours),0,,,,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Contingent Worker,0,,,,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Philippines,4.7,5.3,6,7.8,6.1,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent full time,4.7,5.3,6,7.8,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term full time,0,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Casual (non-guaranteed hours),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contingent Worker,0,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,
,India,5.051,4.3,3.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent full time,4.92,4.2,3.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent part time,0,0,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term full time,0.131,0.1,0.1,<1,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Casual (non-guaranteed hours),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contingent Worker,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Singapore,0.77,4.3,3.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent full time,0.77,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term full time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Casual (non-guaranteed hours),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contingent Worker,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United Kingdom,0.8,4.3,3.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent full time,0.76,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent part time,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term full time,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Casual (non-guaranteed hours),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contingent Worker,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States of America,0.39999999999999997,4.3,3.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent full time,0.35,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent part time,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term full time,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Casual (non-guaranteed hours),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contingent Worker,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other 4,0.79,2.8,3.5,3.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent full time,0.77,2.8,3.3,3.5,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent part time,0.01,0,<1,<1,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term full time,0.01,0,0.1,0.2,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term part time,0,,,<1,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Casual (non-guaranteed hours),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contingent Worker,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2. We define significant geographic locations as those with more than 100 employees. Countries with over 100 employees - Australia, Hong Kong, India, Philippines, Singapore, United Kingdom, United States of America",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. We define Contingent Workers as the contract and agency labour employees in Telstra Group and its controlled entities within the Telstra Group HR System that are included in our Direct workforce definition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4. Other countries are Canada, China, France, Germany, Indonesia, Japan, Republic of Korea, Malaysia, Netherlands, New Zealand, South Africa, Sweden, Taiwan, Thailand and Uanited Arab Emirites.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Telstra Group global labour risk profile1,2",,,,,,,,,,GRI Standards 2-8,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,,,,,,Modern Slavery Act,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,44928,48620,50070,,,,,,,,,,,,,,,,,,,,,,,,,,
,India,4048,3381,3517,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philippines,1531,1637,1844,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hong Kong,527,563,533,,,,,,,,,,,,,,,,,,,,,,,,,,
,Singapore,444,428,366,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,283,287,273,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States of America,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to Telstra Group Direct and Indirect headcount exposure to labour risk by location (with more than 100 employees).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Labour rights risks were calculated based on countries’ scores in three relevant global indices: the Freedom House Global Freedom Score; the Global Slavery Index’s analysis of countries’ vulnerability to modern slavery; and the World Bank’s Worldwide Governance Indicators.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Workforce by employment level1,2",,,,,,,,,,GRI Standards 2-7,,,,,,,,,,,,,,,,,,,
,Percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,"Executive management
(Bands A, B and C)",0.58,0.6,0.5829867406064484,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,"Middle management 
(Bands 1 and 2)",33.8,35.3,34.4,32.643702676762295,35.7,,,,,,,,,,,,,,,,,,,,,,,,
,"Operational
(Bands 3 and 4) ",62.4,62.3,61.4,63.16874622302797,63.7,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. For FY23 3.2% of this workforce does not have band data available due to the employment type construct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Workforce by employment type1,,,,,,,,,,GRI Standards 2-7,,,,,,,,,,,,,,,,,,,
,Percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent full time,84.16999999999999,89.7,95.4,94.2,93.06842480399145,,,,,,,,,,,,,,,,,,,,,,,,
,Male,56.75,61.5,66.3,65.71162357325879,69.08410548823949,,,,,,,,,,,,,,,,,,,,,,,,
,Female,27.1,27.8,28.5,27.863188135724826,23.98431931575196,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,0.07,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed 2,0.25,0.40000000000000213,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent part time,5.54,3.7,3.7,3.5,4.410192444761226,,,,,,,,,,,,,,,,,,,,,,,,
,Male,1.89,0.9,0.8,0.6677537075859927,0.792943692088382,,,,,,,,,,,,,,,,,,,,,,,,
,Female,3.58,2.8,2.9,2.7719543442813883,3.617248752672844,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,0.03,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed 2,0.04,0,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term full time,0.58,0.6,0.8,2.3,2.410014255167498,,,,,,,,,,,,,,,,,,,,,,,,
,Male,0.35,0.4,0.5,1.3510365711623573,1.6304347826086956,,,,,,,,,,,,,,,,,,,,,,,,
,Female,0.23,0.2,0.3,0.9123379144343505,0.7795794725588026,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,0,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed 2,0,<0.1,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term part time,0.08,0.1,0.1,<0.1,0.11136849607982895,,,,,,,,,,,,,,,,,,,,,,,,
,Male,0.03,<0.1,<0.1,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,
,Female,0.05,<0.1,<0.1,0.06211662396148769,0.06682109764789737,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,0,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed 2,0,<0.1,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Casual,3.23,3.4,2.2,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Male,1.85,1.9,1.1,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Female,1.37,1.5,1.1,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,0.01,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed 2,0,<0.1,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Contingent Worker 3,6.4,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Male,3.5,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Female,2.87,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,0.03,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed 2,0,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2. Some of our workforce have selected to not self-disclose their gender, meaning that gender records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. We define Contingent Workers as the contract and agency labour employees in Telstra Group and its controlled entities within the Telstra Group HR System that are included in our Direct workforce definition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Workforce by contract type1,,,,,,,,,,GRI Standards 2-30,,,,,,,,,,,,,,,,,,,
,Percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,Individual contracts or statutory agreements 2,26.7,20,22,22.5078793336335,26,,,,,,,,,,,,,,,,,,,,,,,,
,"Collective agreements 3,4",73.3,80,78,77.4921206663665,74,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Individual contracts or individual statutory agreements include Common Law Contracts. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Collective agreements include Employee Agreements (EAs). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. Excludes Board Members who do not have Collective agreements populated in the Telstra Group HR System.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EMPLOYEE ATTRACTION AND RETENTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total new hires1,,,,,,,,,,GRI Standards 401-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,Headcount,2703,2471,2721,3767,2585,,,,,,,,,,,,,,,,,,,,,,,,
,Rate (%),0.0878196172715163,0.08794846241457858,0.10933419054124643,0.14624582653932758,0.0862615543764808,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Data includes new hires only. New hires refer to all employees hired from outside of Telstra. Hiring manager has approval for external recruitment (advertising externally to the general market).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Rate (%) refers to the proportion of new hires to total Direct Headcount.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"New hires by gender, age group and significant location 1,2,3,4,5",,,,,,,,,,GRI Standards 401-1,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,% change FY22 - FY23,,,,,,,,,,,,,,,,,,,,,,,
,Total,2471,2471,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,1432,1358,1638,2231,1621,0.054491899852724596,,,,,,,,,,,,,,,,,,,,,,,
,Female,1250,1100,1076,1451,964,0.13636363636363635,,,,,,,,,,,,,,,,,,,,,,,
,Another option,12,not reported,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,9,13,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24 and under5,941,952,491,609,483,-0.011554621848739496,,,,,,,,,,,,,,,,,,,,,,,
,Male,483,494,251,312,263,-0.022267206477732792,,,,,,,,,,,,,,,,,,,,,,,
,Female,446,452,238,291,220,-0.01327433628318584,,,,,,,,,,,,,,,,,,,,,,,
,Another option,7,not reported,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,5,6,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,25-34,1049,907,1174,1445,955,0.1565600882028666,,,,,,,,,,,,,,,,,,,,,,,
,Male,555,496,689,804,593,0.11895161290322581,,,,,,,,,,,,,,,,,,,,,,,
,Female,486,406,480,624,362,0.19704433497536947,,,,,,,,,,,,,,,,,,,,,,,
,Another option,4,not reported,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,4,5,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,35-44,485,388,683,828,685,0.25,,,,,,,,,,,,,,,,,,,,,,,
,Male,267,221,457,557,453,0.2081447963800905,,,,,,,,,,,,,,,,,,,,,,,
,Female,217,165,226,268,232,0.3151515151515151,,,,,,,,,,,,,,,,,,,,,,,
,Another option,1,not reported,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,0,2,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,45-54,181,163,267,316,291,0.11042944785276074,,,,,,,,,,,,,,,,,,,,,,,
,Male,103,101,167,203,201,0.019801980198019802,,,,,,,,,,,,,,,,,,,,,,,
,Female,78,62,100,112,90,0.25806451612903225,,,,,,,,,,,,,,,,,,,,,,,
,Another option,0,not reported,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,0,0,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,55 +,47,61,106,100,171,-0.22950819672131148,,,,,,,,,,,,,,,,,,,,,,,
,Male,24,46,74,69,111,-0.4782608695652174,,,,,,,,,,,,,,,,,,,,,,,
,Female,23,15,32,30,60,0.5333333333333333,,,,,,,,,,,,,,,,,,,,,,,
,Another option,0,not reported,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,0,0,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,2079,1977,1909,2337,1710,0.051593323216995446,,,,,,,,,,,,,,,,,,,,,,,
,Hong Kong,17,32,17,40,25,-0.46875,,,,,,,,,,,,,,,,,,,,,,,
,Philippines,64,43,283,723,363,0.4883720930232558,,,,,,,,,,,,,,,,,,,,,,,
,India,432,304,467,488,,0.42105263157894735,,,,,,,,,,,,,,,,,,,,,,,
,Singapore,38,not reported,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,United Kingdom,29,not reported,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,United States of America,22,not reported,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,
,Other6,22,61,45,179,483,-0.639344262295082,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Data includes new hires only. New hires refer to all employees hired from outside of Telstra. Hiring manager has approval for external recruitment (advertising externally to the general market).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3. For FY23, 1.2% of this workforce does not have age group data available due to the controlled entity type construct.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4. Some of our workforce have selected to not self-disclose their gender, meaning that gender records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"5. For FY23, our 16-24 Age Group has been adjusted to 24 and under to reflect the categories in our Telstra Group HR System.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"6. Other countries with new hires are Japan, Malaysia, New Zealand, Taiwan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Internal hires by gender1,2,3",,,,,,,,,,GRI Standards 401-1,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Another option,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not self-disclosed,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Internal hires include all employees hired within Telstra. Hiring Manager has approval for Internal recruitment only (advertised internally to existing Telstra employees/contractors only).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3. Some of our workforce have selected to not self-disclose their gender, meaning that gender records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total turnover1,2,3",,,,,,,,,,GRI Standards 401-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
,Headcount,3924,3737,4432,3926,6432,,,,,,,,,,,,,,,,,,,,,,,,
,Permanent,3754,2822,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed term,170,164,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Voluntary,2935,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Involuntary,989,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
,Rate (%),0.12748952207674064,0.133008257403189,0.17808494394663882,0.15241866604550042,0.21463609970968064,,,,,,,,,,,,,,,,,,,,,,,,
