Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Australia,856723.4777862944,1045680.396485812,1078324.7825145507,1144150.2204652894,1190786.591308444,-0.28053986831937605,-0.1807023631068725,,,,,,,
,International3,23146.422723495805,46330.17835955739,52259.06176593831,65995.063427159,68505.10349226696,-0.6621211918012994,-0.5004029005918782,,,,,,,
,,,,,,,,,,,,,,,
,Notes: ,,,,,,,,,,,,,,
,"1 – Reported emissions are based on actual data wherever possible. Where metered or invoiced data was not available at 30 June 2023, estimates have been calculated based on prior actual consumption, taking into account seasonal variations, qualified assumptions and/or known business activity variations. 						",,,,,,,,,,,,,,
,2 - The individual sums of entries may differ from the specified totals or sub-totals. This is due to the effects of rounding,,,,,,,,,,,,,,
,"3 - In FY23, we revisited the operational control boundaries associated with our international portfolio to formulate a site-specific assessment view on our emissions accounting approach. Following this change, a few sites were re-classified to scope 3, moving out of our scope 1 and scope 2 total.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Table 2,,,,,,,,,,,,,,
,"Total scope 1 and greenhouse gas emissions by source1,6",,,,,,,,GRI Standards: 305-1 & 305-2,,,,,,
,Tonnes of carbon dioxide equivalent (tCO2e),,,,,,,,,,,,,,
,,,FY23,FY22,FY21,FY20,FY19,"% change 
FY22-23","% change 
FY19-23",,,,,,
,"Scope 1 2,2,4",,,,,,,,,,,,,,
,Stationary energy ,,8529.751724523756,8763.886683932005,8088.327217691493,7832.491385494118,10172.027214355892,-0.026715881646155903,-0.16145016673907198,,,,,,
,·  Natural gas,,860.5160835350218,738.5237569071778,833.5818908745006,959.8505835122696,1279.9983936487802,0.16518402486973316,-0.3277209660536968,,,,,,
,·  Diesel,,7249.470027588157,7492.3787395900645,6900.451818685914,6415.138591905222,7964.95500545305,-0.032420773220975474,-0.08982912990406733,,,,,,
,·  Petrol,,415.403328385946,521.0247908921327,354.293508131079,456.4319726304632,918.7645338355788,-0.20271868892329437,-0.5478674751932837,,,,,,
,·  LPG,,4.362285014630352,11.959396542631133,0,1.0702374461632453,8.309281418481524,-0.6352420459443495,-0.47501055808174375,,,,,,
,·  Ethanol,,0,0,<1,<1,<1,,,,,,,,
,Transport fuels ,,22207.80010070273,23105.026850093273,24994.80517063767,29072.06676457615,37031.519718766715,-0.038832534374956595,-0.4003000614244753,,,,,,
,·  Diesel,,20399.44153547294,21463.525055776045,23210.590254141283,26595.314356294515,32451.705975792625,-0.049576363506829924,-0.37139078140637916,,,,,,
,·  Petrol,,1808.2004302164548,1641.3658463683118,1782.8165851509045,2473.148503647235,4474.064430957131,0.10164375249873836,-0.5958483705095796,,,,,,
,·  LPG5,,0,0,1.3983313454800002,3.6039046343999996,105.38448490079999,,,,,,,,
,·  Ethanol,,0.15813501333782612,0.13594794891344264,<1,<1,<1,0.16320264190605682,,,,,,,
,Scope 2 6,,,,,,,,,,,,,,
,Stationary energy,,,,,,,,,,,,,,
,·  Electricity,,879869.9005097903,1092010.5748453706,1130583.84228049,1210145.283892449,1259291.694800707,-0.19426613553226768,-0.30129778180659195,,,,,,
,Notes:,,,,,,,,,,,,,,
,"1 – The NGER determination is used for calculating Australian based emissions, while a variety of sources aligned with the specific requirements of each region is used for calculating international based emissions.",,,,,,,,,,,,,,
,2 – Operational control is used as the emissions consolidation approach for both Australia and international emission profiles.,,,,,,,,,,,,,,
,3 – GHG Protocol is used for both Australian and international emissions.,,,,,,,,,,,,,,
,4 – The individual sums of entries may differ from the specified totals or sub-totals. This is due to the effects of rounding,,,,,,,,,,,,,,
,5 – LPG vehicles were phased out from Telstra's fleet in FY20.,,,,,,,,,,,,,,
,6 – Stationary energy based emissions have been calculated using the location-based scope 2 calculation method described in the GHG Protocol scope 2 standard.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Table 3,,,,,,,,,,,,,,
,Energy consumption by source,,,,,,,,GRI Standards: 302-1 & 302-4,,,,,,
,Gigajoules (GJ),,,,,,,,,,,,,,
,,,FY23,FY22,FY21,FY20,FY19,"% change 
FY22-23","% change 
FY19-23",,,,,,
,Total energy use1 ,,5136490.221294209,5700885.097140005,6605632.411655029,7045980.799503292,7421856.682798456,-0.09900127194791886,-0.30792382003293217,,,,,,
,Stationary energy ,,4819652.274757183,5371435.69072833,6249216.783665769,6631671.378729114,6892807.935126859,-0.10272549979953849,-0.30077084402780774,,,,,,
,·  Electricity,,4654862.120508386,5204855.728971547,6078011.646090813,6457620.64894674,6688347.545312762,-0.10566932823935116,-0.30403405490336044,,,,,,
,       ·  Australia,,4455821.080508386,4822512.399628796,4841292.242485003,5052047.57659686,5122210.13517038,-0.07603740306580353,-0.13009795324217555,,,,,,
,       ·  International,,199041.04,382343.3293427514,1236719.4036058108,1405573.0723498797,1566137.4101423821,-0.4794180394302896,-0.8729095935573721,,,,,,
,"·  Solar energy 
   (generated by Telstra)2",,38623.147066800135,37631.995441200146,37503.42818121612,39185.14072680016,33233.97323300426,0.026338003445729008,0.16215857779063114,,,,,,
,·  Natural gas,,16699.326868953845,14331.91843406128,19697.446041401545,22620.147901888286,29512.44266864162,0.16518433633184637,-0.4341597862145895,,,,,,
,       ·  Australia,,16152.746868953844,13251.005154699998,14207.941839450963,16381.1423002,22560.7300418792,0.21898276246799475,-0.28403261601155183,,,,,,
,       ·  International,,546.58,1080.9132793612812,5489.504201950581,6239.005601688285,6951.71262676242,-0.4943350124045309,-0.921374770600298,,,,,,
,·  Diesel,,103268.80266275608,106729.04187450232,108756.37853995846,105493.83603520671,127979.54087093068,-0.03242078398693937,-0.19308350412895892,,,,,,
,       ·  Australia,,99811.72266275607,103056.32642482522,92544.65892377152,85571.0881371493,107464.254547328,-0.03148379022064152,-0.07121002157235179,,,,,,
,       ·  International,,3457.08,3672.715449677097,16211.719616186936,19922.747898057412,20515.28632360267,-0.05871281144202323,-0.8314876065842348,,,,,,
,·  Petrol,,6126.8927490552505,7689.656229087501,5216.949544380753,6732.034994549604,13551.099319108836,-0.20322930355726665,-0.5478674751932838,,,,,,
,·  LPG,,71.98490123152395,197.3497779312068,0,17.660683930086552,137.11685509045418,-0.6352420459443495,-0.47501055808174375,,,,,,
,·  Ethanol,,0,0,30.935267999999997,1.9094399999999998,46.21686731999999,,-1,,,,,,
,Transport energy ,,316837.94653702644,329449.40641167486,356415.62798926065,414309.42077417724,529048.7476715972,-0.03828041462272158,-0.4011176702875382,,,,,,
,·  Diesel,,289723.6442184133,304836.3490954606,329648.9784157,377185.0956169081,460242.9012831065,-0.04957645281440748,-0.3704983968015678,,,,,,
,·  Petrol,,26740.39635857402,24273.18744393067,26364.97990988064,36573.413168069135,66163.32728609066,0.10164338409788276,-0.5958426298159345,,,,,,
,·  LPG,,0,0,22.923464680000002,59.177416,1730.451312,,-1,,,,,,
,·  Ethanol,,373.9059600391304,339.8698722836066,378.74619900000005,491.73457320000006,912.0677904,0.10014446860745041,-0.5900458672319207,,,,,,
,Solar capacity (MW) - connected to grid,,2.05373,2.1,2.1,2.1,2.1,-0.02203333333333346,-0.02203333333333346,,,,,,
,Solar capacity (MW) - offgrid3,,5.751762,5.62632,5.62632,5.5,5.6,0.02229556797338228,0.02710035714285719,,,,,,
,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,
,1 – The individual sums of entries may differ from the specified totals or sub-totals. This is due to the effects of rounding,,,,,,,,,,,,,,
,2 – Telstra has 9996 sites which are wholly or partly powered with solar panels providing power to telecommunications equipment in rural and remote locations where the power grid does not reach. ,,,,,,,,,,,,,,
,3 – Offgrid solar capacity is based on installed solar panel capacity rather than actual capacity. This data is only available for Australia currently.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Table 4,,,,,,,,,,,,,,
,Total greenhouse gas emissions by category (scope 1 & 2 emissions),,,,,,,,GRI Standards: 305-1 & 305-2,,,,,,
,Tonnes of carbon dioxide equivalent (tCO2e),,,,,,,,,,,,,,
,,,,FY23,,FY22,,,,,,,,,
,Category,Contributor,Location," GHG emissions
(scope 1 & scope 2) ","% of total GHG emissions 
(scope 1 & scope 2)"," GHG emissions
(scope 1 & scope 2) ","% of total GHG emissions 
(scope 1 & scope 2)",,,,,,,,
,"Network Sites (inc Mobile, Exchanges, Depots, Warehouses)¹ and Data Centres",Electricity,Australia,832927.8915231557,0.9146947890524373,1014581.4107788488,0.902749290532786,,,,,,,,
,,,International,22336.576508596943,0.024529314416789117,27909.25581360801,0.02483296127581476,,,,,,,,
,,Fuel,Australia,7820.3268547195175,0.008588033004415145,8038.6109390444435,0.007152555965440666,,,,,,,,
,,,International,81.66790424795963,8.968508223663603e-05,185.8244323322759,0.00016534195547979077,,,,,,,,
,"Offices, Retail & Residential",Electricity,Australia,23795.586263138837,0.0261315522974485,31098.985706963238,0.02767110355560201,,,,,,,,
,,,International,809.8462148988609,0.0008893472295029214,18420.92254594938,0.016390478460027665,,,,,,,,
,,Fuel,Australia,438.5727357637276,0.00048162656108196943,411.75165903474294,0.00036636637939578223,,,,,,,,
,,,International,189.1842297925496,0.000207756074593323,127.69965352054317,0.00011362397378092805,,,,,,,,
,Vehicles,Fuel,Australia,22207.800100702727,0.024387896281494924,23105.026850093273,0.02055827790167265,,,,,,,,
,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,
,"1 – Network category includes all network-related sites including unmetered sites and data centre services hosted at Telstra exchanges. This consists of all scope 1 and 2 emissions allocated to the Telstra network, based on premises or activity end use.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Table 5,,,,,,,,,,,,,,
,Australian-based emissions intensity1,,,,,,,,GRI Standards: 305-3 & 305-4,,,,,,
,Tonnes of carbon dioxide equivalent (tCO2e),,,,,,,,,,,,,,
,,,FY23,FY22,FY21,FY20,FY19,"% change 
FY22-23","% change 
FY19-23",,,,,,
,Emissions intensity (tCO2e/PB),,41.887113615307754,55.573749773213,65.5126368784764,74.14536285607534,98.79840164667617,-0.2462787955421053,-0.5760345013970483,,,,,,
,Total Australia emissions (scope 1 & 2) included in emissions intensity  (tCO2e),,887190.1774774804,1077235.7859339844,1110879.22445229,1180531.1972992774,1237451.7424092996,-0.17641969468339824,-0.2830506862836245,,,,,,
,Petabytes (PB)2,,21180.504,19383.896,16956.71670967742,15921.848,12525.017832117233,0.09268559839569912,0.6910557959995847,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Table 6,,,,,,,,,,,,,,
,Emissions reduction project initiatives1,,,,,,,,GRI Standards: 305-5,,,,,,
,Tonnes of carbon dioxide equivalent (tCO2e),,,,,,,,,,,,,,
,,,FY23,FY22,FY21,FY20,FY19,"% change 
FY22-23",,,,,,,
,"Annualised emissions savings resulting from project initiatives (tCO2e/yr)2,3",,23485.1723782,12732.700720599998,18537.051963180005,10406.846913000001,13747.313616000001,0.8444769019194631,,,,,,,
,HVAC optimisation,,2871.8898599999998,1531,,,,0.8758261659046374,,,,,,,
,Building service energy efficiency upgrades,,9531.727939999999,4663,,,,1.0441192236757448,,,,,,,
,LED lighting,,10310.272550000002,6158,,,,0.6742891442026635,,,,,,,
,Upgrading rectifiers,,771.2820300000001,380,,,,1.029689552631579,,,,,,,
,Annualised emissions savings resulting from decommissioning (tCO2e/yr)4,,79405.69758600002,46847,22137.962926683485,29440.73494535253,16121.270896071104,1.1161386960104647,,,,,,,
,Decommissioning Legacy network,,78326.28434,46085,,,,0.6996047377671692,,,,,,,
,Network facilities efficiencies,,1079.41324,762,,,,0.41655280839895026,,,,,,,
,,,,,,,,,,,,,,,
,Notes: ,,,,,,,,,,,,,,
,1 - This data is only available for Australia currently.,,,,,,,,,,,,,,
,2 – This figure reflects energy saved from energy reduction projects at our network sites. ,,,,,,,,,,,,,,
,3 – The individual sums of entries may differ from the specified totals or sub-totals. This is due to the effects of rounding.,,,,,,,,,,,,,,
,4 – This figure reflects energy saved from decommissioning activities at both our network and commercial sites. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Table 7,,,,,,,,,,,,,,
,Greenhouse gas emissions by category (scope 3 emissions)1,,,,,,,,GRI Standards: 305-3,,,,,,
,Tonnes of carbon dioxide equivalent (tCO2e),,,,,,,,,,,,,,
,,,FY23 ,FY22,FY21,FY20,FY19,"% change 
FY22-23","% change 
FY19-23",,,,,,
,Scope 3,,1865812.1187804197,1793312.063169837,1799819.791206791,2299132.427603979,2601807.4952555657,0.040428019807345894,-0.28287849036381224,,,,,,
,Cat 1: Purchased goods and services,,858073,864238,851667,1033272.6403042348,1093652,-0.007133451664934842,-0.21540581464670663,,,,,,
,Cat 2: Capital goods,,481440,434938,391566,471558.2588828915,473719,0.10691638808289916,0.01629869184052149,,,,,,
,Cat 3: Fuel- and energy-related emissions,,105465.45764724998,110634,127722,132883.6185016638,145504,-0.046717486059891344,-0.2751714203922231,,,,,,
,Cat 4: Upstream transportation and distribution,,29079,24659,35167,34873.35233251606,36943,0.17924490044202934,-0.21286847305308176,,,,,,
,Cat 5: Waste generated in operations,,2621,2290,2468,4308.8215177972625,6239,0.14454148471615724,-0.5799006251001763,,,,,,
,Cat 6: Business travel,,4576,1572,1017,9697.327253838213,15629,1.9109414758269718,-0.707210953995777,,,,,,
,Cat 7: Employee commuting,,56780.9108902996,44751,42829,40634.61866091793,85814,0.26881881723982937,-0.33832578728063484,,,,,,
,Cat 8: Upstream leased assets,,109743,102082,100662,115561.45351855192,137620,0.07504751082463113,-0.2025650341520128,,,,,,
,Cat 9: Downstream transportation and distribution,,15978,13388,11270,23765.94826974809,24340,0.19345682700926203,-0.34354971240755955,,,,,,
,Cat 10: Processing of sold products,,,,,,,,,,,,,,
,Cat 11: Use of sold products,,146975,144197,194965,378242.6273002974,516344,0.01926531065140047,-0.7153544923539346,,,,,,
,Cat 12: End-of-life treatment of sold products,,835,1399,1730,2242.5894845250023,2156,-0.4031451036454611,-0.612708719851577,,,,,,
,Cat 13: Downstream leased assets,,,,,,,,,,,,,,
,Cat 14: Franchises,,,,,,,,,,,,,,
,"Cat 15: Investments2,3",,54245.750242870025,49164.063169837,38756.7912067911,52091.171576997396,63847.49525556578,0.10336182051264498,-0.15038561770140454,,,,,,
,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,
,"1 – For rationale around inclusion and exclusion of categories and calculation methodology, please see the scope 3 emissions methodology table below.					",,,,,,,,,,,,,,
,"2 -  In FY23, we reviewed and evolved the methodology and data collection for category 15. Consequently, adjustments have been introduced to rectify instances of double counting entities already addressed within other scopes and categories of our emissions reporting. These refinements provided greater consistency between the approach taken to calculate our historical emissions and current year reporting.",,,,,,,,,,,,,,
,"3 - In FY23, we identified that the emissions associated with joint ventures and associated investments were not being captured in our reporting of category 15. We have rectified this in FY23 and made adjustments to the historical figures to ensure the data is complete, accurate and comparable from our FY19 baseline year onwards.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Table 8,,,,,,,,,,,,,,
,Supplier governance,,,,,,,,,,,,,,
,,,FY23,,,,,,,,,,,,
,Suppliers who disclosed their CDP questionnaire to Telstra1,,163,,,,,,,,,,,,
,Suppliers who verified and publicly disclosed their emissions data2,,87,,,,,,,,,,,,
,Suppliers who are validating or validated their target with SBTi3,,59,,,,,,,,,,,,
,Suppliers who committed to environmental contractual requirements with Telstra,,41,,,,,,,,,,,,
,"Telstra's emissions by category of spend (by tCO2e)4,5",,1368591,,,,,,,,,,,,
,Information & communications technology,,962430,,,,,,,,,,,,
,·  Devices,,236185,,,,,,,,,,,,
,·  Information technology,,124664,,,,,,,,,,,,
,·  Network infrastructure,,144730,,,,,,,,,,,,
,·  Network access,,48304,,,,,,,,,,,,
,·  Logistics and warehousing,,34086,,,,,,,,,,,,
,·  Contact centres,,14165,,,,,,,,,,,,
,·  Indirect business process outsourcing,,5730,,,,,,,,,,,,
,·  International roaming,,158187,,,,,,,,,,,,
,·  Pass through payments6,,196378.33249624178,,,,,,,,,,,,
,Construction & physical network infrastructure maintenance,,166094,,,,,,,,,,,,
,·  Property & fleet7,,147221,,,,,,,,,,,,
,·  Field services,,18873,,,,,,,,,,,,
,Other categories,,240067,,,,,,,,,,,,
,·  Professional services,,65786,,,,,,,,,,,,
,·  Corporate services,,127485,,,,,,,,,,,,
,·  Media and marketing,,35757,,,,,,,,,,,,
,·  Miscellaneous,,11039,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,
,"1 - These suppliers make up 56% of total scope 3 category 1, 2 and 4 emissions in FY23.",,,,,,,,,,,,,,
,"2 - Relates to suppliers which disclosed their CDP questionnaire to Telstra, with their scope 1, 2 and 3 emissions data verified by a third party and publicly disclosed.",,,,,,,,,,,,,,
,"3 - Relates to suppliers which disclosed their CDP questionnaire to Telstra, which have validated or are in the process of validating their target(s) with SBTi.",,,,,,,,,,,,,,
,"4 - Emissions by industry sector refers scope 3 Category 1, 2 and 4.",,,,,,,,,,,,,,
,5 - The individual sums of entries may exhibit slight discrepancies from the specified totals or sub-totals. This is solely attributed to the effects of rounding.,,,,,,,,,,,,,,
,6 - The nature of pass through payments vary with each supplier. This category primarily relates to fees for backhaul services and interconnects.,,,,,,,,,,,,,,
,"7 - Fleet emissions primarily relates to salary sacrifice arrangements, while operational fleet emissions are covered within scope 1.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Table 9,,,,,,,,,,,,,,
,Carbon credits1,,,,,,,,,,,,,,
,,,FY23,,,,,,,,,,,,
,Total carbon credits purchased,,2262980,,,,,,,,,,,,
,Portfolio mix,,,,,,,,,,,,,,
,Renewable energy,,2247980,,,,,,,,,,,,
,Nature based,,15000,,,,,,,,,,,,
,Energy efficiency,,0,,,,,,,,,,,,
,Geography mix,,,,,,,,,,,,,,
,Australia,,15000,,,,,,,,,,,,
,International,,2247980,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,
,1 - Carbon credits are annually procured to meet current and forecast liability for future years.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,CIRCULAR ECONOMY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Table 10,,,,,,,,,,,,,,
,Waste by composition and recycling rates6,,,,,,,,,,,,,,
,Tonnes (t),,,,,,,,GRI Standards: 306-3 & 306-4,,,,,,
,,,FY23,FY22,FY21,FY20,FY19,"% change 
FY22-23","% change 
FY19-23",,,,,,
,"Total waste generated 1,2,3",,8473.344199999992,7071.139200000001,7566.109000000001,9699.363100000031,9955.633300000005,0.19829973082696362,-0.14888948350478237,,,,,,
,Network Waste,,7263.222299999993,6100.853700000001,5727.4157,7573.736400000034,6692.264200000005,0.1905255652991633,0.0853161326177152,,,,,,
,·  Operational Waste,,1912.5323999999807,1852.1287000000007,2110.8332,2683.058100000035,3412.3827000000065,0.03261312240341607,-0.43953167972631646,,,,,,
,·  Construction & demolition waste,,165.54000000000005,82.097,377.0845,1273.9400000000005,470.6886000000001,1.0163952397773373,-0.648302508282546,,,,,,
,·  E-waste,,5153.768400000012,4163.6636,3238.83,3608.251299999999,2807.3288999999986,0.23779654052743648,0.8358263614925969,,,,,,
,·  Other4,,31.38150000000003,2.9643999999999995,0.668,8.487,1.8639999999999999,9.586121980839305,15.835568669527916,,,,,,
,Non-Network Waste,,1184.6399999999992,936.6337999999997,1664.8028,1945.8224999999964,3162.358699999998,0.2647845935092237,-0.6253935393224052,,,,,,
,·  Operational Waste,,650.0798000000002,751.3541999999998,1248.3375,1486.5672999999965,2441.700099999998,-0.13478915802959457,-0.7337593588991536,,,,,,
,·  Construction & demolition waste,,118.89030000000002,123.17960000000001,240.2561,270.7376,554.8890999999999,-0.03482151265306899,-0.7857404299345581,,,,,,
,·  E-waste,,273.71769999999987,60.31,175.1236,154.88789999999986,160.53299999999996,3.538512684463602,0.7050556583381606,,,,,,
,·  Other4,,141.95219999999907,1.79,1.0856,33.629699999999985,5.236499999999998,78.30290502793244,26.10822114007431,,,,,,
,Hazardous waste5,,25.481900000000003,33.6517,173.8905,179.80420000000018,101.01040000000003,-0.2427752535533122,-0.7477299367193874,,,,,,
,Total waste diverted from disposal (recycled),,6426.9270000000115,5045.8104,4563.0681,6060.261199999993,5461.195399999991,0.2737155165402194,0.1768352035160694,,,,,,
,Network Waste,,5772.193900000013,4604.7998,3745.5555,5055.838299999996,3767.351799999992,0.25351679784211534,0.5321621676000698,,,,,,
,·  Operational Waste,,421.5040000000009,356.0747999999999,260.20300000000003,373.78999999999616,563.7432999999935,0.18375127922560353,-0.2523121782555895,,,,,,
,·  Construction & demolition waste,,165.54000000000005,82.097,245.8545,1065.3100000000004,394.41560000000015,1.0163952397773373,-0.58029043475968,,,,,,
,·  E-waste,,5153.768400000012,4163.6636,3238.83,3608.251299999999,2807.3288999999986,0.23779654052743648,0.8358263614925969,,,,,,
,·  Other4,,31.38150000000003,2.9643999999999995,0.668,8.487,1.8639999999999999,9.586121980839305,15.835568669527916,,,,,,
,Non-Network Waste,,654.7330999999988,441.01060000000007,817.5126,1004.4228999999971,1693.843599999999,0.48461987081489344,-0.6134630729779307,,,,,,
,·  Operational Waste,,129.78889999999987,259.74060000000003,407.5673,574.8966999999973,1049.9299999999992,-0.5003133895894603,-0.8763832826950368,,,,,,
,·  Construction & demolition waste,,109.27430000000003,119.17,233.7361,241.0276,478.1540999999999,-0.08303851640513538,-0.7714663536295097,,,,,,
,·  E-waste,,273.71769999999987,60.31,175.1236,154.88789999999986,160.53299999999996,3.538512684463602,0.7050556583381606,,,,,,
,·  Other4,,141.95219999999907,1.79,1.0856,33.61069999999999,5.226499999999998,78.30290502793244,26.16008801301045,,,,,,
,Hazardous waste5,,0,0,0,0,0,0,0,,,,,,
,Total waste directed to disposal (landfill),,2046.41719999998,2025.3288000000002,3003.040900000001,3639.1019000000388,4494.4379000000135,0.010412334036814075,-0.5446778339066662,,,,,,
,Network Waste,,1491.02839999998,1496.0539000000008,1981.8602,2517.898100000039,2924.9124000000133,-0.003359170414930168,-0.49023143393970603,,,,,,
,·  Operational Waste,,1491.02839999998,1496.0539000000008,1850.6302,2309.268100000039,2848.639400000013,-0.003359170414930168,-0.4765822588847247,,,,,,
,·  Construction & demolition waste,,0,0,131.23,208.63000000000002,76.27299999999997,0,-1,,,,,,
,·  E-waste,,0,0,0,0,0,0,0,,,,,,
,·  Other3,,0,0,0,0,0,0,0,,,,,,
,Non-Network Waste,,529.9069000000003,495.62319999999966,847.2902,941.3995999999993,1468.5150999999992,0.06917291200250641,-0.6391546127104852,,,,,,
,·  Operational Waste,,520.2909000000003,491.6135999999997,840.7702,911.6705999999992,1391.7700999999993,0.05833300787447837,-0.6261660600410941,,,,,,
,·  Construction & demolition waste,,9.616,4.0096,6.52,29.71,76.735,1.398244213886672,-0.8746856063074216,,,,,,
,·  E-waste,,0,0,0,0,0,0,0,,,,,,
,·  Other4,,0,0,0,0.019,0.01,0,0,,,,,,
,Hazardous waste5,,25.481900000000003,33.6517,173.8905,179.80420000000018,101.01040000000003,-0.2427752535533122,-0.7477299367193874,,,,,,
,Total recycling rate (%),,0.7584876582731075,0.7135781459372204,0.603093095803933,0.6248102207865559,0.5485532899248096,0.06293566106470738,0.382705513218367,,,,,,
,Network waste recycling rate (%),,0.7931477278846655,0.754779581093708,0.6539695555885703,0.6675487544034372,0.5629412837586402,0.05083357810946665,0.4089350892671886,,,,,,
,Non-Network waste recycling rate (%),,0.5475424181753145,0.470846343576326,0.4910567185494883,0.5161945141450461,0.5356266510816753,0.16288981669994795,0.022246404411684573,,,,,,
,,,,,,,,,,,,,,,
,Table 11,,,,,,,,,,,,,,
,Reclaimed products,,,,,,,,,,,,,,
,,,,,,,,,GRI Standards: 301-3,,,,,,
,,,FY23 ,FY22,FY21,FY20,FY19,"% change 
FY22-23",,,,,,,
,Total number of devices reused/recycled,,632919.3886902432,554240,392229,,,0.14195905869342385,,,,,,,
,·  Mobile phones reused/recycled,,344265.0353531451,333401,349800,,,0.03258549120472076,,,,,,,
,·  Modems reused/recycled,,125510.12199630315,70612,19834,,,0.777461649525621,,,,,,,
,·  Other reused/recycled,,163144.231340795,150227,22595,,,0.08598475201391897,,,,,,,
,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,
,1 – Total waste generated from network sites and does not include waste disposed of at sites managed by third parties.			 ,,,,,,,,,,,,,,
,2 – Waste streams contributing less that one per cent are not reported.						,,,,,,,,,,,,,,
