Unnamed: 0,People and Workplace(1),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,Total ,14,17,33,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Active Permanent employees by region 
and gender (#)",FY23,FY22,FY21,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Female,,,,,,,,,,,,,,,,,,
,Americas,1090,965,891,,,,,,,,,,,,,,,
,ANZ,4362,3528,3040,,,,,,,,,,,,,,,
,Asia,1891,1735,1727,,,,,,,,,,,,,,,
,EMEA,1012,856,771,,,,,,,,,,,,,,,
,Total ,8355,7084,6429,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,
,Americas,2010,1856,1708,,,,,,,,,,,,,,,
,ANZ,5115,4307,3906,,,,,,,,,,,,,,,
,Asia,2330,2202,2286,,,,,,,,,,,,,,,
,EMEA,1479,1355,1273,,,,,,,,,,,,,,,
,Total ,10934,9720,9173,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Global return-to-work rate following primary carers’ leave (%)(6),FY23,FY22,FY21,,,,,,,,,,,,,,,
,,95,96,97,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Lost Time Injury Frequency Rate(7),FY23,FY22,FY21,,,,,,,,,,,,,,,
,,0.1,0.1,0.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Rolling 12-month global voluntary turnover rate (%)(8),FY23,FY22,FY21,,,,,,,,,,,,,,,
,,11.1,14.8,7.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Training courses and learning events in the year (#)(9),FY23,FY22,FY21,,,,,,,,,,,,,,,
,,4847,4270,2428,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Footnotes:,,,,,,,,,,,,,,,,,,
,"(1) Workforce data based on total global workforce, excluding employees in operationally segregated subsidiaries and investments where Macquarie does not have a controlling interest.",,,,,,,,,,,,,,,,,,
,(2) Division Head refers to critical roles across Macquarie. It typically includes executives two layers down from the CEO.,,,,,,,,,,,,,,,,,,
,(3) Senior Executive refers to Macquarie's combined Division Director and Executive Director population.,,,,,,,,,,,,,,,,,,
,"(4) Active Permanent workforce includes Regular, Fixed Term and Max Term employees only.",,,,,,,,,,,,,,,,,,
,"(5) Contingent workforce includes the following categories: Independent Contractor/Consultant, Secondee and Agency Worker.",,,,,,,,,,,,,,,,,,
,(6) Measures the percentage of staff that were expected to return from parental leave in a fiscal year and have returned to the office for at least one day when their leave ended.,,,,,,,,,,,,,,,,,,
,(7) Lost time Injury (LTI) is an incident that results in time lost from work equal to or greater than a full day/shift. The LTI Frequency Rate (LTIFR) is the number of Lost Time Injuries resulting in a compensable claim,,,,,,,,,,,,,,,,,,
,"      per million workhours. Data is based on total global workforce, excluding employees in operationally segregated subsidiaries and investments where Macquarie does not have a controlling interest.",,,,,,,,,,,,,,,,,,
,"(8) Calculation is based on a rolling 12-month basis, and is calculated using the following formula: (Total number of permanent regular departures in the last 12 months) divided by (Average number of permanent ",,,,,,,,,,,,,,,,,,
,      regular headcount in the last 12 months). Note this calculation only includes permanent regular departures.,,,,,,,,,,,,,,,,,,
,"(9) Measures the number of instructor-led and web-based training sessions completed globally, which is calculated as the sum of all instructor-led training (ILT) and web-based training (WBT) sessions completed ",,,,,,,,,,,,,,,,,,
,      globally as recorded in our internal learning platform.,,,,,,,,,,,,,,,,,,
