Unnamed: 0,Unnamed: 0.1,Sustainability in Our Own Business Operations,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
72,,"(1) PwC has provided limited assurance over this metric for the FY2023 reporting period as detailed in the PwC independent assurance report available within MacquarieÃ¢ÂÂs FY2023 Basis of Preparation for ESG Reporting. This also sets out the reporting boundaries,",,,,,,,,,,,,,,,,,
73,,definitions and measurement methodologies for the assured metrics.,,,,,,,,,,,,,,,,,
74,,"(2) Previous estimates in this column have been revised to reflect actuals. FY2022 Scope 1 emissions have been revised from 351 tCO2e to 343 tCO2e. FY2022 Scope 2 location-based emissions for corporate offices and data centres have been revised from 15,741 tCO2e to 15,748 tCO2e.",,,,,,,,,,,,,,,,,
75,,Emissions related to base buildings have not changed.,,,,,,,,,,,,,,,,,
76,,"(3) Location-based emissions include emissions based on electricity for which energy attribute certificates were purchased and which was not directly sourced from renewable sources through green energy. In FY2023, Macquarie has sourced the equivalent of 100% of our",,,,,,,,,,,,,,,,,
77,,electricity consumption from renewable sources through a combination of green energy from landlords or utilities (46.5%) and energy attribute certificates (53.5%) which have been retired or will be retired by 30 June 2022 (based on the RE100 boundary criteria).,,,,,,,,,,,,,,,,,
78,,"(4) Where actuals were not available for FY2023, estimates have been used and will be updated with actuals in future reports.",,,,,,,,,,,,,,,,,
79,,(5) Defined within section 3.1.1 of the FY2023 Basis of Preparation for ESG Reporting.,,,,,,,,,,,,,,,,,
80,,"(6) With the exception of category 6 (business travel), all other Scope 3 categories were not reported in prior reports and PwC has not provided limited assurance over them.",,,,,,,,,,,,,,,,,
81,,(7) Included in Category 1.,,,,,,,,,,,,,,,,,
82,,"(8) Scope 3 Category 6 (business travel) emissions have been revised to reflect updated calculation methodology for FY2022 and FY2021. FY2022 aboslute emissions have been revised from 13,887 tCO2e to 14,609 tCO2e. FY2021 absolute emissions have been revised from 524 tCO2e to 1,805 tCO2e.",,,,,,,,,,,,,,,,,
83,,FY2022 per capita emissions have been revised from 0.79 tCO2e to 0.83 tCO2e. FY2021 per capita emissions have been revised from 0.03 tCO2e to 0.11 tCO2e.,,,,,,,,,,,,,,,,,
84,,(9) Materiality and treatment subject to further analysis as baseline data is collected.,,,,,,,,,,,,,,,,,
85,,"(10) Energy sourced from diesel or natural gas consumed at MacquarieÃ¢ÂÂs leased corporate offices and data centres, and where Macquarie owns the building (Base building).",,,,,,,,,,,,,,,,,
86,,"(11) Electricity consumed at MacquarieÃ¢ÂÂs leased corporate offices and data centres, and where Macquarie owns the building (Base building).",,,,,,,,,,,,,,,,,
87,,(12) Total global workforce excluding people employed in Operationally Segregated Subsidiaries (OSSs).,,,,,,,,,,,,,,,,,
88,,"(13) Offices certified with minimum LEED Gold, BREEAM Good, 5 Star Green Star or equivalent.",,,,,,,,,,,,,,,,,
89,,(14) Total percentage of office waste recycled (by weight) in all major Sydney offices and our London headquarters.,,,,,,,,,,,,,,,,,
90,,"(15) Paper used in Macquarie offices and internal print centres, excludes specialist outsourced production print services.",,,,,,,,,,,,,,,,,
91,,"(16) Procuring from businesses owned and operated by an individual or group that is part of a traditionally underrepresented group in society such as companies owned and operated by minorities, women and First NationÃ¢ÂÂs peoples.",,,,,,,,,,,,,,,,,
