Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the Data pack table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
146,,416.0,Customer Health and Safety,416-01,Assessment of the health and safety impacts of product and service categories,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,416.0,Customer Health and Safety,416-02,Incidents of non-compliance concerning the health and safety impacts of products and services,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,417.0,Marketing and Labeling,417-01,Requirements for product and service information and labeling,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,417.0,Marketing and Labeling,417-02,Incidents of non-compliance concerning product and service information and labeling,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,417.0,Marketing and Labeling,417-03,Incidents of non-compliance concerning marketing communications,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,Cyber security capability maturity level,,,NAB,2023.0,"In 2023, NAB achieved the National Institute of Standards and Technology (NIST) Cyber security capability maturity level (across people, processes, and technology). The National Institute of Standards and Technology (US Government) Cyber Security framework helps businesses understand, manage and reduce cyber security risks. This improvement has reduced NAB's time to contain cyber threats by 51% since 2019.",,,Data pack,,44,,"Cyber security capability maturity level, NIST, Cyber Security Framework",16,G,,,,,,,,,,,,,,,,
152,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,Customer phishing and scam protection,,,NAB,2023.0,"NAB implemented several new features to protect its customers. These include new customer phishing and scam protections, including removing links in SMS and emails, contributing to reducing scam payments. In addition, NAB has recently announced its participation in an industry digital identity verification service (Connect ID), which helps customers securely share their identity information.",,,Data pack,,44,,"Customer phishing and scam protection, scam payment, digital identity verification",16,G,,,,,,,,,,,,,,,,
153,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,Global Privacy Office,,,NAB,2023.0,"NAB has a specialist Global Privacy Office, which establishes data protection and uses principles to ensure colleagues know their responsibilities. These responsibilities are embedded into the way NAB works and support transparent, fair and compliant use and sharing of personal information of customers and colleagues.",,,Data pack,,45,,"Global Privacy Office, data protection, personal information",16,G,,,,,,,,,,,,,,,,
154,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,Data Ethics Framework,,,NAB,2023.0,"NAB's Data Ethics Framework goes beyond legal compliance to consider not if NAB can use data (legally or otherwise) but whether it should. NAB's Data Ethics Principles set out how it should responsibly use data and guide how data is used in analytics, machine learning, artificial intelligence (AI) and sharing with third parties. These Data Ethics Principles are brought to life through a Data Ethics assessment process.",,,Data pack,,45,,"Data Ethics Framework, Data Ethics Principle, machine learning",16,G,,,,,,,,,,,,,,,,
155,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,NAB Records Management Policy,,,NAB,2023.0,"The NAB Records Management Policy Standard governs data collection, storage, retention and destruction within the NAB. The Standard is supported by a series of Record Retention Schedules, which ensure compliance with recordkeeping obligations across all regions.",,,Data pack,,45,,"NAB Records Management Policy, data collection, Record Retention Schedule",16,G,,,,,,,,,,,,,,,,
156,,419.0,Socioeconomic Compliance,419-01,Non-compliance with laws and regulations in the social and economical area,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,Total disclosure,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,Total no of reported disclosure over maximum disclosure (source:Data pack),101/122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,Average completion rate,0.827869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
