Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the Data pack table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
42,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Business finance for green equipment,,,NAB,2023.0,"NAB's business finance for green equipment can support on-farm emission reductions. It includes energy-efficient tractors, best-in-class combine, cotton and sugar cane harvesters, and energy-efficient irrigation. This product can support customers seeking to manage nature-related impacts, such as GHG emissions.",,,Data pack,,40,,"Business finance for green equipment, on-farm emission reduction, nature-related impact","7, 8, 13","E, S",,,,,,,,,,,,,,,,
43,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Carbon market,,,NAB,2023.0,"In 2023, NAB launched its carbon markets capability, providing risk management solutions across domestic and international markets to support customers' carbon and renewable energy needs. Products include Australian Carbon Credit Units (ACCU), Large Scale Generation Certificates (LGC) and European Union Allowances (EUA). It follows the development of Carbonplace, a carbon credit settlement platform jointly developed by NAB and some of the world's largest financial institutions.",,,Data pack,,,,"Carbon market, risk management solution, renewable energy","7, 8, 13","E, S",,Climate Report page 10,,,,,,,,,,,,,,
44,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,"Green, social, sustainability and sustainability-linked (GSSS) bonds",,,NAB,2023.0,"NAB has been an Australian market leader in green, social, sustainability and sustainability-linked (GSSS) bond issuance since becoming the first Australian bank issuer of a Certified green bond under the Climate Bond Standard (CBS) in 2014. NAB green bonds allow investors to direct capital towards projects and assets that may contribute towards the objectives of the Paris Agreement or address environmental challenges.",,,Data pack,,,,"GSSS Bond, Climate Bond Standard, green bond","8, 13","E, S",,Climate Report page 10,,,,,,,,,,,,,,
45,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,"In 2023, the Group renegotiated the new EA by undertaking extensive negotiations and colleague engagement. The new EA provides certainty about pay and additional benefits to eligible colleagues, including an annual one-week You Leave.",,,,NAB,2023.0,,,,Data pack,,119,,,,,,,,,,,,,,,,,,,,
46,,201.0,Economic Performance,201-04,Financial assistance received from government,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Good Shepherd,,,NAB,2023.0,NAB and Good Shepherd Australia New Zealand have worked together since 2003 to help Australians manage their money better and serve those at risk of exclusion from mainstream banking services. The partnership began through NAB's support of microfinance initiatives aiming to support low-income people Ã¢ÂÂ mainly the No Interest Loans (NILs) program. It is one of NAB's longest-standing corporate community partnerships.,,,Data pack,,27,,"Good Shepherd, microfinance, low-income people",8,S,,,,,,,,,,,,,,,,
50,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Housing Australia,,,NAB,2023.0,"NAB works closely with the Federal Government's major housing financing body, Housing Australia, to help create the right financing conditions to build scale in social and affordable housing aligned with the Federal Government's ambition for 40,000 social and affordable homes by 2029. This year, NAB helped to finance social, affordable and community housing transactions, which included build-to-rent, land lease and mixed tenure models. NAB is focused on connecting and influencing key stakeholders through networks in the affordable housing sector and working closely with community partners like Good Shepherd and the Salvation Army.",,,Data pack,,29,,"Housing Australia, financing condition, community housing","8, 11",S,,,,,,,,,,,,,,,,
51,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Australian Disability Accommodation Projects,,,NAB,2023.0,"Life with a disability can make finding a liveable home harder. In 2023, NAB financed the construction of some significant specialist homes for people living with a disability. It included finance to the Australian Disability Accommodation Projects. NAB is working with Lighthouse Infrastructure and a consortium of lenders to carry out its largest commitment in the SDA sector and the first social loan for SDA in Australia.",,,Data pack,,29,,"Australian Disability Accommodation Project, home, Lighthouse Infrastructure","8, 11",S,,,,,,,,,,,,,,,,
52,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,First Home Guarantee,,,NAB,2023.0,"NAB is helping people earning incomes under the national median access homeownership as part of the First Home Guarantee (FHG) scheme, which has established income and other eligibility criteria. NAB's affordable and specialist housing target includes a subset of loans provided via the FHG for loans where applicants have a total taxable income under the national median and for properties with a price under the national median. NAB is a founding bank in this scheme and, in 2023, has financed loans in this subset of housing, approximately 5,127 borrowers.",,,Data pack,,29,,"First Home Guarantee, loan, specialist housing target","8, 11",S,,,,,,,,,,,,,,,,
53,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,First Home Partner,,,NAB,2023.0,"NAB's BNZ supports New Zealanders in warm, dry and resilient homes. The focus has been on shared ownership models that support construction and new home ownership. One of these initiatives is First Home Partner, a shared ownership initiative with KÃÂinga Ora aimed at helping people who have a household income of under NZD 150,000 and a minimum of 5% deposit.",,,Data pack,,29,,"First Home Partner, shared ownership model, household income","8, 11",S,,,,,,,,,,,,,,,,
54,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Lenders Mortgage Insurance,,,NAB,2023.0,"NAB is working on solutions that address cost of living pressures and benefit customers who manage their climate impact. Lower variable rates and discounted Lenders Mortgage Insurance were launched in October 2022 to eligible home loan customers on homes that meet energy efficiency criteria. With Australian homes contributing more than 10% of Australia's total emissions, this initiative aims to support customers in reducing their emissions.",,,Data pack,,,,"Lenders Mortgage Insurance, cost of living, energy efficiency","8, 11, 12","E, S",,Climate Report page 9,,,,,,,,,,,,,,
55,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Bushfire Resilience Rating,,,NAB,2023.0,"NAB continues to support the Bushfire Resilience Rating system, which aims to help households adapt their homes to make them more resilient to bushfires. In 2023, NAB supported the Bushfire Resilience Ratings Retrofit Pilot in bushfire-impacted New South Wales and Victoria areas. NAB offers discounted lending to participating households investing in their property's resilience.",,,Data pack,,,,"Bushfire Resilience Rating, household, bushfire","8, 13","E, S",,Climate Report page 9,,,,,,,,,,,,,,
56,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Ready Together program,,,NAB,2023.0,"NAB's Ready Together program supported customers impacted by natural disasters with $557,000 in cash grants during the year. The grant application process has also been made easier with a new online application form for customers to apply for an emergency relief grant.",,,Data pack,,26,,"Ready Together program, natural disaster, emergency relief","8, 17","E, S",,,,,,,,,,,,,,,,
57,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,NAB spent $6 million on Indigenous suppliers in 2023.,,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
58,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,,Sanctions Compliance Program,,,NAB,2023.0,"The past 18 months of sanctions, export, and import controls have been unprecedented in scope, complexity, and impact. Enforcement by global sanctions regulators remains significant, with USD 1 billion in penalties issued globally in the financial year 2023. To ensure compliance, NAB has continued to improve its Sanctions Compliance Program, including implementing a new trade screening program and enhancing its controls for identifying and monitoring high sanctions risk customers.",,,Data pack,,46,,"Sanctions Compliance Program, sanctions regulator, trade screening",16,G,,,,,,,,,,,,,,,,
59,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Financial crime strategy,,,NAB,2023.0,"NAB continues executing the financial crime strategy launched in 2022. While NAB is making good progress, the nature of the threat and risk it presents requires ongoing vigilance and pursuit of best practices in all that NAB does.",,,Data pack,,46,,"Financial crime strategy, threat, vigilance",16,G,,,,,,,,,,,,,,,,
60,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,Anti-Bribery and Corruption Policy,,,NAB,2023.0,"The Group is committed to preventing financial crime and takes a zero-tolerance approach to bribery and corruption. It is reflected in the Group's Anti-Bribery and Corruption (ABC) Policy and Framework. The prohibition against bribery and corruption in the ABC Policy applies to NAB's entities, colleagues and all agents, contractors and other third parties acting for or on behalf of the Group. The Group strictly prohibits bribery in any form (including facilitation payments). The ABC Policy includes additional requirements around gifts and entertainment involving government officials, which require approvals regardless of value.",,,Data pack,,82,,"Anti-Bribery and Corruption Policy, financial crime, gift",16,G,,,,,,,,,,,,,,,,
61,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices","As a global finance and trade bank, the Group faces risks relating to compliance with AML/CTF, ABC and financial sanctions laws across multiple jurisdictions. Undetected failure of internal controls or the ineffective remediation of compliance issues could lead to breaches of AML/CTF and ABC obligations or sanctions violations, resulting in potentially significant monetary and regulatory penalties, which, in turn, may adversely impact the Group's reputation, financial performance, and position.",,,,NAB,2023.0,,,,Data pack,,99,,,,,,,,,,,,,,,,,,,,
62,,207.0,Tax,207-01,Approach to tax,The NAB Board is responsible for determining the NAB's Tax Policy and the approach to tax risk governance.,,,,NAB,2023.0,,,,Data pack,,,,,,,,Tax Transparency Report page 2,,,,,,,,,,,,,,
63,,207.0,Tax,207-02,"Tax governance, control, and risk management",,Tax control framework,,,NAB,2023.0,"NAB maintains a robust tax control framework, subject to regular testing and assurance. Tax risk is managed in the context of the Group's framework on risk management accountabilities. NAB exercises strong governance over its tax affairs. NAB maintains and enforces strict protocols to control the type of transactions that NAB enters into and the associated tax risks.",,,Data pack,,,,"Tax control framework, tax risk, tax affair",16,G,,Tax Transparency Report page 2,,,,,,,,,,,,,,
