Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,Different term,,,–,–,0.07,,,,
,Primary Connect,Women,,,0.19,0.2,0.25,,,,
,,Men,,,0.81,0.8,0.75,,,,
,,Different term,,,–,–,–,,,,
,WooliesX,Women,,,0.61,0.5,0.48,,,,
,,Men,,,0.39,0.5,0.52,,,,
,,Different term,,,–,–,–,,,,
,Foodco including,Women,,,0.45,0.59,0.39,,,,
,Metro Food Stores,Men,,,0.55,0.41,0.61,,,,
,,Different term,,,–,–,–,,,,
,Total,Women,,,0.62,0.62,0.64,,,,
,,Men,,,0.38,0.38,0.36,,,,
,,Different term,,,–,–,0.01,,,,
,,,,,,,,,,,
,TRI by nature & gender (number),,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Traumatic sprain /,Women,,,672,563,628,,,,
,strain,Men,,,395,359,330,,,,
,,Different term,,,1,2,6,,,,
,Musculoskeletal,Women,,,410,401,436,,,,
,,Men,,,228,222,252,,,,
,,Different term,,,1,1,4,,,,
,Wounds and lacerations,Women,,,175,156,191,,,,
,,Men,,,99,90,117,,,,
,,Different term,,,–,1,–,,,,
,Fractures,Women,,,88,97,117,,,,
,,Men,,,62,66,58,,,,
,,Different term,,,1,1,2,,,,
,Other,Women,,,143,157,177,,,,
,,Men,,,115,112,110,,,,
,,Different term,,,2,–,2,,,,
,Total,Women,,,1488,1374,1549,,,,
,,Men,,,899,849,867,,,,
,,Different term,,,5,5,14,,,,
,,,,,,,,,,,
,TRI by nature & gender (%),,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Traumatic sprain /,Women,,,0.63,0.62,0.65,,,,
,strain,Men,,,0.37,0.38,0.34,,,,
,,Different term,,,–,–,0.01,,,,
,Musculoskeletal,Women,,,0.64,0.65,0.63,,,,
,,Men,,,0.36,0.35,0.36,,,,
,,Different term,,,–,–,0.01,,,,
,Wounds and lacerations,Women,,,0.64,0.64,0.62,,,,
,,Men,,,0.36,0.35,0.38,,,,
,,Different term,,,–,–,–,,,,
,Fractures,Women,,,0.58,0.58,0.66,,,,
,,Men,,,0.41,0.42,0.33,,,,
,,Different term,,,0.01,–,0.01,,,,
,Other,Women,,,0.55,0.54,0.61,,,,
,,Men,,,0.44,0.45,0.38,,,,
,,Different term,,,0.01,–,0.01,,,,
,Total,Women,,,0.62,0.62,0.64,,,,
,,Men,,,0.38,0.38,0.36,,,,
,,Different term,,,–,–,0.01,,,,
,,,,,,,,,,,
,TRI by mechanism & gender (number),,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Manual handling,Women,,,888,820,881,,,,
,,Men,,,592,541,542,,,,
,,Different term,,,2,2,8,,,,
,Contact with object,Women,,,260,240,291,,,,
,,Men,,,159,159,193,,,,
,,Different term,,,3,–,3,,,,
,Slip / trip / fall,Women,,,237,218,260,,,,
,,Men,,,77,75,75,,,,
,,Different term,,,–,1,2,,,,
,Mental stress,Women,,,44,27,43,,,,
,,Men,,,26,26,16,,,,
,,Different term,,,–,1,1,,,,
,Other,Women,,,59,69,74,,,,
,,Men,,,45,48,41,,,,
,,Different term,,,–,1,–,,,,
,Total,Women,,,1488,1374,1549,,,,
,,Men,,,899,849,867,,,,
,,Different term,,,5,5,14,,,,
,,,,,,,,,,,
,TRI by mechanism & gender (%),,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Manual handling,Women,,,0.6,0.6,0.62,,,,
,,Men,,,0.4,0.4,0.38,,,,
,,Different term,,,–,–,0.01,,,,
,Contact with object,Women,,,0.62,0.6,0.6,,,,
,,Men,,,0.38,0.4,0.4,,,,
,,Different term,,,0.01,–,0.01,,,,
,Slip / trip / fall,Women,,,0.75,0.74,0.77,,,,
,,Men,,,0.25,0.26,0.22,,,,
,,Different term,,,–,–,0.01,,,,
,Mental stress,Women,,,0.63,0.5,0.72,,,,
,,Men,,,0.37,0.48,0.27,,,,
,,Different term,,,–,0.02,0.02,,,,
,Other,Women,,,0.57,0.58,0.64,,,,
,,Men,,,0.43,0.41,0.36,,,,
,,Different term,,,–,0.01,–,,,,
,Total,Women,,,0.62,0.62,0.64,,,,
,,Men,,,0.38,0.38,0.36,,,,
,,Different term,,,–,–,0.01,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Work related ill health,,,,,,GRI 403-10,,Ü Footnote 4,,
,,,,,,,,,,,
,Ill health by division & gender (number),,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,Women,,,442,443,461,,,,
,,Men,,,185,185,200,,,,
,,Different term,,,1,2,4,,,,
,New Zealand Food,Women,,,2,2,2,,,,
,,Men,,,1,–,2,,,,
,,Different term,,,–,–,–,,,,
,Big W,Women,,,37,37,54,,,,
,,Men,,,4,7,16,,,,
,,Different term,,,–,–,1,,,,
,Corporate,Women,,,–,2,1,,,,
,,Men,,,2,4,3,,,,
,,Different term,,,–,–,–,,,,
,Primary Connect,Women,,,21,27,37,,,,
,,Men,,,113,114,104,,,,
,,Different term,,,–,–,1,,,,
,WooliesX,Women,,,6,4,5,,,,
,,Men,,,3,3,6,,,,
,,Different term,,,–,–,–,,,,
,Foodco including,Women,,,5,5,6,,,,
,Metro Food Stores,Men,,,8,3,9,,,,
,,Different term,,,–,–,–,,,,
,Total,Women,,,513,520,566,,,,
,,Men,,,316,316,340,,,,
,,Different term,,,1,2,6,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Ill health by division & gender (%),,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,Women,,,0.7,0.7,0.69,,,,
,,Men,,,0.29,0.29,0.3,,,,
,,Different term,,,–,–,0.01,,,,
,New Zealand Food,Women,,,0.67,1,0.5,,,,
,,Men,,,0.33,–,0.5,,,,
,,Different term,,,–,–,–,,,,
,Big W,Women,,,0.9,0.84,0.76,,,,
,,Men,,,0.1,0.16,0.23,,,,
,,Different term,,,–,–,0.01,,,,
,Corporate,Women,,,0,0.33,0.25,,,,
,,Men,,,1,0.67,0.75,,,,
,,Different term,,,–,–,–,,,,
,Primary Connect,Women,,,0.16,0.19,0.26,,,,
,,Men,,,0.84,0.81,0.73,,,,
,,Different term,,,–,–,0.01,,,,
,WooliesX,Women,,,0.67,0.57,0.45,,,,
,,Men,,,0.33,0.43,0.55,,,,
,,Different term,,,–,–,–,,,,
,Foodco including,Women,,,0.38,0.63,0.4,,,,
,Metro Food Stores,Men,,,0.62,0.38,0.6,,,,
,,Different term,,,–,–,–,,,,
,Total,Women,,,0.62,0.62,0.62,,,,
,,Men,,,0.38,0.38,0.37,,,,
,,Different term,,,–,–,0.01,,,,
,,,,,,,,,,,
,Ill health by nature & gender (number),,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Musculoskeletal,Women,,,410,401,436,,,,
,,Men,,,228,222,252,,,,
,,Different term,,,1,1,4,,,,
,Mental health,Women,,,63,65,64,,,,
,,Men,,,31,39,25,,,,
,,Different term,,,–,1,2,,,,
,Nervous system,Women,,,26,34,42,,,,
,and sense organ,Men,,,11,18,21,,,,
,diseases,Different term,,,–,–,–,,,,
,Other,Women,,,14,20,24,,,,
,,Men,,,46,37,42,,,,
,,Different term,,,–,–,–,,,,
,Total,Women,,,513,520,566,,,,
,,Men,,,316,316,340,,,,
,,Different term,,,1,2,6,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Ill health by nature & gender (%),,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Musculoskeletal,Women,,,0.64,0.64,0.63,,,,
,,Men,,,0.36,0.36,0.36,,,,
,,Different term,,,–,–,0.01,,,,
,Mental health,Women,,,0.67,0.62,0.7,,,,
,,Men,,,0.33,0.37,0.27,,,,
,,Different term,,,–,0.01,0.02,,,,
,Nervous system,Women,,,0.7,0.65,0.67,,,,
,and sense organ,Men,,,0.3,0.35,0.33,,,,
,diseases,Different term,,,–,–,–,,,,
,Other,Women,,,0.23,0.35,0.36,,,,
,,Men,,,0.77,0.65,0.64,,,,
,,Different term,,,–,–,–,,,,
,Total,Women,,,0.62,0.62,0.62,,,,
,,Men,,,0.38,0.38,0.37,,,,
,,Different term,,,–,–,0.01,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Close calls & high potential incidents,,,,,,GRI 403-9,,,,
,,,,,,,,,,,
,Close calls: Woolworths Group,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,190,386,620,,,,
,New Zealand Food,,,,3115,6403,10864,,,,
,Big W,,,,122,101,120,,,,
,Corporate,,,,2,1,3,,,,
,Primary Connect,,,,1294,1370,1708,,,,
,WooliesX,,,,1,3,7,,,,
,Foodco including Metro Food Stores,,,,29,25,28,,,,
,Total,,,,4753,8289,13350,,,,
,,,,,,,,,,,
,Close calls: contractors,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,22,16,47,,,,
,New Zealand Food,,,,260,346,442,,,,
,Big W,,,,13,21,18,,,,
,Corporate,,,,5,4,7,,,,
,Primary Connect,,,,142,126,192,,,,
,WooliesX,,,,1,–,–,,,,
,Foodco including Metro Food Stores,,,,6,5,5,,,,
,Total,,,,449,518,711,,,,
,,,,,,,,,,,
,Close calls: agency,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,3,0,3,,,,
,New Zealand Food,,,,15,73,44,,,,
,Big W,,,,1,–,3,,,,
,Corporate,,,,–,–,–,,,,
,Primary Connect,,,,359,433,352,,,,
,WooliesX,,,,–,–,1,,,,
,Foodco including Metro Food Stores,,,,–,–,1,,,,
,Total,,,,378,506,404,,,,
,,,,,,,,,,,
,High potential incidents: Woolworths Group,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,3,5,1,,,,
,New Zealand Food,,,,10,1,4,,,,
,Big W,,,,1,1,3,,,,
,Corporate,,,,1, –,9,,,,
,Primary Connect,,,,11, –,6,,,,
,WooliesX,,,, –, –, –,,,,
,Foodco including Metro Food Stores,,,,1,3,1,,,,
,Total,,,,27,10,24,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Health & safety management systems,,,,,,GRI 403-8,,,,
,,,,,,,,,,,
,Number of employees covered under health & safety management systems,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,129919,125283,133539,,,,
,New Zealand Food,,,,19637,21447,20975,,,,
,Big W,,,,17568,18111,17458,,,,
,Corporate,,,,3155,11546,9038,,,,
,Primary Connect,,,,7972,8146,9479,,,,
,WooliesX,,,, –,7834,7797,,,,
,Foodco including Metro Food Stores,,,,3751,4968,6100,,,,
,Total,,,,182002,197335,204386,,Ü Footnote 5,,
,,,,,,,,,,,
,,,,,,,,,,,
,Total hours worked,,,,,,,,,,
,,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,128398636,127645912,122933405,,,,
,New Zealand Food,,,,29152651,27663908,28077749,,,,
,Big W,,,,17365473,17508011,16847318,,,,
,Corporate,,,,3732821,4315721,5881695,,,,
,Primary Connect,,,,12778249,13000614,13301464,,,,
,WooliesX,,,,Not available,5866588,6667737,,,,
,Foodco including Metro Food Stores,,,,4006945,4183450,4826211,,,,
,Total,,,,195434775,200184205,198535579,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Footnotes,,,,,,,,,,
,,,,,,,,,,,
,Ü General note,"All safety data excludes workers not in Woolworths Group payroll systems (PFD Foods, PetCulture and MyDeal).",,,,,,,,,
,Ü Footnote 1,"Severity rate was introduced as a business metric in F22. It is a more holistic measure than TRIFR, covering all injuries (physical and psychological) for team and customers, and including incidents with a high potential for serious injury or death. The F23 figure does not reflect the fatality reported in the Fatalities table due to the fact that it occurred after the official end of the financial year (27/06/2023).",,,,,,,,,
,Ü Footnote 2,"Tragically, two of our team members lost their lives during the year. We are deeply affected by this loss, and our thoughts remain with the families and many friends, and colleagues affected. A number of investigations into these events are ongoing and, while the outcomes may not be known for some time, we are working now to ensure learnings are gained and applied.",,,,,,,,,
,Ü Footnote 3,"HCI reporting data is not available for New Zealand. For F21, WooliesX was reported under Australian Food.",,,,,,,,,
,Ü Footnote 4,"Ill health figures have been re-stated due to changes in data source (claims vs incident system), criteria and retrospective movements.",,,,,,,,,
,Ü Footnote 5,Employee numbers covered by health & safety management systems include contractors.,,,,,,,,,
