Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,Unnamed: 19,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
76,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,306.0,Waste,306-02,Management of significant waste-related impacts,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,306.0,Waste,306-03,Waste generated,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,306.0,Waste,306-04,Waste diverted from disposal,Vanguard diverted 86% of its waste from landfills.,,,,Vanguard,2023.0,,,,,,,,,,,,,https://corporate.vanguard.com/content/corporatesite/us/en/corp/who-we-are/we-care-about/sustainability.html,,,,,,,,,,,,,,
80,,306.0,Waste,306-05,Waste directed to disposal,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,401.0,Employment,401-01,New employee hires and employee turnover,,Talent Acquisition Policy,,,Vanguard,2023.0,Vanguard is an equal opportunity employer seeking to ensure that recruitment is handled fairly and with integrity. All recruitment follows Vanguard's Talent Acquisition Policy and Gender Equality Policy. Vanguard carries out background checks and pre-employment screening during its recruitment process.,,,,,,,"Talent Acquisition Policy, Gender Equality Policy, pre-employment screening",,"8, 10",S,,Modern Slavery Statement page 10,,,,,,,,,,,,,,
85,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
