Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
94,,"12. Measures representation at the Senior Manager, Executive and Senior Executive levels. Includes all employees regardless of leave status but not contractors (which are included in FTE). 13. ANZ Directors (whether executive directors or otherwise), and those personnel with a key responsibility for the strategic direction and management of the Group who have Banking Executive Accountability Regime (BEAR) accountability and who report to the CEO. 14. Representation of women at the Senior Manager, Executive and Senior Executive levels based on 'revenue proximity' field.",,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,2020,,,,,,,,,,,
97,,Employees by category and diversity,,2023,,2022,,,2021,,,,,,,,,,,,,
98,,Employees by category and gender \n(% of category),,Female,Male,Female,Male,,Female,Male,Female,Male,,,,,,,,,,
99,,ANZ Executive Committee,,30,70,37.5,62.5,,36.4,63.6,50,50,,,,,,,,,,
100,,Senior Executive15,,35.7,64.3,34.5,65.5,,30.6,69.4,26,74,,,,,,,,,,
101,,Executive16,,32.8,67.2,31.8,68.2,,30.4,69.6,29.4,70.6,,,,,,,,,,
102,,Senior Manager17,,38.5,61.5,36.9,63.1,,36.8,63.2,34.7,65.3,,,,,,,,,,
103,,Total in Leadership roles18,,37.3,62.7,35.9,64.1,,35.3,64.7,33.4,66.6,,,,,,,,,,
104,,Manager19,,43.9,56.1,43.6,56.4,,42.7,57.3,42.1,57.9,,,,,,,,,,
105,,Non-management20,,60.3,39.7,60.5,39.5,,61.6,38.4,62.4,37.6,,,,,,,,,,
106,,ANZ overall,,50.8,49.1,51.1,48.9,,51.3,48.7,51.9,48.1,,,,,,,,,,
107,,"15. Senior Executive comprises persons holding roles within ANZ designated as Group 1. These roles typically involve leading large businesses, geographies or the strategy, policy and governance of business areas (excludes Group Executive Committee). 15. Executive comprises persons holding roles within ANZ designated as Group 2. 16. Senior Manager comprises persons holding roles within ANZ designated as Group 3. 17. Measures representation at the Senior Manager, Executive and Senior Executive levels. Includes all employees regardless of leave status but not contractors (which are included in FTE). 18. Manager comprises persons holding roles within ANZ designated as Group 4. 19. Non-management comprises persons holding roles within ANZ designated as Group 5 and 6.",,,,,,,,,,,,,,,,,,,,
110,,Employees by category and age \n(% of category),,<20,20Ã¢ÂÂ24,25Ã¢ÂÂ34,35Ã¢ÂÂ44,,45Ã¢ÂÂ54,55Ã¢ÂÂ64,>65,,,,,,,,,,,
111,,ANZ Executive Committee,,0,0,0,0,60.0,60,40,0,,,,,,,,,,,
112,,Senior Executive21,,0,0,0,5.4,67.0,67,26.8,0.9,,,,,,,,,,,
113,,Executive22,,0,0,0.8,25.5,53.7,53.7,19.8,0.2,,,,,,,,,,,
114,,Senior Manager23,,0,0.6,21.9,46.3,22.0,22,8.2,1,,,,,,,,,,,
115,,Manager24,,0.4,11.3,41.5,27.4,10.7,10.7,7.1,1.6,,,,,,,,,,,
116,,Non-management25,,0,0,2.2,38.6,44.0,44,14.2,1,,,,,,,,,,,
117,,ANZ overall,,0.2,5.4,29.4,37.1,18.5,18.5,8.2,1.3,,,,,,,,,,,
118,,"21. Senior Executive comprises persons holding roles within ANZ designated as Group 1. These roles typically involve leading large businesses, geographies or the strategy, policy and governance of business areas (excludes Group Executive Committee). 22. Executive comprises persons holding roles within ANZ designated as Group 2. 23. Senior Manager comprises persons holding roles within ANZ designated as Group 3. 24. Manager comprises persons holding roles within ANZ designated as Group 4. 25. Non-management comprises persons holding roles within ANZ designated as Group 5 and 6.",,,,,,,,,,,,,,,,,,,,
121,,Recruitment of under represented groups,,2023,2022,2021,2020,,,,,,,,,,,,,,,
122,,Aboriginal and Torres Strait Islander peoples26,,26,139,128,77,,,,,,,,,,,,,,,
123,,People with self-disclosed disability27,,126,126,80,91,,,,,,,,,,,,,,,
124,,Refugees28,,46,55,47,17,,,,,,,,,,,,,,,
125,,Total29,,198,320,255,185,,,,,,,,,,,,,,,
126,,"26. Change in recruitment system from January 2022, previously had a ethnicity list candidates selected from this is now a standalone non-mandatory questions. Care should be taken when comparing 2022 and 2023 values to to prior years. Includes both direct hires and trainees. 27. Results are based on the number of Employees and Contractors with tenure less than 12 months, with self-disclosed disability in MyVoice Survey 2023 Q2. 28. Contractors recruited as part of the Given the Chance program. 29. Total may have duplicates as employees and contractors can identify with more than one under represented group.",,,,,,,,,,,,,,,,,,,,
129,,Other diversity dimensions(%)30,,,,2023,2022,2021.0,2021,,,,,,,,,,,,,
130,,Employees who identify as having a disability and/or as being neurodivergent31,,,,4.3,-,,-,,,,,,,,,,,,,
131,,- employees who identify as having a disability,,,,2.6,-,,-,,,,,,,,,,,,,
132,,- employees who identify as being neurodivergent,,,,2.2,-,,-,,,,,,,,,,,,,
133,,Employees who identify as LGB+32,,,,3.7,3.4,,3.5,,,,,,,,,,,,,
134,,"30. Results are based on the percentage of respondents who voluntarily self-disclosed in the confidential My Voice Survey 2023 Q4 (i.e. have provided an answer including categories 'Prefer not to say', 'Unsure' and 'Choose not to define""). 31. From 2023, My Voice respondents were asked two separate questions to self-identify as having a disability and/or being neurodivergent. Percentage based on unique number or respondents who self-identified for either of the two categories from the total of non-skipped responses across both categories. There is an overlap between the two categories as some employees have chosen to identify as both having a disability and being neurodivergent, so the sum of the percentages of the two categories is higher than the total across the two groups. 32. LGB+ refers to respondents who identify as asexual, lesbian/gay or bisexual/pansexual (i.e. not heterosexual).",,,,,,,,,,,,,,,,,,,,
137,,Cultural and Ethnic background (%)33,,1. Aboriginal and/or Torres Strait Islander (Australia only)34,2. Anglo / European35,3. Asian,4. MÃÂori (New Zealand only)36,,5. Pacific Peoples,6. Middle-Eastern / Latin American / African,,,,,,,,,,,,
138,,ANZ overall,,1,29.3,51.9,7.2,,4.4,2.1,,,,,,,,,,,,
139,,"33. Results are based on the percentage of respondents who voluntarily self-disclosed in the confidential My Voice Survey 2022 Q4. Respondents could select up to 2 options to the question 'What is your ethnic background?' with categories including 'Unsure', 'Other cultural background not listed' and 'Prefer not to say' so the total is lesser than 100%. 34. Aboriginal and/or Torres Strait Islander refers to the percentage of respondents who identify as Aboriginal and/or Torres Strait Islander within the Australian Geography only. 35. Anglo/European is the combination of respondents who identify as Anglo-Celtic and/or European. 36. MÃÂori refers to the percentage of respondents who identify as MÃÂori within the New Zealand Geography only.",,,,,,,,,,,,,,,,,,,,
142,,Parental leave37,,,,,Female,,Male,Total,,,,,,,,,,,,
