Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Australian electricity consumption: Renewable electricity (as a percentage of total electricity consumed),Calculated using the definitions and approaches for the calculation of the 'renewable electricity percentage' set out within the most recently published Corporate Emissions Reduction Transparency (CERT) report Guidelines published by the Clean Energy Regulator as at the end of the reporting period. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 1 emissions,"The release of greenhouse gas into the atmosphere as a direct result of operations and facilities (across Australia, Philippines, and Guam) considered to be under the operational control of TPG Telecom Limited. Scope 1 emission sources for TPG Telecom Limited are primarily fuel combustion, which deals with emissions released from fuel combustion including transport fuel (petrol and diesel) and stationary fuel (diesel). Scope 1 emissions sources also include, where relevant, fugitive emissions from fuels, industrial processes emissions (including the emission of synthetic gases) and waste emissions. Scope 1 emissions are estimated using emission factors sourced from the most recently published National Greenhouse Accounts Factors as at the end of the reporting period and applied to activity data for each emission source. Activity data is based on measured consumption data sourced from metering records or third-party invoices wherever possible. Where metered or invoiced data is not available, activity data is estimated based on prior actual consumption or similar facility types or operations.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 2 emissions,"The release of greenhouse gas into the atmosphere as a direct result of one or more activities that generate electricity, or where relevant heating, cooling or steam, that is consumed by an operation or facility (across Australia, Philippines and Guam) considered to be under TPG Telecom Limited’s operational control, but that do not form part of the operation or facility.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 2 emissions (location-based),"Scope 2 emissions (location based) are estimated by multiplying:
   • the amount of energy consumed as electricity, heating, cooling or steam from external sources (the activity data); with
   • location based emission factors sourced from the most recently published National Greenhouse Accounts Factors as at the end of the reporting period (for Australian operations or facilities) or the most recently published IEA Emissions Factors Database as at the end of the reporting period (for all other operations or facilities).
Activity data is based on measured consumption data sourced from metering records or third-party invoices wherever possible. Where metered or invoiced data is not available, activity data is estimated based on prior actual consumption or similar facility types or operations.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 2 emissions (market-based),"Scope 2 emissions (market based) is TPG Telecom Limited’s primary method for reporting of Scope 2 emissions. Scope 2 (market based) emissions are calculated using the approaches set out within the most recently published Corporate Emissions Reduction Transparency (CERT) Report Guidelines published by the Clean Energy Regulator as at the end of the reporting period. Scope 2 (market based) emissions are estimated utilising:
   • the amount of energy consumed as electricity, heating, cooling or steam from external sources (the activity data);
   • emission factors, including the national emissions factor for indirect (Scope 2) emissions from consumption of purchased electricity from a grid, sourced from the most recently published National Greenhouse Accounts Factors (the NGA Factors) (for Australian operations or facilities) and from the most recently published IEA Emissions Factors Database (for all other facilities), as at the end of the reporting period; and
   •  the renewable power percentage (RPP) for Australia for the year and the jurisdictional renewable power percentage (JRPP) for the year as set out within the most recently published CERT Progress Calculator as at the end for the reporting period.
Activity data is based on measured consumption data sourced from metering records or third-party invoices wherever possible. Where metered or invoiced data is not available, activity data is estimated based on prior actual consumption or similar facility types or operations.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 1+2 emissions (location-based),Total Scope 1 and Scope 2 emissions location-based as defined above.,,,,,,,,,,,,,,,,
,Scope 1+2 emissions (market-based),Total Scope 1 and Scope 2 emissions market-based as defined above.,,,,,,,,,,,,,,,,
,Scope 3 emissions,"Scope 3 emissions are indirect releases of greenhouse gas into the atmosphere, other than those emissions considered Scope 2 emissions, which occur outside of the boundary of TPG Telecom Limited as a result of actions by operations and facilities under the operational control of TPG Telecom Limited. Scope 3 emissions may occur:
• upstream, such as the emissions generated in the extraction and production of fossil fuels, or the production of goods and services purchased by TPG Telecom Limited; and
• downstream, such as the emissions from transport of an TPG Telecom Limited’s product to customers, or the emissions from outsourced activities.
Scope 3 emissions are categorised using the categories set out within the Corporate Value Chain (Scope 3) Accounting and Reporting Standard issued by the Greenhouse Gas Protocol.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 - Categories 1 & 2: Purchased goods and services & Capital goods,"Purchased goods and services & Capital goods (Scope 3 - Categories 1 & 2) represent indirect releases of greenhouse gas into the atmosphere associated with goods and services purchased by TPG Telecom Limited where these goods and services have not been included within another Scope 3 emissions category.
Purchased goods and services & Capital goods emissions are estimated utilising:
   • the amount of purchased goods and services (the activity data) and/or the expenditure on these goods and services (the spend data);
   • the results of lifecycle assessments (LCAs) undertaken in relation to selected goods or services provided directly by the supplier or sourced from the Ecoinvent database at the end of the reporting period;
   • spend based emission factors sourced from the EEIO-IELabs database (published by IELabs) and CEDA database (published by Watershed) at the end of the reporting period;
   • supplier specific spend based emissions factors calculated utilising the most recently available publicly disclosed greenhouse gas emissions and revenue of the supplier; and
   • activity based emission factors sourced from the most recent Government conversion factors for company reporting of greenhouse gas emissions issued by the Department for Business, Energy & Industrial Strategy (UK) (the BEIS factors) at the end of the reporting period.
   • emission factors sourced from the most recently published NGA Factors as at the end of the reporting period.
Activity data is based on measured consumption data sourced from metering records or third-party invoices wherever possible. Where metered or invoiced data is not available, spend data maintained in the financial records of TPG Telecom Limited is utilised.
Spend related to activities or instruments not resulting in the indirect release of greenhouse gas emissions such as regulatory payments, taxes and financial instruments are not included within the estimation of Purchased goods and services & Capital goods emissions.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 3: Fuel- and energy-related emissions,"Fuel- and energy-related emissions (Scope 3 - Category 3) represents indirect releases of greenhouse gas into the atmosphere associated with production, transmission and distribution of stationary fuel, transport fuel and electricity consumed by operations and facilities under the operational control of TPG Telecom Limited. 
Fuel and energy-related emissions are estimated utilising:
   • a combination of emission factors from the most recently published NGA Factors, IEA Emissions Factors Database and Ecoinvent database relevant to the fuel and energy consumed by operations and facilities under the operational control of TPG Telecom Limited, as at the end of the reporting period; and
   • the amount of transport fuel, stationery fuel and electricity consumed by operations and facilities under the operational control of TPG Telecom Limited (the activity data).
Activity data is based on measured consumption data sourced from metering records or third-party invoices wherever possible. Where metered or invoiced data is not available, activity data is estimated based on prior actual consumption or similar facility types or operations.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 4: Upstream transportation and distribution,"Upstream transportation and distribution emissions (Scope 3 - Category 4) represents the indirect releases of greenhouse gas into the atmosphere associated with upstream transportation and distribution of products purchased by TPG Telecom Limited.
Upstream transportation and distribution emissions are estimated utilising:
• the amount/number of products purchased; 
• the results of LCAs undertaken in relation to selected products, including upstream transportation of the products, provided directly by the supplier; and
 • activity based emission factors sourced from the most recent Government conversion factors for company reporting of greenhouse gas emissions issued by the Department for Business, Energy & Industrial Strategy (UK) (the BEIS factors) at the end of the reporting period. 
The amount/number of products purchased is based on inventory records maintained in the financial records of TPG Telecom Limited.
The upstream transportation and distribution of specific network related capital expenditure are excluded from this category and included in category 1&2 where the results of LCAs for the capital expenditure includes these emissions but where these cannot be separated from the product-based emissions determined by the LCA.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 5: Waste generated in operations,"Waste generated in operations emissions (Scope 3 - Category 6) represents the indirect releases of greenhouse gas into the atmosphere associated with waste generated by operations and facilities under the operational control of TPG Telecom Limited including waste generated at offices, retail sites, warehouses and network facilities.
Waste generated in operations emissions are estimated utilising:
   • third-party waste reports and waste generation estimates for operations or facilities with no available waste reports based on the number of employees working at the operation or facility (the activity data) for 2021 baseline year. For consecutive years the activity data was estimated by adjusting the baseline year data by the changes in number of employees year on year; and   
   • emission factors sourced from the most recently published NGA Factors or BEIS Factors as at the end of the reporting period.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 6: Business travel,"Business travel emissions (Scope 3 - Category 6) represents the indirect releases of greenhouse gas into the atmosphere associated with our employees' business travel. Emission sources include air and land travel and accommodation.
Business travel emissions are estimated utilising:
   • third-party air travel reports and financial records of TPG Telecom Limited covering kilometres reimbursement, spend data on land transport (rentals, taxis, other) and number of accommodation days for 2021 baseline year. For consecutive years the activity data was estimated by adjusting the baseline year data by the changes in number of employees year on year; and   
   • emission factors sourced from the most recently published BEIS Factors and CEDA database (published by Watershed) as at the end of the reporting period.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 7: Employee commuting,"Employee commuting emissions (Scope 3 - Category 7) represents releases of greenhouse gas into the atmosphere associated with our employees commuting and working from home.
Employee commuting emissions are estimated utilising:
   • an estimated average distance travelled by staff when commuting to work for different modes of transport based on the results of the Australian Bureau of Statistics census (2016) for 2021 baseline year. For consecutive years the activity data was estimated by adjusting the baseline year data by the changes in number of employees year on year; 
   • the number of staff working from office or home, determined using data from security access to the largest TPG Telecom Limited office facilities and extrapolated to all office facilities for 2021 baseline year. For consecutive years the activity data was estimated by adjusting the baseline year data by the changes in number of employees year on year; and 
   • emission factors sourced from the most recently published BEIS Factors, IEA Emissions Factors Database, and Anthesis Paper 2021 (covering estimating energy and emissions for remote working).",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 8: Upstream leased assets,"Upstream leased asset emissions (Scope 3 - Category 8) represents indirect releases of greenhouse gas into the atmosphere associated with the operation of assets that are leased by TPG Telecom Limited and not already included in the reporting of TPG Telecom Limited’s Scope 1 or Scope 2 emissions.
Upstream leased asset emissions are estimated utilising:
   • emission factors sourced from the most recently published NGA Factors as at the end of the reporting period; and
   • consumption data sourced from metering records, third party invoices or building lease data wherever possible. Where metered, invoiced or lease data is not available, activity data is estimated based on the NABERS building rating for the facility, leased building energy consumption as published by NABERS and apportioning to leased area of TPG Telecom Limited where TPG Telecom Limited is one of a number of tenants leasing an area within the facility.
Upstream leased asset emissions include only indirect releases of greenhouse gas into the atmosphere associated
with the consumption of electricity at leased assets as it is the only source of emissions considered material.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 9: Downstream transportation and distribution,"Downstream transportation and distribution emissions (Scope 3 - Category 9) represents indirect releases of greenhouse gas into the atmosphere associated with the downstream transportation and distribution of products to customers.
Downstream transportation and distribution emissions are sourced directly from freight suppliers based on services procured by TPG Telecom Limited in the reporting period.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 10: Processing of sold products,Not applicable.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 11: Use of sold products,"Use of sold products emissions (Scope 3 - Category 11) represents indirect releases of greenhouse gas into the atmosphere associated with the use of our sold products. Emissions sources include energy consumed by devices.
Use of sold products emissions are estimated utilising:
   • the amount/number of procured devices sold to customers;
   • the results of LCAs undertaken in relation to procured devices sold to customers, including device energy consumption, or original equipment manufacturer (OEM) data for device charging requirements applied to the device's expected lifetime energy consumption; and
   • emission factors sourced from the most recently published NGA Factors as at the end of the reporting period.
The device lifetime emissions are accounted for in the year of purchase from TPG Telecom Limited.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 12: End-of-life treatment of sold products,"End-of-life treatment of sold products emissions (Scope 3 - Category 12) represents indirect releases of greenhouse gas into the atmosphere associated with the end-of-life treatment of our sold products.
End-of-life treatment of sold products emissions are estimated utilising:
   • the amount/number of procured devices sold to customers; and
   • the results of LCAs undertaken in relation to procured devices sold to customers or the most recently published BEIS Factors as at the end for the reporting period.
The end-of-life treatment of sold product emissions are accounted for in the year of purchase of the products.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 13: Downstream leased assets,Not applicable.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 14: Franchises,Not applicable.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Scope 3 – Category 15: Investments,Not applicable.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Customer wellbeing,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,TERM / METRIC,DEFINITION,,,,,,,,,,,,,,,,
,Telecommunication Industry Ombudsman complaints,Number of complaints handled by the Telecommunications Industry Ombudsman (TIO) during the relevant quarter of the reporting period for each of the Selected TPG Telecom retail service providers. Complaints include those as referenced in the latest TIO Terms of Reference. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Selected TPG Telecom retail service providers,"• Vodafone: Vodafone Australia Limited, felix, Lebara, Lebara Mobile, Kogan Mobile and Kogan Internet.
• TPG: TPG Internet Pty Ltd.
• iiNet: iiNet Pty Ltd. 
",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Services in operation,"The total number of the following services provided by the Selected TPG Telecom retail service providers:
  • mobile (including mobile broadband);
  • internet/broadband and fixed voice (over broadband); and 
  • fixed voice (traditional telephone service - non-internet-based landlines).",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Inclusion and belonging,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,TERM / METRIC,DEFINITION,,,,,,,,,,,,,,,,
,Women percentage of employees (Australia),"Number of Australian female employees (full-time, part-time, or casual) as a percentage of total number of Australian employees as at the end of the reporting period.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Strategic Leadership Team (Australia),"The Australian Strategic Leadership Team are those Australian employees within the hierarchy levels of grades 2 to 4 comprising Group Executive, Executive General Manager, General Manager and Department Heads positions.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Women percentage in Strategic Leadership Team (Australia),Number of females in the Australian Strategic Leadership Team as a percentage of the total number of the Australian Strategic Leadership Team as at the end of the reporting period.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,STEM positions (Australia),"STEM positions of Australian employees (full-time, part-time, or casual) consist of technical roles in the areas of strategic technology, technology operations, technology engineering, field engineering, data science and analytics, architecture and system design, information security and program management.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Women percentage in STEM positions (Australia),Number of Australian female employees in STEM positions as a percentage of total number of all Australian employees in STEM positions as at the end of the reporting period.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Gender pay equity (Australia),"The gender pay equity, expressed as a percentage for the reporting period, represents the difference between how women and men are paid relative to the market reference for their roles and is calculated as the difference between the average position in range (PIR) for males and the average PIR for females at an organisation level. The PIR is the ratio of an individual’s full-time equivalent base salary over the midpoint of an external benchmark salary for the individual’s role. A negative figure notes that the average PIR for females is higher than that of males. Excludes casual employees.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Digital economy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,TERM / METRIC,DEFINITION,,,,,,,,,,,,,,,,
,5G-enabled sites,Number of network sites enabled with 5G technology (achieving in service notification milestone) as at the end of the reporting period.  ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Acronyms,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,ACRONYM,DEFINITION,,,,,,,,,,,,,,,,
,BEIS,"Department for Business, Energy & Industrial Strategy (United Kingdom)",,,,,,,,,,,,,,,,
,CEDA,Comprehensive Environmental Data Archive (International),,,,,,,,,,,,,,,,
,CER,Clean Energy Regulator (Australia),,,,,,,,,,,,,,,,
,CERT,Corporate Emissions Reduction Transparency,,,,,,,,,,,,,,,,
,CHSBI,Cornell Hotel Sustainability Benchmarking Index (International),,,,,,,,,,,,,,,,
,DCCEEW,"Department of Climate Change, Energy, the Environment and Water (Australia)",,,,,,,,,,,,,,,,
,IEA,International Energy Agency,,,,,,,,,,,,,,,,
,IELab,Industrial Ecology Virtual Laboratory,,,,,,,,,,,,,,,,
,JRPP,Jurisdictional Renewable Power Percentage,,,,,,,,,,,,,,,,
,LCA,Life Cycle Assessment,,,,,,,,,,,,,,,,
,NABERS,National Australian Built Environment Rating System,,,,,,,,,,,,,,,,
,NGA,National Greenhouse Accounts (Australia),,,,,,,,,,,,,,,,
,NGER,National Greenhouse and Energy Reporting (Australia),,,,,,,,,,,,,,,,
,OEM,Original Equipment Manufacturer,,,,,,,,,,,,,,,,
,RPP,Renewable Power Percentage,,,,,,,,,,,,,,,,
