Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,102-18,Governance structure,"FY22 Annual Report (pages 9 to 11)
FY22 Sustainability Report  (page 11)",,,,
,,102-22,Composition of the highest governance body and its committees,"FY22 Annual Report (pages 9 to 11)
Our Governance (Qantas Group website)",,,,
,,102-23,Chair of the highest governance body,FY22 Annual Report (page 9),,,,
,,102-29,"Identifying and managing economic, environmental, and social impacts",FY22 Sustainability Report  (page 11),,,,
,,102-32,Highest governance body’s role in sustainability reporting,FY22 Sustainability Report  (page 11),,,,
,,102-35,Remuneration policies,FY22 Annual Report (Remuneration Report pages 35 to 63),,,,
,,,Stakeholder engagement,,,,,
,,102-40,List of stakeholder groups,"Qantas  Business Practices (pages 21 to 23)
FY22 Sustainability Report  (page 9)",,,,
,,102-41,Collective bargaining agreements,"FY22 Sustainability Report  (page 9, 58)",,,,
,,102-42,Identifying and selecting stakeholder,"Qantas  Business Practices (pages 21 to 23)
FY22 Sustainability Report  (page 9)",,,,
,,102-43,Approach to stakeholder engagement,"Qantas  Business Practices (pages 21 to 23)
FY22 Sustainability Report  (page 9)",,,,
,,102-44,Key topics and concerns raised,FY22 Sustainability Report  (page 9),,,,
,,,Reporting practices,,,,,
,,102-45,Entities included in the consolidated financial statements,FY22 Annual Report,,,,
,,102-46,Defining report content and topic Boundaries,FY22 Sustainability Report  (page 7),,,,
,,102-47,List of material topics,"FY22 Sustainability Report  (page 7, 8)",,,,
,,102-48,Restatements of information,FY22 Sustainability Report  (pages 59 to 60),,,,
,,102-49,Changes in reporting,,,,,
,,102-50,Reporting period,FY22 Sustainability Report  (page 7),,,,
,,102-51,Date of most recent report,2022-09-01 00:00:00,,,,
,,102-52,Reporting cycle,Annual,,,,
,,102-53,Contact point for questions regarding the report,FY22 Sustainability Report  (page 60),,,,
,,102-54,Claims of reporting in accordance with the GRI Standards,FY22 Sustainability Report  (page 7),,,,
,,102-55,GRI content index,This page,,,,
,,102-56,External assurance,FY22 Sustainability Report (page 61),,,,
,,MATERIAL TOPICS,,,,,,
,,103-1,Explanation of the material topic and its boundary,Detailed in each relevant section of the SR and/or AR or other corporate disclosures,,,,
,,103-2,The management approach and its components,Detailed in each relevant section of the SR and/ or AR or other corporate disclosures,,,,
,,GRI 201,ECONOMIC PERFORMANCE,,,,,
,,201-1,Direct economic value generated and distributed,FY22 Annual Report,,,,
,,201-2,Financial implications and other risks and opportunities due to climate change,"FY22 Sustainability Report (page 19)
FY22 Annual Report  (page 72)",,,,
,,GRI 204,PROCUREMENT PRACTICES,,,,,
,,204-1,Proportion of spending on local suppliers,FY22 Sustainability Report (page 58),,,,
,,GRI 302,ENERGY,,,,,
,,302-1,Energy consumption within the organization,FY22 Sustainability Report (page 59),,,,
,,GRI 305,EMISSIONS,,,,,
,,305-1,Direct (Scope 1) GHG emissions,FY22 Sustainability Report (pages 59 to 60),,,,
,,305-2,Energy indirect (Scope 2) GHG emissions,FY22 Sustainability Report (pages 59 to 60),,,,
,,305-3,Other indirect (Scope 3) GHG emissions,FY22 Sustainability Report (pages 59 to 60),,,,
,,305-4,GHG emissions intensity,FY22 Sustainability Report (pages 59 to 60),,,,
,,GRI 403,OCCUPATIONAL HEALTH AND SAFETY,,,,,
,,403-9,Work-related injuries,"FY22 Sustainability Report (pages 32 to 36, 58 )",,,,
,,GRI 403,DIVERSITY AND EQUAL OPPORTUNITY,,,,,
,,405-1,Diversity of governance bodies and employees,"FY22 Sustainability Report (pages 38 and 58)
Qantas Inclusion and Diversity Policy",,,,
,,GRI 409,HUMAN RIGHTS,,,,,
,,412-2,Employee training on human rights policies or procedure,"FY21 Modern Slavery Statement
FY22 Sustainability Report (pages 42 to 43)",,,,
