Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,"Number of complaints received from regulatory bodies / external dispute resolution (EDR) agencies2,4",,8107.0,6732.0,6715,,,,,,
,Complaints that progressed to case management by the regulatory bodies / EDR agencies4(%),,12.0,18.0,13,,,,,,
,"Number of complaints received concerning breaches of customer privacy2,5",,562.0,425.0,NR,,,,,,
,Number of complaints received from customers (internal dispute resolution),,550.0,420.0,NR,,,,,,
,Number of complaints received from regulatory bodies / EDR agencies2,,12.0,5.0,NR,,,,,,
,New Zealand,,,,,,,,,,
,"Number of complaints2,6",,21583.0,13615.0,17349,,,,,,
,Change in customer complaints from prior year (%) ,,58.0,-21.5,-8.7,,,,,,
,Complaints resolved within 5 days (%)3,,79.0,78.0,81,,,,,,
,"Number of complaints received from regulatory bodies / external dispute resolution (EDR) agencies2,7",,627.0,454.0,540,,,,,,
,Complaints with monetary relief (%),,36.0,18.0,20,,,,,,
,Complaints that progressed to case management by the regulatory bodies / EDR agencies7(%),,3.0,3.0,4,,,,,,
,"1. Includes Consumer and Business products, wealth management, Banking-as-a-Service, and RAMS data. BT Life/General Insurance complaints data included post exit of these businesses (all complaints reported prior to sale are excluded). FY22 and FY21 numbers restated for comparability of complaints metrics.",,,,,,,,,,
,2. Refer to this link in the 'Glossary' for the definition of customer complaints.,,,,,,,,,,
,3. Refer to this link in the 'Glossary' for the definition of complaints resolved within five days.,,,,,,,,,,
,4. This includes complaints filed with the Australian Financial Complaints Authority (AFCA),,,,,,,,,,
,"5. This includes complaints under privacy related categories (e.g. unauthorised access, disclosure or loss of personal information)",,,,,,,,,,
,6. FY22 and FY21 numbers restated for comparability of complaints metrics.,,,,,,,,,,
,7. This includes complaints filed through the Banking Ombudsmen Scheme in New Zealand,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,CUSTOMER ADVOCACY,,2023.0,2022.0,2021,,,,,,
,"Australia1,2,3",,,,,,,,,,
,Net Promoter Score (NPS) - consumer - Westpac,,2.0,-1.0,-4,,,,,,
,Net Promoter Score (NPS) - consumer - St.George brands,,9.0,1.0,7,,,,,,
,Net Promoter Score (NPS) - consumer - Westpac Group4,,4.0,0.0,0,,,,,,
,Net Promoter Score (NPS) - business - Westpac,,-6.0,-9.0,-8,,,,,,
,Net Promoter Score (NPS) - business - St.George brands,,-7.0,8.0,6,,,,,,
,Net Promoter Score (NPS) - business - Westpac Group5,,-7.0,-5.0,-4,,,,,,
,Customer Satisfaction - consumer - Westpac,,7.6,7.5,7.4,,,,,,
,Customer Satisfaction - consumer - St.George brands,,7.8,7.5,7.7,,,,,,
,Customer Satisfaction - consumer - Westpac Group4,,7.7,7.5,7.5,,,,,,
,Customer Satisfaction - business - Westpac,,7.2,7.4,7.4,,,,,,
,Customer Satisfaction - business - St.George brands,,7.4,7.7,7.6,,,,,,
,Customer Satisfaction - business - Westpac Group5,,7.2,7.5,7.4,,,,,,
,"New Zealand2,6",,,,,,,,,,
,Net Promoter Score (NPS) - consumer7,,8.0,7.0,14,,,,,,
,Net Promoter Score (NPS) - business8,,6.0,1.0,-14,,,,,,
,Customer Satisfaction - consumer (%)9,,59.0,62.0,65,,,,,,
,"1. Based on 6 months rolling data (April to September). FY22 and FY21 numbers restated to align with FY23 reporting period (in prior years reporting period was March to August). Due to the change of Strategic NPS provider, historic data (Sep-21 and Sep-22) and new data (Sep-23) are not comparable. ",,,,,,,,,,
,2. Refer to this link in the 'Glossary' for the definition of NPS,,,,,,,,,,
,3. Refer to this link in the 'Glossary' for the definition of customer satisfaction (Australia).,,,,,,,,,,
,"4. Source: Fifth Dimension (5D) for September 2023; DBM Consultants Consumer Atlas for September 2022 and September 2021, 6MR. MFI customers. Includes Westpac, St.George Bank, Bank of Melbourne and BankSA.  For 2021 and 2022 results, also includes RAMS, Dragondirect.",,,,,,,,,,
,"5. Source: Fifth Dimension (5D) for September 2023; DBM Consultants Business Atlas for September 2022 and September 2021, 6MR. MFI businesses. Includes Westpac, St.George Bank, Bank of Melbourne and BankSA",,,,,,,,,,
,6. Based on 3 months rolling data (July to September),,,,,,,,,,
,7. Source: 3 month rolling Retail Market Monitor data (survey conducted by Camorra Research).,,,,,,,,,,
,8. Source: 6 month rolling Business Finance Monitor data (survey conducted by Kantar TNS among businesses with an annual turnover of $5 to $150 million).,,,,,,,,,,
,9. Refer to this link in the 'Glossary' for the definition of customer satisfaction (New Zealand).,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,TECHNOLOGY & INFORMATION SECURITY INCIDENTS - Australia,,2023.0,2022.0,2021,,,,,,
,Number of severity 1 Technology incidents1,,0.0,0.0,1,,,,,,
,Number of severity 1 Information Security incidents2,,0.0,0.0,0,,,,,,
,TECHNOLOGY & INFORMATION SECURITY INCIDENTS - New Zealand,,,,,,,,,,
,Number of severity 1 Technology incidents1,,0.0,0.0,2,,,,,,
,Number of severity 1 Information Security incidents2,,0.0,0.0,0,,,,,,
,1. Refer to this link in the 'Glossary' for the definition of Severity 1 Technology Incidents ,,,,,,,,,,
,2. Refer to this link in the 'Glossary' for the definition of Severity 1 Information Security Incidents ,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,DATA BREACHES - Australia,,2023.0,2022.0,2021,,,,,,
,Number of data breaches reported to the Australian privacy regulator (OAIC)1,,1.0,5.0,9,,,,,,
,% involving personally identifiable information2,,100.0,100.0,100,,,,,,
,Number of account holders affected3,,1.0,5.0,319,,,,,,
,DATA BREACHES - New Zealand,,,,,,,,,,
,Number of data breaches reported to the New Zealand privacy regulator (OPC)4,,1.0,1.0,0,,,,,,
,% involving personally identifiable information2,,100.0,100.0,0,,,,,,
,Number of account holders affected3,,1.0,1.0,0,,,,,,
,1. Refer to this link in the 'Glossary' for the definition of data breaches (Australia).,,,,,,,,,,
,2. All data breaches reported to the OAIC and OPC involve personally identifiable information.,,,,,,,,,,
,3. This refers to the number of affected individuals whose personal information was involved in the eligible data breach.,,,,,,,,,,
,4. Refer to this link in the 'Glossary' for the definition of data breaches (New Zealand).,,,,,,,,,,
