Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
37,,"2. Refer to this link in the 'Glossary' for the definition of customers who received assistance through specialist customer care teams. The number of cases escalated through our specialist teams have increased due to cost of living, ongoing monitoring, education and training awareness campaigns being rolled out.",,,,,,,,,,
38,,3. Refer to this link in the 'Glossary' for the definition of customers experiencing financial hardship who accessed a financial assistance package.,,,,,,,,,,
41,,CUSTOMER COMPLAINTS,,2023.0,2022.0,2021,,,,,,
42,,Australia1,,,,,,,,,,
43,,Number of complaints2,,438633.0,252256.0,215931,,,,,,
44,,Change in customer complaints from prior year (%),,73.9,16.8,31.8,,,,,,
45,,Complaints resolved within 5 days (%)3,,79.0,73.0,73,,,,,,
46,,"Number of complaints received from regulatory bodies / external dispute resolution (EDR) agencies2,4",,8107.0,6732.0,6715,,,,,,
47,,Complaints that progressed to case management by the regulatory bodies / EDR agencies4(%),,12.0,18.0,13,,,,,,
48,,"Number of complaints received concerning breaches of customer privacy2,5",,562.0,425.0,NR,,,,,,
49,,Number of complaints received from customers (internal dispute resolution),,550.0,420.0,NR,,,,,,
50,,Number of complaints received from regulatory bodies / EDR agencies2,,12.0,5.0,NR,,,,,,
51,,New Zealand,,,,,,,,,,
52,,"Number of complaints2,6",,21583.0,13615.0,17349,,,,,,
53,,Change in customer complaints from prior year (%),,58.0,-21.5,-8.7,,,,,,
54,,Complaints resolved within 5 days (%)3,,79.0,78.0,81,,,,,,
55,,"Number of complaints received from regulatory bodies / external dispute resolution (EDR) agencies2,7",,627.0,454.0,540,,,,,,
56,,Complaints with monetary relief (%),,36.0,18.0,20,,,,,,
57,,Complaints that progressed to case management by the regulatory bodies / EDR agencies7(%),,3.0,3.0,4,,,,,,
58,,"1. Includes Consumer and Business products, wealth management, Banking-as-a-Service, and RAMS data. BT Life/General Insurance complaints data included post exit of these businesses (all complaints reported prior to sale are excluded). FY22 and FY21 numbers restated for comparability of complaints metrics.",,,,,,,,,,
59,,2. Refer to this link in the 'Glossary' for the definition of customer complaints.,,,,,,,,,,
60,,3. Refer to this link in the 'Glossary' for the definition of complaints resolved within five days.,,,,,,,,,,
61,,4. This includes complaints filed with the Australian Financial Complaints Authority (AFCA),,,,,,,,,,
62,,"5. This includes complaints under privacy related categories (e.g. unauthorised access, disclosure or loss of personal information)",,,,,,,,,,
63,,6. FY22 and FY21 numbers restated for comparability of complaints metrics.,,,,,,,,,,
64,,7. This includes complaints filed through the Banking Ombudsmen Scheme in New Zealand,,,,,,,,,,
67,,CUSTOMER ADVOCACY,,2023.0,2022.0,2021,,,,,,
68,,"Australia1,2,3",,,,,,,,,,
69,,Net Promoter Score (NPS) - consumer - Westpac,,2.0,-1.0,-4,,,,,,
70,,Net Promoter Score (NPS) - consumer - St.George brands,,9.0,1.0,7,,,,,,
71,,Net Promoter Score (NPS) - consumer - Westpac Group4,,4.0,0.0,0,,,,,,
72,,Net Promoter Score (NPS) - business - Westpac,,-6.0,-9.0,-8,,,,,,
73,,Net Promoter Score (NPS) - business - St.George brands,,-7.0,8.0,6,,,,,,
74,,Net Promoter Score (NPS) - business - Westpac Group5,,-7.0,-5.0,-4,,,,,,
75,,Customer Satisfaction - consumer - Westpac,,7.6,7.5,7.4,,,,,,
76,,Customer Satisfaction - consumer - St.George brands,,7.8,7.5,7.7,,,,,,
77,,Customer Satisfaction - consumer - Westpac Group4,,7.7,7.5,7.5,,,,,,
78,,Customer Satisfaction - business - Westpac,,7.2,7.4,7.4,,,,,,
79,,Customer Satisfaction - business - St.George brands,,7.4,7.7,7.6,,,,,,
80,,Customer Satisfaction - business - Westpac Group5,,7.2,7.5,7.4,,,,,,
81,,"New Zealand2,6",,,,,,,,,,
82,,Net Promoter Score (NPS) - consumer7,,8.0,7.0,14,,,,,,
83,,Net Promoter Score (NPS) - business8,,6.0,1.0,-14,,,,,,
84,,Customer Satisfaction - consumer (%)9,,59.0,62.0,65,,,,,,
85,,"1. Based on 6 months rolling data (April to September). FY22 and FY21 numbers restated to align with FY23 reporting period (in prior years reporting period was March to August). Due to the change of Strategic NPS provider, historic data (Sep-21 and Sep-22) and new data (Sep-23) are not comparable.",,,,,,,,,,
86,,2. Refer to this link in the 'Glossary' for the definition of NPS,,,,,,,,,,
87,,3. Refer to this link in the 'Glossary' for the definition of customer satisfaction (Australia).,,,,,,,,,,
88,,"4. Source: Fifth Dimension (5D) for September 2023; DBM Consultants Consumer Atlas for September 2022 and September 2021, 6MR. MFI customers. Includes Westpac, St.George Bank, Bank of Melbourne and BankSA. For 2021 and 2022 results, also includes RAMS, Dragondirect.",,,,,,,,,,
89,,"5. Source: Fifth Dimension (5D) for September 2023; DBM Consultants Business Atlas for September 2022 and September 2021, 6MR. MFI businesses. Includes Westpac, St.George Bank, Bank of Melbourne and BankSA",,,,,,,,,,
90,,6. Based on 3 months rolling data (July to September),,,,,,,,,,
91,,7. Source: 3 month rolling Retail Market Monitor data (survey conducted by Camorra Research).,,,,,,,,,,
92,,8. Source: 6 month rolling Business Finance Monitor data (survey conducted by Kantar TNS among businesses with an annual turnover of $5 to $150 million).,,,,,,,,,,
93,,9. Refer to this link in the 'Glossary' for the definition of customer satisfaction (New Zealand).,,,,,,,,,,
96,,TECHNOLOGY & INFORMATION SECURITY INCIDENTS - Australia,,2023.0,2022.0,2021,,,,,,
97,,Number of severity 1 Technology incidents1,,0.0,0.0,1,,,,,,
98,,Number of severity 1 Information Security incidents2,,0.0,0.0,0,,,,,,
99,,TECHNOLOGY & INFORMATION SECURITY INCIDENTS - New Zealand,,,,,,,,,,
100,,Number of severity 1 Technology incidents1,,0.0,0.0,2,,,,,,
101,,Number of severity 1 Information Security incidents2,,0.0,0.0,0,,,,,,
102,,1. Refer to this link in the 'Glossary' for the definition of Severity 1 Technology Incidents,,,,,,,,,,
103,,2. Refer to this link in the 'Glossary' for the definition of Severity 1 Information Security Incidents,,,,,,,,,,
106,,DATA BREACHES - Australia,,2023.0,2022.0,2021,,,,,,
107,,Number of data breaches reported to the Australian privacy regulator (OAIC)1,,1.0,5.0,9,,,,,,
108,,% involving personally identifiable information2,,100.0,100.0,100,,,,,,
109,,Number of account holders affected3,,1.0,5.0,319,,,,,,
110,,DATA BREACHES - New Zealand,,,,,,,,,,
111,,Number of data breaches reported to the New Zealand privacy regulator (OPC)4,,1.0,1.0,0,,,,,,
112,,% involving personally identifiable information2,,100.0,100.0,0,,,,,,
113,,Number of account holders affected3,,1.0,1.0,0,,,,,,
114,,1. Refer to this link in the 'Glossary' for the definition of data breaches (Australia).,,,,,,,,,,
115,,2. All data breaches reported to the OAIC and OPC involve personally identifiable information.,,,,,,,,,,
116,,3. This refers to the number of affected individuals whose personal information was involved in the eligible data breach.,,,,,,,,,,
117,,4. Refer to this link in the 'Glossary' for the definition of data breaches (New Zealand).,,,,,,,,,,
