Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,"6. Committed to sourcing the equivalent of 100% of our global electricity consumption from renewable sources by 2025. Renewables percentage is supported by the surrender of renewable energy attribute certificates (EACs) directly by, or on behalf of, Westpac for direct electricity consumption. This figure differs from the higher renewables percentage reported under Westpac's Climate Active Public Disclosure Statement due to the Climate Active Standard Electricity Accounting methodology recognising jurisdictional renewable energy targets and the large-scale renewable energy target.",,,,,,,,,,,,,,,,,,,,,,,,,,
,7. Refer to this link in the 'Glossary' for the definition of water consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"8. Refer to this link in the 'Glossary' for the definition of waste diversion from landfill, Australian commercial sites.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WESTPAC GROUP OPERATIONAL GHG EMISSIONS1,2023,2022,2021,2020,2019,,,,,,,,,,,,,,,,,,,,,
,Location-based GHG emissions (tCO₂-e)2,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Scope 1 emissions3,6559,7297,7851,7594,9260,,,,,,,,,,,,,,,,,,,,,
,Total Scope 2 emissions4 5,60481,76378,89580,100040,111908,,,,,,,,,,,,,,,,,,,,,
,Total Scope 3 supply chain (non-financed) emissions5 6,73112,68880,69008,91616,87262,,,,,,,,,,,,,,,,,,,,,
,Total Scope 1 and 2 emissions (tCO₂-e),67040,83675,97431,107634,121168,,,,,,,,,,,,,,,,,,,,,
,"Total Scope 1, 2 and 3 upstream emissions (tCO₂-e)",140152,152555,166439,199250,208430,,,,,,,,,,,,,,,,,,,,,
,Market-based GHG emissions (tCO₂-e)7,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Scope 1 emissions3,6559,7297,7851,NR,NR,,,,,,,,,,,,,,,,,,,,,
,Total Scope 2 emissions8,14489,36734,53981,NR,NR,,,,,,,,,,,,,,,,,,,,,
,Total Scope 3 upstream emissions9,61044,63377,71738,NR,NR,,,,,,,,,,,,,,,,,,,,,
,Total Scope 1 and 2 emissions (tCO₂-e),21048,44031,61832,NR,NR,,,,,,,,,,,,,,,,,,,,,
,"Total Scope 1, 2 and 3 upstream emissions (tCO₂-e)",82092,107408,133570,NR,NR,,,,,,,,,,,,,,,,,,,,,
,Scope 1 and 2 emissions (tCO₂-e)/employee (FTE)10,0.6,1.2,1.6,3,3.6,,,,,,,,,,,,,,,,,,,,,
,"1. Westpac expanded its emissions calculations from 2020 to include employee commute and from 2021 to further include working from home emissions, as well as emissions from Singapore, China, Germany and the United States.",,,,,,,,,,,,,,,,,,,,,,,,,,
,2. The location-based method shows a business’s electricity emissions in the context of its location. It does not consider renewable energy procurement represented by the retirement of eligible renewable energy attribute certificates.,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Refer to this link in the 'Glossary' for the definition of total scope 1 greenhouse gas emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. Refer to this link in the 'Glossary' for the definition of total scope 2 greenhouse gas emissions (location-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
,"5. Due to an update in the Ministry for the Environment’s emission factor for electricity emissions in 2023, Westpac NZ has restated the electricity emissions for the past three environmental years (EY20-EY22) to reflect  impacts to our footprint as per the Toitū net carbonzero programme requirements. This update has not been applied to our EY19 base year inventory, as the change in emissions was below the default 5% materiality threshold and was deemed not to be material to our stakeholders in this instance. Toitū re-verification of the footprints for these years was completed with updated total tCO2e for EY22 and EY21 restated above.",,,,,,,,,,,,,,,,,,,,,,,,,,
,6. Refer to this link in the 'Glossary' for the definition of total scope 3 greenhouse gas emissions (location-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
,7. The market-based accounting method provides a picture of Westpac’s electricity emissions in the context of its renewable energy procurement represented by the retirement of eligible renewable energy attribute certificates.,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. Refer to this link in the 'Glossary' for the definition of total scope 2 greenhouse gas emissions (market-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
,9. Refer to this link in the 'Glossary' for the definition of total scope 3 greenhouse gas emissions (market-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
,10. Refer to this link in the 'Glossary' for the definition of scope 1 and 2 (tCO₂-e)/employee (FTE).,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOCATION-BASED GHG EMISSIONS BREAKDOWN,GROUP1,,,AUSTRALIA,,,NEW ZEALAND2,,,,,,,,,,,,,,,,,,,
,,2023,2022,2021,2023,2022,2021,2023,2022,2021,,,,,,,,,,,,,,,,,
,Scope 1 emissions (tCO₂-e)3,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Stationary energy - Natural gas, Diesel, LPG4",1069,1448,1427,633,964,841,273,311,333,,,,,,,,,,,,,,,,,
,Transport energy - Fleet fuels5,3988,3679,4257,3096,2785,3065,627,574,875,,,,,,,,,,,,,,,,,
,Refrigerants6,1502,2170,2167,1413,2074,2069,89,96,98,,,,,,,,,,,,,,,,,
,Total Scope 1 emissions (tCO₂-e),6559,7297,7851,5142,5823,5975,989,981,1306,,,,,,,,,,,,,,,,,
,Scope 2 emissions (tCO₂-e)7,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purchased electricity8,60481,76378,89580,57363,72159,85181,898,1813,2049,,,,,,,,,,,,,,,,,
,Total Scope 1 and 2 emissions (tCO₂-e),67040,83675,97431,62505,77982,91156,1887,2794,3355,,,,,,,,,,,,,,,,,
,"Scope 3 upstream emissions (tCO₂-e)9,10
(GHG Protocol Category)",,,,,,,,,,,,,,,,,,,,,,,,,,
,Purchased electricity - Third party data centre and ATMs (1)11,9408,11822,13059,8691,10709,12384,340,662,675,,,,,,,,,,,,,,,,,
,Water consumption (1)12,407,429,580,390,412,580,NR,NR,NR,,,,,,,,,,,,,,,,,
,Paper consumption (1)13,3475,3745,1979,3215,3418,1662,120,183,248,,,,,,,,,,,,,,,,,
,"Stationary energy - Natural gas, Diesel, LPG E&D (3)14",163,180,186,146,155,166,10,18,20,,,,,,,,,,,,,,,,,
,Purchased electricity - T&D losses (3)15,7026,8593,11681,6563,8028,11295,178,227,250,,,,,,,,,,,,,,,,,
,Transport energy - Fleet fuels E&D (3)16,595,149,157,570,143,157,NR,NR,NR,,,,,,,,,,,,,,,,,
,Business logistics - Couriers (4)17,1999,2898,2296,1676,2571,2296,250,219,NR,,,,,,,,,,,,,,,,,
,Paper disposal (5)18,1412,3766,5042,1353,3614,5042,NR,NR,NR,,,,,,,,,,,,,,,,,
,Waste to landfill (5)19,939,828,757,884,784,731,16,11,26,,,,,,,,,,,,,,,,,
,Air travel (6)20,10634,3121,1871,8875,2496,1154,1491,520,687,,,,,,,,,,,,,,,,,
,"Hire vehicles, taxi and personal vehicles (6)21",461,229,319,293,138,195,154,85,124,,,,,,,,,,,,,,,,,
,Hotel stays (6)22,897,421,352,767,374,299,96,31,53,,,,,,,,,,,,,,,,,
,Employee commute (7)23,18523,13845,13975,15245,11543,13975,NR,NR,NR,,,,,,,,,,,,,,,,,
,Working from home (7)24,8772,10017,7448,8251,9421,7448,163,200,NR,,,,,,,,,,,,,,,,,
,Base building (8)25,8401,8837,9306,8052,8480,9306,NR,NR,NR,,,,,,,,,,,,,,,,,
,Total Scope 3 Supply Chain (non-financed) emissions (tCO₂-e),73112,68880,69008,64971,62286,66689,2818,2156,2083,,,,,,,,,,,,,,,,,
,"Total Scope 1, 2 and 3 emissions (tCO₂-e)",140152,152555,166439,127476,140268,157845,4705,4950,5438,,,,,,,,,,,,,,,,,
,"1. 2023 and 2022 emissions are based on Westpac Group. 2021 emissions are based on Westpac Australia, New Zealand, Fiji, Papua New Guinea and United Kingdom.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"2. Due to an update in the Ministry for the Environment’s emission factor electricity emissions in 2023, Westpac NZ has restated the electricity emissions for the past three environmental years (EY20-EY22) to reflect  impacts to our footprint as per the Toitū net carbonzero programme requirements. This update has not been applied to our EY19 base year inventory, as the change in emissions was below the default 5% materiality threshold and was deemed not to be material to our stakeholders in this instance. Toitū re-verification of the footprints for these years was completed with updated total tCO2e for EY22 and EY21 restated above.",,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Refer to this link in the 'Glossary' for the definition of total scope 1 greenhouse gas emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4. Refer to this link in the 'Glossary' for the definition of stationary energy – natural gas, diesel, LPG.",,,,,,,,,,,,,,,,,,,,,,,,,,
,5. Refer to this link in the 'Glossary' for the definition of  transport energy – fleet fuels.,,,,,,,,,,,,,,,,,,,,,,,,,,
,6. Refer to this link in the 'Glossary' for the definition of refrigerants.,,,,,,,,,,,,,,,,,,,,,,,,,,
,7. Refer to this link in the 'Glossary' for the definition of total scope 2 greenhouse gas emissions (location-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. Refer to this link in the 'Glossary' for the definition of purchased electricity.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"9. From 2022, Westpac Group scope 3 emissions includes an uplift for other international operations, for some emissions sources where data is not available, calculated using Australian emissions per FTE by international site FTE.",,,,,,,,,,,,,,,,,,,,,,,,,,
,10. Refer to this link in the 'Glossary' for the definition of total scope 3 greenhouse gas emissions (location-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
,11. Refer to this link in the 'Glossary' for the definition of purchased electricity – third party data centre and ATMs.,,,,,,,,,,,,,,,,,,,,,,,,,,
,12. Refer to this link in the 'Glossary' for the definition of water consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,
,13. Refer to this link in the 'Glossary' for the definition of paper consumption. Paper consumption emissions include minor immaterial adjustments to 2021 and 2022 to include carbon neutral paper for our New Zealand operations.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"14. Refer to this link in the 'Glossary' for the definition of stationary energy – natural gas, diesel, LPG E&D.",,,,,,,,,,,,,,,,,,,,,,,,,,
,15. Refer to this link in the 'Glossary' for the definition of purchased electricity – T&D losses.,,,,,,,,,,,,,,,,,,,,,,,,,,
,16. Refer to this link in the 'Glossary' for the definition of transport energy – fleet fuels E&D.,,,,,,,,,,,,,,,,,,,,,,,,,,
,17. Refer to this link in the 'Glossary' for the definition of business logistics – couriers.,,,,,,,,,,,,,,,,,,,,,,,,,,
,18. Refer to this link in the 'Glossary' for the definition of paper disposal.,,,,,,,,,,,,,,,,,,,,,,,,,,
,19. Refer to this link in the 'Glossary' for the definition of waste to landfill.,,,,,,,,,,,,,,,,,,,,,,,,,,
,20. Refer to this link in the 'Glossary' for the definition of air travel.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"21. Refer to this link in the 'Glossary' for the definition of hire vehicles, taxi and personal vehicles.",,,,,,,,,,,,,,,,,,,,,,,,,,
,22. Refer to this link in the 'Glossary' for the definition of hotel stays.,,,,,,,,,,,,,,,,,,,,,,,,,,
,23. Refer to this link in the 'Glossary' for the definition of employee commute. From 2022 Group employee commute emissions uplifted to account for New Zealand operations calculated using Australian emissions per FTE multiplied by New Zealand FTE.,,,,,,,,,,,,,,,,,,,,,,,,,,
,24. Refer to this link in the 'Glossary' for the definition of working from home emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,
,25. Refer to this link in the 'Glossary' for the definition of base building.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CERTIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westpac Group is focused on actively reducing its emissions. This is complemented by the purchase of carbon credits to offset residual emissions that occur from our operations. Westpac Group’s Australia and New Zealand operations maintain carbon neutral certification under the Australian Government’s Climate Active Standard for Organisations and the New Zealand Toitū net carbonzero programme. More information on these certifications is at westpac.com.au/about-westpac/sustainability/performance-reports/,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CARBON OFFSETTING ACCOUNTS,2023,2022,2021,2020,2019,,,,,,,,,,,,,,,,,,,,,
,Climate Active GHG emissions (tCO2-e) (Australia),,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total Scope 1, 2 and 3 (upstream) emissions (tCO2-e)",NR1,97308,89066,190068,173012,,,,,,,,,,,,,,,,,,,,,
,Total Climate Active offsets,NR1,97308,89066,190068,173012,,,,,,,,,,,,,,,,,,,,,
,Toitū net carbon zero GHG emissions (tCO2-e) (New Zealand),,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total Scope 1, 2 and 3 (upstream) emissions (tCO2-e)2",4705,4950,5437,6014,7344,,,,,,,,,,,,,,,,,,,,,
,   Total Toitū net carbon zero offsets,4568,4617,4833,5841,7146,,,,,,,,,,,,,,,,,,,,,
,Non Certified GHG emissions (tCO2-e) (Other International),,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total Scope 1, 2 and 3 (upstream) emissions (tCO2-e)",NR1,7208,3156,3341,3254,,,,,,,,,,,,,,,,,,,,,
,Total offsets ,NR1,7208,3156,3341,3254,,,,,,,,,,,,,,,,,,,,,
,Westpac GHG emissions (tCO2-e) ,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total Scope 1, 2 and 3 (upstream) emissions (tCO2-e)3",NR1,109466,97659,199423,183610,,,,,,,,,,,,,,,,,,,,,
,Total offsets  ,NR1,109133,97055,199250,183412,,,,,,,,,,,,,,,,,,,,,
,1. Pending formal certification by Climate Active. This data will be made available on our website in first calendar quarter of 2024 within our certification. Credits have been purchased and retired as at 30 September 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2. Due to an update in the New Zealand Ministry for the Environment’s emission factor for electricity emissions in 2023, Westpac NZ has restated the electricity emissions for the past three years (2020-2022) to reflect  impacts to our footprint as per the New Zealand Toitū net carbonzero programme requirements. Incremental carbon offsets have been purchased and retired in 2023 by Westpac Group to bridge the 2020 to 2022 difference between emissions and purchase offsets.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"3. Climate Active Standard allows organisations to claim default delivered renewable electricity from the grid, such as LGC surrenders made by a jurisdiction with a renewable electricity target. RE100 Standard allows claims of default delivered renewables only where relevant information from the electricity supplier is available. Westpac has not claimed the default renewables benefit in its market-based emissions figures when LGC were not evidenced. This results in a difference between Westpac's market based emissions reported in table 2 (above) and market based emission in the carbon offset summary table.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENERGY CONSUMPTION,GROUP,,,AUSTRALIA,Australia,,NEW ZEALAND7,New Zealand,,,,,,,,,,,,,,,,,,
,,2023,2022,2021,2023,2022,2021,2023,2022,2021,,,,,,,,,,,,,,,,,
,Energy consumption (GJ)1,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Stationary energy - Natural gas, Diesel, LPG",19263,25021,25666,11883,16737,15525,5064,5753,6149,,,,,,,,,,,,,,,,,
,Transport energy - Fleet fuels,56856,52379,60618,44279,39633,43578,8765,8092,12452,,,,,,,,,,,,,,,,,
,Electricity2,381612,429813,484781,311919,358528,408333,54286,54563,61647,,,,,,,,,,,,,,,,,
,Total energy consumption (GJ),457731,507213,571065,368081,414897,467436,68115,68408,80248,,,,,,,,,,,,,,,,,
,Renewable energy sources (GJ),,,,,,,,,,,,,,,,,,,,,,,,,,
,Renewable electricity3,267453,221771,216829,267242,221558,216605,211,213,224,,,,,,,,,,,,,,,,,
,Renewable electricity (%)4,0.7008506021823213,0.52,0.45,0.8567673017674461,0.62,0.53,0.003886821648307114,0.004,0.004,,,,,,,,,,,,,,,,,
,Renewable energy (%)5,0.5843016968481488,0.44,0.38,0.7260412789576207,0.53,0.46,0.0030977024150333995,0.003,0.003,,,,,,,,,,,,,,,,,
,Energy (GJ)/employee (FTE)6,12.13271662204787,12.933498227809368,15.11513723829438,,,,,,,,,,,,,,,,,,,,,,,
,1. Refer to this link in the 'Glossary' for the definition of energy consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Includes electricity consumed from grid and on-site generation.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3. For Australia, renewable energy is evidenced by renewable energy certificates (RECs) sourced via a virtual power purchase agreement and retired by or on behalf of Westpac and from rooftop solar where available. For New Zealand, rooftop solar consumed.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"4. Refer to this link in the 'Glossary' for the definition of renewable electricity. For Australia, 100% of electricity demand sourced from renewables form April 2023, 86% for year ending 30 June 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,
,5. Refer to this link in the 'Glossary' for the definition of renewable energy.,,,,,,,,,,,,,,,,,,,,,,,,,,
,6. Refer to this link in the 'Glossary' for the definition of energy (GJ)/employee (FTE).,,,,,,,,,,,,,,,,,,,,,,,,,,
,"7.While New Zealand electricity grid includes a high proportion of renewable energy supply, Westpac reports grid consumption of electricity as renewable if supported by the retirement of eligible renewable energy attribute certificates.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"WATER, PAPER AND WASTE",2023,2022,2021,2020,2019,,,,,,,,,,,,,,,,,,,,,
,Water consumption (kL)1,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia2,207130,201726,283978,329041,363249,,,,,,,,,,,,,,,,,,,,,
,Total water consumption Australia (kL),207130,201726,283978,329041,363249,,,,,,,,,,,,,,,,,,,,,
,Paper consumption (tonnes)3,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,1404,1515,1727,1313,1507,,,,,,,,,,,,,,,,,,,,,
,New Zealand ,120,174,185,226,305,,,,,,,,,,,,,,,,,,,,,
,Total paper consumption (tonnes),1524,1689,1912,1539,1812,,,,,,,,,,,,,,,,,,,,,
,Waste diversion from landfill (tonnes)4,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,1365,1730,2233.5,2811,3491,,,,,,,,,,,,,,,,,,,,,
,New Zealand5,252,216,286,336,492,,,,,,,,,,,,,,,,,,,,,
,Total waste diversion from landfill (tonnes),1617,1946,2519.5,3147,3983,,,,,,,,,,,,,,,,,,,,,
,Waste to landfill (tonnes)6,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,680,603,562,965,1307,,,,,,,,,,,,,,,,,,,,,
,New Zealand ,58,46,67,70,74,,,,,,,,,,,,,,,,,,,,,
,Total waste to landfill (tonnes),738,649,629,1035,1381,,,,,,,,,,,,,,,,,,,,,
,1. Refer to this link in the 'Glossary' for the definition of water consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2. From 2021 onwards water data includes Australian commercial, retail, data centre and subsidiary sites. Prior years water data includes Australian commercial and retail sites only.",,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Refer to this link in the 'Glossary' for the definition of paper consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. Refer to this link in the 'Glossary' for the definition of waste diversion from landfill.,,,,,,,,,,,,,,,,,,,,,,,,,,
,5. New Zealand waste diversion includes organics for first time in 2022. ,,,,,,,,,,,,,,,,,,,,,,,,,,
,6. Refer to this link in the 'Glossary' for the definition of waste to landfill.,,,,,,,,,,,,,,,,,,,,,,,,,,
