Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,Partnerships and support for communities potentially impacted by climate change,,Refer to our 2023 Annual Report (Creating value for customers); and 2023 Climate Report (Strategy),,,
,,,,"Reduce our Scope 1 and 2 emissions by 76% and Scope 3 upstream emissions by 50% 
by 2030",,"Scope 1 and 2 emissions11,12 reduced by 66% since June 2021
Scope 3 upstream emissions13 reduced by 15% since June 2021, 38% relative to 2021 baseline which included uplifts for COVID",tab Environment,,
,Global,Collaborating for impact,"Respecting 
human rights 
and amplifying 
Indigenous 
voices","Publish updates, sharing sustainability practices and insights",,Refer to our 2023 Annual Report (Creating value for the community),,,
,,,,Deliver the actions set out in our Human Rights Action Plan,,Refer to our 2023 Annual Report (Creating value for the community),,,
,,,,"Three year target for the period FY21-FY23: 
Invest up to $30 million to raise awareness of child exploitation and support child protection, and establish a fund to accelerate the development of collaborative technologies",,"$18.9m invested in the Safer Children Safer Communities (SCSC) program14 in FY23
$61.4m invested in the SCSC program14 since FY20",,,
,,,,Elevate Indigenous voices and perspectives,,Refer to tab 'RAP' ,tab RAP,,
,,,"Supporting the 
transition to a 
climate resilient 
future ","Publish updates, sharing sustainability practices and insights",,Refer to our 2023 Annual Report (Creating value for the environment); and 2023 Climate Report (Strategy),,,
,,,,Deliver the actions set out in our Climate Change Action Plan,,Refer to our 2023 Annual Report (Creating value for the environment); and 2023 Climate Report (Strategy),,,
,,,,"Over the next three years, develop Paris-aligned financing strategies and portfolio targets for sectors representing the majority of our financed emissions",,Refer to our 2023 Annual Report (Creating value for the environment); and 2023 Climate Report (Strategy),,,
,,,,Participation in industry-based initiatives,,Refer to our 2023 Annual Report (Creating value for the environment); and 2023 Climate Report (Strategy),,,
,1. Refer to this link in the 'Glossary' for the definition of customers provided with natural disaster relief packages.,,,,,,,,
,"2. Refer to this link in the 'Glossary' for the definition of customers who received assistance through specialist customer care teams. The number of cases escalated through our specialist teams have increased due to cost of living, ongoing monitoring, education and training awareness campaigns being rolled out. ",,,,,,,,
,"3. Westpac Brand Tracking survey, FiftyFive5, 6 months to Sep-23, n=792.",,,,,,,,
,4. A unique customer is a customer that has called through to the Indigenous call centre at least once during the reportable period 01/04/2022 - 30/09/2025,,,,,,,,
,5. Refer to this link in the 'Glossary' for the definition of spend with diverse suppliers. ,,,,,,,,
,6. Refer to this link in the 'Glossary' for the definition of spend with Indigenous Australian suppliers. ,,,,,,,,
,"7. Westpac Scholars Trust (ABN 35 600 251 071) is administered by Westpac Scholars Limited (ABN 72 168 847 041) as trustee for the Westpac Scholars Trust. Westpac Scholars Trust is a private charitable trust
and neither the Trust nor the Trustee are part of the Westpac Group. Westpac provides administrative support, skilled volunteering, and funding for operational costs of Westpac Scholars Trust.",,,,,,,,
,8. Active scholars refers to the total number of individuals who have been awarded a scholarship by Westpac Scholars Trust and have completed or are in the process of completing their degree or fellowship,,,,,,,,
,"9. Westpac Foundation is administered by Westpac Community Limited (ABN 34 086 862 795) as trustee for Westpac Community Trust (ABN 53 265 036 982). The Westpac Community Trust is a Public Ancillary Fund, endorsed by the ATO as a Deductible Gift Recipient. None of Westpac Foundation, Westpac Community Limited nor the Westpac Community Trust are part of Westpac Group. Westpac provides administrative support, skilled volunteering, donations and funding for operational costs of Westpac Foundation.",,,,,,,,
,10. Refer to this link in the 'Glossary' for the definition of climate change solutions.,,,,,,,,
,11. Refer to this link in the 'Glossary' for the definition of total scope 1 greenhouse gas emissions.,,,,,,,,
,12. Refer to this link in the 'Glossary' for the definition of total scope 2 greenhouse gas emissions (market-based).,,,,,,,,
,13. Refer to this link in the 'Glossary' for the definition of total scope 3 greenhouse gas emissions (market-based). ,,,,,,,,
,"14. The SCSC program exists to help protect and seeks to create safer communities for children across Australia and APAC, through a series of actions, investments and collaborations with industry experts and partners",,,,,,,,
