Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,"Disclosure 2-6 Activities, value chain and other business relationships
The organization shall:
a. report the sector(s) in which it is active; describe its value chain, including:
i. the organization’s activities, products, services, and markets served;
ii. the organization’s supply chain;
iii. the entities downstream from the organization and their activities;
b. report other relevant business relationships;
c. describe significant changes in 2-6-a, 2-6-b, and 2-6-c compared to the previous reporting period.","a.i. See our Website: Our businesses
a.ii., iii. 2023 Annual Report: Creating value for the community; 2023 Modern Slavery Statement: Our Structure, Operations and Supply Chains; Website: Suppliers Sustainable Sourcing; Human Rights
b. See our Website: Our businesses
c. See our 2023 Annual Report: Significant developments",
,,"Disclosure 2-7 Employees
The organization shall:
a. report the total number of employees, and a breakdown of this total by gender and by region;
b. report the total number of:
i. permanent employees, and a breakdown by gender and by region;
ii. temporary employees, and a breakdown by gender and by region;
iii. non-guaranteed hours employees, and a breakdown by gender and by region;
iv. full-time employees, and a breakdown by gender and by region;
v. part-time employees, and a breakdown by gender and by region;
c. describe the methodologies and assumptions used to compile the data, including whether the numbers are reported:
i. in head count, full-time equivalent (FTE), or using another methodology;
ii. at the end of the reporting period, as an average across the reporting period, or using another methodology;
d. report contextual information necessary to understand the data reported under 2-7-a and 2-7-b;
e. describe significant fluctuations in the number of employees during the reporting period and between reporting periods.","a. to c. See our 2023 Sustainability Index and Datasheet: tabs Employees (Employee profile tables), and Glossary 
d., e. See our 2023 Sustainability Index and Datasheet: tab Employees (Employee profile tables); 2023 Annual Report: Creating value for our people",
,,"Disclosure 2-8 Workers who are not employees
The organization shall:
a. report the total number of workers who are not employees and whose work is controlled by the organization and describe:
i. the most common types of worker and their contractual relationship with the organization;
ii. the type of work they perform;
b. describe the methodologies and assumptions used to compile the data, including whether the number of workers who are not employees is reported:
i. in head count, full-time equivalent (FTE), or using another methodology;
ii. at the end of the reporting period, as an average across the reporting period, or using another methodology;
c. describe significant fluctuations in the number of workers who are not employees during the reporting period and between reporting periods.","a. to c. See our 2023 Sustainability Index and Datasheet: tabs Employees (Contractor profile table), and Glossary 
",
,,"Disclosure 2-9 Governance structure and composition
The organization shall:
a. describe its governance structure, including committees of the highest governance body;
b. list the committees of the highest governance body that are responsible for decision-making on and overseeing the management of the organization’s impacts on the economy, environment, and people;
c. describe the composition of the highest governance body and its committees by:
i. executive and non-executive members;
ii. independence;
iii. tenure of members on the governance body;
iv. number of other significant positions and commitments held by each member, and the nature of the commitments;
v. gender;
vi. under-represented social groups;
vii. competencies relevant to the impacts of the organization;
viii. stakeholder representation.","a. See our 2023 Annual Report: Corporate Governance – Roles and Responsibilities
b. See our 2023 Annual Report: Corporate Governance – Role of the Board Committees
c. i., ii. See our 2023 Annual Report: Corporate Governance – The Board; 2023 Sustainability Index and Datasheet: tab Employees (Board Composition table)
c. iii., iv., v. See our Website – Board of Directors; 2023 Sustainability Index and Datasheet: tab Employees (Board Composition table)
c.vii. See our Website – Board of Directors
c.vi. See our 2023 Annual Report: Corporate Governance – Board skills, experience and attributes
c. viii. As appropriate, we may consider enhancing our disclosures for this topic in coming years.",
,,"Disclosure 2-10 Nomination and selection of the highest governance body
The organization shall:
a. describe the nomination and selection processes for the highest governance body and its committees;
b. describe the criteria used for nominating and selecting highest governance body members, including whether and how the following are taken into consideration:
i. views of stakeholders (including shareholders);
ii. diversity;
iii. independence;
iv. competencies relevant to the impacts of the organization.",a. and b. See our 2023 Annual Report: Corporate Governance – Appointment of Directors,
,,"Disclosure 2-11 Chair of the highest governance body
The organization shall:
a. report whether the chair of the highest governance body is also a senior executive in the organization;
b. if the chair is also a senior executive, explain their function within the organization’s management, the reasons for this arrangement, and how conflicts of interest are prevented and mitigated.","a. See our 2023 Annual Report: Corporate Governance – Roles and Responsibilities
b. Westpac’s Chair is an independent non-executive. See our the 2023 Corporate Governance Statement, Roles and Responsibilities; 2023 Sustainability Index and Datasheet: tab Employees (Board Composition table)",
,,"Disclosure 2-12 Role of the highest governance body in overseeing the management of impacts
The organization shall:
a. describe the role of the highest governance body and of senior executives in developing, approving, and updating the organization’s purpose, value or mission statements, strategies, policies, and goals related to sustainable development;
b. describe the role of the highest governance body in overseeing the organization’s due diligence and other processes to identify and manage the organization’s impacts on the economy, environment, and people, including:
i. whether and how the highest governance body engages with stakeholders to support these processes;
ii. how the highest governance body considers the outcomes of these processes;
c. describe the role of the highest governance body in reviewing the effectiveness of the organization’s processes as described in 2-12-b, and report the frequency of this review.","a. See our 2023 Annual Report: Corporate Governance – Roles and Responsibilities
b. See our 2023 Annual Report: Corporate Governance – Sustainability; and Section 2 Sustainability Governance and Risk Management
c. See our 2023 Annual Report: Corporate Governance – Risk Management, Role of Board Committees, External Audit",
,,"Disclosure 2-13 Delegation of responsibility for managing impacts
The organization shall:
a. describe how the highest governance body delegates responsibility for managing the organization’s impacts on the economy, environment, and people, including:
i. whether it has appointed any senior executives with responsibility for the management of impacts;
ii. whether it has delegated responsibility for the management of impacts to other employees;
b. describe the process and frequency for senior executives or other employees to report back to the highest governance body on the management of the organization’s impacts on the economy, environment, and people.","a., b. See our 2023 Annual Report: Corporate Governance – Roles and Responsibilities, Risk Management, Role of Board Committees; and Section 2 Sustainability Governance and Risk Management",
,,"Disclosure 2-14 Role of the highest governance body in sustainability reporting
The organization shall:
a. report whether the highest governance body is responsible for reviewing and approving the reported information, including the organization’s material topics, and if so, describe the process for reviewing and approving the information;
b. if the highest governance body is not responsible for reviewing and approving the reported information, including the organization’s material topics, explain the reason for this.","a. See our 2023 Annual Report: Corporate Governance; and Section 2 Sustainability Governance and Risk Management
b. Not applicable",
,,"Disclosure 2-15 Conflicts of interest
The organization shall:
a. describe the processes for the highest governance body to ensure that conflicts of interest are prevented and mitigated;
b. report whether conflicts of interest are disclosed to stakeholders, including, at a minimum, conflicts of interest relating to:
i. cross-board membership;
ii. cross-shareholding with suppliers and other stakeholders;
iii. existence of controlling shareholders;
iv. related parties, their relationships, transactions, and outstanding balances.","a., b. See our Website: Westpac Group Conflicts of Interest Policy Summary, for details on how Westpac manages conflicts of interest.
",
,,"Disclosure 2-16 Communication of critical concerns
The organization shall:
a. describe whether and how critical concerns are communicated to the highest governance body;
b. report the total number and the nature of critical concerns that were communicated to the highest governance body during the reporting period.","a. See our Website for details on our approach to communicating critical concerns: Code of Conduct; Constitution and the Board; Speaking Up Policy; Your Customer Advocate 
b. See our 2023 Sustainability Index and Datasheet – tab Customers (Customer Complaints table). Some customer complaints are not related to business conduct concerns.",
,,"Disclosure 2-17 Collective knowledge of the highest governance body
The organization shall:
a. report measures taken to advance the collective knowledge, skills, and experience of the highest governance body on sustainable development.","a. See our 2023 Annual Report: Corporate Governance – Board skills, experience and attributes; and Section 2 Sustainability Governance and Risk Management; Website: Board of Directors",
,,"Disclosure 2-18 Evaluation of the performance of the highest governance body
The organization shall:
a. describe the processes for evaluating the performance of the highest governance body in overseeing the management of the organization’s impacts on the economy, environment, and people;
b. report whether the evaluations are independent or not, and the frequency of the evaluations;
c. describe actions taken in response to the evaluations, including changes to the composition of the highest governance body and organizational practices.","a. to c. See our 2023 Annual Report: Corporate Governance – Performance reviews, Appointment of Directors",
,,"Disclosure 2-19 Remuneration policies
The organization shall:
a. describe the remuneration policies for members of the highest governance body and senior executives, including:
i. fixed pay and variable pay;
ii. sign-on bonuses or recruitment incentive payments;
iii. termination payments;
iv. clawbacks;
v. retirement benefits;
b. describe how the remuneration policies for members of the highest governance body and senior executives relate to their objectives and performance in relation to the management of the organization’s impacts on the economy, environment, and people.","a., b. See our 2023 Annual Report: Directors’ Report (Remuneration Report)",
,,"Disclosure 2-20 Process to determine remuneration
The organization shall:
a. describe the process for designing its remuneration policies and for determining remuneration, including:
i. whether independent highest governance body members or an independent remuneration committee oversees the process for determining remuneration;
ii. how the views of stakeholders (including shareholders) regarding remuneration are sought and taken into consideration;
iii. whether remuneration consultants are involved in determining remuneration and, if so, whether they are independent of the organization, its highest governance body and senior executives;
b. report the results of votes of stakeholders (including shareholders) on remuneration policies and proposals, if applicable.","a., b. See our 2023 Annual Report: Directors’ Report (Remuneration Report); and Corporate Governance Statement",
,,"Disclosure 2-21 Annual total compensation ratio
The organization shall:
a. report the ratio of the annual total compensation for the organization’s highest-paid individual to the median annual total compensation for all employees (excluding the highest-paid individual);
b. report the ratio of the percentage increase in annual total compensation for the organization’s highest-paid individual to the median percentage increase in annual total compensation for all employees (excluding the highest-paid individual);
c. report contextual information necessary to understand the data and how the data has been compiled.",a. to c. See our 2023 Sustainability Index and Datasheet: tab Employees (Remuneration table),
,,"Disclosure 2-22 Statement on sustainable development strategy
The organization shall:
a. report a statement from the highest governance body or most senior executive of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development.",a. See our 2023 Annual Report: Sustainability,
,,"Disclosure 2-23 Policy commitments
The organization shall:
a. describe its policy commitments for responsible business conduct, including:
i. the authoritative intergovernmental instruments that the commitments reference;
ii. whether the commitments stipulate conducting due diligence;
iii. whether the commitments stipulate applying the precautionary principle;
iv. whether the commitments stipulate respecting human rights;
b. describe its specific policy commitment to respect human rights, including:
i. the internationally recognized human rights that the commitment covers;
ii. the categories of stakeholders, including at-risk or vulnerable groups, that the organization gives particular attention to in the commitment;
c. provide links to the policy commitments if publicly available, or, if the policy commitments are not publicly available, explain the reason for this;
d. report the level at which each of the policy commitments was approved within the organization, including whether this is the most senior level;
e. report the extent to which the policy commitments apply to the organization’s activities and to its business relationships;
f. describe how the policy commitments are communicated to workers, business partners, and other relevant parties.","a., b.,d., e., f. See our Website: Operating principles and policies; Responsible Sourcing; Modern Slavery Statement FY22, Human Rights Position Statement and Action Plan; 2023 Annual Report: Creating value for the community; Directors’ report
c. See our sustainability positions and perspectives: https://www.westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
",
,,"Disclosure 2-24 Embedding policy commitments
The organization shall:
a. describe how it embeds each of its policy commitments for responsible business conduct throughout its activities and business relationships, including:
i. how it allocates responsibility to implement the commitments across different levels within the organization;
ii. how it integrates the commitments into organizational strategies, operational policies, and operational procedures;
iii. how it implements its commitments with and through its business relationships;
iv. training that the organization provides on implementing the commitments.",a. See our Website: Operating principles and policies; Responsible Sourcing; Modern Slavery Statement FY22; 2023 Annual Report: Directors’ Report,
,,"Disclosure 2-25 Processes to remediate negative impacts
The organization shall:
a. describe its commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to;
b. describe its approach to identify and address grievances, including the grievance mechanisms that the organization has established or participates in;
c. describe other processes by which the organization provides for or cooperates in the remediation of negative impacts that it identifies it has caused or contributed to;
d. describe how the stakeholders who are the intended users of the grievance mechanisms are involved in the design, review, operation, and improvement of these mechanisms;
e. describe how the organization tracks the effectiveness of the grievance mechanisms and other remediation processes, and report examples of their effectiveness, including stakeholder feedback.","a. to d. See our Human Rights Position Statement, Modern Slavery Statement FY22; 2023 Sustainability Index and Datasheet – tab UNGP; 2023 Annual Report: Creating value for the community
e. As appropriate, we may consider enhancing our disclosures for this topic in coming years.",
,,"Disclosure 2-26 Mechanisms for seeking advice and raising concerns
The organization shall:
a. describe the mechanisms for individuals to:
i. seek advice on implementing the organization’s policies and practices for responsible business conduct;
ii. raise concerns about the organization’s business conduct.","a. See our website: Listening to Stakeholders, Speaking Up Policy;  Human Rights Position Statement and Action Plan: Feedback, complaints and questions.
",
,,"Disclosure 2-27 Compliance with laws and regulations
The organization shall:
a. report the total number of significant instances of non-compliance with laws and regulations during the reporting period, and a breakdown of this total by:
i. instances for which fines were incurred;
ii. instances for which non-monetary sanctions were incurred;
b. report the total number and the monetary value of fines for instances of noncompliance with laws and regulations that were paid during the reporting period, and a breakdown of this total by:
i. fines for instances of non-compliance with laws and regulations that occurred in the current reporting period;
ii. fines for instances of non-compliance with laws and regulations that occurred in previous reporting periods;
c. describe the significant instances of non-compliance;
d. describe how it has determined significant instances of non-compliance.
","a to d. See our 2023 Annual Report: Significant developments, litigation and regulatory proceedings
",
,,"Disclosure 2-28 Membership associations
The organization shall:
a. report industry associations, other membership associations, and national or international advocacy organizations in which it participates in a significant role.",a. See our Website: Industry Associations and Engagements,
,,"Disclosure 2-29 Approach to stakeholder engagement
The organization shall:
a. describe its approach to engaging with stakeholders, including:
i. the categories of stakeholders it engages with, and how they are identified;
ii. the purpose of the stakeholder engagement;
iii. how the organization seeks to ensure meaningful engagement with stakeholders.","a. See our Website: Listening to Stakeholders 
",
,,"Disclosure 2-30 Collective bargaining agreements
The organization shall:
a. report the percentage of total employees covered by collective bargaining agreements;
b. for employees not covered by collective bargaining agreements, report whether the organization determines their working conditions and terms of employment based on collective bargaining agreements that cover its other employees or based on collective bargaining agreements from other organizations.","a. See our 2023 Sustainability Index and Datasheet: tab Employees (Employee Relations table). 
b. For employees not covered by collective bargaining agreements, their working conditions and terms of employment are stipulated in individual employment contracts which adheres to relevant country employment standards and regulations.",
,MANAGEMENT APPROACH,,,
,GRI 3: Material Topics 2021,"Disclosure 3-1 Process to determine material topics
The organization shall:
a. describe the process it has followed to determine its material topics, including:
i. how it has identified actual and potential, negative and positive impacts on the economy, environment, and people, including impacts on their human rights, across its activities and business relationships;
ii. how it has prioritized the impacts for reporting based on their significance;
b. specify the stakeholders and experts whose views have informed the process of determining its material topics.","a., b. See our 2023 Annual Report: Material sustainability topics",
,,"Disclosure 3-2 List of material topics
The organization shall:
a. list its material topics;
b. report changes to the list of material topics compared to the previous reporting period.","a. See our 2023 Annual Report: Material sustainability topics
b. Our 2023 material topics are aligned with our 2022 topics (shown in our 2022 Annual Report and Sustainability Supplement), with the addition of Data management, Support vulnerable customers, Safe and inclusive products and services, Employee health and safety, Sustainable and diverse supply chain, and Anti-bribery and corruption. We also renamed a few of our material topics to align with internal naming conventions (e.g., Financial performance was renamed as two separate topics - Financial performance and Corporate compliance; and Emerging ESG opportunities was embedded across other material topics). ",
,,"Disclosure 3-3 Management of material topics
For each material topic reported under Disclosure 3-2, the organization shall:
a. describe the actual and potential, negative and positive impacts on the economy, environment, and people, including impacts on their human rights;
b. report whether the organization is involved with the negative impacts through its activities or as a result of its business relationships, and describe the activities or business relationships;
c. describe its policies or commitments regarding the material topic;
d. describe actions taken to manage the topic and related impacts, including:
i. actions to prevent or mitigate potential negative impacts;
ii. actions to address actual negative impacts, including actions to provide for or cooperate in their remediation;
iii. actions to manage actual and potential positive impacts;
e. report the following information about tracking the effectiveness of the actions taken:
i. processes used to track the effectiveness of the actions;
ii. goals, targets, and indicators used to evaluate progress;
iii. the effectiveness of the actions, including progress toward the goals and targets;
iv. lessons learned and how these have been incorporated into the organization’s operational policies and procedures;
f. describe how engagement with stakeholders has informed the actions taken (3-3-d) and how it has informed whether the actions have been effective (3-3-e).","a. to f. See our 2023 Annual Report: Strategic Report for details on our management of material topics. 

",
,ECONOMIC,,,
,ECONOMIC PERFORMANCE,,,
,"GRI 201:
Economic performance 2016","201-1 Direct economic value generated and distributed
a. Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic components for the organization's global operations as listed below. If data are presented on a cash basis, report the justification for its decision in addition to reporting the following basic components:
i. direct economic value generated: revenues
ii. economic value distributed: operating costs, employee wages and benefits, payments to providers of capital, payments to government by country, and community investments
iii. economic value retained: 'direct economic value generated' less ' economic value distributed'
b. Where significant, report EVG&D separately at country, regional, or market levels, and the criteria used for defining significance.","a., b. See our 2023 Sustainability Index and Datasheet: tabs Economic and Social (Value Generation and Distribution table) and Glossary; 2023 Annual Report: Financial Statements - Financial Performance 
",
,,"201-2 Financial implications and other risks and opportunities due to climate change
a. Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditures, including:
i. a description of the risk or opportunity and its classification as either physical, regulatory, or other
ii. a description of the impact associated with the risk or opportunity
iii. the financial implications of the risk or opportunity before action is taken
iv. the methods used to manage the risk or opportunity
v. the costs of actions taken to manage the risk or opportunity","a. i., ii., iii., iv., See our 2023 Annual Report: Creating value for the environment; Sustainability Risk Management; 2023 Climate Report: Risk Management; 2023 Sustainability Index and Datasheet: tab Lending (Climate Change Solution Lending table)
a.v. See our 2023 Annual Report: Creating value for the environment, Financial Statements: Note 11. Provisions for expected credit losses (Portfolio Overlays)",
,,"201-3 Defined benefit plan obligations and other retirement plans
a. If the plan's liabilities are met by the organization's general resources, the estimated value of those liabilities.
b. If a separate fund exists to pay the plan's pension liabilities:
i. the extent to which the scheme's liabilities are estimated to be covered by the assets that have been set aside to meet them
ii. the basis on which that estimate has been arrived at
iii. when that estimate was made
c. If a fund set up to pay the plan's pension liabilities is not fully covered, explain the strategy, if any, adopted by the employers to work towards full coverage, and the timescale, if any, by which the employer hopes to achieve full coverage.
d. Percentage of salary contributed by employee or employer.
e. Level of participation in retirement plans, such as participation in mandatory or voluntary schemes, regional, or country-based schemed, or those with financial impact.","a. to e. See our 2023 Annual Report: Financial Statements: Note 26. Provisions, contingent liabilities, contingent assets and credit commitments; and Note 32. Share-based payments.",
,,"201-4 Financial assistance received from government
a. Total monetary value of financial assistance received by the organization from any government during the reporting period, including:
i. tax relief and tax credits
ii. subsidies
iii. investment grants, research and development grants, and other relevant types of grant
iv. awards
v. royalty holidays
vi. financial assistance from Export Credit Agencies (ECAs)
vii. financial incentives
viii. other financial benefits received or receivable from any government for any operation
b. The information in 201-4-a by country.
c. Whether, and the extent to which any government is present in the shareholding structure.","a. to c. As appropriate, we may consider enhancing our disclosures for this topic in coming years.",
,PROCUREMENT PRACTICES,,,
,"GRI 204: 
Procurement Practices 2016","204-1 Proportion of spending on local suppliers
a. Percentage of the procurement budget used for significant locations of operation that is spent on suppliers local to that operation (such as percentage of products and services purchased locally).
b. The organization’s geographical definition of ‘local’.
c. The definition used for ‘significant locations of operation’.","a. to c. See our 2023 Sustainability Index and Datasheet: tabs Suppliers (Total supplier and other relevant third party spend table) and Glossary

As appropriate, we may consider enhancing our disclosures for this topic in coming years.",
,ANTI-CORRUPTION,,,
,"GRI 205: 
Anti-corruption 2016","205-1 Operations assessed for risks related to corruption
a. Total number and percentage of operations assessed for risks related to corruption.
b. Significant risks related to corruption identified through the risk assessment.
","a. Our Risk Management Strategy applies to all our people within Westpac and its subsidiaries. Each of our operations are assessed for bribery and corruption risk as part of our enterprise risk management process.

b. Information on our risk management process can be found in the 2023 Annual Report (Risk management section), and references to Major Risk Category 9. Financial Crime which includes Bribery and Corruption as a financial crime class. Information on our risk factors has also been included under the Risk Factors section of the Group Performance disclosures on ""The failure to comply with financial crime obligations has had, and could have further, adverse effects on our business and reputation"".",
,,"205-2 Communication and training about anti-corruption policies and procedures
a. Total number and percentage of governance body members that the organization’s anti-corruption policies and procedures have been communicated to, broken down by region.
b. Total number and percentage of employees that the organization’s anti-corruption policies and procedures have been communicated to, broken down by employee category and region.
c. Total number and percentage of business partners that the organization’s anti-corruption policies and procedures have been communicated to, broken down by type of business partner and region. Describe if the organization’s anti-corruption policies and procedures have been communicated to any other persons or organisations.
d. Total number and percentage of governance body members that have received training on anti-corruption, broken down by region.
e. Total number and percentage of employees that have received training on anti-corruption, broken down by employee category and region.","a. Westpac Board members and all employees are required to complete Financial Crime Awareness training which includes training on our ABC Policy and procedures, prohibiting all forms of bribery and corruption. We are working to improve disclosures in this respect for future periods.

b. All employees and contractors are required to complete Financial Crime Awareness training which includes our ABC Policy and procedures, prohibiting all forms of bribery and corruption. 

c. Third Parties can access our published ABC Policy on the Westpac webpage. The Westpac Group Supplier Code of Conduct, supports standard ABC contractual clauses with Third Parties, reinforcing our ABC Policy position and related compliance expectations.

d., e. We are working to improve disclosures in this respect for future periods.",
,,"205-3 Confirmed incidents of corruption and actions taken
a. Total number and nature of confirmed incidents of corruption.
b. Total number of confirmed incidents in which employees were dismissed or disciplined for corruption.
c. Total number of confirmed incidents when contracts with business partners were terminated or not renewed due to violations related to corruption.
d. Public legal cases regarding corruption brought against the organization or its employees during the reporting period and the outcomes of such cases.
","a., b., c. We do not report against these requirements due to confidentiality constraints. These constraints include the maintenance of legal professional privilege.

d. No public legal cases regarding corruption have been brought against the organisation or its employees during the reporting period.",
,ANTI-COMPETITIVE BEHAVIOUR,,,
,GRI 206: Anti-competitive Behaviour 2016,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices
a. Number of legal actions pending or completed during the reporting period regarding anti-competitive behavior and violations of anti-trust and monopoly legislation in which the organization has been identified as a participant.
b. Main outcomes of completed legal actions, including any decisions or judgments.","a., b. See our 2023 Annual Report: Significant developments, litigation and regulatory proceedings",
,TAX,,,
,"GRI 207:
Tax 2019","207-1 Approach to tax
a. A description of the approach to tax, including:
i. whether the organisation has a tax strategy available and, if so, a link to this strategy if publicly
ii. the governance body or executive-level position within the organisation that formally reviews and approves the tax strategy, and the frequency of this review
iii. the approach to regulatory compliance
iv. how the approach to tax is linked to the business and sustainable development strategies of the organisation","a. See our Website: Approach to Tax, latest Tax Transparency Report, 2023 Annual Report: Corporate Governance Statement",
,,"207-2 Tax governance, control, and risk management
a. A description of the tax governance and control framework, including:
i. the governance body or executive-level position within the organization accountable for compliance with the tax strategy
ii. how the approach to tax is embedded within the organization
iii. the approach to tax risks, including how risks are identified, managed, and monitored
iv. how compliance with the tax governance and control framework is evaluated
b. A description of the mechanisms for reporting concerns about unethical or unlawful behaviour and the organization’s integrity in relation to tax.
c. A description of the assurance process for disclosures on tax and, if applicable, a reference to the assurance report, statement, or opinion.","a., b. See our Website: Approach to Tax, latest Tax Transparency Report, 2023 Annual Report: Corporate Governance
c. See our 2023 Annual Report: Statutory statements",
,,"207-3 Stakeholder engagement and management of concerns related to tax
a. A description of the approach to stakeholder engagement and management of stakeholder concerns related to tax, including:
i. the approach to engagement with tax authorities
ii. the approach to public policy advocacy on tax
iii. the processes for collecting and considering the views and concerns of stakeholders, including external stakeholders","a. See our Website: Approach to Tax, latest Tax Transparency Report, 2023 Annual Report: Our sustainability materiality assessment process",
,,"207-4 Country-by-country reporting
a. All tax jurisdictions where the entities included in the organization’s audited consolidated financial statements, or in the financial information filed on public record, are resident for tax purposes.
b. For each tax jurisdiction reported in Disclosure 207-4-a:
i. names of the resident entities
ii. primary activities of the organization
iii. number of employees, and the basis of calculation of this number
iv. revenues from third-party sales
v. revenues from intra-group transactions with other tax jurisdictions
vi. profit/loss before tax
vii. tangible assets other than cash and cash equivalents
viii. corporate income tax paid on a cash basis
ix. corporate income tax accrued on profit/loss
x. reasons for the difference between corporate income tax accrued on profit/loss and the tax due if the statutory tax rate is applied to profit/loss before tax
c. The time period covered by the information reported in Disclosure 207-4.","a., b., c. See our Website: Approach to Tax, latest Tax Transparency Report, 2023 Annual Report: Financial Statements
b. As appropriate, we may consider enhancing our disclosures for this topic in coming years. This includes any proposed legislative changes to Public country-by-country reporting that may apply.",
,ENVIRONMENT,,,
,ENERGY,,,
,"GRI 302:
Energy 2016","302-1 Energy consumption within the organization
a. Total fuel consumption within the organization from non-renewable sources, in joules or multiples, and including fuel types used.
b. Total fuel consumption within the organization from renewable sources, in joules or multiples, and including fuel types used.
c. In joules, watt-hours or multiples, the total:
i. electricity consumption
ii. heating consumption
iii. cooling consumption
iv. steam consumption
d. In joules, watt-hours or multiples, the total:
i. electricity sold
ii. heating sold
iii. cooling sold
iv. steam sold
e. Total energy consumption within the organization, in joules or multiples.
f. Standards, methodologies, assumptions, and/or calculation tools used.
g. Source of the conversion factors used.","a., b., c. i), ii), iii), e., f., g. See our 2023 Sustainability Index and Datasheet – tab Environmental (Energy Consumption table) and Glossary.
c., iv., d. We do not report on steam consumption or energy sold as these are not applicable to Westpac.",
,,"302-2 Energy consumption outside of the organization
a. Energy consumption outside of the organization, in joules or multiples.
b. Standards, methodologies, assumptions, and/or calculation tools used.
c. Source of the conversion factors used.","a. to c. As appropriate, we may consider enhancing our disclosures for this topic in coming years.",
,,"302-3 Energy intensity
a. Energy intensity ratio for the organization.
b. Organization-specific metric (the denominator) chosen to calculate the ratio.
c. Types of energy included in the intensity ratio; whether fuel, electricity, heating, cooling, steam, or all.
d. Whether the ratio uses energy consumption within the organization, outside of it, or both.","a., d. See our 2023 Sustainability Index and Datasheet – tab Environment (Energy Consumption table) and Glossary.
b. Employee full time equivalent chosen as the denominator to calculate our energy intensity metric 
c. Energy consumption within the organisation chosen as the numerator to calculate our energy intensity metric",
