Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
64,,,"207-2 Tax governance, control, and risk management\na. A description of the tax governance and control framework, including:\ni. the governance body or executive-level position within the organization accountable for compliance with the tax strategy\nii. how the approach to tax is embedded within the organization\niii. the approach to tax risks, including how risks are identified, managed, and monitored\niv. how compliance with the tax governance and control framework is evaluated\nb. A description of the mechanisms for reporting concerns about unethical or unlawful behaviour and the organizationÃ¢ÂÂs integrity in relation to tax.\nc. A description of the assurance process for disclosures on tax and, if applicable, a reference to the assurance report, statement, or opinion.","a., b. See our Website: Approach to Tax, latest Tax Transparency Report, 2023 Annual Report: Corporate Governance\nc. See our 2023 Annual Report: Statutory statements",
65,,,"207-3 Stakeholder engagement and management of concerns related to tax\na. A description of the approach to stakeholder engagement and management of stakeholder concerns related to tax, including:\ni. the approach to engagement with tax authorities\nii. the approach to public policy advocacy on tax\niii. the processes for collecting and considering the views and concerns of stakeholders, including external stakeholders","a. See our Website: Approach to Tax, latest Tax Transparency Report, 2023 Annual Report: Our sustainability materiality assessment process",
66,,,"207-4 Country-by-country reporting\na. All tax jurisdictions where the entities included in the organizationÃ¢ÂÂs audited consolidated financial statements, or in the financial information filed on public record, are resident for tax purposes.\nb. For each tax jurisdiction reported in Disclosure 207-4-a:\ni. names of the resident entities\nii. primary activities of the organization\niii. number of employees, and the basis of calculation of this number\niv. revenues from third-party sales\nv. revenues from intra-group transactions with other tax jurisdictions\nvi. profit/loss before tax\nvii. tangible assets other than cash and cash equivalents\nviii. corporate income tax paid on a cash basis\nix. corporate income tax accrued on profit/loss\nx. reasons for the difference between corporate income tax accrued on profit/loss and the tax due if the statutory tax rate is applied to profit/loss before tax\nc. The time period covered by the information reported in Disclosure 207-4.","a., b., c. See our Website: Approach to Tax, latest Tax Transparency Report, 2023 Annual Report: Financial Statements\nb. As appropriate, we may consider enhancing our disclosures for this topic in coming years. This includes any proposed legislative changes to Public country-by-country reporting that may apply.",
67,,ENVIRONMENT,,,
68,,ENERGY,,,
69,,GRI 302:\nEnergy 2016,"302-1 Energy consumption within the organization\na. Total fuel consumption within the organization from non-renewable sources, in joules or multiples, and including fuel types used.\nb. Total fuel consumption within the organization from renewable sources, in joules or multiples, and including fuel types used.\nc. In joules, watt-hours or multiples, the total:\ni. electricity consumption\nii. heating consumption\niii. cooling consumption\niv. steam consumption\nd. In joules, watt-hours or multiples, the total:\ni. electricity sold\nii. heating sold\niii. cooling sold\niv. steam sold\ne. Total energy consumption within the organization, in joules or multiples.\nf. Standards, methodologies, assumptions, and/or calculation tools used.\ng. Source of the conversion factors used.","a., b., c. i), ii), iii), e., f., g. See our 2023 Sustainability Index and Datasheet Ã¢ÂÂ tab Environmental (Energy Consumption table) and Glossary.\nc., iv., d. We do not report on steam consumption or energy sold as these are not applicable to Westpac.",
70,,,"302-2 Energy consumption outside of the organization\na. Energy consumption outside of the organization, in joules or multiples.\nb. Standards, methodologies, assumptions, and/or calculation tools used.\nc. Source of the conversion factors used.","a. to c. As appropriate, we may consider enhancing our disclosures for this topic in coming years.",
71,,,"302-3 Energy intensity\na. Energy intensity ratio for the organization.\nb. Organization-specific metric (the denominator) chosen to calculate the ratio.\nc. Types of energy included in the intensity ratio; whether fuel, electricity, heating, cooling, steam, or all.\nd. Whether the ratio uses energy consumption within the organization, outside of it, or both.","a., d. See our 2023 Sustainability Index and Datasheet Ã¢ÂÂ tab Environment (Energy Consumption table) and Glossary.\nb. Employee full time equivalent chosen as the denominator to calculate our energy intensity metric \nc. Energy consumption within the organisation chosen as the numerator to calculate our energy intensity metric",
72,,,"302-4 Reduction of energy consumption\na. Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency initiatives, in joules or multiples.\nb. Types of energy included in the reductions; whether fuel, electricity, heating, cooling, steam, or all.\nc. Basis for calculating reductions in energy consumption, such as base year or baseline, including the rationale for choosing it.\nd. Standards, methodologies, assumptions, and/or calculation tools used.","a. Renewables data reported but not efficiency and conservation due to availability of reliable data. As appropriate, we may consider enhancing our disclosures for this topic in coming years.\n \nb. to d. See our 2023 Annual Report: Creating value for the environment, 2023 Climate Report: Strategy; 2023 Sustainability Index and Datasheet Ã¢ÂÂ tab Environment (Energy consumption table) and Glossary.",
73,,,"302-5 Reductions in energy requirements of products and services\na. Reductions in energy requirements of sold products and services achieved during the reporting period, in joules or multiples.\nb. Basis for calculating reductions in energy consumption, such as base year or baseline, including the rationale for choosing it.\nc. Standards, methodologies, assumptions, and/or calculation tools used.",a. to c. We do not consider this GRI standard to be applicable to banking.,
