Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,Percentage of gross exposure included in the financed emissions calculation ,,Percentage (%),FN-CB-410b.3,See our 2023 Sustainability Index and Datasheet: tab Lending (Estimated financed emissions tables); and our 2023 Climate Report: Strategy
,,,Description of the methodology used to calculate financed emissions,,Commentary,FN-CB-410b.4,See our 2023 Sustainability Index and Datasheet: tab Lending (Estimated financed emissions tables); and our 2023 Climate Report: Methodology - Scope 3 financed emission estimation
,,Business Ethics,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, anti-trust, anti-competitive behavior, market manipulation, malpractice, or other related financial industry laws or regulations",Quantitative,Reporting Currency,FN-CB-510a.1,"See our 2023 Annual Report: Significant developments, litigation and regulatory proceedings"
,,,Description of whistleblower policies and procedures,Discussion and Analysis,Commentary,FN-CB-510a.2,"See our Whistleblower policy, known as the Westpac Group Speaking Up Policy; 2023 Sustainability Index and Datasheet – tab Employees (Whistleblower reporting table). "
,,Systemic Risk Management,"Global Systemically Important Bank (G-SIB) score, by category",Quantitative,Basis points (bps),FN-CB-550a.1,"Westpac has not been designated a Globally Systemically important Bank by the Basel Committee on Banking Supervision/FSB. However, we provide the G-SIB indicators on our website as required by the Australian Prudential Regulation Authority (APRA).  "
,,,"Description of approach to incorporation of results of mandatory and voluntary stress tests into capital adequacy planning, long-term corporate strategy, and other business activities",Discussion and Analysis,Commentary,FN-CB-550a.2,See our Pillar 3 Report: Capital Management Strategy; 2023 Annual Report – Sustainability governance and risk management
,,,ACTIVITY METRIC,Category,UNIT OF MEASURE,CODE,
,,,(1) Number and (2) value of checking and savings accounts by segment: (a) personal and (b) small business,Quantitative,"Number, Reporting currency",FN-CB-000.A,See our 2023 Annual Report and 2023 Investor Discussion Pack which provides details of our deposit accounts by deposit type while our divisional results provide deposit balances by segment. This break-up is not by checking and savings accounts as this is predominantly a US construct. We do not separately disclose the number of deposit accounts held. 
,,,"(1) Number and (2) value of loans by segment: (a) personal, (b) small business, and (c) corporate",Quantitative,"Number, Reporting currency",FN-CB-000.B,"See our 2023 Annual Report, 2023 Investor Discussion Pack, and Pillar 3 report which provides details of our lending balances by loan type, segment and industry. We do not separately disclose the number of loan accounts by segment held. "
,SECTOR,TOPIC,ACCOUNTING METRIC,Category,UNIT OF MEASURE,CODE,WESTPAC RESPONSE
,MORTGAGE FINANCE,Lending Practices,"(1) Number and (2) value of residential  mortgages of the following types: (a) Hybrid  or Option Adjustable-rate Mortgages (ARM), (b) Prepayment Penalty, (c) Higher Rate, (d) Total, by FICO scores above or below 660",,"Number, Reporting currency",FN-MF-270a.1,"See our 2023 Investor Discussion Pack for details of the value of residential mortgages by the categories of investor and owner occupied lending. The SASB classification of hybrid, ARM, prepayment penalty and FICO scores are not relevant from an Australian and New Zealand perspective. "
,,,"(1) Number and (2) value of (a) residential mortgage modifications, (b) foreclosures, and (c) short sales or deeds in lieu of foreclosure, by FICO scores above and below 660",,"Number, Reporting currency",FN-MF-270a.2,"See our 2023 Full Year Financial Results: Credit Quality, Portfolio Segments and Delinquencies.
The SASB classification by FICO scores are not relevant from an Australian and New Zealand perspective. "
,,,Total amount of monetary losses as a result of legal proceedings associated with communications to customers or remuneration of loan originators,,Reporting Currency,FN-MF-270a.3,"See our 2023 Annual Report: Significant developments, litigation and regulatory proceedings"
,,,Description of remuneration structure of loan originators,,Commentary,FN-MF-270a.4,"Our loan originators do not receive commissions or fees for the sale of products or services. As employees they receive a salary and other benefits which may involve a bonus to recognise performance for the year against agreed business objectives. These objectives may relate to business outcomes, customer service, people management, special tasks and managing risk effectively. See our Financial Services guide 2023 for further information. One smaller business at Westpac is RAMS, a wholly owned mortgage originator, that is operated as a franchise business. Each franchise is compensated for home loans written based on a fixed percentage for upfront and trail commissions. Our third-party broker introduced business operates on the same compensation basis at RAMS."
,,"Discriminatory
Lending","(1) Number, (2) value, and (3) weighted average Loan-to-Value (LTV) ratio of mortgages issued to (a) minority and (b) all other borrowers, by FICO scores above and below 660",,"Number, Reporting currency, Percentage (%)",FN-MF-270b.1,We disclose details of LVR bands in our 2023 Investor Discussion Pack. The SASB classification of borrower minority and FICO scores are not relevant to Australia and New Zealand.
,,,Total amount of monetary losses as a result of legal proceedings associated with discriminatory mortgage lending,,Reporting Currency,FN-MF-270b.2,"See our 2023 Annual Report: Significant developments, litigation and regulatory proceedings"
,,,Description of policies and procedures for ensuring non-discriminatory mortgage origination,,Commentary,FN-MF-270b.3,"Refer to our Website: Operating principles and policies. Westpac also maintains a Principles for Responsible Lending (available on our website) that has 7 principles we apply, including to mortgages. These include inquiring about a customer’s financial situation, taking steps to verify a customer’s financial position (including checking third party sources), only offering suitable products, and marketing our products responsibly.  "
,,Environmental Risk to Mortgaged Properties,(1) Number and (2) value of mortgage loans in 100-year flood zones,,"Number, Reporting currency",FN-MF-450a.1,Our physical risk analysis in our 2023 Climate Report shows the proportion of property that may be subject to climate risks. 
,,,"(1) Total expected loss and (2) Loss Given Default (LGD) attributable to mortgage loan default and delinquency because of weather-related natural catastrophes, by geographic region",,"Reporting currency, Percentage (%)",FN-MF-450a.2,"See our 2023 Sustainability Index and Datasheet: tab Lending (Australian locations that may experience higher physical risk by 2050 table). Expected losses for mortgages are determined on a portfolio basis. When major weather-related natural catastrophes occur we assess potential losses and may put in place a weather-related credit provision overlay. This overlay is typically assessed based on losses in prior events. At 31 March 2023, we held overlay provisions of $131 million. See 2023 Annual Report for details."
,,,Description of how climate change and other environmental risks are incorporated into mortgage origination and underwriting,,Commentary,FN-MF-450a.3,"See our 2023 Annual Report: Climate Change, Sustainability governance and risk management.; 2023 Climate Report: Risk management"
,,,ACTIVITY METRIC,Category,UNIT OF MEASURE,CODE,
,,,(1) Number and (2) value of mortgages originated by category: (a) residential and (b) commercial,,"Number, Reporting currency",FN-MF-000.A,"See our 2023 Investor Discussion Pack – under Australian Mortgage Portfolio for details of the value of mortgages originated, including by the categories owner-occupied and investor loans. This categorisation is similar to the US construct of residential and commercial mortgages. For larger commercial properties these are separately disclosed in our commercial lending portfolio. We do not disclose the number of new mortgages originated. "
,,,(1) Number and (2) value of mortgages purchased by category: (a) residential and (b) commercial,,"Number, Reporting currency",FN-MF-000.B,"Westpac does not routinely purchase residential or commercial mortgages, unless related to the purchase of a business. Accordingly, this metric is not applicable to us."
,SECTOR,TOPIC,ACCOUNTING METRIC,Category,UNIT OF MEASURE,CODE,WESTPAC RESPONSE
,CONSUMER FINANCE,Customer Privacy,Number of account holders whose information is used for secondary purposes,,Number,FN-CF-220a.1,"As appropriate, we may consider enhancing our disclosures for this topic in coming years."
,,,Total amount of monetary losses as a result of legal proceedings associated with customer privacy,,Reporting Currency,FN-CF-220a.2,"See our 2023 Annual Report: Significant developments, litigation and regulatory proceedings"
,,Data Security,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of account holders affected",,"Number, Percentage (%)",FN-CF-230a.1,See our 2023 Sustainability Index and Datasheet: tab Customers (Data breaches tables)
,,,Card-related fraud losses from (1) card-not present fraud and (2) card-present and other fraud,,Reporting Currency,FN-CF-230a.2,"We monitor losses due to fraud, however we do not publicly disclose this information."
,,,Description of approach to identifying and addressing data security risks,,Commentary,FN-CF-230a.3,See our 2023 Annual Report: Creating value for customers; Major risk categories - Cyber risk.
,,Selling Practices,Percentage of total remuneration for covered employees that is variable and linked to the amount of products and services sold,,Percentage (%),FN-CF-270a.1,We do not provide commission-based incentives. Incentives for customer-facing employees encompass a range of financial and non-financial measures and discretionary overlays. It is therefore not possible to determine what percentage of total remuneration is linked to the amount of products or services sold.
,,,Approval rate for (1) credit and (2) pre-paid products for applicants with FICO scores above and below 660,,Percentage (%),FN-CF-270a.2,These SASB measures are not relevant to Australia and New Zealand.
,,,"(1) Average fees from add-on products, (2) average APR, (3) average age of accounts, (4) average number of trade lines, and (5) average annual fees for pre-paid products, for customers with FICO scores above and below 660",,"Reporting currency, Percentage (%), Months, Number, Reporting currency",FN-CF-270a.3,These SASB measures are not relevant to Australia and New Zealand.
,,,"(1) Number of complaints filed with the Consumer Financial Protection Bureau (CFPB), (2) percentage with monetary or nonmonetary relief, (3) percentage disputed by consumer, (4) percentage that resulted in investigation by the CFPB",,"Number, Percentage (%)",FN-CF-270a.4,See our 2023 Sustainability Index and Datasheet: tab Customers (Customer Complaints tables). We have reported these measures in the context of Australia and New Zealand.
,,,Total amount of monetary losses as a result of legal proceedings associated with selling and servicing of products,,Reporting currency,FN-CF-270a.5,"See our 2023 Annual Report: Notes to the Financial Statements: Provisions, contingent liabilities, contingent assets and credit commitments."
,,,ACTIVITY METRIC,Category,UNIT OF MEASURE,CODE,
,,,Number of unique consumers with an active (1) credit card account and (2) pre-paid debit card account,,Number,FN-CF-000.A,"As appropriate, we may consider enhancing our disclosures for this topic in coming years."
,,,Number of (1) credit card accounts and (2) pre-paid debit card accounts,,Number,FN-CF-000.B,See our 2023 Sustainability Index and Datasheet: tab Customers (Number of Customers and Accounts table).
