Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
105,,GRI 404: \nTraining and Education 2016,"404-1 Average hours of training per year per employee\na. Average hours of training that the organizationÃ¢ÂÂs employees have undertaken during the reporting period, by:\ni. gender\nii. employee category","a. See our 2023 Sustainability Index and Datasheet: tab Employees (Training and capability table)\ni., ii. As appropriate, we may consider enhancing our disclosures for this topic in coming years.",
106,,,404-2 Programs for upgrading employee skills and transition assistance programs\na. Type and scope of programs implemented and assistance provided to upgrade employee skills.\nb. Transition assistance programs provided to facilitate continued employability and the management of career endings resulting from retirement or termination of employment.,"a. See our Website: Employee Initiatives\nb. We partner with an external provider to support our employees to facilitate continued employability if impacted by an organisational change which can include resume building, value proposition and transferrable skills.",
107,,,404-3 Percentage of employees receiving regular performance and career development\na. Percentage of total employees by gender and by employee category who received a regular performance and career development review during the reporting period. reviews,"a. See our 2023 Sustainability Index and Datasheet: tab Employees (Performance and Career Development table)\nAs appropriate, we may consider enhancing our disclosures for this topic in coming years.",
108,,DIVERSITY AND EQUAL OPPORTUNITY,,,
109,,GRI 405:\nDiversity and Equal Opportunity 2016,"405-1 Diversity of governance bodies and employees\na. Percentage of individuals within the organizationÃ¢ÂÂs governance bodies in each of the following diversity categories:\ni. gender\nii. age group: under 30 years old, 30-50 years old, over 50 years old\niii. other indicators of diversity where relevant (such as minority or vulnerable groups)\nb. Percentage of employees per employee category in each of the following diversity categories:\ni. gender\nii. age group: under 30 years old, 30-50 years old, over 50 years old\niii. other indicators of diversity where relevant (such as minority or vulnerable groups)","a.i., ii. See our 2023 Annual Report: Corporate Governance \nb.i., ii. See our 2023 Sustainability Index and Datasheet: tab Employees (Age and Gender Profile and Board Composition tables)\na, iii., b. iii. As appropriate, we may consider enhancing our disclosures for this topic in coming years.",
110,,,"405-2 Ratio of basic salary and remuneration of women to men\na. Ratio of the basic salary and remuneration of women to men for each employee category, by significant locations of operation.\nb. The definition used for Ã¢ÂÂsignificant locations of operationÃ¢ÂÂ.",a. See our 2023 Sustainability Index and Datasheet: tab Employees Ã¢ÂÂ (Percentage of Basic Salary table).\nb. Significant locations of operation includes Australia and New Zealand.,
111,,NON-DISCRIMINATION,,,
112,,GRI 406:\nNon-discrimination 2016,"406-1 Incidents of discrimination and corrective actions taken\na. Total number of incidents of discrimination during the reporting period.\nb. Status of the incidents and actions taken with reference to the following:\ni. incident reviewed by the organization\nii. remediation plans being implemented\niii. remediation plans that have been implemented, with results reviewed through routine internal management review processes\niv. incident no longer subject to action","a. to b. See our 2023 Sustainability Index and Datasheet: tab Employees (whistleblower reporting table); Human Rights Position Statement and Action Plan.\n\nAs appropriate, we may consider enhancing our disclosures for this topic in coming years.",
113,,FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING,,,
114,,GRI 407:\nFreedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk\na. Operations and suppliers in which workersÃ¢ÂÂ rights to exercise freedom of association or collective bargaining may be violated or at significant risk either in terms of:\ni. type of operation (such as manufacturing plant) and supplier\nii. countries or geographic areas with operations and suppliers considered at risk\nb. Measures taken by the organization in the reporting period intended to support rights to exercise freedom of association and collective bargaining.,"a., b. See our Human Rights Position Statement and Action Plan; Modern Slavery Statement FY22; Responsible Sourcing Code of Conduct; Website: Inclusion and Diversity Policy.\n\nAs appropriate, we may consider enhancing our disclosures for this topic in coming years.",
115,,CHILD LABOUR,,,
