Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
," A2.2 What kinds of human rights issues are discussed by senior management and by the Board, and why?  ",See our Human Rights Position Statement and Action Plan: Section 5 ('Management of our Position Statement and Action Plan'); Modern Slavery Statement FY22: Section 3 ('Governance and oversight'); and 2023 Annual Report: Section 2 ('Sustainability governance and risk management'),,,,,,,,,,,,,,,,,,,,,,,,
, A2.3 How are employees and contract workers made aware of the ways in which respect for human rights should inform their decisions and actions?  ,"See our Human Rights Position Statement and Action Plan: Section 2 ('Scope and coverage') and Section 4 ('Focus areas'). Additionally, our Human Rights Position Statement is publicly available online and on our internal intranet and is integrated into Group training.",,,,,,,,,,,,,,,,,,,,,,,,
, A2.4 How does the company make clear in its business relationships the importance it places on respect for human rights? ,See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights') and Section 4 ('Focus areas') ,,,,,,,,,,,,,,,,,,,,,,,,
," A2.5 What lessons has the company learned during the reporting period about achieving respect for human rights, and what has changed as a result?",See our 2023 Annual Report ('Creating value for the community') and our Modern Slavery Statement FY22: Section 5 ('Our actions to assess and address modern slavery risk') and Section 6 ('Assessing effectiveness'),,,,,,,,,,,,,,,,,,,,,,,,
,PART B: DEFINING THE FOCUS OF REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,
,B1 Statement of salient issues: State the salient human rights issues associated with the company’s activities and business relationships during the reporting period.,"See our Human Rights Position Statement and Action Plan: Section 4 ('Focus areas') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to refresh our understanding of our salient issues and areas of human rights risk through a deep dive Human Rights Risk Assessment. This year’s assessment is underway and results will be reported in future disclosures. 

See our 2022 Annual Report: Section 1 ('Strategic Review: Human Rights') for an overview of the salient human rights issues we have identified to date.",,,,,,,,,,,,,,,,,,,,,,,,
,"B2 Determination of salient issues: Describe how the salient human rights issues were determined, including any input from stakeholders.","See our Human Rights Position Statement and Action Plan: Section 4 ('Focus areas') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to refresh our understanding of our salient issues and areas of human rights risk through a deep dive Human Rights Risk Assessment. This year’s assessment is underway and results will be reported in future disclosures. ",,,,,,,,,,,,,,,,,,,,,,,,
,"B3 Choice of focal geographies: If reporting on the salient human rights issues focuses on particular geographies, explain how that choice was made.","See our Human Rights Position Statement and Action Plan: Section 4 ('Focus areas') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to refresh our understanding of our salient issues and areas of human rights risk through a deep dive Human Rights Risk Assessment. This year’s assessment is underway and results will be reported in future disclosures. ",,,,,,,,,,,,,,,,,,,,,,,,
,"B4 Additional severe impacts: Identify any severe impacts on human rights that occurred or were still being addressed during the reporting period, but which fall outside of the
salient human rights issues, and explain how they have been addressed.","See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
,PART C: MANAGEMENT OF SALIENT HUMAN RIGHTS ISSUES,,,,,,,,,,,,,,,,,,,,,,,,,
,SPECIFIC POLICIES,,,,,,,,,,,,,,,,,,,,,,,,,
,"C1 Does the company have any specific policies that address its salient human rights issues and, if so, what are they?","See our Human Rights Position Statement and Action Plan: Section 4 ('Our focus areas') and Section 6 ('Related frameworks, policies, position statements and action plans')",,,,,,,,,,,,,,,,,,,,,,,,
,C1.1 How does the company make clear the relevance and significance of such policies to those who need to implement them?,"See our Human Rights Position Statement and Action Plan: Section 2 ('Scope and coverage'), Section 5 ('Management of our Position Statement and Action Plan'), Section 6 ('Related frameworks, policies, position statements and action plans') and Section B.2 ('Our plan'). Additionally, our Human Rights Position Statement is publicly available online and on our internal intranet and is integrated into Group training.",,,,,,,,,,,,,,,,,,,,,,,,
,STAKEHOLDER ENGAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,
,C2 What is the company’s approach to engagement with stakeholders in relation to each salient human rights issue?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to refresh our understanding of our salient issues and areas of human rights risk through a deep dive Human Rights Risk Assessment. This year’s assessment is underway and results will be reported in future disclosures. ",,,,,,,,,,,,,,,,,,,,,,,,
,"C2.1 How does the company identify which stakeholders to engage with in relation to each salient issue, and when and how to do so?","See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas') and Section B.2 ('Our plan')",,,,,,,,,,,,,,,,,,,,,,,,
,"C2.2 During the reporting period, which stakeholders has the company engaged with regarding each salient issue, and why?","See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas') and Section B.2 ('Our plan')",,,,,,,,,,,,,,,,,,,,,,,,
,"C2.3 During the reporting period, how have the views of stakeholders influenced the company’s understanding of each salient issue and/or its approach to addressing it?","See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas') and Section B.2 ('Our plan')",,,,,,,,,,,,,,,,,,,,,,,,
,ASSESSING IMPACTS,,,,,,,,,,,,,,,,,,,,,,,,,
,C3 How does the company identify any changes in the nature of each salient human rights issue over time?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to refresh our understanding of our salient issues and areas of human rights risk through a deep dive Human Rights Risk Assessment. This year’s assessment is underway and results will be reported in future disclosures. ",,,,,,,,,,,,,,,,,,,,,,,,
,"C3.1 During the reporting period, were there any notable trends or patterns in impacts related to a salient issue and, if so, what were they? ","See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
,"C3.2 During the reporting period, did any severe impacts occur that were related to a salient issue and, if so, what were they?","See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
,INTEGRATING FINDINGS AND TAKING ACTION,,,,,,,,,,,,,,,,,,,,,,,,,
,C4 How does the company integrate its findings about each salient human rights issue into its decision-making processes and actions?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas'), Section 5 ('Management of our Position Statement and Action Plan') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to refresh our understanding of our salient issues and areas of human rights risk through a deep dive Human Rights Risk Assessment. This year’s assessment is underway and results will be reported in future disclosures. ",,,,,,,,,,,,,,,,,,,,,,,,
,"C4.1 How are those parts of the company whose decisions and actions can affect the management of salient issues, involved in finding and implementing solutions?","See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas'), and Section 5 ('Management of our Position Statement and Action Plan').

Also See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
,"C4.2 When tensions arise between the prevention or mitigation of impacts related to a salient issue and other business objectives, how are these tensions addressed?","See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
,"C4.3 During the reporting period, what action has the company taken to prevent or mitigate potential impacts related to each salient issue?","See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
,TRACKING PERFORMANCE,,,,,,,,,,,,,,,,,,,,,,,,,
,C5 How does the company know if its efforts to address each salient human rights issue are effective in practice?,See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights') and our Modern Slavery Statement FY22: Section 5 ('Our actions to assess and address modern slavery risk') and Section 6 ('Assessing effectiveness'),,,,,,,,,,,,,,,,,,,,,,,,
,C5.1 What specific examples from the reporting period illustrate whether each salient issue is being managed effectively?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), 2023 Annual Report ('Creating value for the community') and our Modern Slavery Statement FY22: Section 5 ('Our actions to assess and address modern slavery risk') and Section 6 ('Assessing effectiveness')",,,,,,,,,,,,,,,,,,,,,,,,
,REMEDIATION,,,,,,,,,,,,,,,,,,,,,,,,,
,C6 How does the company enable effective remedy if people are harmed by its actions or decisions in relation to a salient human rights issue?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 7 ('Feedback, complaints and questions') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to review the effectiveness of our grievance mechanisms and approach to remedy. This action is underway and we will consider reporting results in future disclosures.

Also See our Modern Slavery Statement FY22: Section 5 ('Our actions to assess and address modern slavery risk') and Section 6 ('Assessing effectiveness')",,,,,,,,,,,,,,,,,,,,,,,,
,C6.1 Through what means can the company receive complaints or concerns related to each salient issue?,"See our Human Rights Position Statement and Action Plan: Section 7 ('Feedback, complaints and questions')",,,,,,,,,,,,,,,,,,,,,,,,
,C6.2 How does the company know if people feel able and empowered to raise complaints or concerns?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 7 ('Feedback, complaints and questions') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to review the effectiveness of our grievance mechanisms and approach to remedy. This action is underway and we will consider reporting results in future disclosures.

Also See our Modern Slavery Statement FY22: Section 5 ('Our actions to assess and address modern slavery risk') and Section 6 ('Assessing effectiveness')",,,,,,,,,,,,,,,,,,,,,,,,
,C6.3 How does the company process complaints and assess the effectiveness of outcomes?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 7 ('Feedback, complaints and questions') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to review the effectiveness of our grievance mechanisms and approach to remedy. This action is underway and results will be reported in future disclosures.",,,,,,,,,,,,,,,,,,,,,,,,
,"C6.4 During the reporting period, what were the trends and patterns in complaints or concerns and their outcomes regarding each salient issue, and what lessons has the company learned?","See our 2023 Annual Report ('Creating value for the community') and our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain'), Section 5 ('Our actions to assess and address modern slavery risk') and Section 6 ('Assessing effectiveness')",,,,,,,,,,,,,,,,,,,,,,,,
,"C6.5 During the reporting period, did the company provide or enable remedy for any actual impacts related to a salient issue and, if so, what are typical or significant examples?","See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
