Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
50,,,Data Security,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of account holders affected",,"Number, Percentage (%)",FN-CF-230a.1,See our 2023 Sustainability Index and Datasheet: tab Customers (Data breaches tables)
51,,,,Card-related fraud losses from (1) card-not present fraud and (2) card-present and other fraud,,Reporting Currency,FN-CF-230a.2,"We monitor losses due to fraud, however we do not publicly disclose this information."
52,,,,Description of approach to identifying and addressing data security risks,,Commentary,FN-CF-230a.3,See our 2023 Annual Report: Creating value for customers; Major risk categories - Cyber risk.
53,,,Selling Practices,Percentage of total remuneration for covered employees that is variable and linked to the amount of products and services sold,,Percentage (%),FN-CF-270a.1,We do not provide commission-based incentives. Incentives for customer-facing employees encompass a range of financial and non-financial measures and discretionary overlays. It is therefore not possible to determine what percentage of total remuneration is linked to the amount of products or services sold.
54,,,,Approval rate for (1) credit and (2) pre-paid products for applicants with FICO scores above and below 660,,Percentage (%),FN-CF-270a.2,These SASB measures are not relevant to Australia and New Zealand.
55,,,,"(1) Average fees from add-on products, (2) average APR, (3) average age of accounts, (4) average number of trade lines, and (5) average annual fees for pre-paid products, for customers with FICO scores above and below 660",,"Reporting currency, Percentage (%), Months, Number, Reporting currency",FN-CF-270a.3,These SASB measures are not relevant to Australia and New Zealand.
56,,,,"(1) Number of complaints filed with the Consumer Financial Protection Bureau (CFPB), (2) percentage with monetary or nonmonetary relief, (3) percentage disputed by consumer, (4) percentage that resulted in investigation by the CFPB",,"Number, Percentage (%)",FN-CF-270a.4,See our 2023 Sustainability Index and Datasheet: tab Customers (Customer Complaints tables). We have reported these measures in the context of Australia and New Zealand.
57,,,,Total amount of monetary losses as a result of legal proceedings associated with selling and servicing of products,,Reporting currency,FN-CF-270a.5,"See our 2023 Annual Report: Notes to the Financial Statements: Provisions, contingent liabilities, contingent assets and credit commitments."
58,,,,ACTIVITY METRIC,Category,UNIT OF MEASURE,CODE,
59,,,,Number of unique consumers with an active (1) credit card account and (2) pre-paid debit card account,,Number,FN-CF-000.A,"As appropriate, we may consider enhancing our disclosures for this topic in coming years."
