Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
109,,Westpac Group is focused on actively reducing its emissions. This is complemented by the purchase of carbon credits to offset residual emissions that occur from our operations. Westpac GroupÃ¢ÂÂs Australia and New Zealand operations maintain carbon neutral certification under the Australian GovernmentÃ¢ÂÂs Climate Active Standard for Organisations and the New Zealand ToitÃÂ« net carbonzero programme. More information on these certifications is at westpac.com.au/about-westpac/sustainability/performance-reports/,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,CARBON OFFSETTING ACCOUNTS,2023,2022,2021,2020,2019,,,,,,,,,,,,,,,,,,,,,
113,,Climate Active GHG emissions (tCO2-e) (Australia),,,,,,,,,,,,,,,,,,,,,,,,,,
114,,"Total Scope 1, 2 and 3 (upstream) emissions (tCO2-e)",NR1,97308,89066,190068,173012,,,,,,,,,,,,,,,,,,,,,
115,,Total Climate Active offsets,NR1,97308,89066,190068,173012,,,,,,,,,,,,,,,,,,,,,
116,,ToitÃÂ« net carbon zero GHG emissions (tCO2-e) (New Zealand),,,,,,,,,,,,,,,,,,,,,,,,,,
117,,"Total Scope 1, 2 and 3 (upstream) emissions (tCO2-e)2",4705,4950,5437,6014,7344,,,,,,,,,,,,,,,,,,,,,
118,,Total ToitÃÂ« net carbon zero offsets,4568,4617,4833,5841,7146,,,,,,,,,,,,,,,,,,,,,
119,,Non Certified GHG emissions (tCO2-e) (Other International),,,,,,,,,,,,,,,,,,,,,,,,,,
120,,"Total Scope 1, 2 and 3 (upstream) emissions (tCO2-e)",NR1,7208,3156,3341,3254,,,,,,,,,,,,,,,,,,,,,
121,,Total offsets,NR1,7208,3156,3341,3254,,,,,,,,,,,,,,,,,,,,,
122,,Westpac GHG emissions (tCO2-e),,,,,,,,,,,,,,,,,,,,,,,,,,
123,,"Total Scope 1, 2 and 3 (upstream) emissions (tCO2-e)3",NR1,109466,97659,199423,183610,,,,,,,,,,,,,,,,,,,,,
124,,Total offsets,NR1,109133,97055,199250,183412,,,,,,,,,,,,,,,,,,,,,
125,,1. Pending formal certification by Climate Active. This data will be made available on our website in first calendar quarter of 2024 within our certification. Credits have been purchased and retired as at 30 September 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,"2. Due to an update in the New Zealand Ministry for the EnvironmentÃ¢ÂÂs emission factor for electricity emissions in 2023, Westpac NZ has restated the electricity emissions for the past three years (2020-2022) to reflect impacts to our footprint as per the New Zealand ToitÃÂ« net carbonzero programme requirements. Incremental carbon offsets have been purchased and retired in 2023 by Westpac Group to bridge the 2020 to 2022 difference between emissions and purchase offsets.",,,,,,,,,,,,,,,,,,,,,,,,,,
127,,"3. Climate Active Standard allows organisations to claim default delivered renewable electricity from the grid, such as LGC surrenders made by a jurisdiction with a renewable electricity target. RE100 Standard allows claims of default delivered renewables only where relevant information from the electricity supplier is available. Westpac has not claimed the default renewables benefit in its market-based emissions figures when LGC were not evidenced. This results in a difference between Westpac's market based emissions reported in table 2 (above) and market based emission in the carbon offset summary table.",,,,,,,,,,,,,,,,,,,,,,,,,,
130,,ENERGY CONSUMPTION,GROUP,,,AUSTRALIA,Australia,,NEW ZEALAND7,New Zealand,,,,,,,,,,,,,,,,,,
131,,,2023,2022,2021,2023,2022,2021,2023,2022,2021,,,,,,,,,,,,,,,,,
132,,Energy consumption (GJ)1,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,"Stationary energy - Natural gas, Diesel, LPG",19263,25021,25666,11883,16737,15525,5064,5753,6149,,,,,,,,,,,,,,,,,
134,,Transport energy - Fleet fuels,56856,52379,60618,44279,39633,43578,8765,8092,12452,,,,,,,,,,,,,,,,,
135,,Electricity2,381612,429813,484781,311919,358528,408333,54286,54563,61647,,,,,,,,,,,,,,,,,
136,,Total energy consumption (GJ),457731,507213,571065,368081,414897,467436,68115,68408,80248,,,,,,,,,,,,,,,,,
137,,Renewable energy sources (GJ),,,,,,,,,,,,,,,,,,,,,,,,,,
138,,Renewable electricity3,267453,221771,216829,267242,221558,216605,211,213,224,,,,,,,,,,,,,,,,,
139,,Renewable electricity (%)4,0.7008506021823213,0.52,0.45,0.8567673017674461,0.62,0.53,0.003886821648307114,0.004,0.004,,,,,,,,,,,,,,,,,
140,,Renewable energy (%)5,0.5843016968481488,0.44,0.38,0.7260412789576207,0.53,0.46,0.0030977024150333995,0.003,0.003,,,,,,,,,,,,,,,,,
141,,Energy (GJ)/employee (FTE)6,12.13271662204787,12.933498227809368,15.11513723829438,,,,,,,,,,,,,,,,,,,,,,,
142,,1. Refer to this link in the 'Glossary' for the definition of energy consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,2. Includes electricity consumed from grid and on-site generation.,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,"3. For Australia, renewable energy is evidenced by renewable energy certificates (RECs) sourced via a virtual power purchase agreement and retired by or on behalf of Westpac and from rooftop solar where available. For New Zealand, rooftop solar consumed.",,,,,,,,,,,,,,,,,,,,,,,,,,
145,,"4. Refer to this link in the 'Glossary' for the definition of renewable electricity. For Australia, 100% of electricity demand sourced from renewables form April 2023, 86% for year ending 30 June 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,
146,,5. Refer to this link in the 'Glossary' for the definition of renewable energy.,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,6. Refer to this link in the 'Glossary' for the definition of energy (GJ)/employee (FTE).,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,"7.While New Zealand electricity grid includes a high proportion of renewable energy supply, Westpac reports grid consumption of electricity as renewable if supported by the retirement of eligible renewable energy attribute certificates.",,,,,,,,,,,,,,,,,,,,,,,,,,
151,,"WATER, PAPER AND WASTE",2023,2022,2021,2020,2019,,,,,,,,,,,,,,,,,,,,,
152,,Water consumption (kL)1,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,Australia2,207130,201726,283978,329041,363249,,,,,,,,,,,,,,,,,,,,,
154,,Total water consumption Australia (kL),207130,201726,283978,329041,363249,,,,,,,,,,,,,,,,,,,,,
155,,Paper consumption (tonnes)3,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,Australia,1404,1515,1727,1313,1507,,,,,,,,,,,,,,,,,,,,,
157,,New Zealand,120,174,185,226,305,,,,,,,,,,,,,,,,,,,,,
158,,Total paper consumption (tonnes),1524,1689,1912,1539,1812,,,,,,,,,,,,,,,,,,,,,
159,,Waste diversion from landfill (tonnes)4,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,Australia,1365,1730,2233.5,2811,3491,,,,,,,,,,,,,,,,,,,,,
161,,New Zealand5,252,216,286,336,492,,,,,,,,,,,,,,,,,,,,,
162,,Total waste diversion from landfill (tonnes),1617,1946,2519.5,3147,3983,,,,,,,,,,,,,,,,,,,,,
163,,Waste to landfill (tonnes)6,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,Australia,680,603,562,965,1307,,,,,,,,,,,,,,,,,,,,,
165,,New Zealand,58,46,67,70,74,,,,,,,,,,,,,,,,,,,,,
166,,Total waste to landfill (tonnes),738,649,629,1035,1381,,,,,,,,,,,,,,,,,,,,,
167,,1. Refer to this link in the 'Glossary' for the definition of water consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,"2. From 2021 onwards water data includes Australian commercial, retail, data centre and subsidiary sites. Prior years water data includes Australian commercial and retail sites only.",,,,,,,,,,,,,,,,,,,,,,,,,,
169,,3. Refer to this link in the 'Glossary' for the definition of paper consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,4. Refer to this link in the 'Glossary' for the definition of waste diversion from landfill.,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,5. New Zealand waste diversion includes organics for first time in 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,
