Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,2. The exchange rate for NZD: 1.082307 based on the monthly average rate for the year ended 30 September 2023.,,,,,,,,,,,
,"3. Offices in the United States, United Kingdom, and key Asian centres along with our banks in Papua New Guinea and Fiji. The exchange rate for SGD: 0.897297, GBP: 0.540349, USD: 0.664453 based on the monthly average rate for the year ended 30 September 2023. ",,,,,,,,,,,
,4. Refer to this link in the 'Glossary' for the definition of community investment.,,,,,,,,,,,
,"5. Community investment increased due to several factors, including refining the definition of 'charitable gifts' to include donations to for-profit organisations if the intent was to fund charitable causes (aligned with the Business for Societal Impact (B4SI) Community Investment Framework); improving the methodology for ‘volunteer time’ and ‘management costs’; growth of commercial partnerships through new multi-year sponsorships in Australia; and enhancing our data collection process through automation.",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,COMMUNITY INVESTMENT BY TYPE ($),2023.0,2022.0,2021,,,,,,,,
,Monetary contributions,,,,,,,,,,,
,Charitable gifts1,7400591.73,6381346.0,6552251,,,,,,,,
,Matched giving2,2067082.38,2272820.0,2108308,,,,,,,,
,Community partnerships3,36508217.43,28030250.0,31495466,,,,,,,,
,Total monetary contributions,45975891.54,36684416.0,40156025,,,,,,,,
,Time contributions ,,,,,,,,,,,
,Volunteer time4,2965071.78,1264331.0,932906,,,,,,,,
,Employee secondments5,576394.25,897065.0,913923,,,,,,,,
,"Indigenous community secondments/volunteering4,5",454992.24,642269.0,338090,,,,,,,,
,Total time contributions,3996458.2699999996,2803665.0,2184919,,,,,,,,
,In-kind contributions,,,,,,,,,,,
,In-kind gifts or donations6,1189817.71,1204810.0,1351644,,,,,,,,
,Indigenous in-kind7,175944.0,292866.0,227128,,,,,,,,
,Total in-kind contributions,1365761.71,1497676.0,1578772,,,,,,,,
,Management costs8,,,,,,,,,,,
,Management costs - General,13478639.72,12337283.0,9542396,,,,,,,,
,Management costs - Indigenous,274307.12,1136390.0,934997,,,,,,,,
,Total management costs,13752946.84,13473674.0,10477393,,,,,,,,
,"Community investment9,10",65091058.36,54459431.0,54397109,,,,,,,,
,Commercial sponsorships11,16535618.11,9479385.0,11558575,,,,,,,,
,Foregone fee revenue – not-for-profit organisations12,7228676.78,6874158.0,7688404,,,,,,,,
,Foregone fee revenue – other fee free accounts12,81724509.3,75243832.0,82292607,,,,,,,,
,Community investment including commercial sponsorships and foregone fee revenue13,170579862.55,146056806.0,155936695,,,,,,,,
,1. Refer to this link in the 'Glossary' for the definition of charitable gifts.,,,,,,,,,,,
,2. Refer to this link in the 'Glossary' for the definition of matched giving.,,,,,,,,,,,
,3. Refer to this link in the 'Glossary' for the definition of community partnerships.,,,,,,,,,,,
,4. Refer to this link in the 'Glossary' for the definition of volunteer time.,,,,,,,,,,,
,5. Refer to this link in the 'Glossary' for the definition of Employee secondment and Indigenous Community secondment.,,,,,,,,,,,
,6. Refer to this link in the 'Glossary' for the definition of in-kind gifts and donations.,,,,,,,,,,,
,7. Refer to this link in the 'Glossary' for the definition of Indigenous in-kind gifts and donations.,,,,,,,,,,,
,8. Refer to this link in the 'Glossary' for the definition of management costs.,,,,,,,,,,,
,9. Refer to this link in the 'Glossary' for the definition of community investment.,,,,,,,,,,,
,10. Community investment was restated due to: decision of removing foregone fee revenue from total in-kind contributions to better reflect evolving global reporting standards (impacts FY22 and FY21); and duplication error (impacts FY22) and omission of donation to St George Foundation in charitable gifts (impacts FY22 and FY21). ,,,,,,,,,,,
,11. Refer to this link in the 'Glossary' for the definition of commercial sponsorships.,,,,,,,,,,,
,12. Refer to this link in the 'Glossary' for the definition of foregone fee revenue.,,,,,,,,,,,
,"13. Community investment increased due to several factors, including refining the definition of 'charitable gifts' to include donations to for-profit organisations if the intent was to fund charitable causes (aligned with the Business for Societal Impact (B4SI) Community Investment Framework); improving the methodology for ‘volunteer time’ and ‘management costs’; growth of commercial partnerships through new multi-year sponsorships in Australia; and enhancing our data collection process through automation.",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,FINANCIAL EDUCATION,,,,,,,,,,,
,,,,,,,,,,,,
,FINANCIAL EDUCATION - NUMBER OF PARTICIPANTS1,2023.0,2022.0,2021,,,,,,,,
,Group total face to face and live events,,,,,,,,,,,
,Australia3,4536.0,2293.0,1330,,,,,,,,
,New Zealand4,10241.0,7760.0,14618,,,,,,,,
,Pacific5,8843.0,4572.0,3099,,,,,,,,
,FINANCIAL EDUCATION - NUMBER OF HOURS2,2023.0,2022.0,2021,,,,,,,,
,Group total,,,,,,,,,,,
,Australia3,2268.0,1146.5,665,,,,,,,,
,New Zealand4,11743.0,7282.7,13995,,,,,,,,
,Pacific5,26529.0,13716.0,NR,,,,,,,,
,1. Refer to this link in the 'Glossary' for the definition of financial education (participants).,,,,,,,,,,,
,2. Refer to this link in the 'Glossary' for the definition of financial education (hours).,,,,,,,,,,,
,3. Financial education increased due to more presentations run by Corporate Partners. ,,,,,,,,,,,
,4. Financial education increased as more facilitators were trained to deliver ‘Managing Your Money’ workshops to the community. ,,,,,,,,,,,
,"5. Following COVID-19 pandemic, financial education returned closer to 'normal' in FY23. ",,,,,,,,,,,
,,,,,,,,,,,,
,POLITICAL ENGAGEMENT,,,,,,,,,,,
,,,,,,,,,,,,
,POLITICAL ENGAGEMENT EXPENSES,2023.0,2022.0,2021,,,,,,,,
,Total political cash donations ($)1,0.0,0.0,0,,,,,,,,
,"Total political related expenditure ($)2,3",1942414.003911,194843.0,148153.186,,,,,,,,
,1. Westpac has a policy prohibiting cash donations to political parties. Refer to this link in the 'Glossary' for the definition of political cash donations.,,,,,,,,,,,
,"2. Given the size and nature of our business, and our role in the community, it is vital that we participate in legitimate engagement with political parties where policies and political or legislative changes may impact the company, the industry, or the economy. Accordingly, we are involved in political engagement such as business observer programs at party conferences, policy forums or events with industry participants. The costs of participating in these activities is considered political expenditure which is disclosed in accordance with relevant electoral laws. In Australia, our political expenditure was $185,300 (2023), $194,843 (2022) and $137,151 (2021); whilst in New Zealand, it was NZD $6,573 (2023), NZD $0 (2022), and NZD $10,321 (2021). In addition, Westpac donated $1.75m to the Yes23 and Uluru Dialogues Voice to Parliament campaigns, linked to the Voice referendum. We also provided in-kind support, including seconding 14 employees and providing office space. The donation and in-kind support are considered ‘referendum expenditure’ provided to ‘referendum entities’ and are disclosed to the Australian Electoral Commission.",,,,,,,,,,,
,"3. The exchange rate for NZD: 1.082307 based on the monthly average rate for the year ended 30 September 2023 (2022: 1.083, 2021: 1.066).",,,,,,,,,,,
