Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
47,,C4 How does the company integrate its findings about each salient human rights issue into its decision-making processes and actions?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas'), Section 5 ('Management of our Position Statement and Action Plan') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to refresh our understanding of our salient issues and areas of human rights risk through a deep dive Human Rights Risk Assessment. This yearÃ¢ÂÂs assessment is underway and results will be reported in future disclosures.",,,,,,,,,,,,,,,,,,,,,,,,
48,,"C4.1 How are those parts of the company whose decisions and actions can affect the management of salient issues, involved in finding and implementing solutions?","See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas'), and Section 5 ('Management of our Position Statement and Action Plan').\n\nAlso See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
49,,"C4.2 When tensions arise between the prevention or mitigation of impacts related to a salient issue and other business objectives, how are these tensions addressed?","See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
50,,"C4.3 During the reporting period, what action has the company taken to prevent or mitigate potential impacts related to each salient issue?","See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
51,,TRACKING PERFORMANCE,,,,,,,,,,,,,,,,,,,,,,,,,
52,,C5 How does the company know if its efforts to address each salient human rights issue are effective in practice?,See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights') and our Modern Slavery Statement FY22: Section 5 ('Our actions to assess and address modern slavery risk') and Section 6 ('Assessing effectiveness'),,,,,,,,,,,,,,,,,,,,,,,,
53,,C5.1 What specific examples from the reporting period illustrate whether each salient issue is being managed effectively?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), 2023 Annual Report ('Creating value for the community') and our Modern Slavery Statement FY22: Section 5 ('Our actions to assess and address modern slavery risk') and Section 6 ('Assessing effectiveness')",,,,,,,,,,,,,,,,,,,,,,,,
54,,REMEDIATION,,,,,,,,,,,,,,,,,,,,,,,,,
55,,C6 How does the company enable effective remedy if people are harmed by its actions or decisions in relation to a salient human rights issue?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 7 ('Feedback, complaints and questions') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to review the effectiveness of our grievance mechanisms and approach to remedy. This action is underway and we will consider reporting results in future disclosures.\n\nAlso See our Modern Slavery Statement FY22: Section 5 ('Our actions to assess and address modern slavery risk') and Section 6 ('Assessing effectiveness')",,,,,,,,,,,,,,,,,,,,,,,,
56,,C6.1 Through what means can the company receive complaints or concerns related to each salient issue?,"See our Human Rights Position Statement and Action Plan: Section 7 ('Feedback, complaints and questions')",,,,,,,,,,,,,,,,,,,,,,,,
57,,C6.2 How does the company know if people feel able and empowered to raise complaints or concerns?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 7 ('Feedback, complaints and questions') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to review the effectiveness of our grievance mechanisms and approach to remedy. This action is underway and we will consider reporting results in future disclosures.\n\nAlso See our Modern Slavery Statement FY22: Section 5 ('Our actions to assess and address modern slavery risk') and Section 6 ('Assessing effectiveness')",,,,,,,,,,,,,,,,,,,,,,,,
58,,C6.3 How does the company process complaints and assess the effectiveness of outcomes?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 7 ('Feedback, complaints and questions') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to review the effectiveness of our grievance mechanisms and approach to remedy. This action is underway and results will be reported in future disclosures.",,,,,,,,,,,,,,,,,,,,,,,,
59,,"C6.4 During the reporting period, what were the trends and patterns in complaints or concerns and their outcomes regarding each salient issue, and what lessons has the company learned?","See our 2023 Annual Report ('Creating value for the community') and our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain'), Section 5 ('Our actions to assess and address modern slavery risk') and Section 6 ('Assessing effectiveness')",,,,,,,,,,,,,,,,,,,,,,,,
