Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
56,,"Stationary energy - Natural gas, Diesel, LPG4",1069,1448,1427,633,964,841,273,311,333,,,,,,,,,,,,,,,,,
57,,Transport energy - Fleet fuels5,3988,3679,4257,3096,2785,3065,627,574,875,,,,,,,,,,,,,,,,,
58,,Refrigerants6,1502,2170,2167,1413,2074,2069,89,96,98,,,,,,,,,,,,,,,,,
59,,Total Scope 1 emissions (tCOÃ¢ÂÂ-e),6559,7297,7851,5142,5823,5975,989,981,1306,,,,,,,,,,,,,,,,,
60,,Scope 2 emissions (tCOÃ¢ÂÂ-e)7,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,Purchased electricity8,60481,76378,89580,57363,72159,85181,898,1813,2049,,,,,,,,,,,,,,,,,
62,,Total Scope 1 and 2 emissions (tCOÃ¢ÂÂ-e),67040,83675,97431,62505,77982,91156,1887,2794,3355,,,,,,,,,,,,,,,,,
63,,"Scope 3 upstream emissions (tCOÃ¢ÂÂ-e)9,10\n(GHG Protocol Category)",,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Purchased electricity - Third party data centre and ATMs (1)11,9408,11822,13059,8691,10709,12384,340,662,675,,,,,,,,,,,,,,,,,
65,,Water consumption (1)12,407,429,580,390,412,580,NR,NR,NR,,,,,,,,,,,,,,,,,
66,,Paper consumption (1)13,3475,3745,1979,3215,3418,1662,120,183,248,,,,,,,,,,,,,,,,,
67,,"Stationary energy - Natural gas, Diesel, LPG E&D (3)14",163,180,186,146,155,166,10,18,20,,,,,,,,,,,,,,,,,
68,,Purchased electricity - T&D losses (3)15,7026,8593,11681,6563,8028,11295,178,227,250,,,,,,,,,,,,,,,,,
69,,Transport energy - Fleet fuels E&D (3)16,595,149,157,570,143,157,NR,NR,NR,,,,,,,,,,,,,,,,,
70,,Business logistics - Couriers (4)17,1999,2898,2296,1676,2571,2296,250,219,NR,,,,,,,,,,,,,,,,,
71,,Paper disposal (5)18,1412,3766,5042,1353,3614,5042,NR,NR,NR,,,,,,,,,,,,,,,,,
72,,Waste to landfill (5)19,939,828,757,884,784,731,16,11,26,,,,,,,,,,,,,,,,,
73,,Air travel (6)20,10634,3121,1871,8875,2496,1154,1491,520,687,,,,,,,,,,,,,,,,,
74,,"Hire vehicles, taxi and personal vehicles (6)21",461,229,319,293,138,195,154,85,124,,,,,,,,,,,,,,,,,
75,,Hotel stays (6)22,897,421,352,767,374,299,96,31,53,,,,,,,,,,,,,,,,,
76,,Employee commute (7)23,18523,13845,13975,15245,11543,13975,NR,NR,NR,,,,,,,,,,,,,,,,,
77,,Working from home (7)24,8772,10017,7448,8251,9421,7448,163,200,NR,,,,,,,,,,,,,,,,,
78,,Base building (8)25,8401,8837,9306,8052,8480,9306,NR,NR,NR,,,,,,,,,,,,,,,,,
79,,Total Scope 3 Supply Chain (non-financed) emissions (tCOÃ¢ÂÂ-e),73112,68880,69008,64971,62286,66689,2818,2156,2083,,,,,,,,,,,,,,,,,
80,,"Total Scope 1, 2 and 3 emissions (tCOÃ¢ÂÂ-e)",140152,152555,166439,127476,140268,157845,4705,4950,5438,,,,,,,,,,,,,,,,,
81,,"1. 2023 and 2022 emissions are based on Westpac Group. 2021 emissions are based on Westpac Australia, New Zealand, Fiji, Papua New Guinea and United Kingdom.",,,,,,,,,,,,,,,,,,,,,,,,,,
82,,"2. Due to an update in the Ministry for the EnvironmentÃ¢ÂÂs emission factor electricity emissions in 2023, Westpac NZ has restated the electricity emissions for the past three environmental years (EY20-EY22) to reflect impacts to our footprint as per the ToitÃÂ« net carbonzero programme requirements. This update has not been applied to our EY19 base year inventory, as the change in emissions was below the default 5% materiality threshold and was deemed not to be material to our stakeholders in this instance. ToitÃÂ« re-verification of the footprints for these years was completed with updated total tCO2e for EY22 and EY21 restated above.",,,,,,,,,,,,,,,,,,,,,,,,,,
83,,3. Refer to this link in the 'Glossary' for the definition of total scope 1 greenhouse gas emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,"4. Refer to this link in the 'Glossary' for the definition of stationary energy Ã¢ÂÂ natural gas, diesel, LPG.",,,,,,,,,,,,,,,,,,,,,,,,,,
85,,5. Refer to this link in the 'Glossary' for the definition of transport energy Ã¢ÂÂ fleet fuels.,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,6. Refer to this link in the 'Glossary' for the definition of refrigerants.,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,7. Refer to this link in the 'Glossary' for the definition of total scope 2 greenhouse gas emissions (location-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,8. Refer to this link in the 'Glossary' for the definition of purchased electricity.,,,,,,,,,,,,,,,,,,,,,,,,,,
