Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
257,,4. Refer to this link in the 'Glossary' for the definition of resignation of code of conduct breaches.,,,,,,,,,,,,,,,,,,,,,,,
260,,REMUNERATION,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,2023,2022,2021,,,,,,,,,,,,
263,,Westpac Group,,,,,,,,,,,,,,,,,,,,,,,
264,,Ratio of the annual total compensation for highest-paid individual to the median annual total compensation for all employees (excluding the highest-paid individual),,,,,,,,,65:1,66:1,52:1,,,,,,,,,,,,
265,,Ratio of percentage increase in annual total compensation for highest-paid individual to the median percentage increase in annual total compensation for all employees (excluding the highest-paid individual),,,,,,,,,1.29:1,9.25:1,0.37:1,,,,,,,,,,,,
268,,EMPLOYEE RELATIONS,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,2023,2022,2021,,,,,,,,,,,,
271,,Coverage of collective bargaining agreements (%),,,,,,,,,,,,,,,,,,,,,,,
272,,Group,,,,,,,,,90,91,92,,,,,,,,,,,,
273,,Australia,,,,,,,,,100,100,100,,,,,,,,,,,,
274,,New Zealand,,,,,,,,,30,32,33,,,,,,,,,,,,
275,,Fiji,,,,,,,,,100,100,100,,,,,,,,,,,,
276,,Papua New Guinea,,,,,,,,,100,100,100,,,,,,,,,,,,
