Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,"a) Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.","• a description of what they consider to be the relevant short-, medium-, and long-term time horizons, taking into consideration the useful life of the organization’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms;
• a description of the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organization; and
• a description of the process(es) used to determine which risks and opportunities could have a material financial impact on the organization.
Organizations should consider providing a description of their risks and opportunities by sector and/or geography, as appropriate.

","Banks should describe significant concentrations of credit exposure to carbon-related assets. Additionally, banks should consider disclosing their climate-related risks (transition and physical) in their lending and other financial intermediary business activities.","See our 2023 Annual Report: Section 1 – Creating value for the Environment; Section 2 – Sustainability governance and risk management

See our 2023 Climate Report: 
Page 12 - 35: Strategy
",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b) Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.","Building on recommended disclosure (a), organizations should discuss how identified climate-related issues have affected their businesses, strategy, and financial planning. 
Organizations should consider including the impact on their businesses, strategy, and financial planning in the following areas: 
• Products and services
• Supply chain and/or value chain
• Adaptation and mitigation activities
• Investment in research and development
• Operations (including types of operations and location of facilities)
• Acquisitions or divestments
• Access to capital

Organizations should describe how climate-related issues serve as an input to their financial planning process, the time period(s) used, and how these risks and opportunities are prioritized. Organizations’ disclosures should reflect a holistic picture of the interdependencies among the factors that affect their ability to create value over time. 
Organizations should describe the impact of climate-related issues on their financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities). If climate-related scenarios were used to inform the organization’s strategy and financial planning, such scenarios should be described.
Organizations that have made GHG emissions reduction commitments, operate in jurisdictions that have made such commitments, or have agreed to meet investor expectations regarding GHG emissions reductions should describe their plans for transitioning to a low-carbon economy, which could include GHG emissions targets and specific activities intended to reduce GHG emissions in their operations and value chain or to otherwise support the transition. 
",None,"See our 2023 Annual Report: Section 1 – Creating value for the Environment; Section 2 – Sustainability governance and risk management

See our 2023 Sustainability Index and Datasheet - tab Lending 

See our 2023 Climate Report: 
Page 12 - 35: Strategy",,,,,,,,,,,,,,,,,,,,,,,,
,"c) Describe the resilience of the organization’s strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario.","Organizations should describe how resilient their strategies are to climate-related risks and opportunities, taking into consideration a transition to a low-carbon economy consistent with a 2°C or lower scenario and, where relevant to the organization, scenarios consistent with increased physical climate-related risks.
Organizations should consider discussing:
• where they believe their strategies may be affected by climate-related risks and opportunities; 
• how their strategies might change to address such potential risks and opportunities;
• the potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities); and
• the climate-related scenarios and associated time horizon(s) considered. ",None,"See our 2023 Annual Report: Section 1 – Creating value for the Environment; Section 2 – Sustainability governance and risk management

See our 2023 Sustainability Index and Datasheet - tab Lending 

See our 2023 Climate Report: 
Page 28 - 38: Strategy (Supporting customers transition to net-zero)
Page 39 - 44: Risk Management
Page 62 - 85: Appendix (NZBA 2030 sector lending targets - details and methodology) ",,,,,,,,,,,,,,,,,,,,,,,,
,"RISK MANAGEMENT: Disclose how the company identifies, assesses, and manages climate-related risks. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,a) Describe the organization’s processes for identifying and assessing climate-related risks.,"Organizations should describe their risk management processes for identifying and assessing climate-related risks. An important aspect of this description is how organizations determine the relative significance of climate-related risks in relation to other risks.
Organizations should describe whether they consider existing and emerging regulatory requirements related to climate change (e.g. limits on emissions) as well as other relevant factors considered.
 Organizations should also consider disclosing the following:
• processes for assessing the potential size and scope of identified climate-related risks and
• definitions of risk terminology used or references to existing risk classification frameworks used. 

","Banks should consider characterizing their climate-related risks in the context of traditional banking industry risk categories such as credit risk, market risk, liquidity risk, and operational risk.
Banks should also consider describing any risk classification frameworks used (e.g., the Enhanced Disclosure Task Force’s framework for defining “Top and Emerging Risks”).","See our 2023 Annual Report: Section 1 – Risk management; Section 2 – Sustainability governance and risk management

See our 2023 Climate Report: 
Page 39 - 44: Risk Management
",,,,,,,,,,,,,,,,,,,,,,,,
,b) Describe the organization’s processes for managing climate-related risks.,"Organizations should describe their processes for managing climate-related risks, including how they make decisions to mitigate, transfer, accept, or control those risks. In addition, organizations should describe their processes for prioritizing climate-related risks, including how materiality determinations are made within their organizations. ",None,"See our 2023 Annual Report: Section 1 – Risk management; Section 2 – Sustainability governance and risk management

See our 2023 Climate Report: 
Page 39 - 44: Risk Management
",,,,,,,,,,,,,,,,,,,,,,,,
,"c) Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organization’s overall risk management.","Organizations should describe how their processes for identifying, assessing, and managing climate-related risks are integrated into their overall risk management. ",None,"See our 2023 Annual Report: Section 1 – Risk management; Section 2 – Sustainability governance and risk management

See our 2023 Climate Report: 
Page 39 - 44: Risk Management
",,,,,,,,,,,,,,,,,,,,,,,,
,METRICS AND TARGETS: Disclose the metrics and targets used to assess and manage relevant climate-related risks and opportunities where such information is material.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a) Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.,"Organizations should provide the key metrics used to measure and manage climate-related risks and opportunities, as well as metrics consistent with the cross-industry, climate-related metric categories.
Organizations should consider including metrics on climate-related risks associated with water, energy, land use, and waste management where relevant and applicable.
Where climate-related issues are material, organizations should consider describing whether and how related performance metrics are incorporated into remuneration policies.
Where relevant, organizations should provide their internal carbon prices as well as climate-related opportunity metrics such as revenue from products and services designed for a low-carbon economy. 
Metrics should be provided for historical periods to allow for trend analysis.
Where appropriate, organizations should consider providing forward-looking metrics for the cross-industry, climate-related metric categories, consistent with their business or strategic planning time horizons. In addition, where not apparent, organizations should provide a description of the methodologies used to calculate or estimate climate-related metrics. ","Banks should provide the metrics used to assess the impact of (transition and physical) climate-related risks on their lending and other financial intermediary business activities in the short, medium, and long term. Metrics provided may relate to credit exposure, equity and debt holdings, or trading positions, broken down by:
‒ Industry
‒ Geography
‒ Credit quality (e.g., investment grade or non-investment grade, internal rating
system)
‒ Average tenor
Banks should also provide the amount and percentage of carbon-related assets relative to total assets as well as the amount of lending and other financing connected with climate-related opportunities.","See our 2023 Annual Report: Section 1 – Creating value for the Environment; Section 2 – Sustainability governance and risk management

See our 2023 Sustainability Index and Datasheet - tabs Environment; and Lending

See our 2023 Climate Report:
Page 6 - 7: FY23 Highlights
Page 21 - 22: Strategy (Net-zero, climate resilient operations)
Page 27 - 28, 32: Strategy (Supporting customers transition to net-zero)
Page 40 - 44: Risk Management
",,,,,,,,,,,,,,,,,,,,,,,,
,"b) Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.","Organizations should provide their Scope 1 and Scope 2 GHG emissions independent of a materiality assessment, and, if appropriate, Scope 3 GHG emissions and the related risks. All organizations should consider disclosing Scope 3 GHG emissions.
GHG emissions should be calculated in line with the GHG Protocol methodology to allow for aggregation and comparability across organizations and jurisdictions. As appropriate, organizations should consider providing related, generally accepted industry-specific GHG efficiency ratios.
GHG emissions and associated metrics should be provided for historical periods to allow for trend analysis. In addition, where not apparent, organizations should provide a description of the methodologies used to calculate or estimate the metrics.",None,"See our 2023 Annual Report: Section 1 – Creating value for the Environment

See our 2023 Sustainability Index and Datasheet - tabs Environment; and Lending

See our 2023 Climate Report:
Page 22: Strategy (Net-zero, climate resilient operations)
Page 28: Strategy (Supporting customers transition to net-zero)
",,,,,,,,,,,,,,,,,,,,,,,,
,c) Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.,"Organizations should describe their key climate-related targets such as those related to GHG emissions, water usage, energy usage, etc., and in line with anticipated regulatory requirements or market constraints or other goals. Other goals may include efficiency or financial goals, financial loss tolerances, avoided GHG emissions through the entire product life cycle, or net revenue goals for products and services designed for a low-carbon economy. 
In describing their targets, organizations should consider including the following:
• whether the target is absolute or intensity based;
• time frames over which the target applies;
• base year from which progress is measured; and
• key performance indicators used to assess progress against targets.
Organizations disclosing medium-term or long-term targets should also disclose associated interim targets in aggregate or by business line, where available.
Where not apparent, organizations should provide a description of the methodologies used to calculate targets and measures. ",None,"See our 2023 Annual Report: Section 1 – Creating value for the Environment

See our 2023 Sustainability Index and Datasheet - tabs Environment; and Lending

See our 2023 Climate Report:
Page 18 - 20: Strategy (Net-zero, climate resilient operations)
Page 24 - 25, 28, 35: Strategy (Supporting customers transition to net-zero)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TCFD CROSS-INDUSTRY, CLIMATE-RELATED METRIC CATEGORIES AND EXAMPLE METRICS",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,METRIC CATEGORIES,UNIT OF MEASURE,WESTPAC RESPONSE,,,,,,,,,,,,,,,,,,,,,,,,
,CROSS-INDUSTRY METRICS,"GHG Emissions
Absolute Scope 1, Scope 2, and Scope 3;
emissions intensity",MtCO2-e or (tCO₂-e)/employee (FTE),See our 2023 Sustainability Index and Datasheet - tabs Environment ('Group GHG emissions' and ‘Location-based GHG emissions breakdown’ tables); and Lending (Estimated financed emissions; and Sector targets in line with our NZBA commitment tables),,,,,,,,,,,,,,,,,,,,,,,,
,,"Transition Risks
Amount and extent of assets or business activities vulnerable to transition risks",Amount or percentage,"See our 2023 Sustainability Index and Datasheet - tab Lending ('Group exposure by sector'; ‘Sectors that may face relatively higher growth constraints from transition risk’ and ‘Climate scenario analysis on key portfolios’ tables)

",,,,,,,,,,,,,,,,,,,,,,,,
,,"Physical Risks
Amount and extent of assets or business activities vulnerable to physical risks",Amount or percentage,See our 2023 Sustainability Index and Datasheet - tab Lending (‘Australian mortgages -Potential physical risks under different climate change scenarios’ and ‘Climate scenario analysis on key portfolios’ tables),,,,,,,,,,,,,,,,,,,,,,,,
,,"Climate-Related
Opportunities Proportion of revenue, assets, or other business activities aligned with climate-related opportunities",Amount or percentage,"See our 2023 Sustainability Index and Datasheet - tab Lending ('Group exposure by sector'; and ‘Climate change solutions exposure’ tables)

",,,,,,,,,,,,,,,,,,,,,,,,
,,"Capital Deployment
Amount of capital expenditure, financing, or investment deployed toward climate-related risks and opportunities",Reporting currency,As a bank (a services business) we are not a capital intensive business and so funds deployed to climate-related risks and opportunities for our operations is not material. Through our activities we provide significant finance towards climate-related risks and opportunities. These are described in our 2023 Climate Report.  ,,,,,,,,,,,,,,,,,,,,,,,,
,,"Internal Carbon Prices
Price on each ton of GHG emissions used internally by an
organization","Price in reporting currency, per MtCO2-e ",Westpac does not currently place a price on the carbon it uses internally.,,,,,,,,,,,,,,,,,,,,,,,,
,,"Remuneration
Proportion of executive management remuneration linked to climate considerations","Percentage, weighting, description, or amount in reporting currency",See 2023 Annual Report: Remuneration report,,,,,,,,,,,,,,,,,,,,,,,,
