Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,Unnamed: 19,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
43,,3.0,Material Topics,3-3,Management of material topics,,Single mortgage platform,,,Westpac,2023.0,"This year, Westpac rolled out its single mortgage platform, which has made the approval process simpler and faster. On average, loan applications made directly by customers are approved in six days, while broker-originated applications take slightly longer. Westpac's ongoing focus on sharpening processes is helping to improve turnaround times.",,,Data sheet,,25,,"Single mortgage platform, approval process, loan application",,8,S,,,,,,,,,,,,,,,,
44,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,"Westpac generated $21,645 million in net income in 2023.",,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
45,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Sustainable finance,,,Westpac,2023.0,"Decarbonising the economy requires material investment. It is a significant opportunity, and Westpac focuses on further building its expertise and supporting more customers with sustainable finance. Westpac supported customers with 58 sustainable finance transactions in FY23. Westpac also provided $6.5 billion in new lending to climate change solutions since 2020, 86% more than the $3.5 billion target.",,,Data sheet,,39,,"Sustainable finance, decarbonisation, climate change",,"8, 13","E, S",,,,,,,,,,,,,,,,
46,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,ESG Credit Risk Policy,,,Westpac,2023.0,"The Group ESG Credit Risk Policy forms part of Westpac's credit risk assessment process. It requires completing an ESG-related risk assessment before approving finance and periodic reviews for certain customers and transactions. Westpac's Institutional bankers, supported by ESG specialists, complete these assessments. Transactions may also be escalated to a Customer and Transaction Risk Escalation Committee (CTREC) comprising business, sustainability, and risk management executives.",,,Data sheet,,162,,"ESG Credit Risk Policy, credit risk assessment, ESG specialist",,"8, 13","E, S",,,,,,,,,,,,,,,,
47,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,,Westpac Group Plan,,,Westpac,2023.0,The Westpac Group Plan (WGP) is the Group's principal defined benefit plan and is managed and administered following the terms of its trust deed and relevant legislation in Australia. Its defined benefit liabilities are based on salary and length of membership for active members and inflation in the case of pensioners.,,,Data sheet,,284,,"Defined benefit plan, Westpac Group Plan, trust deed",,8,S,,,,,,,,,,,,,,,,
48,,201.0,Economic Performance,201-04,Financial assistance received from government,Westpac has yet to disclose this information.,,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
49,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,Westpac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,,,,NO DISCLOSURE,Westpac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,,,NO DISCLOSURE,Westpac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,,,NO DISCLOSURE,Westpac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,Westpac spent $6.3 million on local suppliers in 2023.,,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
54,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,Westpac's Risk Management Strategy applies to all people within Westpac and its subsidiaries. Each of Westpac's operations is assessed for bribery and corruption risk as part of its enterprise risk management process.,,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
55,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Anti-Bribery and Corruption Policy,,,Westpac,2023.0,"Westpac has no tolerance for any form of bribery or corruption. Westpac has an Anti-Bribery and Corruption (ABC) Policy, an ABC Standard, and bribery prevention procedures and systems. Material breaches of the ABC Policy are reported to the Board Risk Committee.",,,Data sheet,51,,,"Anti-Bribery and Corruption Policy, bribery, corruption",,16,G,,,,,,,,,,,,,,,,
56,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Financial Crime Risk Awareness training,,,Westpac,2023.0,"Westpac delivered a new Financial Crime Risk Awareness online training module, which was completed by 98% of all Group employees, aimed at continuing to build employee capability in identifying, mitigating and managing financial crime risk and exposures, financial crime red flags and Unusual Matters Reports (UMR). The training also demonstrated how to manage risk across several financial crime scenarios, which included modern slavery.",,,Data sheet,,,,"Financial Crime Risk Awareness, Financial Crime Risk, Unusual Matters Report",,16,G,,Modern Slavery Statement page 30,,,,,,,,,,,,,,
57,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,There were no cases of corruption brought against Westpac in 2023.,,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
58,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,Financial Crime Human Rights Integration Plan,,,Westpac,2023.0,"Westpac uses its Financial Crime Human Rights Integration Plan to identify and track initiatives to embed human rights (particularly modern slavery) considerations into existing financial crime risk frameworks and policies. The plan is supported by a monthly Financial Crime Human Rights working group, which is also used to share new typologies and case studies that may be used in the enhanced due diligence process.",,,Data sheet,,,,"Financial Crime Human Rights Integration Plan, human rights, modern slavery, financial crime risk",,16,G,,Modern Slavery Statement page 16,,,,,,,,,,,,,,
59,,207.0,Tax,207-01,Approach to tax,"The Board approves Westpac's tax strategy and approach and aligns it with the Group's commercial, reputational, and business practices and its commitment to corporate responsibility.",,,,Westpac,2023.0,,,,Data sheet,,,,,,,,,Tax Transparency Report 2022 page 3,,,,,,,,,,,,,,
60,,207.0,Tax,207-02,"Tax governance, control, and risk management",,Tax Risk Management Framework,,,Westpac,2023.0,"Westpac's tax governance includes the Tax Risk Management Framework and accompanying tax policies. The Board Audit Committee approves the framework and covers financial, regulatory and reputational risks. The framework uses a Three Lines of Defence approach to risk management, provides a mechanism for escalating material tax matters and ensures that material tax risk is reported to the Board Audit Committee.",,,Data sheet,,,,"Tax Risk Management Framework, tax governance, risk management",,16,G,,Tax Transparency Report 2022 page 3,,,,,,,,,,,,,,
61,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,"Under the Australian Taxation Office's (ATO's) Justified Trust program, Westpac received high assurance over its income tax affairs. This high assurance rating means the ATO is confident that Westpac paid the right income tax for the 2017 and 2018 income years.",,,,Westpac,2023.0,,,,Data sheet,,,,,,,,,Tax Transparency Report 2022 page 3,,,,,,,,,,,,,,
62,,207.0,Tax,207-04,Country-by-country reporting,"As appropriate, Westpac may consider enhancing the disclosures for this topic in the coming years. It includes any proposed legislative changes to Public country-by-country reporting that may apply.",,,NO DISCLOSURE,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
63,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,Westpac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,Westpac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,Westpac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
