Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
52,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Visage 7,,,Pro Medicus,2023.0,"It is a healthcare imaging software that provides radiologists and clinicians with advanced visualisation capability for rapidly viewing 2-D, 3-D and 4-D medical images. This Picture Archive and Communication System (PACS)/Digital Imaging software is sold directly to original equipment manufacturers (OEM), training, installation, professional services, and support products.\t",,,,,11,,"Healthcare Imaging, Radiologists, Software",3.0,S,10.0,,,,,,,,,,,,,,,,
53,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Visage CloudPACSÃ¢ÂÂ¢,,,Pro Medicus,2023.0,"The Company's cloud-native solution, Visage CloudPACSÃ¢ÂÂ¢, enables customers to avail themselves of the scalability and security of public cloud infrastructure Ã¢ÂÂ a trend gaining significant momentum in the healthcare industry.",,,,,11,,"Cloud Solution, Scalability, Security",3.0,S,10.0,,,,,,,,,,,,,,,,
54,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Treasury Policy,,,Pro Medicus,2023.0,"The treasury function, co-ordinated within Pro Medicus Limited, is limited to maximising return on surplus funds, subject to conservative investment risk exposure, and managing currency risk. The treasury function operates within policies set by the Board, which ensures that management's actions align with Board policy.",,,,,5,,"Treasury Function, Surplus Funds, Financial",8.0,G,10.0,,,,,,,,,,,,,,,,
55,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,"The threat of new entrants to the market and the impact on the revenue base is managed and mitigated through long-term contracts, continuous product development, proactive customer engagement to determine needs and requirements and offering additional products to customers to add value.",,,,Pro Medicus,2023.0,,,,,,17,,,,,,,,,,,,,,,,,,,,,
56,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,"The threat of losing critical customers due to non-performance, non-compliance with Service Level Agreements (SLAs) or competition is managed and mitigated through regular reporting on crucial client satisfaction and assisted by automation of performance analysis of customer software.",,,,Pro Medicus,2023.0,,,,,,17,,,,,,,,,,,,,,,,,,,,,
57,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,"Our suppliers are located in the same country and regions as our offices, and we generally only go within these regions for supplier requirements.",,,,Pro Medicus,2023.0,,,,,,,3,,,,,Modern slavery statement,,,,,,,,,,,,,,,
58,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,"Your work includes actual and potential clients, customers, suppliers, distributors, business contacts, agents, advisers, government and public bodies, including their advisors, representatives and officials, politicians and political parties.",,,,Pro Medicus,2023.0,,,,,,,1,,,,,Anti-bribery and corruption policy,,,,,,,,,,,,,,,
59,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Anti-Bribery and Corruption Policy,,,Pro Medicus,2023.0,"We are committed to directors, officers, employees, contractors, and consultants conducting themselves according to the highest standards of ethical conduct, including zero tolerance for bribery and corruption. To this end, we have adopted an Anti-Bribery and Corruption Policy, which is part of our risk management framework and underpinned by our mission. The policy applies to all our operations worldwide and employees (permanent, fixed term or temporary), contractors, consultants, secondees and directors.",,,,,17,,"Ethical Conduct, Anti-Bribery Policy, Standard",16.0,S,16.0,,,,,,,,,,,,,,,,
60,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,207.0,Tax,207-01,Approach to tax,Pro Medicus Limited and its wholly-owned Australian-controlled entities implemented the tax consolidation legislation as of 1 July 2009. Members of the tax consolidated group have entered into a tax funding agreement.,,,,Pro Medicus,2023.0,,,,,,53,,,,,,,,,,,,,,,,,,,,,
63,,207.0,Tax,207-02,"Tax governance, control, and risk management","As a result of the ATO's program of routine and regular tax audits, the Group anticipates that ATO audits may occur in the future. The Group is similarly subject to routine tax audits in certain overseas jurisdictions.",,,,Pro Medicus,2023.0,,,,,,72,,,,,,,,,,,,,,,,,,,,,
64,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,302.0,Energy,302-01,Energy consumption within the organization,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,22,,"Energy, Efficiency, Renewable Energy,",7.0,E,7.0,,,,,,,,,,,,,,,,
70,,302.0,Energy,302-02,Energy consumption outside of the organization,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,302.0,Energy,302-03,Energy intensity,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,302.0,Energy,302-04,Reduction of energy consumption,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
