Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
131,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,Service and Supplier Contracts,,,Harvey Norman,2023.0,"The Consolidated Entity continues incorporating provisions in service agreements, supply agreements, and trading terms with suppliers to address modern slavery risks. It is an essential step in providing members of the Consolidated Entity contractual rights to take action or terminate agreements with service providers or suppliers who are found to be engaged (directly or indirectly) in modern slavery practices.\t",,,,,,,10,"Modern Slavery Risks, Service Agreements, Supply Agreements","8, 16",S,,,,,,,,,,,,,,,,
132,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Legacy,,,Harvey Norman,2023.0,"In 2023, Legacy is celebrating its centenary with The Legacy Centenary Torch Relay, with Harvey NormanÃÂ® coming on Board as a 'Leading Light' sponsor, providing funding and technology equipment for the journey. Beginning in Pozieres, France, in the lead-up to ANZAC Day in 2023, the Centenary Torch travelled worldwide, stopping at all 45 Legacy Clubs worldwide.",,,,,63,,,"Legacy Centenary Torch Relay, Centenary Celebration, Leading Light Sponsor",17,S,,,,,,,,,,,,,,,,
133,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Sydney Kings and Sydney Flames,,,Harvey Norman,2023.0,"In FY24, Harvey NormanÃÂ® will activate a new sponsorship with the Sydney Kings and Sydney Flames. The aim is to elevate women's basketball, foster community engagement and expand pathways through training, education, employment, and mentorship.",,,,,64,,,"Sponsorship, Women's Basketball, Community Engagement",17,S,,,,,,,,,,,,,,,,
134,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Surfing Australia Ã¢ÂÂ Rising 7 Camp,,,Harvey Norman,2023.0,"Through the Harvey NormanÃÂ® sponsorship of Surfing Australia, seven athletes were chosen as representatives of the top female talent of their age group. The objective of this camp was to help high-performance females in this age group retain themselves in the pathway as they transition through an often challenging period.",,,,,65,,,"Sponsorship, Surfing Australia, Female Athletes",17,S,,,,,,,,,,,,,,,,
135,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,GIANTS,,,Harvey Norman,2023.0,"Harvey NormanÃÂ® is proud to continue its sponsorship with the GIANTS women's and men's football programs, focusing on supporting the community and fostering diversity through grassroots clubs. With shared Western Sydney origins and expected values of inclusion and integrity, Harvey NormanÃÂ® and the GIANTS are working together to impact Greater Western Sydney positively.",,,,,65,,,"Sponsorship, GIANTS, Community Support",17,S,,,,,,,,,,,,,,,,
136,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Spark Futbol,,,Harvey Norman,2023.0,"For the second year, Harvey NormanÃÂ® has supported Spark Futbol as part of the 'Partnership 4 Purpose' Program by donating registration fees, providing financial relief for players and parents, and assisting with program development costs. The 2023 Academy Player Development Accelerator program allows players to reach their long-term potential and accelerate development as individuals and groups.",,,,,65,,,"Spark Futbol, Program Development, Community Support",17,S,,,,,,,,,,,,,,,,
137,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,414.0,Supplier Social Assessment,414-01,New suppliers that were screened using social criteria,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,414.0,Supplier Social Assessment,414-02,Negative social impacts in the supply chain and actions taken,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,415.0,Public Policy,415-01,Political contributions,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,416.0,Customer Health and Safety,416-01,Assessment of the health and safety impacts of product and service categories,,Product safety approach,,,Harvey Norman,2023.0,"Most Harvey NormanÃÂ® complexes and company-operated stores operate with recycling facilities for product packaging. Suppliers to Harvey NormanÃÂ® franchisees and company-operated stores are changing their product packaging, targeting the removal of plastics and expanded polystyrene from product packaging.",,,,,71,,,"Recycling Facilities, Packaging, Suppliers, Product Packaging",16,S,,,,,,,,,,,,,,,,
142,,416.0,Customer Health and Safety,416-02,Incidents of non-compliance concerning the health and safety impacts of products and services,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,417.0,Marketing and Labeling,417-01,Requirements for product and service information and labeling,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,417.0,Marketing and Labeling,417-02,Incidents of non-compliance concerning product and service information and labeling,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,417.0,Marketing and Labeling,417-03,Incidents of non-compliance concerning marketing communications,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,Global data security approach,,,Harvey Norman,2023.0,"Given the exponential growth in cybercrime and the advent of more rigorous privacy regimes such as the General Data Protection Regulation, having and maintaining an effective and efficient Information Security/Cyber framework is vital. In FY23, the global data security controls of the consolidated entity continued to be improved as part of an ongoing global security strategy.",,,,,61,,,"Cybercrime, Privacy Regimes, General Data Protection Regulation, Information Security",16,S,,,,,,,,,,,,,,,,
147,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,Cyber security risk management framework,,,Harvey Norman,2023.0,"The Company has implemented and continues to improve and enhance a cyber security risk management framework and security controls to protect against any cyber security risks, including Ransomware and PII attacks. The Company has implemented business continuity plans and disaster recovery plans to respond to cyber security incidents and mitigate financial and reputational damage from any such incidents.",,,,,27,,,"Cyber Security Risk Management, Security Controls, Ransomware, PII Attacks",16,"S, G",,,,,,,,,,,,,,,,
148,,419.0,Socioeconomic Compliance,419-01,Non-compliance with laws and regulations in the social and economical area,,Compliance by franchisees with franchise agreements,,,Harvey Norman,2023.0,"This risk relates to franchisees acting in breach of the terms and conditions of their respective franchise agreements. The consequences of non-compliance may include damage to the brand, fines and other sanctions from regulators, and a reduction in franchise fees received from franchisees. The franchisor continually monitors and evaluates each franchisee's financial and operating performance to assess compliance with executed franchise agreements.\t",,,,,27,,,"Franchisee Compliance, Terms and Conditions, Franchise Agreements",16,"S, G",,,,,,,,,,,,,,,,
151,,,Total disclosure,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,Total no of reported disclosure over maximum disclosure (source:GRI index),60/122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,Average completion rate,0.491803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
