Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
53,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,The Harvey Norman Omni Channel,,,Harvey Norman,2023.0,The online operations of franchisees in Australia and the company-operated online operations overseas continue to grow. The digital platform provides new opportunities for growth and new ways to embrace and engage with customers. The Harvey Norman Omni Channel Strategy sets the Harvey Norman brand apart from other online and digital competitors.,,,,,27,,,"Omni Channel, digital, online platform","8, 9",S,,,,,,,,,,,,,,,,
54,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,,Anti-Bribery and Corruption Policy,,,Harvey Norman,2023.0,"The Company is committed to complying with the law and ensuring that it operates by the values of the Company (as predominantly listed in the Statement of Values). The Company has an Anti-Bribery and Corruption Policy, which is published on the Governance page of the website. The Anti-Bribery and Corruption Policy is designed to set out a framework to prevent, detect and report bribery, corruption and related improper or illegal conduct, and the responsibility of the Company (and representatives of the Company) in observing the Company's zero tolerance to such conduct.",,,,,,9,,"Anti-Bribery and Corruption Policy, Compliance, Law",16,G,,,,,,,,,,,,,,,,
56,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,207.0,Tax,207-01,Approach to tax,NHL is the head entity of the tax consolidated group. Members of the group have entered into a tax-sharing agreement that provides for allocating income tax liabilities between the entities should the head entity default on its tax payment obligations.,,,,Harvey Norman,2023.0,,,,,,98,,,,,,,,,,,,,,,,,,,,,
61,,207.0,Tax,207-02,"Tax governance, control, and risk management","Tax governance, policies and documentation of tax reviews are 5% of the 30%.",,,,Harvey Norman,2023.0,,,,,,40,,,,,,,,,,,,,,,,,,,,,
62,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,Tax Sharing Agreement,,,Harvey Norman,2023.0,HNHL is the head entity of the tax consolidated group. Members of the group have entered into a tax-sharing agreement that provides for allocating income tax liabilities between the entities should the head entity default on its tax payment obligations.,,,,,98,,,"Tax sharing agreement, tax, agreement","8, 9",G,,,,,,,,,,,,,,,,
63,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,301.0,Materials,301-02,Recycled input materials used,"Franchisee businesses also recycle polystyrene collected from the packaging of consumer goods. In FY23, independent franchisees in Australia recycled more than 4,000 tonnes of cardboard and paper and more than 11 tonnes of soft plastics.",,,,Harvey Norman,2023.0,,,,,,68,,,,,,,,,,,,,,,,,,,,,
66,,301.0,Materials,301-02,Recycled input materials used,,Recycling facilities,,,Harvey Norman,2023.0,"Most Harvey NormanÃÂ® complexes and company-operated stores operate with recycling facilities for product packaging. Suppliers to Harvey NormanÃÂ® franchisees and company-operated stores are changing their product packaging, targeting the removal of plastics and expanded polystyrene from product packaging.",,,,,67,,,"Recycle, packaging, polystyrene","9, 13, 15",E,,,,,,,,,,,,,,,,
67,,301.0,Materials,301-02,Recycled input materials used,,Waste Electrical and Electronic Equipment,,,Harvey Norman,2023.0,"HVN's Irish business participates in the Waste Electrical and Electronic Equipment (WEEE) scheme, recycling kitchen appliances, including fridges, washing machines, dishwashers, cookers, etc., as well as smaller items like kettles, toasters, blenders, remote controls, batteries or electric toothbrushes, which allows valuable resources including plastics, metals and glass to be recovered for further use in manufacturing, and ensures hazardous waste is disposed of safely.",,,,,68,,,"Waste Electrical and Electronic Equipment, WEEE, waste","9, 13, 15",E,,,,,,,,,,,,,,,,
68,,301.0,Materials,301-03,Reclaimed products and their packaging materials,,Removal of plastics,,,Harvey Norman,2023.0,"Suppliers to Harvey Norman franchisees and company-operated stores are changing their product packaging, targeting the removal of plastics and expanded polystyrene from product packaging. Sourcing activities for packaging products are guided in the Pacific region by the Sustainable Packaging Guidelines published by the Australian Packaging Covenant.",,,,,71,,,"Packaging, plastic, guideline\t","9, 13, 15",E,,,,,,,,,,,,,,,,
69,,302.0,Energy,302-01,Energy consumption within the organization,"HVN energy consumption has risen by 13% for Company-owned operations, primarily driven by increases in Malaysia and Ireland.",,,,Harvey Norman,2023.0,,,,,,70,,,,,,,,,,,,,,,,,,,,,
70,,302.0,Energy,302-02,Energy consumption outside of the organization,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,302.0,Energy,302-03,Energy intensity,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,302.0,Energy,302-04,Reduction of energy consumption,The Slovenian business has demonstrated a reduction in consumption (12%) from installing solar arrays on four (soon to be five) sites.,,,,Harvey Norman,2023.0,,,,,,70,,,,,,,,,,,,,,,,,,,,,
73,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,Waste takeback programs,,,Harvey Norman,2023.0,The warehouses supporting these sites also play an essential role in controlling the environmental footprint. That can be as simple as the waste takeback programs operated by sites for used consumer goods that are included in recycling programs through efficiently planning delivery schedules to minimise fuel usage in delivery vehicles.,,,,,67,,,"Waste takeback, program, recycle","9, 13, 15",E,,,,,,,,,,,,,,,,
74,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
