Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
15,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,"The Board delegates responsibility for risk management's operational effectiveness and efficiency to the CEO and Executive Directors. It is the role of Senior Executives of the Company to support the CEO and Executive Directors in the design and implementation of the risk management framework of the Company, implement strategy and operations and ensure that the Company operates within the risk appetite set by the Board.",,,,Harvey Norman,2023.0,,,,,,,4,,,,,,,,,,,,,,,,,,,,
16,,2.0,General Disclosures,2-14,Role of the highest governance body in sustainability reporting,,Executive Sustainability Committee,,,Harvey Norman,2023.0,"Yoogalu Pty Limited (Yoogalu), a controlled entity of the Company, has established an Executive Sustainability Committee, which oversees the sustainability framework of each relevant member of the consolidated entity. Each relevant member of the consolidated entity has established a sustainability framework and is responsible for monitoring and measuring its performance against that framework.",,,,,58,,,Executive Sustainability Committee\nSustainability Framework\nPerformance Measurement,16,G,,,,,,,,,,,,,,,,
17,,2.0,General Disclosures,2-15,Conflict of interest,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,2.0,General Disclosures,2-16,Communication of critical concerns,The Company is committed to fostering an honest and supportive working environment and maintaining a corporate compliance culture. Essential to this commitment is the disclosure of wrongdoing and the protection of legitimate Eligible Whistleblowers. The Company encourages Employees and other Eligible Whistleblowers to speak up when they see something wrong.,,,,Harvey Norman,2023.0,,,,,,,,,,,,,Whistleblower policy,,,,,,,,,,,,,,
19,,2.0,General Disclosures,2-17,Collective knowledge of the highest governance body,,Board Skills Review,,,Harvey Norman,2023.0,"The Nomination Committee reviews the mix of skills of the Board and has processes in place to identify gaps in skills, knowledge and experience. Opportunities are made available to each Director to undertake appropriate professional development and develop and maintain the skills and knowledge required to effectively perform their role as a Director of the Company.",,,,,,8,,"Nomination Committee, Board Skills Review, Professional Development",16,G,,,,,,,,,,,,,,,,
20,,2.0,General Disclosures,2-18,Evaluation of the performance of the highest governance body,,Evaluation Performance of Executive Directors,,,Harvey Norman,2023.0,"The performance of each executive Director and the executive director team was assessed following the end of the 2023 year as part of the annual Participant Performance Review by the Remuneration Committee. This year, the appraisal focused on ensuring that executive remuneration for 2023 was fair, reasonable, and in line with performance.",,,,,34,,,"Performance Assessment, Performance Review, Executive Remuneration Evaluation",16,G,,,,,,,,,,,,,,,,
21,,2.0,General Disclosures,2-18,Evaluation of the performance of the highest governance body,"The Company's Nomination Committee has a process for periodically evaluating the performance of the Board, each Committee of the Board and individual Directors. An Independent Non-Executive Director is responsible for assessing the performance of the Chair.",,,,Harvey Norman,2023.0,,,,,,,6,,,,,,,,,,,,,,,,,,,,
22,,2.0,General Disclosures,2-18,Evaluation of the performance of the highest governance body,A performance evaluation of Senior Executives is undertaken at least annually as part of the overall management of employees of the Company.,,,,Harvey Norman,2023.0,,,,,,,6,,,,,,,,,,,,,,,,,,,,
23,,2.0,General Disclosures,2-19,Remuneration policies,,Remuneration strategy,,,Harvey Norman,2023.0,"The executive remuneration strategy in 2023 is designed to attract, motivate and retain high-performing individuals and align the interests of executives with shareholders. The relevant factors in determining the suitability of a board member, including the executive directors, are integrity, business savvy, an owner-oriented attitude and a deep, genuine interest in the business of each member of the consolidated entity.",,,,,36,,,"Executive Remuneration Strategy, High-performing Individuals, Board Member Suitability",16,G,,,,,,,,,,,,,,,,
24,,2.0,General Disclosures,2-20,Process to determine remuneration,,Remuneration Approval Process,,,Harvey Norman,2023.0,"The Board approves the remuneration arrangements of the CEO and executives and all awards made under the Company's long-term incentive plans, following recommendations from, and specific determinations by, the Remuneration Committee. The Board sets the aggregate remuneration of NEDs, subject to shareholder approval of the NED remuneration cap.",,,,,38,,,"Remuneration Arrangements, Long-Term Incentive Plans, Remuneration Committee",16,G,,,,,,,,,,,,,,,,
25,,2.0,General Disclosures,2-21,Annual total compensation ratio,The ratio of total compensation of key management personnel for the highest-paid individual to median annual total compensation was 37.5%.,,,,Harvey Norman,2023.0,,,,,,52,,,,,,,,,,,,,,,,,,,,,
26,,2.0,General Disclosures,2-22,Statement on sustainable development strategy,,Health and Safety Strategy,,,Harvey Norman,2023.0,"HVN cares about our people and the communities that HVN serve worldwide. HVN continually strives to learn, improve and positively influence their physical and psychological health and safety. During FY23, HVN continued to work towards this vision by enhancing our Health and Safety Framework and 2022-2025 Health and Safety Strategy under the four pillars of Leadership, Governance, People & Culture, and Risk Management.",,,,,61,,,"Health and Safety Framework\nHealth and Safety Strategy, Framework","3, 8, 9","E, S, G",,,,,,,,,,,,,,,,
27,,2.0,General Disclosures,2-23,Policy commitments,,Statement of Value,,,Harvey Norman,2023.0,"HVN's commitment to acting with integrity and behaving responsibly is at the core of our Statement of Values. It extends beyond our business and shapes how we interact with other companies, including suppliers.\t",,,,,71,,,"Statement of value, policy, commitment",16,G,,,,,,,,,,,,,,,,
28,,2.0,General Disclosures,2-24,Embedding policy commitments,,Capital Management Policy,,,Harvey Norman,2023.0,"The consolidated entity's capital management policy objectives are to create long-term sustainable value for shareholders, maintain optimal returns to shareholders and benefits to other stakeholders, source the lowest cost available capital, and prevent the adverse outcomes that can result from short-term decision-making.",,,,,137,,,"Capital management policy, policy, stakeholder",16,G,,,,,,,,,,,,,,,,
29,,2.0,General Disclosures,2-25,Processes to remediate negative impacts,,Modern Slavery Policy,,,Harvey Norman,2023.0,"The Consolidated Entity has a Modern Slavery Policy, which provides the foundation for identifying, assessing, addressing, and mitigating modern slavery risks. Our other policies, protocols and procedures also supplement the Modern Slavery Policy. The Modern Slavery Policy is reviewed annually, and suppliers and stakeholders are updated on relevant changes.",,,,,,,10,"Modern Slavery Policy, Risk Mitigation, Annual Review","3, 16","S, G",,Modern Slavery Statement,,,,,,,,,,,,,,
30,,2.0,General Disclosures,2-26,Mechanisms for seeking advice and raising concern,,Whistleblower Protection Policy\n,,,Harvey Norman,2023.0,The Company is committed to fostering an honest and supportive working environment and maintaining a corporate compliance culture. Essential to this commitment is the disclosure of wrongdoing and the protection of legitimate Eligible Whistleblowers. The Company encourages Employees and other Eligible Whistleblowers to speak up when they see something wrong.,,,,,,9,,"Whistleblower Protection Policy, Corporate Compliance Culture, Whistleblower Protection",16,"S, G",,,,,,,,,,,,,,,,
31,,2.0,General Disclosures,2-27,Compliance with laws and regulations,,Modern slavery compliance,,,Harvey Norman,2023.0,"In addition, relevant controlled entities conducted their modern slavery compliance reviews with suppliers, including engaging with suppliers about the recognition of modern slavery issues and obligations of suppliers within supply chains.",,,,,71,,,"Modern slavery compliance, compliance, laws",16,G,,,,,,,,,,,,,,,,
32,,2.0,General Disclosures,2-27,Compliance with laws and regulations,,Statement of Compliance Accounting Standards,,,Harvey Norman,2023.0,"The financial report is a general-purpose financial report prepared by the requirements of the Corporations Act 2001, Australian Accounting Standards and Interpretations, and complies with other law provisions. The financial report complies with Australian Accounting Standards, as issued by the Australian Accounting Standards Board, and International Financial Reporting Standards (IFRS), as issued by the International Accounting Standards Board.",,,,,87,,,"Compliance, accounting standard, IFRS",16,G,,,,,,,,,,,,,,,,
33,,2.0,General Disclosures,2-27,Compliance with laws and regulations,,Compliance Framework,,,Harvey Norman,2023.0,"HVN establishes a compliance framework for Australian franchised complexes, wholly-owned subsidiaries, and overseas company-operated stores. HVN has achieved a 100 per cent compliance framework improvement.",,,,,44,,,"Compliance Framework, compliance, framework",16,G,,,,,,,,,,,,,,,,
34,,2.0,General Disclosures,2-28,Membership associations,"To assist the consolidated entity in obtaining advice and providing influence in areas relevant to the operation of the places, Harvey NormanÃÂ® is a member of the following organisations and associations to support our commitment to environmental and social responsibility. These include the Energy Users Association of Australia, the National Retailers Association, the Australian Bedding Stewardship Council (founding member and Board representation), and the Consumer Electronics Association.",,,,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Engagement with suppliers on product sustainability,,,Harvey Norman,2023.0,"Furniture and bedding products sold by company-owned stores in New Zealand and franchisees in Australia are subject to an external quality assurance program. Some suppliers are also now including recycled textiles as part of their product offering, and these claims are also tested by the quality assurance process.",,,,,71,,,"Engagement, stakeholder, supplier, sustainability","9, 17","E, S, G",,,,,,,,,,,,,,,,
36,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Good360 Australia,,,Harvey Norman,2023.0,The past 12 months have seen Australian communities begin the long recovery from floods and the COVID-19 pandemic directly into the cost-of-living crisis. Harvey NormanÃÂ® has continued to sponsor Good360 Australia and its national network of charities and disadvantaged schools.,,,,,63,,,"Good360 Austalia, community, pandemic","8, 9",S,,,,,,,,,,,,,,,,
37,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Women in Sport,,,Harvey Norman,2023.0,Members of the consolidated entity have invested in women's sports sponsorships throughout FY23. Aim to bolster engagement with local communities to continue to enhance and promote the brands.,,,,,62,,,"Sponsorships, engagement, local communities","8, 9",S,,,,,,,,,,,,,,,,
