Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3
53,,2-16 Communication of critical concerns,"The Board, Annual Report 2022-23, pages 48-50",
54,,2-17 Collective knowledge of the highest governance body,"2023 Board Skills Matrix, Annual Report 2022-23, pages 46-47",
55,,,"Director induction and education, Annual Report 2022-23, page 48",
56,,2-18 Evaluation of the performance of the highest governance body,"Board performance evaluation, Annual Report 2022-23, page 48",
57,,2-19 Remuneration policies,"Executive remuneration overview, Annual Report 2022-23, page 73",
58,,,"FY23 executive remuneration structure, Annual Report 2022-23, pages 77-79",
59,,2-20 Process to determine remuneration,"Remuneration governance, Annual Report 2022-23, page 76",
60,,"4. Strategy, policies and practices",,
61,,2-22 Statement on sustainable development strategy,"Message from our Chairman, Annual Report 2022-23, pages 8-9",
62,,2-23 Policy commitments,"Responsible Investment Policy, pages 1-2",
63,,,Sustainable Insurance Policy,
64,,2-24 Embedding policy commitments,Responsible Investment Policy,
65,,,Sustainable Insurance Policy,
66,,,"Suncorp's Code of Conduct, page 6",
67,,2-25 Processes to remediate negative impacts,"Responsible Investment Policy, pages 5-6",
68,,,Sustainable Insurance Policy,
69,,2-26 Mechanisms for seeking advice and raising concerns,"Suncorp's Code of Conduct, page 6",
70,,,"Whistleblower Policy, pages 2-3",
71,,2-27 Compliance with laws and regulations,"Contingent liabilities, Annual Report 2022-23, pages 167-168",
72,,2-28 Membership associations,Suncorp's commitments and frameworks,
73,,5. Stakeholder engagement,,
74,,2-29 Approach to stakeholder engagement,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
75,,2-30 Collective bargaining agreements,"People, Employees, FY23 Sustainability Data Pack",
76,Material Topics,,,
77,GRI 3: Material Topics 2021,3-1 Process to determine material topics,"Understanding our most material topics, Annual Report 2022-23, pages 22-23",
78,,3-2 List of material topics,"Understanding our most material topics, Annual Report 2022-23, pages 22-23",
79,Accessibility and affordability,,,
80,GRI 3: Material Topics 2021,3-3 Management of material topics,"Our operating environment, Annual Report 2022-23, pages 18-19",
81,,,Financial Inclusion Action Plan 2022-25,
82,,,"Customer, Financial inclusion & resilience, FY23 Sustainability Data Pack",
83,,,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
84,,,"Our customers, Annual Report 2022-23, pages 24-26",
85,GRI G4 Sector Supplement,FS14 Initiatives to improve access to financial services for disadvantaged people,"Financial Inclusion Action Plan 2022-25, pages 14-23",
