Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Employee engagement,"Engagement is a measure of how committed to and enthusiastic employees are about their work and the organisation.

Scoring is represented as an average score between 0 and 10.",Reporting period: as at 30 June 2023,,"Includes:
̶  All Australian and New Zealand Employees. 
̶  Full-time, part-time, and casual employees (including those on extended leave), as well as fixed and max term contractors are included.","Employee engagement is measured by Workday Peakon Employee Voice, a product of Workday, an independent company and a separate entity to Suncorp, and is scored out of 10.0.",Engagement scores are captured via a survey with a four week rolling result which is issued by an online integrated platform supported by Workday (external provider) and internally called ‘The Loop’.,,,,,
,Gender Pay Gap,"The difference in average base salary between men and women expressed as a percentage of men's base salary, for Australian and New Zealand employees.
The formula is defined as (Average Male Base Salary - Average Female Base Salary) / Average Male Base Salary",Reporting period: as at 30 June 2023 ,̶  Employee base salary,"Includes: 
̶  All active Australian and New Zealand permanent employees including those on extended absence

Excludes: 
̶  Directors
̶  Contractors and external workers
̶  Pay Band L6 (Group CEO)
̶  Employees not in M or F gender
̶  Employees with zero or null base salary",Aligned with the Workplace Gender Equality Agency (WGEA) deﬁnition,"̶  OPS
̶  Datapay",,"̶  Adheres to ATO Super Cap rules (Australia), and adheres to NZD to AUD currency conversion at 0.9 rate.
̶̶̶  Reduce gender pay gap by 5 percentage points by FY25 target is from a FY20 baseline.",,,
,Mature age diversity rate,"Percentage of mature age employees working at Suncorp. Percentage of employees at the end of the period  who are of mature age (55 years old and above). 

End of period mature age employee headcount / Total end of period headcount * 100.   Note the rate is calculated at the end of the reporting period not as an average over the reporting period. ",Reporting period: as at 30 June 2023,"̶  Employee headcount
̶̶̶  Age group","Includes: 
̶  Australian and New Zealand employees.",,̶  Loop engagement & feedback survey,,,,,
,Total Workforce Diversity,"The percentage of the total workforce identifed as women, men and any. 

Women% = The headcount of 'Female' plus any female on Extended Absence, divided by the headcount of all gender (Female, Male, No Gender Defined) plus all gender (Female, Male, No Gender Defined)  on extended absence, expressed as a percentage.  

Men% = The headcount of 'Male' plus any male on Extended Absence, divided by the headcount of all gender (Female, Male, No Gender Defined) plus all gender (Female, Male, No Gender Defined)  on extended absence, expressed as a percentage.   

Any% = The headcount of 'No Gender Defined' plus any 'No Gender Defined' on Extended Absence, divided by the headcount of all gender (Female, Male, No Gender Defined) plus all gender (Female, Male, No Gender Defined)  on extended absence, expressed as a percentage. ",Reporting period: as at 30 June 2023, ̶  Employee headcount plus employees on extended absence,"̶  Australia and New Zealand
̶  External workers excluded",,"̶  OPS
̶  Datapay",,"‘Any’ as expressed in the target ‘40 women:40 men:20 any’ includes a tolerance of either men or women or any other genders in the 20%.

An employee is considered to be on Extended Absence when the duration of leave is greater than 14 consecutive calendar days (depending on leave type).",,,
,Women on the Board,"The percentage of women on the board.
Count the number of women on the board, divided by the total number of people on the board.  ",Reporting period: as at 30 June 2023,,̶  Suncorp Group Limited Board,,,,,,,
,Women in senior leadership,"The percentage of women in Senior Leader roles.
It is calculated as the headcount of Women in Senior Leadership (WSL) plus any WSL on Extended Absence, divided by the headcount of all senior leaders at Suncorp plus any senior leaders on extended absence, expressed as a percentage. ",Reporting period: as at 30 June 2023,̶  Employee headcount plus employees on extended absence,"̶  Australia and New Zealand
̶  Contractors in senior leader roles are excluded",,,,An employee is considered to be on Extended Absence when the duration of leave is greater than 14 consecutive calendar days (depending on leave type).,,,
,Greenhouse gas emissions,Suncorp currently measures Group  greenhouse gas (GHG) emissions associated with our controlled operations. Financed emissions are not currently being reported but in measurement is underway in FY23.,GHG emissions are measured across the reporting financial year for Suncorp Australia and Suncorp New Zealand.,"̶̶  Absolute Scope 1, Scope 2 location-based, Scope 2 market-based and Scope 3 GHG emissions in tCO2-e.",̶  100% of Scope 1 and Scope 2. Partial coverage for Scope 3 with a view for 100% coverage in FY23 where methodology and data allows.,Scope 1: GHG Protocol Corporate Standard,"̶ Stationary and Transport fuels (KL)
̶̶  Electricity (MWh)
̶  Waste generated in operations (t)
̶  Business Flights (km travelled)
̶  Other Business travel (including taxis, car hire, hotel stays and employee owned vehicles used for business purposes)
̶  Purchased Paper (kg)
̶  Fuel and energy related activities (KL)
̶  Working from home (FTE, kWh, GJ, occupancy)
̶  Employee commuting (FTE, occupancy)","Measuring our Scope 3 Financed emissions and setting a baseline is a priority for the Group. We have started measurement across all scopes and emission categories where data and methodologies allow.

To help in the setting of a global emissions accounting methodology for underwriting, Suncorp Group has joined the Partnership of Carbon Accounting Financials (PCAF). Over the coming year, we will contribute to the public consultation on PCAF’s technical guidance for the accounting and reporting of financed emissions for underwriting.",,,,
,,,,,,Scope 2 location-based: uses National Greenhouse Gas Accounts (NGA) Factors which are revised each year,,,,,,
,,,,,,Scope 2 market-based: applies the state NGA factor to the non-renewable electricity. ,,,,,,
,,,,,,Scope 3: GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,,,,,,
,Water consumption,Water consumption data is collected quarterly and is sourced from building water loggers and landlords. During Calendar Year 2022-2023 Suncorp installed water loggers at 24 of its properties. Suncorp now has 34 locations with water meters already installed and another 3 where the landlord supplies water meter readings.," ̶  Water consumption data is sourced from sites where water loggers have been installed. For sites where water data is not available, water consumption is extrapolated based on the equivalent property category of metered sites.
̶̶  Water does not have GHG emissions associated with it.
̶  Water consumption is measured and subsequently extrapolated for across the reporting financial year.
̶  Captured for Australia only","̶  For sites where water data is available, water consumption is measured in kL.
̶  For sites where water data is not available, the average kL/NLA (m²)/month for each site is calculated based on the equivalent property category of metered sites. Using the water data received, the Water Intensity Unit (WIU) factor is calculated each quarter by property type and NLA.","̶  24 sites currently have water loggers installed (4 are still to be connected to an online monitoring portal). All industrial sites have water loggers installed.
̶  30 water meters have been installed at Suncorp sites. Four of the 30 water meters installed have not had data monitoring setup (an ongoing task for C&W Sustainability and facilities management). ",Water does not have GHG emissions and thus no standard is required.,̶  Water loggers and landlords. Extrapolated water data provided by C&W Sustainability. ,"The budget and locations of any future water meter installations are yet to be decided (as of May 2023). 
The lack of actual water data for roughly 100 sites, a significant portion of extrapolated water makes the portfolio total unreliable. This is still best practice method for water reporting.",,,,
,Sensitive Sector Progress - Fossil Fuel Phase out (Insurance Underwriting),"Phase out thermal coal extraction and electricity generation by 2025. 

Phase out oil & gas exploration & production by 2025","Inclusions: Suncorp will phase out of any underwriting in thermal coal by 2025. This includes mining companies 'principally' involved in the extraction of thermal coal, as well as electricity generation companies whose business is clearly inconsistent with the transition to a net-zero emissions economy by 2050.  Principally is defined as where more than 10% of the company’s revenue is derived from thermal coal extraction or electricity generation.1  Suncorp will phase out of underwriting oil & gas by 2025.

Exemptions: Suncorp will provide insurance to companies whose business is clearly consistent with the transition to a net-zero carbon emissions economy by 2050. Insurance to personal insurance customers and small-to-medium businesses, Statutory or compulsory insurance (e.g. workers’ compensation and compulsory third-party insurance), and Group Life products in New Zealand. The Sensitive Sector Standard - Fossil Fuels for underwriting applies to new policies post 1 June 2019 for direct thermal coal extraction and electricity generation, and 1 July 2020 for direct oil and gas exploration and production exposures.","̶  Progress in phasing out of direct underwriting of companies principally involved in thermal coal extraction and electricity generation by 2025 as a measure of General Insurance % of Gross Written Premium (GWP).
̶  Progress in phasing out of direct underwriting of oil and gas exploration and production by 2025 as a measure of General Insurance % of GWP.",̶  Suncorp Australia and Suncorp New Zealand underwriting portfolios.,"Exposure is measured as total GWP in respect of Fossil Fuel risks. Classification is based on Suncorp ""Sensitive Sector Standard: Fossil Fuels"".","̶  Insurance Australia - ESG COGNOS Report, List of Fossil Fuel companies Underwriting Information, Company websites, disclosure statements and other publicly available information were used to confirm classification of risks.

̶  Insurance New Zealand - Insurance New Zealand – Manual Review, Underwriting Information, Company websites, disclosure statements and other publicly available information were used.","Whilst Sensitive Sector Standards are embedded in underwriting process, collation of a central list of Sensitive Sector exposures is currently an adhoc process. This is being reviewed with a view to automate the process and embed the central exposure list in existing business processes.

We are currently reviewing this metrics with a refresh to be released as part of our net-zero transition planning.",,,,
,Sensitive Sector Progress - Fossil Fuel Phase out (Investments),"Phase out thermal coal extraction and electricity generation by 2025.

Phase out oil & gas exploration & production by:
- immediately (as at 1 July 2020) excluding the top 10% by metric tonne of CO2e per million of USD revenue, based on Scope 1 & 2 emissions;
- the top 25% by 2025; 
- the top 50% by 2030; and, 
- phase out of all oil and gas exploration and production by 2040.","Inclusions: Australian share and global share portfolios, all domestic and global fixed income portfolios.

Exemptions: Companies whose business is clearly consistent with the transition to a net-zero carbon emissions economy by 2050. Exposures via pooled investment vehicles where Suncorp is not the Responsible Entity.","̶  Fossil fuel exposure is managed through an active  Investment exclusions list (for the period of 1 July 2022 to 30 June 2023). The data is reviewed annually based on the most recent emissions data.  Investments’ FY23 progress report is based on the reduction of exposures to companies involved in thermal coal extraction and electricity generation and the reduction in exposures to the highest carbon emitters and most carbon intensive emitters in the O&G E&P companies.  The identified companies are incorporated into in Suncorp’s exclusions list which is reviewed annually. 
",̶  Investments within Australia's Investments portfolio.,"For thermal coal, companies in the Exclusions List include all entities that are classified as Coal and Consumable Fuels (GICs 10102050). In addition, a threshold of greater than 30% revenue involvement from coal extraction & electricity generation was introduced to all companies in October 2022.  (This has since moved to 10% as of 1 July 2023.)

For progress in oil and gas, the key metric is based on a companies' carbon intensity from Scope 1 and Scope 2 emissions (the unit of measurement is metric tonne of CO2-e per million of USD revenue), with the Top 25% are excluded. In addition, we also rank the companies by absolute emissions from Scope 1 and Scope 2 emissions (the unit of measurement is metric tonne of CO2-e) and exclude the top 25%. The data is produced by an external data provider (Sustainalytics).  ",Analysis was supported by third party data including the Sustainalytics carbon database at March 2023.,"Scope 1 and 2 emissions are currently used as this ensures reliability and availability across entities in the Suncorp benchmarks. As data becomes available and methodologies improve we will expand our capability to measure and track progress across all Scopes.

We are currently reviewing our metrics in line with our commitment to phase out our exposure to oil and gas (exploration and production) by 2040 as part of the Group's net-zero transition planning.",,,,
,,,,,,,,,,,,
,Sensitive Sector Progress - Fossil Fuel Phase out (Banking),"Phase out of lending to thermal coal extraction and electricity generation activities by 2025

Phase out of lending to oil and gas exploration and production activities by 2025",Exemptions: Lending to retail customers and small-to-medium businesses Deposit products Transactional Treasury products (same-day FX). Companies whose business is clearly consistent with the transition to a net-zero carbon emissions economy by 2050.,̶  Suncorp Bank has no exposure to thermal coal extraction; thermal coal electricity generation or oil and gas exploration and production.,̶  Suncorp Bank - all portfolios.,Suncorp Bank’s FY23 screen for sensitive sectors is based on exposures to ANZSIC industry codes specifically listed in Suncorp’s Sensitive Sector guideline. ,Portfolio exposure across all Business Banking lending exposure as at April 2023 was considered. ,"Portfolio exposure across all retail portfolios, foreign deposit accounts and other funding sources (including Business Banking customer deposits and Treasury debt investors) have not been considered.",,,,
,Payments to small business suppliers within 30 days,"The proportion determined by total value, of small business invoices paid by the reporting entity during the reporting period within 30 calendar days after the day of receipt of a valid invoice.",Calculated using bi annual payment times reporting to derive 12 months for the period ending December 2022. ,"̶  Invoice received date
̶  Payment date
̶  Payment terms
̶  ABN","̶  Metric includes payments across BPA, CPA, Standard PO and manual payments.
̶  Excludes New Zealand. Excludes non-trade credit arrangements and calculated as per the regulators guidelines.",Only includes those entities eligible to be included in Payment Times Reporting and have been reported to the regulator. Small business defined by Payment Times Reporting Scheme as a business that has an annual turnover of <$10M and as flagged by the regulator's small business indicator tool.,"̶  Oracle 
̶  Claims Centre
̶  Protect
̶  Nurvx
̶  Oracle Home Repair
̶  Cushman and Wakefield",,"Credit Notes / adjustments are not included.

Actual Invoice received date is used to calculate the payment time in the first instance. If invoice received date is unavailable, then invoice date is used.
",,,
,Low carbon investments,"Low Carbon Investments are low carbon solutions and low carbon assets which includes green bonds, renewable energy infrastructure, renewable energy bond and equity securities and energy efficient real estate.","Green Bonds are  bond instrument where the proceeds will be exclusively applied to finance or re-finance eligible Green Projects, which are aligned with the core components (use of proceeds, process for project evaluation and selection, management of proceeds and reporting) of the Green Bond Principles.

Other low-carbon assets includes renewable energy infrastructure, renewable energy credit and equity securities, and energy efficient real estate.",̶  Market value (AU$ million) as at 30 June 2023.,̶  Investments within Suncorp Australia's Investments portfolio.,"Suncorp calculates its exposure to low carbon assets based on Global Investor Coalition definition. These include green bonds, renewable energy infrastructure and energy efficient real estate. Analysis was supported by third party data.","̶  Custodian data (NAS)
̶  NABERS Rating and GHG data of the underlying properties (DEXUS) as at 31 Dec 2022.",Portfolio exposure in Suncorp New Zealand's investments portfolio currently not included. ,,,,
,Funds invested in social and low-carbon impact investments as a percentage of total shareholders’ funds,"Social impact investments include those which generate measurable social benefits in addition to financial returns. 

Low carbon investments include Green Buildings, Renewable Energy, Energy Efficiency, Waste and Pollution Control (relating to carbon emissions), Ultra Low Emission Vehicles and Sustainable Forestry.","̶  Reporting period: 1 July 2022 - 30 June 2023
̶  Actual data (as measured by assets exposure)","̶  Social impact investments
̶  Low carbon investments including Green bonds, energy efficient properties and renewable energy infrastructure investments
̶  Total shareholders’ funds",,"̶  Based on Global Investor Coalition definition.
̶  Actual data (assets exposure) used for the calculation.","̶  Custodian data (NAS)
̶  NABERS Rating and GHG data of the underlying properties (DEXUS)",,,,,
,Amount of Social impact investments,Social impact investments include those which generate measurable social benefits in addition to financial returns.,"̶  Reporting period: 1 July 2022 - 30 June 2023
̶  Actual data (as measured by assets exposure)",̶  Social impact investments,,̶  Actual data (assets exposure) used for the calculation.,̶  Custodian Data (NAS),,Actual data (assets exposure) used for the calculation.,,,
,Carbon intensity performance of investments,Carbon intensity performance of investment measured in association with ESG research firm Sustainalytics and measured in metric tonne of CO2-e per million of USD revenue (for the portfolio & benchmark). ,"The carbon intensity performance against the benchmark consist of securities which we can credibly measure and of high data quality. 

This includes Australian & International Equities and Australian Corporate Bonds in Technical Reserves and Shareholder portfolios.",̶  Metric tonne of CO2e per million of USD revenue,"̶  Given data and methodology limitations, we currently report on 43% of the portfolio.","Carbon intensity performance for Australian and international equities are based on the carbon intensity data for the respective investment portfolios.
Carbon intensity performance for Australian corporate bonds are based on the weighted carbon intensity data of the Australian corporate bonds values  in Tech Reserves and Shareholders portfolios as at 30 June 2023.","Suncorp’s fixed interest and equity portfolio exposures are provided to Sustainalytics who calculate a carbon intensity for each of our Australian and Global investments.
Analysis was supported by third party data including the Sustainalytics carbon Portfolio Reports as at 31 March 2023.","We are at varied stages across the portfolio of measurement approach and accuracy. As data and methodologies become more readily available, we will expand the boundary to measure more of our investment portfolio.",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1. Insurance Suncorp New Zealand is exploring to align to the definition of ‘principally’ in FY24,,,,,,,,,,,
