Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,2-16 Communication of critical concerns,"The Board, Annual Report 2022-23, pages 48-50",
,2-17 Collective knowledge of the highest governance body,"2023 Board Skills Matrix, Annual Report 2022-23, pages 46-47",
,,"Director induction and education, Annual Report 2022-23, page 48",
,2-18 Evaluation of the performance of the highest governance body,"Board performance evaluation, Annual Report 2022-23, page 48",
,2-19 Remuneration policies,"Executive remuneration overview, Annual Report 2022-23, page 73",
,,"FY23 executive remuneration structure, Annual Report 2022-23, pages 77-79",
,2-20 Process to determine remuneration,"Remuneration governance, Annual Report 2022-23, page 76",
,"4. Strategy, policies and practices",,
,2-22 Statement on sustainable development strategy,"Message from our Chairman, Annual Report 2022-23, pages 8-9",
,2-23 Policy commitments,"Responsible Investment Policy, pages 1-2",
,,Sustainable Insurance Policy,
,2-24 Embedding policy commitments,Responsible Investment Policy,
,,Sustainable Insurance Policy,
,,"Suncorp's Code of Conduct, page 6",
,2-25 Processes to remediate negative impacts,"Responsible Investment Policy, pages 5-6",
,,Sustainable Insurance Policy,
,2-26 Mechanisms for seeking advice and raising concerns,"Suncorp's Code of Conduct, page 6",
,,"Whistleblower Policy, pages 2-3",
,2-27 Compliance with laws and regulations,"Contingent liabilities, Annual Report 2022-23, pages 167-168",
,2-28 Membership associations,Suncorp's commitments and frameworks,
,5. Stakeholder engagement,,
,2-29 Approach to stakeholder engagement,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
,2-30 Collective bargaining agreements,"People, Employees, FY23 Sustainability Data Pack ",
Material Topics,,,
GRI 3: Material Topics 2021,3-1 Process to determine material topics,"Understanding our most material topics, Annual Report 2022-23, pages 22-23",
,3-2 List of material topics,"Understanding our most material topics, Annual Report 2022-23, pages 22-23",
Accessibility and affordability,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,"Our operating environment, Annual Report 2022-23, pages 18-19",
,,Financial Inclusion Action Plan 2022-25,
,,"Customer, Financial inclusion & resilience, FY23 Sustainability Data Pack",
,,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
,,"Our customers, Annual Report 2022-23, pages 24-26",
GRI G4 Sector Supplement,FS14 Initiatives to improve access to financial services for disadvantaged people,"Financial Inclusion Action Plan 2022-25, pages 14-23",
Climate change response ,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,FY23 Climate-related Disclosure Report,
,,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
GRI 201: Economic Performance 2016 ,201-2 Financial implications and other risks and opportunities due to climate change,"FY23 Climate-related Disclosure Report, pages 23-25, 29-30",
GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,"FY23 Climate-related Disclosure Report, pages 32-33",
,305-2 Energy indirect (Scope 2) GHG emissions,"FY23 Climate-related Disclosure Report, pages 32-33",
,305-3 Other indirect (Scope 3) GHG emissions,"FY23 Climate-related Disclosure Report, pages 32-33",
,305-4 GHG emissions intensity,"FY23 Climate-related Disclosure Report, page 34",
,305-5 Reduction of GHG emissions,"FY23 Climate-related Disclosure Report, pages 32-33",
Natural hazard resilience,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Natural Hazard Resilience",
,,"Natural hazard resilience and insurance affordability, Annual Report 2022-23, page 25",
,,"Our operating environment, Annual Report 2022-23, pages 18-19",
,,"FY23 Climate-related Disclosure Report, pages 23-24",
,,"Group financial performance, Annual Report 2022-23, page 38",
GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,"Our customers, Annual Report 2022-23, pages 24-25",
,,"Our community, Annual Report 2022-23, page 30",
,,"FY23 Climate-related Disclosure Report, pages 26-27",
Customer experience,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Customer Experience",
,,"Our customers, Annual Report 2022-23, pages 24-26",
,,"Customer remediation and complaints, Annual Report 2022-23, page 167",
,,"Customer, FY23 Sustainability Data Pack",
,,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
Trust and transparency,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Trust and Transparency",
,,Suncorp's Code of Conduct,
GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,"Consolidated statement of comprehensive income, Annual Report 2022-23, page 98",
,201-3 Defined benefit plan obligations and other retirement plans,"Remuneration Report, Annual Report 2022-23, pages 73, 159-163",
GRI 205: Anti-Corruption 2016,205-1 Operations assessed for risks related to corruption,"Anti-Bribery & Corruption Policy, page 1",
,205-2 Communication and training about anti-corruption policies and procedures,Anti-Bribery & Corruption Policy,
,205-3 Confirmed incidents of corruption and actions taken,Anti-Bribery & Corruption Policy,
,,"People, Code of Conduct, FY23 Sustainability Data Pack",
GRI 206: Anti-competitive Behaviour 2016,"206-1 Legal actions for anti-competitive behaviour, anti-trust, and monopoly practices","People, Code of Conduct, FY23 Sustainability Data Pack",
GRI 207: Tax 2019,207-1 Approach to tax,"2022 Tax Transparency Report, pages 4-6",
,"207-2 Tax governance, control, and risk management","2022 Tax Transparency Report, page 6",
,207-3 Stakeholder engagement and management of concerns related to tax,"2022 Tax Transparency Report, pages 7-9",
,207-4 Country-by-country reporting,"2022 Tax Transparency Report, page 12",
GRI 415: Public Policy 2016,415-1 Political contributions,"Political engagement, Annual Report 2022-23, page 51",
,,Suncorp Group Political Engagement Policy,
Data privacy and security,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Data Privacy and Security",
,,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
,,Suncorp Group Privacy Policy,
,,Suncorp Privacy Management Policy,
Workforce planning and retention,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,"Our operating environment, Annual Report 2022-23, pages 18-19",
,,"Our people, Annual Report 2022-23, pages 27-29",
,,"People, Learning and Development, FY23 Sustainability Data Pack",
,,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
GRI 401: Employment 2016,401-1 New employee hires and employee turnover,"People, Safety and wellbeing, FY23 Sustainability Data Pack",
,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,"Notes to the consolidated financial statements, Annual Report 2022-23, page 159",
,401-3 Parental leave,"Creating an environment for people to thrive, Annual Report 2022-23, page 28",
GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,"People, Learning and Development, FY23 Sustainability Data Pack",
,404-2 Programs for upgrading employee skills and transition assistance programs,"Our people, Annual Report 2022-23, page 27",
Purposeful and responsible business,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Purposeful and Responsible Business",
,,Sustainable Insurance Policy,
,,Responsible Investment Policy,
,,"Value Chain, Responsible Investment, FY23 Sustainability Data Pack",
GRI G4 Sector Supplement,FS11 Percentage of assets subject to positive and negative environmental or social screening,"Value Chain, Responsible Investment, FY23 Sustainability Data Pack",
Workforce wellbeing,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Workforce wellbeing",
,,"Our people, Annual Report 2022-23, pages 27-28",
,,Safety and Wellbeing Policy,
,,"Engaging our stakeholders, Annual Report 2022-23, pages 20-21",
GRI 403: Occupational Health and Safety 2016,403-1 Occupational health and safety management system,"Safety and Wellbeing Policy, page 1",
,"403-2 Hazard identification, risk assessment, and incident investigation",Safety and Wellbeing Policy,
,"403-4 Worker participation, consultation, and communication on occupational health and safety","Safety and Wellbeing Policy, pages 2-3",
,403-5 Worker training on occupational health and safety,Safety and Wellbeing Policy,
,,Suncorp's Code of Conduct,
,403-6 Promotion of worker health,Safety and Wellbeing Policy,
,,"Supporting our people’s wellbeing, Annual Report 2022-23, page 28",
,403-9 Work-related injuries,"People, Safety and Wellbeing, 2022-23 Sustainability Data Pack",
Sustainable supply chain,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,"Our Approach, Supply Chain",
,,"Our operating environment, Annual Report 2022-23, pages 18-19",
,,"Working towards a sustainable supply chain, Annual Report 2022-23, page 31",
GRI 308: Supplier Environmental Assessment 2016,308-1 New suppliers that were screened using environmental criteria,"Value Chain, Suppliers, FY23 Sustainability Data Pack",
GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,"Value Chain, Suppliers, FY23 Sustainability Data Pack",
