Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,GHG Emission scope 1 & 2 (tCO2e / FTE),q,-0.009897293647039089,1.346539680640027,1.36,1.57,1.96,2.59,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Scope 12,,,,,,,,,
,Fleet vehicles,p,0.09724237596722812,4821.283,4394,5293,6497,8072,,Increased fuel usage as there were no COVID-19 related restrictions in place in FY23.
,Building refrigerants,q,-0.006542178468899528,207.6326847,209,196,172,204,,"No material change in the number, or capacity, of chillers at IAG sites."
,Natural gas / Stationary Liquefied Petroleum Gas (LPG),p,1.2113838345864658,588.2280999999999,266,111,82,80,,Increase driven by stationary LPG usage with the opening of additional Repairhub sites in New Zealand.
,,,,,,,,,,
,Scope 23,,,,,,,,,
,Electricity,q,-0.10763674555127514,9728.544199999998,10902,12458,14562,18100,,Reduction in Australian state emissions factors sourced from NGER (National Greenhouse and Energy Reporting) as state grids steadily decarbonise.
,,,,,,,,,,
,"Scope 34,5",,,,,,,,,
,1. Purchased goods and services,q,-0.6163894128970163,797.1428,2078,2248,1173,1928,,"Reduction driven by a lower, up to date print paper emissions factor. Previous factor had not been updated since publication in 2013."
,2. Capital goods,,,N/R,N/R,N/R,N/R,N/R,,
,3. Fuel-and-energy-related activities (not included in Scope 1 or 2),p,1.03981876724931,2217.283,1087,1384,1497,1871,,Driven by transmission & distribution losses: emissions factor increased in FY23 in line with an increase in the use of imported fuel in the region.
,4. Upstream transportation and distribution,,,N/R,N/R,N/R,N/R,N/R,,
,5. Waste generated in operations,p,0.6142894736842115,582.7585000000004,361,353,596,796,,Higher waste volumes driven by the opening of Repairhub sites (higher waste relative to office-based sites) and an increase in office occupancy.
,6. Business travel,p,2.037419279661017,4300.9857,1416,566,8340,17125,,Material increase in air travel (though still roughly half the pre-COVID-19 levels) with COVID-related restrictions no longer in place in FY23.
,7. Employee commuting [includes WFH]6,q,-0.2706905501782985,2863.2689,3926,N/R,N/R,N/R,,Reduction in WFH emissions driven by lower electricity emissions factors and a methodology update to account for employee annual leave.
,8. Upstream leased assets,,,N/R,N/R,N/R,N/R,N/R,,
,9. Downstream transportation and distribution,,,N/R,N/R,N/R,N/R,N/R,,
,10. Processing of sold products,,,N/R,N/R,N/R,N/R,N/R,,
,11. Use of sold products,,,N/R,N/R,N/R,N/R,N/R,,
,12. End of life treatment of sold products,,,N/R,N/R,N/R,N/R,N/R,,
,13. Downstream leased assets,,,N/R,N/R,N/R,N/R,N/R,,
,14. Franchises,,,N/R,N/R,N/R,N/R,N/R,,
,15. Investments,,,N/R,N/R,N/R,N/R,N/R,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Footnotes to data,,,,,,,,,
,"1. A female Director - Wendy Thorpe - was appointed on 23 March 2023, effective 1 July 2023. The percentage of women on the Board at 21 August 2023 is 27%.",,,,,,,,,
,2. Scope 1: direct emissions from owned and controlled sources.,,,,,,,,,
,"3. Scope 2: indirect emissions from the generation of purchased energy. We use a location-based approach, which reflects the average emissions intensity of the grids on which our energy consumption occurs.",,,,,,,,,
,"4. Scope 3: indirect emissions that occur upstream and downstream of our business. IAG includes the following scope 3 emission sources within the boundary of reporting: business travel, waste to landfill, paper, staff working from home, and  transmission & distribution (T&D) losses (which includes T&D losses from electricity, natural gas, stationary LPG, and company vehicle fuel sources). ",,,,,,,,,
,5. Measured Scope 3 emissions categorisation informed by the Greenhouse Gas Protocol.,,,,,,,,,
,6. Working from home (WFH) emissions added to the scope of our measured Scope 3 emissions in FY22.,,,,,,,,,
