Unnamed: 0,Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
67,,4. Upstream transportation and distribution,,,N/R,N/R,N/R,N/R,N/R,,
68,,5. Waste generated in operations,p,0.614289,582.7585000000004,361,353,596,796,,Higher waste volumes driven by the opening of Repairhub sites (higher waste relative to office-based sites) and an increase in office occupancy.
69,,6. Business travel,p,2.037419,4300.9857,1416,566,8340,17125,,Material increase in air travel (though still roughly half the pre-COVID-19 levels) with COVID-related restrictions no longer in place in FY23.
70,,7. Employee commuting [includes WFH]6,q,-0.270691,2863.2689,3926,N/R,N/R,N/R,,Reduction in WFH emissions driven by lower electricity emissions factors and a methodology update to account for employee annual leave.
71,,8. Upstream leased assets,,,N/R,N/R,N/R,N/R,N/R,,
72,,9. Downstream transportation and distribution,,,N/R,N/R,N/R,N/R,N/R,,
73,,10. Processing of sold products,,,N/R,N/R,N/R,N/R,N/R,,
74,,11. Use of sold products,,,N/R,N/R,N/R,N/R,N/R,,
75,,12. End of life treatment of sold products,,,N/R,N/R,N/R,N/R,N/R,,
76,,13. Downstream leased assets,,,N/R,N/R,N/R,N/R,N/R,,
77,,14. Franchises,,,N/R,N/R,N/R,N/R,N/R,,
78,,15. Investments,,,N/R,N/R,N/R,N/R,N/R,,
83,,Footnotes to data,,,,,,,,,
84,,"1. A female Director - Wendy Thorpe - was appointed on 23 March 2023, effective 1 July 2023. The percentage of women on the Board at 21 August 2023 is 27%.",,,,,,,,,
85,,2. Scope 1: direct emissions from owned and controlled sources.,,,,,,,,,
86,,"3. Scope 2: indirect emissions from the generation of purchased energy. We use a location-based approach, which reflects the average emissions intensity of the grids on which our energy consumption occurs.",,,,,,,,,
87,,"4. Scope 3: indirect emissions that occur upstream and downstream of our business. IAG includes the following scope 3 emission sources within the boundary of reporting: business travel, waste to landfill, paper, staff working from home, and transmission & distribution (T&D) losses (which includes T&D losses from electricity, natural gas, stationary LPG, and company vehicle fuel sources).",,,,,,,,,
88,,5. Measured Scope 3 emissions categorisation informed by the Greenhouse Gas Protocol.,,,,,,,,,
89,,6. Working from home (WFH) emissions added to the scope of our measured Scope 3 emissions in FY22.,,,,,,,,,
