Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
Customer Complaints Resolved [%],,,,,,Diesel Transport post-2004 [kL],,,,,,Row Labels,Sum of Total Data,,Row Labels,Sum of Total Data,,,Community Investment [$],9260879.209800001,,Community Investment [$],806466.6402,,,Row Labels,Average of Actual Data,,Row Labels,Average of Actual Data,,,kWh,FY19,Q1,4846803.801000007,,,4846.803801000007,,,,,,,,,,,,,,,,,,Row Labels,Sum of Total Data,,Row Labels,Sum of Total Data,,,,,,,,,,,,,,,,Quarter,Q4,,,,,
Diesel Transport post-2004 [L],3083.196000000001,,757.5528999999999,3840.7489,,Electricity [kWh],,484.50419999999997,44.476800000000004,528.9810000000002,,Employees [persons],8468,,Employees [persons],3962,,,AU - Community Investment (Cash Contribution),6691858.9998,,NZ - Community Investment (Cash Contribution),414377.38,,,Employee Metric [FTE],7741.600000000001,,Employee Metric [FTE],3654.787500000001,,,,,Q2,4568244.6099000005,,,4568.244609900001,,,,,,,,,,,,,,,,,,Community Investment [$],9260879.209800001,,Community Investment [$],806466.6402,,,,,,,,,,,,,,,,Month,Jun,,,,,
Electricity [kWh],,9244.039999999999,798.7193000000002,10042.759299999998,,LPG Stationary [L],502.74999999999994,,167.58349999999996,670.3334999999998,,Grand Total,8468,,Grand Total,3962,,,AU - Community Investment (Management Costs),2223177.8201,,NZ - Community Investment (Management Costs),266902.0901,,,Grand Total,7741.600000000001,,Grand Total,3654.787500000001,,,,,Q3,4519072.440199998,,FY19,4519.072440199998,,,,,,,,,,,,,,,,,,AU - Community Investment (Cash Contribution),6691858.9998,,NZ - Community Investment (Cash Contribution),414377.38,,,,,,,,,,,,,,,,,,,,,,
Ethanol E10 Transport post-2004 [L],167.50580000000002,,42.58800000000001,210.0938,,Office Paper [kg],,,1.1945000000000001,1.1945000000000001,,,,,,,,,AU - Community Investment (volunteer hours $),345842.38989999995,,NZ - Community Investment (volunteer hours $),125187.17009999999,,,,,,,,,,,,Q4,4253049.399500001,,,4253.0493995000015,,,,,,,,,,,,,,,,,,AU - Community Investment (Management Costs),2223177.8201,,NZ - Community Investment (Management Costs),266902.0901,,,,,,,,,,,,,,,,Sum of Actual Data,Column Labels,,,,,
Natural Gas [GJ],85.4781,,6.8656,92.34369999999998,,Personal Vehicles [km],,,26.280499999999996,26.280499999999996,,,,,,,,,Grand Total,9260879.209800001,,Grand Total,806466.6402,,,Group Average FTE:,,,,,,,,FY20,Q1,4130702.458200001,,,4130.702458200001,,,,,,,,,,,,,,,,,,AU - Community Investment (volunteer hours $),345842.38989999995,,NZ - Community Investment (volunteer hours $),125187.17009999999,,,,,,,,,,,,,,,,Row Labels,FY19,FY20,FY21,FY22,FY23,Grand Total
Office Paper [kg],,,3.3143,3.3143,,Petrol Transport post-2004 [L],824.2802,,209.666,1033.9461999999999,,Country,Australia,,Country,New Zealand,,,,,,,,,,11396.387500000003,,,,,,,,,Q2,4004298.6738000005,,,4004.2986738000004,,,,,,,,,,,,,,,,,,Grand Total,9260879.209800001,,Grand Total,806466.6402,,,,,,,,,,,,,,,,Women in workforce [%],156.24,172.4,186.29,169.69000000000003,168.06,852.6800000000001
Petrol Transport post-2004 [L],746.3009999999999,,189.83089999999996,936.1319000000001,,Print Paper [kg],,,151.8299,151.8299,,Item Number,AU - Part-time employment,,Item Number,NZ - Part-time employment,,,,,,AUD,729372.0179072082,,,,,,,,,,,,Q3,3983253.7375999987,,FY20,3983.2537375999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU - Women in the workforce,57.75,58.22,58.71,59.46,59.58,293.72
Print Paper [kg],,,640.8041,640.8041,,Taxis - Cost,,,7.0986,7.0986,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,Country,Australia,,Country,New Zealand,,,,,Q4,3270237.7944,,,3270.2377944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU - Women on the board,40,40,40,27.27,20,167.27
Rental Car [t CO2e],,,11.57,11.57,,Vehicle Number - Cars,,,,,,Quarter,Q4,,Quarter,Q4,,,,,,,,,,Financial Year,FY22,,Financial Year,FY22,,,,FY21,Q1,3295758.3844999997,,,3295.7583845,,,,,,,,,,,,,,,,,,,Total AUD,AU,NZ converted to AUD,,,,,,,,,,,,,,,,,AU - Women in senior management positions,36.27,40.85,43.14,42.96,44.04,207.26
Taxi Travel [km],,,43.8129,43.8129,,Waste General [t],,,294.5765000000001,294.5765000000001,,,,,,,,,,,,,,,,Quarter,(All),,Quarter,(All),,,,,Q2,3376131.7159999986,,,3376.1317159999985,,,,,,,,,,,,,,,,,,Cash Contributions,7.143718091452582,6691858.9998,451859.09165258164,,,,,,,,,,,,,,,,,AU - Women in executive positions,22.22,33.33,44.44,40,44.44,184.43
Waste General [t],,,288.18200000000024,288.18200000000024,,Working From Home [kg CO2e],,,299.816,299.816,,Row Labels,Sum of Actual Data,,Row Labels,Sum of Actual Data,,,,,,,,,,,,,,,,,,,Q3,3345951.7842000006,,FY21,3345.9517842000005,,,,,,,,,,,,,,,,,,Management Costs,2.5142220271770404,2223177.8201,291044.20707704045,,,,,,,,,,,,,,,,,,,,,,,
Working From Home [kg CO2e],,,2563.4529,2563.4529,,Grand Total,1327.0302,484.50419999999997,2138.4389,3949.9732999999997,,Employee Metric [%],15.850100000000001,,Employee Metric [%],8.099900000000002,,,Country,Australia,,Country,New Zealand,,,Row Labels,Average of Actual Data,,Row Labels,Average of Actual Data,,,,,Q4,3358093.675400001,,,3358.093675400001,,,,,,,,,,,,,,,,,,Volunteering costs,0.48235312551964993,345842.38989999995,136510.73561964996,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,4082.4809000000005,9244.039999999999,8623,21949.5209,,,,,,,,Grand Total,15.850100000000001,,Grand Total,8.099900000000002,,,Financial Year,FY23,,Financial Year,FY23,,,Employee Metric [FTE],8125.442499999998,,Employee Metric [FTE],3511.6200000000003,,,,FY22,Q1,3120705.1579000005,,,3120.7051579000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Quarter,(All),,Quarter,(All),,,Grand Total,8125.442499999998,,Grand Total,3511.6200000000003,,,,,Q2,3055968.271899997,,,3055.9682718999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU - Women in the workforce %,FY19,FY20,FY21,FY22,FY23,
,,,,,,,,,,,,,,,,,,,Month,(All),,Month,(All),,,,,,,,,,,,Q3,2895680.6444999995,,FY22,2895.6806444999993,,,,,,,,,,,,,Option 2,,,,,,,,,,,,,,,,,,,,,,,,,Women in the workforce,57.75,58.22,58.71,59.46,59.58,
Country,Australia,,,,,Country,New Zealand,,,,,Country,Australia,,Country,New Zealand,,,,,,,,,,,,,,,,,,,Q4,2894071.2353000008,,,2894.071235300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women on the board,40,40,40,27.27,20,
Financial Year,FY23,,,,,Financial Year,FY23,,,,,Item Number,(All),,Item Number,(All),,,Row Labels,Sum of Total Data,,Row Labels,Sum of Total Data,,,Country,Australia,,Country,New Zealand,,,,FY23,Q1,2959277.840099999,,,2959.277840099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women in senior management positions,36.27,40.85,43.14,42.96,44.04,
Data Type,(Multiple Items),,,,,Data Type,(Multiple Items),,,,,Financial Year,FY23,,Financial Year,FY23,,,Community Investment [hours],6477.400100000001,,Community Investment [hours],2812.5,,,Financial Year,FY21,,Financial Year,FY21,,,,,Q2,2957270.1424000002,,,2957.2701424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women in executive positions,22.22,33.33,44.44,40,44.44,
,,,,,,,,,,,,Quarter,Q4,,Quarter,Q4,,,Grand Total,6477.400100000001,,Grand Total,2812.5,,,Quarter,(All),,Quarter,(All),,,,,Q3,2937940.389799999,,FY23,2937.940389799999,,,,,,,,,,,,,,,,,,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Scope 1 CO2e(t),Sum of Scope 2 CO2e(t),Sum of Scope 3 CO2e(t),Sum of Total CO2e(t),,Row Labels,Sum of Scope 1 CO2e(t),Sum of Scope 2 CO2e(t),Sum of Scope 3 CO2e(t),Sum of Total CO2e(t),,Month,Jun,,Month,Jun,,,,,,,,,,,,,,,,,,,Q4,2863223.7900000005,,,2863.2237900000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU - Fuel Diesel,2711.4655999999995,,666.2172999999999,3377.6829,,NZ - Fuel Petrol,824.2802,,209.666,1033.9461999999999,,,,,,,,,,,,,,,,Row Labels,Average of Actual Data,,Row Labels,Average of Actual Data,,,Grand Total,,,70635735.9466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU - Fuel Ethanol,80.39500000000001,,20.440399999999997,100.8354,,Grand Total,824.2802,,209.666,1033.9461999999999,,Row Labels,Sum of Actual Data,,Row Labels,Sum of Actual Data,,,Country,Australia,,,,,,Employee Metric [FTE],7976.949999999997,,Employee Metric [FTE],3293.9174999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU - Fuel Petrol,217.4826,,55.319300000000005,272.8019,,,,,,,,Employee Metric [FTE],7802.44,,Employee Metric [FTE],3768.02,,,Financial Year,FY23,,,,,,Grand Total,7976.949999999997,,Grand Total,3293.9174999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU - Fuel Diesel_PKG,371.7304,,91.3356,463.06600000000003,,,,,,,,Grand Total,7802.44,,Grand Total,3768.02,,,Quarter,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Country,Australia,,,,,,,,,,,,,,,,,,,,,,,,,
AU - Fuel Ethanol_PKG,87.11080000000001,,22.1476,109.25840000000001,,,,,,,,,,,,,,,Month,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Target %,50,50,50,50,50,
AU - Fuel Petrol_PKG,528.8184,,134.5116,663.33,,,,,,,,,,,,,,,,,,,,,,Country,Australia,,Country,New Zealand,,,Country,Australia,,,,,,,,,,,,,,,,,,,,,,,Sum of Total Data,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,3997.0027999999993,,989.9717999999998,4986.9746,,,,,,,,Country,Australia,,Country,New Zealand,,,Row Labels,Sum of Total Data,,,,,,Financial Year,FY20,,Financial Year,FY20,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,Row Labels,FY19,FY20,FY21,FY22,FY23,Grand Total,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Item Number,(All),,Item Number,(All),,,Community Investment [$],10968817.905600002,,,,,,Quarter,(All),,Quarter,(All),,,Data Type,Vehicle Number - Total,,,,,,,,,,,,,,,,,,,,,,,Community Investment [$],9359802.2101,19697493,13000031,14554724.720099999,9260879.2002,65872930.1304,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Financial Year,FY23,,Financial Year,FY23,,,AU - Community I/ment (C&DR),168725.31980000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,9359802.2101,19697493,13000031,14554724.720099999,9260879.2002,65872930.1304,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Quarter,Q4,,Quarter,Q4,,,AU - Community Investment (Cash Contribution),6691858.9998,,,,,,Row Labels,Average of Actual Data,,Row Labels,Average of Actual Data,,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Country,New Zealand,,,,,
,Australia,,,,,,New Zealand,,,,,Month,Jun,,Month,Jun,,,AU - Community Investment (CommunityConnect),472020.0669000001,,,,,,Employee Metric [FTE],7409.2225,,Employee Metric [FTE],3021.147499999999,,,Units,Financial Year,Quarter,Total,,,AU fleet,AU fuel usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarter,Q4,,,,,
GHG emissions (tCO2-e),Change,FY23,FY22,,,GHG emissions (tCO2-e),Change,FY23,FY22,,,,,,,,,,AU - Community Investment (donations),753988.3563999999,,,,,,Grand Total,7409.2225,,Grand Total,3021.147499999999,,,Total Vehicles,FY19,Q1,4085,,FY19,4085,720011.1500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Month,Jun,,,,,
Scope 1,,,,,,Scope 1,,,,,,Row Labels,Sum of Actual Data,,Row Labels,Sum of Actual Data,,,AU - Community Investment (Management Costs),2223177.8201,,,,,,,,,,,,,,,Q2,4043,,,4043,724472.3399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company vehicles,0.09865167744368,3997.0028000000007,3638.0983,,,Company vehicles,0.09031772486772492,824.2802,756,,,Absenteeism [%],4.93,,Absenteeism [%],5.35,,,AU - Community Investment (sponsorship),313204.95269999997,,,,,,,,,,,,,,,Q3,3992,,,3992,692706.71,,,,,,,,,,,,,,,,,NZ,,,,,,,,,,,,,,,,,,,,Sum of Actual Data,Column Labels,,,,,
- Tool of Trade,0.09470146704915104,3009.3431999999993,2749.0081,,,- Tool of Trade,,,,,,Grand Total,4.93,,Grand Total,5.35,,,AU - Community Investment (volunteer hours $),345842.38989999995,,,,,,Country,Australia,,Country,New Zealand,,,,,Q4,3918,,,3918,639676.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Labels,FY19,FY20,FY21,FY22,FY23,Grand Total
- Salary Package vehicles,0.11086546674341911,987.6596,889.0902000000001,,,- Salary Package vehicles,,,,,,,,,,,,,Grand Total,10968817.905600002,,,,,,Financial Year,FY19,,Financial Year,FY19,,,,FY20,Q1,3727,,FY20,3727,641922.52,,,,,,,,,,,,,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,Women in workforce [%],92.6,99.22,102.57,109.14,110.57,514.1
Building refrigerant,-0.006542178468899528,207.6326847,209,,,Building refrigerant,,,,,,,,,,,,,,,,,,,,Quarter,(All),,Quarter,(All),,,,,Q2,3629,,,3629,631866.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZ - Women in the workforce,57.6,58.4,59.71,61.68,62.09,299.48
Natural Gas / Stationary LPG,-0.017493103448275888,85.4781,87,,,Natural Gas / Stationary LPG,1.8086592178770946,502.74999999999994,179,,,Country,Australia,,Country,New Zealand,,,,,,,,,,,,,,,,,,,Q3,3496,,,3496,546148.85,,,,,,,,,,,,,,,,,Sum of Total Data,Column Labels,,,,,,,,,,,,,,,,,,,NZ - Women in senior management positions,35,40.82,42.86,47.46,48.48,214.61999999999998
Scope 2,,,,,,Scope 2,,,,,,Item Number,(All),,Item Number,(All),,,,,,,,,,Row Labels,Average of Actual Data,,Row Labels,Average of Actual Data,,,,,Q4,3635,,,3635,340678.84,,,,,,,,,,,,,,,,,Row Labels,FY19,FY20,FY21,FY22,FY23,Grand Total,,,,,,,,,,,,,,,,,,,,
Electricity,-0.12426580369390751,9244.039999999999,10555.76,,,Electricity,0.39787709174841296,484.50419999999997,346.6,,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,Employee Metric [FTE],7286.807499999999,,Employee Metric [FTE],3061.5675000000006,,,,FY21,Q1,3484,,FY21,3484,379967.78,,,,,,,,,,,,,,,,,Community Investment [$],1196578.1996999998,713960.2300999999,408618.29020000005,667224.2299,806466.6400000001,3792847.5899,,,,,,,,,,,,,,,,,,,,
Scope 3,,,,,,Scope 3,,,,,,Quarter,Q4,,Quarter,Q4,,,,,,,,,,Grand Total,7286.807499999999,,Grand Total,3061.5675000000006,,,,,Q2,3429,,,3429,424513.78,,,,,,,,,,,,,,,,,Grand Total,1196578.1996999998,713960.2300999999,408618.29020000005,667224.2299,806466.6400000001,3792847.5899,,,,,,,,,,,,,,,,,,,,
Electricity (T&D Losses),-0.2309950512208271,798.7193000000002,1038.64,,,Electricity (T&D Losses),0.48256000000000016,44.476800000000004,30,,,Month,Jun,,Month,Jun,,,,,,,,,,,,,,,,,,,Q3,3303,,,3303,445501.92000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FY19,FY20,FY21,FY22,FY23,
Nat Gas / Stationary LPG (T&D Losses),-0.006425470332851004,6.8656,6.91,,,Nat Gas / Stationary LPG (T&D Losses),14.234863636363633,167.58349999999996,11,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,3263,,,3263,428754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZ Women in the workforce,57.6,58.4,59.71,61.68,62.09,
Working from Home,-0.2216885251675366,2563.4529,3293.608,,,Working from Home,-0.52601708018073,299.816,632.546,,,Row Labels,Sum of Actual Data,,Row Labels,Sum of Actual Data,,,,,,,,,,,,,,,,,,FY22,Q1,3213,,FY22,3213,259311.46999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZ Women in senior management positions,35,40.82,42.86,47.46,48.48,
Air Travel,3.550426527777778,3276.3071,720,,,Air Travel,1.186721028037383,935.9165999999999,428,,,Absenteeism [%],4.93,,Absenteeism [%],5.35,,,,,,,,,,,,,,,,,,,Q2,3156,,,3156,370562.93000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Vehicles fuel (T&D Losses),4.26580744680851,989.9717999999998,188,,,Company Vehicles fuel (T&D Losses),4.24165,209.666,40,,,Grand Total,4.93,,Grand Total,5.35,,,,,,,,,,,,,,,,,,,Q3,3125,,,3125,371911.67999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Tool of Trade,4.262248226950353,741.9769999999999,141,,,- Tool of Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,3174,,,3174,401605.96,,,,,,,,,,,,,,,,,Row Labels,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,AU Women in the workforce,57.75,58.22,58.71,59.46,59.58,
- Salary Package vehicles,4.276485106382979,247.9948,47,,,- Salary Package vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,FY23,Q1,3144,,FY23,3144,410849.38000000006,,,,,,,,,,,,,,,,,Community Investment [$] total AUS,,,,,9260879.2002,,,,,,,,,,,,,,,AU Women in senior management positions,36.27,40.85,43.14,42.96,44.04,
Office Paper,2.3143,3.3143,1,,,Office Paper,3.5942307692307693,1.1945000000000001,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,3016,,,3016,378722.02,,,,,,,,,,,,,,,,,Community Investment [$] total NZ in $AUD,,,,,729372.0179072082,,,,,,,,,,,,,,,,,,,,,
Print Paper,-0.6563799006907802,640.8041,1864.8621,,,Print Paper,-0.2862966324817742,151.8299,212.7353,,,Country,Australia,,Country,New Zealand,,,,,,,,,,,,,,,,,,,Q3,2928,,,2928,386597.34,,,,,,,,,,,,,,,,,Total Community Investment (AU$m),10.4,20.4,13.4,15.2,9.99025121810721,,,,,,,,,,,,,,,,,,,,,
Taxi Travel,1.0863285714285713,43.8129,21,,,Taxi Travel,0.267607142857143,7.0986,5.6,,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,,,,,,,,,,Q4,2937,,,2937,361419.63000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General waste,0.09574904942965873,288.18200000000024,263,,,General waste,2.0058826530612257,294.5765000000001,98,,,Quarter,Q4,,Quarter,Q4,,,,,,,,,,,,,,,,,Grand Total,,,68697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal vehicles,,,,,,Personal Vehicles,,26.280499999999996,,,,Month,Jun,,Month,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car hire,-0.10999999999999997,11.57,13,,,Car hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Country,Australia,,,,,
Total Scope 1,0.09049476081977931,4290.1135847000005,3934.0983,,,Total Scope 1,0.4192836363636363,1327.0302,935,,,Row Labels,Sum of Actual Data,,Row Labels,Sum of Actual Data,,,,,,,,,,,,,,,,,Country,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarter,Q4,,,,,
Total Scope 2,-0.12426580369390751,9244.039999999999,10555.76,,,Total Scope 2,0.39787709174841296,484.50419999999997,346.6,,,Employee Turnover [%],70.84,,Employee Turnover [%],54.36,,,,,,,,,,,,,,,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Month,Jun,,,,,
Total Scope 1 + 2,-0.06595680202752571,13534.1535847,14489.8583,,,Total Scope 1 + 2,0.413494382022472,1811.5344,1281.6,,,AU - Staff t/over_empl'ee initiated <1 Yr Service,32.9,,NZ - Staff t/over_empl'ee initiated <1 Yr Service,27.32,,,,,,,,,,,,,,,,,Data Type,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Scope 3,0.16369454922261267,8623,7410.020100000001,,,Total Scope 3,0.46655121832157154,2138.4389,1458.1413,,,AU - Staff turnover (overall),18.97,,NZ - Staff turnover (overall),13.52,,,,,,,,,,,,,,,,,,,,,,,,,,Australia,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum of Actual Data,Column Labels,,,,,
