Unnamed: 0,Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
28,,Fuel usage / vehicle (Key Performance Indicator),kL / vehicle,p,0.20444,1.5657722708757638,1.3,1.55,1.8,2.13,p,0.050578,1.3552452091254752,1.29,1.53,1.37,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,ENVIRONMENTAL KEY PERFORMANCE INDICATORS (KPI)3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Purchased goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Print paper,tonnes,p,0.046522,696.9834210000001,666,733,312,556,q,-0.269825,55.493280000000006,76,69,100,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Office Paper,tonnes,q,-0.088765,14.670879999999997,16.1,23,51,81,q,-0.858628,1.696462,12,3,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Office Paper KPI,kg / FTE,q,-0.052465,1.8950707864007434,2,2.9,6.6,11.1,q,-0.863478,0.46417527694838606,3.4,1,4.2,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Fuel and energy-related activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Natural Gas (AU) / Stationary LPG (NZ),GJ,q,-0.02136,1658.7956000000001,1695,1105,1598,1550,,1.816092,8296.2069,2946,895,N/R,N/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,Building refrigerants,kg,q,-0.006452,1385.9300000000003,1394.93,1531.01,1123.45,1314.59,,,N/R,N/R,N/R,N/R,N/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Building refrigerants KPI,kg / FTE,p,0.053081,0.17902371602769454,0.17,0.19,0.15,0.19,,,N/R,N/R,N/R,N/R,N/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Waste generated in operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,General Waste,tonnes,p,0.097417,221.6781999999999,202,201,421,547,p,2.021292,226.59690000000006,75,71,76,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,General Waste KPI,kg / FTE,p,0.14102,28.41139438432079,24.9,25.2,54.4,75.5,p,1.897197,62.00002052102892,21.4,20.5,24.2,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,Recycled Waste,Tonnes,p,0.066823,257.10429999999974,241,221,398,611,p,1.702442,102.69280000000003,38,85,122,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,Recycled Waste KPI,kg / FTE,p,0.118207,33.210744548930414,29.7,27.6,51.5,84.3,p,1.601681,28.098158921688334,10.8,24.8,38.6,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,Business travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Air travel,KM (000s),p,3.545868,10750.979,2365,287,16640,35122,p,1.203924,3479.9962199999995,1579,742,8772,10888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,Air travel KPI,KM / FTE,p,3.772262,1388.7282990596257,291,36,2153,4849,p,1.115944,952.1747078318504,450,216,2782,3687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,Taxi Travel,KM (000s) | $NZD,p,0.989294,169.09,85,87,299,610,p,0.811741,101.09513000000001,55.8,N/R,N/R,N/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,Taxi Travel KPI,KM / FTE,p,1.080166,21.84173814198615,10.5,11,39,84,,,N/R,N/R,N/R,N/R,N/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Rental Car,KM (000s),q,-0.067822,68.049,73,36,212,253,,,N/R,N/R,N/R,N/R,N/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,Rental Car KPI,KM / FTE,q,-0.020056,8.721502504344796,8.9,5,27,35,,,N/R,N/R,N/R,N/R,N/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Other environmental performance indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,Working from home4,tCO2e,q,-0.221781,2563.4532776,3294,N/R,N/R,N/R,q,-0.526357,299.8159865,633,N/R,N/R,N/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Working from home KPI,tCO2e / FTE,q,-0.192373,0.33112706386276736,0.41,N/R,N/R,N/R,q,-0.557952,0.07956857620182484,0.18,N/R,N/R,N/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,Water,kL,q,-0.152039,12102.102799999999,14272,12133,27108,44550,,,N/R,N/R,N/R,N/R,N/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,Water KPI,kL / FTE,q,-0.111786,1.563256019427508,1.76,1.52,3.51,6.15,,,N/R,N/R,N/R,N/R,N/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,Footnotes to data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,"1. We use a location-based approach to measure our scope 2 emissions, which reflects the average emissions intensity of the grids on which our energy consumption occurs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,"2. IAG includes the following scope 3 emission sources within the boundary of reporting: business travel, waste to landfill, paper, staff working from home, and transmission & distribution (T&D) losses (which includes T&D losses from electricity, natural gas, stationary LPG, and company vehicle fuel sources).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,"3. Taxi travel, rental car, water, recycled waste, general waste, refrigerants, print paper, office paper, and transmission & distribution losses are not in scope for third party limited assurance. For a complete list of assured metrics, please refer to the FY23 Assurance Statement at www.iag.com.au.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,4. Working from home (WFH) emissions added to the scope of our measured scope 3 emissions in FY22.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
